DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,22.90,ACB,22.90,22.90,22.70,1523181.00
10/01/2020,22.70,ACB,22.50,23.10,22.50,2371501.00
09/01/2020,22.40,ACB,22.20,22.60,22.20,1422248.00
08/01/2020,22.10,ACB,22.50,22.50,22.00,2304937.00
07/01/2020,22.50,ACB,22.50,22.70,22.50,1050934.00
06/01/2020,22.50,ACB,23.00,23.00,22.50,1286035.00
03/01/2020,23.00,ACB,23.00,23.20,22.90,1055528.00
02/01/2020,23.00,ACB,22.80,23.00,22.70,1163109.00
31/12/2019,22.80,ACB,22.70,22.90,22.50,1649842.00
30/12/2019,22.70,ACB,22.70,22.90,22.60,1367912.00
27/12/2019,22.70,ACB,22.60,22.70,22.50,906262.00
26/12/2019,22.60,ACB,22.80,22.80,22.60,893827.00
25/12/2019,22.90,ACB,22.80,22.90,22.60,1121331.00
24/12/2019,22.70,ACB,22.90,22.90,22.70,821359.00
23/12/2019,22.80,ACB,22.70,23.00,22.70,1786089.00
20/12/2019,22.70,ACB,22.60,22.70,22.50,1043390.00
19/12/2019,22.50,ACB,22.60,22.60,22.40,625416.00
18/12/2019,22.50,ACB,22.70,22.80,22.50,1132793.00
17/12/2019,22.80,ACB,23.00,23.00,22.80,940104.00
16/12/2019,23.00,ACB,23.20,23.20,23.00,951838.00
13/12/2019,23.20,ACB,23.00,23.30,23.00,1445939.00
12/12/2019,23.00,ACB,22.90,23.10,22.90,656342.00
11/12/2019,22.90,ACB,22.80,22.90,22.60,785569.00
10/12/2019,22.80,ACB,22.90,23.00,22.60,573899.00
09/12/2019,22.90,ACB,23.00,23.00,22.70,814425.00
06/12/2019,23.00,ACB,23.00,23.10,22.90,698762.00
05/12/2019,23.00,ACB,23.20,23.20,22.90,1242216.00
04/12/2019,23.10,ACB,22.70,23.10,22.50,1314925.00
03/12/2019,22.60,ACB,22.70,22.90,22.40,1422078.00
02/12/2019,22.60,ACB,23.10,23.20,22.50,1640609.00
29/11/2019,23.10,ACB,22.90,23.10,22.80,800193.00
28/11/2019,22.90,ACB,23.30,23.30,22.80,1688171.00
27/11/2019,23.20,ACB,23.60,23.70,23.20,952900.00
26/11/2019,23.60,ACB,23.50,23.70,23.50,577968.00
25/11/2019,23.40,ACB,23.30,23.60,23.20,1949233.00
22/11/2019,23.20,ACB,24.00,24.00,23.10,3363603.00
21/11/2019,24.00,ACB,22.00,24.10,22.00,1782516.00
20/11/2019,23.90,ACB,24.30,24.30,23.90,1357644.00
19/11/2019,24.20,ACB,24.10,24.20,24.00,1398481.00
18/11/2019,24.10,ACB,24.40,24.50,24.00,2764302.00
15/11/2019,24.40,ACB,24.40,24.60,24.40,1652242.00
14/11/2019,24.50,ACB,25.00,25.10,24.50,2291325.00
13/11/2019,25.00,ACB,24.70,25.30,24.70,3575361.00
12/11/2019,24.70,ACB,24.70,24.70,24.50,1574994.00
11/11/2019,24.70,ACB,24.80,24.90,24.70,1719955.00
08/11/2019,24.80,ACB,24.90,25.10,24.60,3921492.00
07/11/2019,24.60,ACB,24.60,24.70,24.50,2102499.00
06/11/2019,24.60,ACB,24.80,24.80,24.50,2507149.00
05/11/2019,24.60,ACB,24.70,24.90,24.60,3578931.00
04/11/2019,24.60,ACB,24.20,24.70,24.20,3939389.00
01/11/2019,24.20,ACB,23.70,24.30,23.70,1907428.00
31/10/2019,24.10,ACB,24.30,24.40,24.10,1293107.00
30/10/2019,24.30,ACB,23.80,24.40,23.60,7431303.00
29/10/2019,23.70,ACB,23.80,23.90,23.60,1702377.00
28/10/2019,23.70,ACB,23.60,23.90,23.60,1090296.00
25/10/2019,23.60,ACB,23.60,23.60,23.40,1105479.00
24/10/2019,23.60,ACB,23.60,23.60,23.40,921275.00
23/10/2019,23.50,ACB,23.50,23.70,23.50,983685.00
22/10/2019,23.50,ACB,23.40,23.50,23.30,1660272.00
21/10/2019,23.40,ACB,24.00,24.20,23.40,2742188.00
18/10/2019,24.10,ACB,24.50,24.50,24.00,1865732.00
17/10/2019,24.40,ACB,24.30,24.40,24.10,1915729.00
16/10/2019,24.40,ACB,24.50,24.60,24.40,2073772.00
15/10/2019,24.40,ACB,24.50,24.60,24.30,2327203.00
14/10/2019,24.50,ACB,24.00,24.50,24.00,3538655.00
11/10/2019,24.00,ACB,24.00,24.20,23.90,1525076.00
10/10/2019,24.00,ACB,23.70,24.30,23.70,4857384.00
09/10/2019,23.70,ACB,23.40,23.70,23.30,1715656.00
08/10/2019,23.30,ACB,23.20,23.40,23.10,1159716.00
07/10/2019,23.20,ACB,23.60,23.60,23.20,1931392.00
04/10/2019,23.60,ACB,23.60,23.80,23.50,1582366.00
03/10/2019,23.60,ACB,23.50,23.60,23.30,1856827.00
02/10/2019,23.60,ACB,23.50,23.80,23.50,2160049.00
01/10/2019,23.70,ACB,23.40,23.70,23.30,1846967.00
30/09/2019,23.40,ACB,23.30,23.60,23.20,2304040.00
27/09/2019,23.20,ACB,25.00,25.00,23.20,2163685.00
26/09/2019,23.30,ACB,23.00,23.30,22.90,2320597.00
25/09/2019,23.00,ACB,23.10,23.20,22.90,1522720.00
24/09/2019,23.20,ACB,23.30,23.40,23.10,1324749.00
23/09/2019,23.30,ACB,23.20,23.60,23.10,2878182.00
20/09/2019,23.20,ACB,23.50,25.40,23.10,2535289.00
19/09/2019,23.10,ACB,22.40,23.20,22.30,3421555.00
18/09/2019,22.40,ACB,22.30,22.60,22.20,1542208.00
17/09/2019,22.30,ACB,22.40,22.40,22.10,1189898.00
16/09/2019,22.40,ACB,22.60,22.70,22.30,1238267.00
13/09/2019,22.60,ACB,22.30,22.60,22.10,1325067.00
12/09/2019,22.20,ACB,21.90,22.20,21.80,622048.00
11/09/2019,21.80,ACB,21.70,21.80,21.60,429890.00
10/09/2019,21.70,ACB,21.90,21.90,21.60,821441.00
09/09/2019,21.90,ACB,21.80,22.00,21.70,369511.00
06/09/2019,21.90,ACB,22.00,22.10,21.70,516662.00
05/09/2019,22.00,ACB,22.10,22.10,21.90,625327.00
04/09/2019,22.00,ACB,22.10,22.10,21.80,365320.00
03/09/2019,22.10,ACB,22.20,22.40,21.90,484897.00
30/08/2019,22.20,ACB,22.30,22.50,22.10,544010.00
29/08/2019,22.10,ACB,22.30,22.40,22.00,636900.00
28/08/2019,22.20,ACB,22.40,22.50,22.20,513225.00
27/08/2019,22.50,ACB,22.40,22.60,22.30,1016097.00
26/08/2019,22.50,ACB,22.50,22.50,22.10,1015427.00
23/08/2019,22.60,ACB,22.70,22.80,22.40,815330.00
22/08/2019,22.70,ACB,22.50,22.80,22.40,1653260.00
21/08/2019,22.30,ACB,22.20,22.40,22.10,2791144.00
20/08/2019,22.20,ACB,22.10,22.30,22.10,1318890.00
19/08/2019,22.00,ACB,22.00,22.30,21.90,1209980.00
16/08/2019,21.90,ACB,21.90,22.10,21.50,1536110.00
15/08/2019,21.70,ACB,21.70,21.70,21.30,1470311.00
14/08/2019,21.70,ACB,22.00,22.20,21.70,906910.00
13/08/2019,21.90,ACB,21.90,22.00,21.60,574727.00
12/08/2019,22.00,ACB,22.00,22.00,21.80,578401.00
09/08/2019,21.90,ACB,21.40,22.30,21.40,726110.00
08/08/2019,22.00,ACB,20.60,22.00,20.00,1066927.00
07/08/2019,21.60,ACB,21.80,22.00,21.60,1031673.00
06/08/2019,21.70,ACB,20.50,21.90,20.50,1820835.00
05/08/2019,22.00,ACB,22.30,22.30,21.80,2538864.00
02/08/2019,22.30,ACB,22.50,22.60,22.00,1774559.00
01/08/2019,22.50,ACB,22.70,23.00,22.40,1903052.00
31/07/2019,22.80,ACB,23.10,23.10,22.70,893714.00
30/07/2019,22.90,ACB,22.80,23.30,22.80,1100105.00
29/07/2019,23.00,ACB,23.20,23.40,22.90,1258626.00
26/07/2019,23.40,ACB,23.80,23.80,23.30,1052101.00
25/07/2019,23.70,ACB,23.80,24.10,23.70,2097782.00
24/07/2019,30.70,ACB,30.80,31.10,30.30,3961188.00
23/07/2019,30.80,ACB,31.00,31.10,30.70,1951764.00
22/07/2019,31.00,ACB,34.30,34.30,30.70,1903199.00
19/07/2019,31.20,ACB,32.00,32.00,30.80,2877999.00
18/07/2019,30.80,ACB,30.40,30.80,30.20,1601573.00
17/07/2019,30.70,ACB,30.20,30.90,30.20,2508774.00
16/07/2019,30.20,ACB,30.00,30.40,30.00,1196262.00
15/07/2019,30.00,ACB,30.10,30.20,29.90,933272.00
12/07/2019,30.10,ACB,30.30,30.40,30.00,888185.00
11/07/2019,30.20,ACB,29.60,30.40,29.60,2082872.00
10/07/2019,29.60,ACB,29.80,30.00,29.60,1121395.00
09/07/2019,29.80,ACB,29.00,29.80,29.00,2778824.00
08/07/2019,29.00,ACB,29.20,29.40,28.90,428679.00
05/07/2019,29.20,ACB,29.30,29.40,29.10,799873.00
04/07/2019,29.20,ACB,28.90,29.30,28.90,925764.00
03/07/2019,28.80,ACB,29.00,29.10,28.70,643573.00
02/07/2019,28.90,ACB,29.20,29.20,28.90,388434.00
01/07/2019,29.20,ACB,29.40,29.40,29.00,640739.00
28/06/2019,28.90,ACB,28.60,28.90,28.50,670700.00
27/06/2019,28.60,ACB,29.00,29.10,28.60,873525.00
26/06/2019,29.00,ACB,29.00,29.20,29.00,389568.00
25/06/2019,29.20,ACB,29.50,29.60,29.00,1331315.00
24/06/2019,29.50,ACB,29.50,29.70,29.40,1421227.00
21/06/2019,29.50,ACB,29.60,30.00,29.40,826692.00
20/06/2019,29.60,ACB,28.90,29.60,28.80,1436398.00
19/06/2019,28.90,ACB,28.90,29.10,28.80,506197.00
18/06/2019,28.90,ACB,28.70,29.00,28.70,769216.00
17/06/2019,28.70,ACB,28.70,28.90,28.60,896432.00
14/06/2019,28.70,ACB,28.60,29.00,28.60,1047441.00
13/06/2019,28.60,ACB,28.50,28.70,28.50,846792.00
12/06/2019,28.50,ACB,28.60,28.70,28.50,557708.00
11/06/2019,28.60,ACB,28.60,28.70,28.60,563995.00
10/06/2019,28.60,ACB,28.70,28.90,28.60,463155.00
07/06/2019,28.70,ACB,28.50,28.80,28.50,282088.00
06/06/2019,28.50,ACB,28.90,28.90,28.40,912088.00
05/06/2019,28.90,ACB,28.60,28.90,28.60,1056785.00
04/06/2019,28.60,ACB,28.70,29.00,28.60,870018.00
03/06/2019,28.70,ACB,28.70,29.00,28.60,1150302.00
31/05/2019,29.00,ACB,29.00,29.10,28.70,1025615.00
30/05/2019,29.10,ACB,29.10,29.20,29.00,725399.00
29/05/2019,29.20,ACB,28.90,29.20,28.70,1083726.00
28/05/2019,28.90,ACB,29.00,29.20,28.90,941132.00
27/05/2019,29.00,ACB,29.10,29.20,29.00,911886.00
24/05/2019,29.20,ACB,27.20,29.50,27.20,891367.00
23/05/2019,29.50,ACB,29.90,30.00,29.30,630966.00
22/05/2019,29.60,ACB,29.40,29.90,29.40,1274690.00
21/05/2019,29.40,ACB,29.40,29.70,29.30,1385291.00
20/05/2019,29.30,ACB,29.30,29.50,29.10,675438.00
17/05/2019,29.20,ACB,29.30,29.40,29.20,852070.00
16/05/2019,29.30,ACB,29.60,29.60,29.20,1467241.00
15/05/2019,29.50,ACB,29.10,29.70,29.10,1290890.00
14/05/2019,29.10,ACB,29.20,29.30,28.90,1601854.00
13/05/2019,29.20,ACB,29.40,29.60,29.20,913337.00
