DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,89.20,ADG,90.00,90.00,89.20,8700.00
10/01/2020,90.00,ADG,90.40,90.40,89.70,5300.00
09/01/2020,90.40,ADG,89.10,90.40,89.10,11700.00
08/01/2020,90.20,ADG,90.00,90.20,88.60,9600.00
07/01/2020,89.80,ADG,90.00,90.00,89.60,8300.00
06/01/2020,93.20,ADG,88.50,93.30,88.50,6700.00
03/01/2020,89.80,ADG,90.00,95.00,89.80,3500.00
02/01/2020,90.00,ADG,90.10,90.10,87.40,21500.00
31/12/2019,90.90,ADG,89.50,91.50,88.50,18900.00
30/12/2019,93.10,ADG,89.80,93.10,89.80,19400.00
27/12/2019,88.50,ADG,88.50,88.50,88.50,21600.00
26/12/2019,77.00,ADG,77.00,77.00,77.00,10000.00
