DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,21.40,ANV,21.90,21.90,21.40,318460.00
10/01/2020,22.00,ANV,22.10,22.10,21.60,311700.00
09/01/2020,22.10,ANV,22.10,22.30,21.90,255400.00
08/01/2020,22.10,ANV,22.50,22.55,22.10,174610.00
07/01/2020,22.70,ANV,22.70,22.90,22.35,279090.00
06/01/2020,22.70,ANV,22.70,22.90,22.45,187800.00
03/01/2020,22.90,ANV,22.90,23.00,22.35,394490.00
02/01/2020,22.90,ANV,22.90,22.90,22.70,177330.00
31/12/2019,22.90,ANV,22.80,22.95,22.50,229930.00
30/12/2019,22.80,ANV,22.30,22.95,22.30,285790.00
27/12/2019,22.20,ANV,22.00,22.20,21.80,165830.00
26/12/2019,22.00,ANV,21.80,22.00,21.70,151670.00
25/12/2019,21.80,ANV,21.50,21.90,21.40,162940.00
24/12/2019,21.50,ANV,21.90,21.90,21.30,217000.00
23/12/2019,21.90,ANV,22.10,22.15,21.85,186170.00
20/12/2019,22.10,ANV,22.00,22.40,22.00,182860.00
19/12/2019,22.00,ANV,22.40,22.40,22.00,184540.00
18/12/2019,22.40,ANV,22.40,22.50,22.20,155610.00
17/12/2019,22.40,ANV,22.20,22.65,22.10,238560.00
16/12/2019,22.20,ANV,23.20,23.20,22.20,282750.00
13/12/2019,23.00,ANV,23.30,23.85,22.95,326200.00
12/12/2019,22.95,ANV,21.60,22.95,21.60,349710.00
11/12/2019,21.45,ANV,21.40,21.60,21.40,167760.00
10/12/2019,21.65,ANV,22.00,22.00,21.60,177390.00
09/12/2019,22.00,ANV,22.40,22.50,21.95,283810.00
06/12/2019,22.40,ANV,22.35,22.60,22.10,226070.00
05/12/2019,22.35,ANV,22.40,22.50,21.25,441130.00
04/12/2019,22.35,ANV,23.90,24.10,22.25,740560.00
03/12/2019,23.85,ANV,24.45,24.60,23.85,252070.00
02/12/2019,24.45,ANV,24.60,24.90,24.45,202010.00
29/11/2019,24.60,ANV,24.70,24.80,24.55,184690.00
28/11/2019,24.70,ANV,24.80,24.90,24.60,168960.00
27/11/2019,24.85,ANV,25.00,25.05,24.65,259680.00
26/11/2019,25.00,ANV,24.60,25.00,24.60,245770.00
25/11/2019,24.50,ANV,24.90,25.00,24.50,318880.00
22/11/2019,24.90,ANV,25.40,25.50,24.90,324140.00
21/11/2019,25.40,ANV,25.40,25.75,25.30,260840.00
20/11/2019,25.40,ANV,25.80,25.80,25.40,266790.00
19/11/2019,25.80,ANV,25.40,25.90,25.30,330370.00
18/11/2019,25.45,ANV,25.40,25.65,25.40,266260.00
15/11/2019,25.40,ANV,25.50,25.55,25.35,293090.00
14/11/2019,25.40,ANV,25.25,25.65,25.25,246640.00
