DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,28.40,AVC,28.40,28.40,28.40,0.00
10/01/2020,28.40,AVC,28.40,28.40,28.40,0.00
09/01/2020,28.40,AVC,28.40,28.40,28.40,0.00
08/01/2020,28.40,AVC,28.40,28.40,28.40,0.00
07/01/2020,28.40,AVC,28.40,28.40,28.40,100.00
06/01/2020,26.20,AVC,26.20,26.20,26.20,1.00
03/01/2020,26.30,AVC,26.20,26.30,26.20,2699.00
02/01/2020,26.20,AVC,26.20,26.20,26.20,100.00
31/12/2019,26.30,AVC,26.00,26.30,26.00,1700.00
30/12/2019,26.20,AVC,26.20,26.20,26.20,300.00
27/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
26/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
25/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
24/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
23/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
20/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
19/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
18/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
17/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
16/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
13/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
12/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
11/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
10/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
09/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
06/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
05/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
04/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
03/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
02/12/2019,30.00,AVC,30.00,30.00,30.00,0.00
29/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
28/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
27/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
26/11/2019,30.00,AVC,30.00,30.00,30.00,300.00
25/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
22/11/2019,30.00,AVC,30.00,30.00,30.00,100.00
21/11/2019,29.90,AVC,29.90,29.90,29.90,0.00
20/11/2019,29.80,AVC,30.00,30.00,29.80,500.00
19/11/2019,30.00,AVC,30.00,30.00,30.00,200.00
18/11/2019,29.90,AVC,29.90,29.90,29.90,0.00
15/11/2019,29.90,AVC,29.90,29.90,29.90,0.00
14/11/2019,29.90,AVC,29.90,29.90,29.90,200.00
13/11/2019,29.70,AVC,29.70,29.70,29.70,0.00
12/11/2019,29.70,AVC,29.70,29.70,29.70,100.00
11/11/2019,29.80,AVC,30.00,30.00,29.80,700.00
08/11/2019,30.00,AVC,30.00,30.00,30.00,1000.00
07/11/2019,30.00,AVC,30.00,30.00,30.00,55.00
06/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
05/11/2019,30.00,AVC,30.00,30.00,30.00,0.00
04/11/2019,30.00,AVC,30.00,30.00,30.00,100.00
01/11/2019,30.20,AVC,30.20,30.20,30.20,0.00
31/10/2019,30.20,AVC,30.20,30.20,30.20,0.00
30/10/2019,30.20,AVC,30.20,30.20,30.20,1300.00
29/10/2019,30.00,AVC,30.00,30.00,30.00,0.00
28/10/2019,30.00,AVC,30.00,30.00,30.00,400.00
25/10/2019,29.90,AVC,29.90,29.90,29.90,0.00
24/10/2019,30.00,AVC,29.60,30.00,29.60,300.00
23/10/2019,29.60,AVC,29.60,29.60,29.60,1200.00
22/10/2019,30.00,AVC,29.00,30.00,29.00,2800.00
21/10/2019,28.00,AVC,28.00,28.00,28.00,0.00
18/10/2019,28.00,AVC,28.00,28.00,28.00,0.00
17/10/2019,28.00,AVC,28.00,28.00,28.00,0.00
16/10/2019,28.00,AVC,28.00,28.00,28.00,200.00
15/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
14/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
11/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
10/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
09/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
08/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
07/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
04/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
03/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
02/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
01/10/2019,31.00,AVC,31.00,31.00,31.00,0.00
30/09/2019,31.00,AVC,31.00,31.00,31.00,100.00
27/09/2019,28.70,AVC,28.70,28.70,28.70,100.00
26/09/2019,29.00,AVC,29.00,29.00,29.00,200.00
25/09/2019,30.00,AVC,30.00,30.00,30.00,100.00
24/09/2019,30.00,AVC,30.00,30.00,30.00,0.00
23/09/2019,30.00,AVC,30.00,30.00,30.00,0.00
20/09/2019,30.00,AVC,30.00,30.00,30.00,0.00
19/09/2019,30.00,AVC,30.00,30.00,30.00,0.00
18/09/2019,30.00,AVC,30.00,30.00,30.00,100.00
17/09/2019,27.50,AVC,27.50,27.50,27.50,0.00
16/09/2019,27.50,AVC,27.50,27.50,27.50,100.00
13/09/2019,28.50,AVC,28.50,28.50,28.50,100.00
12/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
11/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
10/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
09/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
06/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
05/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
04/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
03/09/2019,30.80,AVC,30.80,30.80,30.80,0.00
30/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
29/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
28/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
27/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
26/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
23/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
22/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
21/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
20/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
19/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
16/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
15/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
14/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
13/08/2019,30.80,AVC,30.80,30.80,30.80,0.00
12/08/2019,30.80,AVC,30.80,30.80,30.80,500.00
