DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,18.10,BAB,18.10,18.10,18.10,2900.00
10/01/2020,18.10,BAB,18.10,18.10,18.10,3200.00
09/01/2020,18.10,BAB,18.10,18.10,18.10,3400.00
08/01/2020,18.00,BAB,18.00,18.00,18.00,3100.00
07/01/2020,18.00,BAB,18.00,18.00,18.00,2900.00
06/01/2020,18.00,BAB,18.00,18.00,18.00,2800.00
03/01/2020,18.10,BAB,18.10,18.10,18.10,4700.00
02/01/2020,18.10,BAB,18.10,18.10,18.10,3100.00
31/12/2019,18.10,BAB,18.10,18.10,18.10,3600.00
30/12/2019,18.00,BAB,18.00,18.00,18.00,2800.00
27/12/2019,18.00,BAB,18.00,18.00,18.00,3400.00
26/12/2019,18.00,BAB,18.00,18.00,18.00,3100.00
25/12/2019,18.00,BAB,18.00,18.00,18.00,2900.00
24/12/2019,18.00,BAB,18.00,18.00,18.00,2700.00
23/12/2019,18.10,BAB,18.10,18.10,18.10,2500.00
20/12/2019,18.10,BAB,18.10,18.10,18.10,3600.00
19/12/2019,18.10,BAB,18.10,18.10,18.10,3200.00
18/12/2019,18.10,BAB,18.10,18.10,18.10,2700.00
17/12/2019,18.10,BAB,18.10,18.10,18.10,2900.00
16/12/2019,18.10,BAB,18.10,18.10,18.10,2600.00
13/12/2019,18.10,BAB,18.10,18.10,18.10,3600.00
12/12/2019,18.00,BAB,18.00,18.00,18.00,3100.00
11/12/2019,18.00,BAB,18.00,18.00,18.00,2900.00
10/12/2019,18.10,BAB,18.10,18.10,18.10,2800.00
09/12/2019,18.10,BAB,18.10,18.10,18.10,2800.00
06/12/2019,18.00,BAB,18.00,18.00,18.00,3700.00
05/12/2019,18.00,BAB,18.00,18.00,18.00,3200.00
04/12/2019,18.00,BAB,18.00,18.00,18.00,2800.00
03/12/2019,18.00,BAB,18.00,18.00,18.00,3100.00
02/12/2019,18.00,BAB,18.00,18.00,18.00,2700.00
29/11/2019,18.00,BAB,18.00,18.00,18.00,4100.00
28/11/2019,18.00,BAB,18.00,18.00,18.00,3500.00
27/11/2019,18.10,BAB,18.10,18.10,18.10,3600.00
26/11/2019,18.10,BAB,18.10,18.10,18.10,3300.00
25/11/2019,18.10,BAB,18.10,18.10,18.10,2900.00
22/11/2019,18.10,BAB,18.10,18.10,18.10,3800.00
21/11/2019,18.00,BAB,18.00,18.00,18.00,3400.00
20/11/2019,18.10,BAB,18.10,18.10,18.10,3200.00
19/11/2019,18.10,BAB,18.10,18.10,18.10,3100.00
18/11/2019,18.20,BAB,18.20,18.20,18.20,2800.00
15/11/2019,18.20,BAB,18.20,18.20,18.20,3600.00
14/11/2019,18.20,BAB,18.20,18.20,18.20,3200.00
13/11/2019,18.10,BAB,18.10,18.10,18.10,2900.00
12/11/2019,18.10,BAB,18.10,18.10,18.10,3300.00
11/11/2019,18.10,BAB,18.10,18.10,18.10,2900.00
08/11/2019,18.20,BAB,18.20,18.20,18.20,3200.00
07/11/2019,18.20,BAB,18.20,18.20,18.20,3500.00
06/11/2019,18.20,BAB,18.20,18.20,18.20,3100.00
05/11/2019,18.20,BAB,18.20,18.20,18.20,3400.00
04/11/2019,18.20,BAB,18.20,18.20,18.20,3300.00
01/11/2019,18.00,BAB,18.10,18.10,18.00,9600.00
31/10/2019,18.10,BAB,18.10,18.10,18.10,2400.00
30/10/2019,18.10,BAB,18.10,18.10,18.10,8100.00
29/10/2019,18.10,BAB,18.10,18.10,18.10,3400.00
28/10/2019,18.20,BAB,18.20,18.20,18.20,3400.00
25/10/2019,18.20,BAB,18.20,18.20,18.20,4300.00
24/10/2019,18.20,BAB,18.20,18.20,18.20,3200.00
23/10/2019,18.30,BAB,18.30,18.30,18.30,3700.00
22/10/2019,18.20,BAB,18.20,18.20,18.20,2400.00
21/10/2019,18.20,BAB,18.20,18.20,18.20,3100.00
18/10/2019,18.20,BAB,18.20,18.20,18.20,4300.00
17/10/2019,18.10,BAB,18.10,18.10,18.10,3700.00
16/10/2019,18.10,BAB,18.10,18.10,18.10,3500.00
15/10/2019,18.10,BAB,18.10,18.10,18.10,3400.00
14/10/2019,18.20,BAB,18.20,18.20,18.20,3200.00
11/10/2019,18.30,BAB,18.30,18.30,18.30,4100.00
10/10/2019,18.00,BAB,18.00,18.00,18.00,3100.00
09/10/2019,18.00,BAB,18.00,18.00,18.00,3600.00
08/10/2019,18.10,BAB,18.10,18.10,18.10,3400.00
07/10/2019,18.10,BAB,18.10,18.10,18.10,3200.00
04/10/2019,18.10,BAB,18.10,18.10,18.10,5100.00
03/10/2019,18.00,BAB,18.00,18.00,18.00,3500.00
02/10/2019,18.00,BAB,18.00,18.00,18.00,3600.00
01/10/2019,18.00,BAB,18.00,18.00,18.00,3200.00
30/09/2019,18.00,BAB,18.00,18.00,18.00,4300.00
27/09/2019,17.90,BAB,17.90,17.90,17.90,5406.00
26/09/2019,17.80,BAB,17.80,17.80,17.80,3600.00
25/09/2019,20.90,BAB,20.90,20.90,20.90,3800.00
24/09/2019,20.80,BAB,20.80,20.80,20.80,3400.00
23/09/2019,20.80,BAB,20.80,20.80,20.80,3900.00
20/09/2019,20.80,BAB,20.80,20.80,20.80,5600.00
19/09/2019,20.70,BAB,20.70,20.70,20.70,4604.00
18/09/2019,20.70,BAB,20.70,20.70,20.70,4200.00
17/09/2019,20.70,BAB,20.70,20.70,20.70,3700.00
16/09/2019,20.70,BAB,20.70,20.70,20.70,3700.00
13/09/2019,20.60,BAB,20.60,20.60,20.60,5700.00
12/09/2019,20.50,BAB,20.50,20.50,20.50,3400.00
11/09/2019,20.50,BAB,20.50,20.50,20.50,4200.00
10/09/2019,20.60,BAB,20.60,20.60,20.60,4900.00
09/09/2019,20.60,BAB,20.60,20.60,20.60,4700.00
06/09/2019,20.60,BAB,20.60,20.60,20.60,5200.00
05/09/2019,20.60,BAB,20.60,20.60,20.60,3600.00
04/09/2019,20.60,BAB,20.60,20.60,20.60,4300.00
03/09/2019,20.60,BAB,20.60,20.60,20.60,3400.00
30/08/2019,20.70,BAB,20.70,20.70,20.70,6100.00
29/08/2019,20.60,BAB,20.60,20.60,20.60,4811.00
28/08/2019,20.60,BAB,20.60,20.60,20.60,5400.00
27/08/2019,20.60,BAB,20.60,20.60,20.60,5200.00
26/08/2019,20.50,BAB,20.50,20.50,20.50,4700.00
23/08/2019,20.60,BAB,20.60,20.60,20.60,5600.00
22/08/2019,20.60,BAB,20.60,20.60,20.60,5300.00
21/08/2019,20.50,BAB,20.50,20.50,20.50,4600.00
20/08/2019,20.50,BAB,20.50,20.50,20.50,3200.00
19/08/2019,20.50,BAB,20.50,20.50,20.50,4917.00
16/08/2019,20.50,BAB,20.50,20.50,20.50,5200.00
15/08/2019,20.50,BAB,20.50,20.50,20.50,4100.00
14/08/2019,20.50,BAB,20.50,20.50,20.50,4900.00
13/08/2019,20.40,BAB,20.40,20.40,20.40,5100.00
12/08/2019,20.50,BAB,20.50,20.50,20.50,5300.00
09/08/2019,20.50,BAB,20.50,20.50,20.50,5200.00
08/08/2019,20.40,BAB,20.40,20.40,20.40,4600.00
07/08/2019,20.40,BAB,20.40,20.40,20.40,4300.00
06/08/2019,20.40,BAB,20.40,20.40,20.40,5600.00
05/08/2019,20.40,BAB,20.40,20.40,20.40,5200.00
02/08/2019,20.40,BAB,20.40,20.40,20.40,5400.00
01/08/2019,20.50,BAB,20.50,20.50,20.50,5300.00
31/07/2019,20.50,BAB,20.50,20.50,20.50,5100.00
30/07/2019,20.50,BAB,20.50,20.50,20.50,4800.00
29/07/2019,20.50,BAB,20.50,20.50,20.50,4900.00
26/07/2019,20.50,BAB,20.50,20.50,20.50,5600.00
25/07/2019,20.50,BAB,20.50,20.50,20.50,4900.00
24/07/2019,20.50,BAB,20.50,20.50,20.50,5200.00
23/07/2019,20.60,BAB,20.60,20.60,20.60,5200.00
22/07/2019,20.60,BAB,20.70,20.70,20.60,4900.00
19/07/2019,20.70,BAB,20.70,20.70,20.70,6100.00
18/07/2019,20.70,BAB,20.70,20.70,20.70,5400.00
17/07/2019,20.70,BAB,20.70,20.70,20.70,5100.00
16/07/2019,20.60,BAB,20.60,20.60,20.60,5700.00
15/07/2019,20.60,BAB,20.60,20.60,20.60,5400.00
12/07/2019,20.60,BAB,20.60,20.60,20.60,6100.00
11/07/2019,20.60,BAB,20.60,20.60,20.60,5300.00
10/07/2019,20.50,BAB,20.50,20.50,20.50,5200.00
09/07/2019,20.50,BAB,20.50,20.50,20.50,5100.00
08/07/2019,20.50,BAB,20.50,20.50,20.50,5400.00
05/07/2019,20.50,BAB,20.50,20.50,20.50,5100.00
04/07/2019,20.50,BAB,20.50,20.50,20.50,4900.00
03/07/2019,20.50,BAB,20.50,20.50,20.50,5300.00
02/07/2019,20.60,BAB,20.60,20.60,20.60,5600.00
01/07/2019,20.50,BAB,20.50,20.50,20.50,5700.00
28/06/2019,20.50,BAB,20.50,20.50,20.50,5400.00
27/06/2019,20.50,BAB,20.50,20.50,20.50,5200.00
26/06/2019,20.50,BAB,20.50,20.50,20.50,6100.00
25/06/2019,20.40,BAB,20.40,20.40,20.40,5400.00
24/06/2019,20.40,BAB,20.40,20.40,20.40,4800.00
21/06/2019,20.50,BAB,20.50,20.50,20.50,5800.00
20/06/2019,20.50,BAB,20.50,20.50,20.50,5700.00
19/06/2019,20.50,BAB,20.50,20.50,20.50,5400.00
18/06/2019,20.50,BAB,20.50,20.50,20.50,4800.00
17/06/2019,20.40,BAB,20.40,20.40,20.40,5200.00
14/06/2019,20.50,BAB,20.50,20.50,20.50,5300.00
13/06/2019,20.40,BAB,20.40,20.40,20.40,5700.00
12/06/2019,20.40,BAB,20.40,20.40,20.40,4800.00
11/06/2019,20.50,BAB,20.50,20.50,20.50,5600.00
10/06/2019,20.50,BAB,20.50,20.50,20.50,6100.00
07/06/2019,20.60,BAB,20.60,20.60,20.60,5400.00
06/06/2019,20.50,BAB,20.50,20.50,20.50,5300.00
05/06/2019,20.50,BAB,20.50,20.50,20.50,5200.00
04/06/2019,20.50,BAB,20.50,20.50,20.50,4900.00
03/06/2019,20.40,BAB,20.40,20.40,20.40,5800.00
31/05/2019,20.50,BAB,20.50,20.50,20.50,5600.00
30/05/2019,20.40,BAB,20.40,20.40,20.40,5100.00
29/05/2019,20.50,BAB,20.50,20.50,20.50,4700.00
28/05/2019,20.60,BAB,20.60,20.60,20.60,5200.00
27/05/2019,20.50,BAB,20.50,20.50,20.50,4700.00
24/05/2019,20.50,BAB,20.50,20.50,20.50,4300.00
23/05/2019,20.40,BAB,20.40,20.40,20.40,3800.00
22/05/2019,20.50,BAB,20.50,20.50,20.50,3400.00
21/05/2019,20.60,BAB,20.60,20.60,20.60,4100.00
20/05/2019,20.60,BAB,20.60,20.60,20.60,5400.00
17/05/2019,20.50,BAB,20.50,20.50,20.50,6200.00
16/05/2019,20.50,BAB,20.50,20.50,20.50,4700.00
15/05/2019,20.50,BAB,20.50,20.50,20.50,5800.00
14/05/2019,20.40,BAB,20.40,20.40,20.40,5100.00
13/05/2019,20.50,BAB,20.50,20.50,20.50,4800.00
10/05/2019,20.50,BAB,20.30,20.50,20.30,5100.00
09/05/2019,20.50,BAB,20.60,20.60,20.50,4900.00
08/05/2019,20.50,BAB,20.50,20.50,20.50,5300.00
07/05/2019,20.60,BAB,20.60,20.60,20.60,4900.00
06/05/2019,20.50,BAB,20.50,20.50,20.50,6100.00
03/05/2019,20.50,BAB,20.50,20.50,20.50,5400.00
02/05/2019,20.50,BAB,20.50,20.50,20.50,5900.00
26/04/2019,20.40,BAB,20.40,20.40,20.40,5100.00
25/04/2019,20.60,BAB,20.60,20.60,20.60,5700.00
24/04/2019,20.60,BAB,20.60,20.60,20.60,6400.00
23/04/2019,20.50,BAB,20.50,20.50,20.50,5300.00
22/04/2019,20.60,BAB,20.60,20.60,20.60,6200.00
19/04/2019,20.60,BAB,20.60,20.60,20.60,7400.00
18/04/2019,20.60,BAB,20.60,20.60,20.60,5700.00
17/04/2019,20.70,BAB,20.70,20.70,20.70,6100.00
16/04/2019,20.70,BAB,20.70,20.70,20.70,5600.00
12/04/2019,20.80,BAB,20.80,20.80,20.80,5200.00
11/04/2019,20.70,BAB,20.70,20.70,20.70,6100.00
10/04/2019,20.70,BAB,20.70,20.70,20.70,5700.00
09/04/2019,20.80,BAB,20.80,20.80,20.80,6200.00
08/04/2019,20.80,BAB,20.80,20.80,20.80,5400.00
05/04/2019,20.70,BAB,20.70,20.70,20.70,5600.00
04/04/2019,20.70,BAB,20.70,20.70,20.70,6200.00
03/04/2019,20.70,BAB,20.70,20.70,20.70,5100.00
02/04/2019,20.80,BAB,20.80,20.80,20.80,5400.00
01/04/2019,20.90,BAB,20.90,20.90,20.90,4800.00
29/03/2019,20.90,BAB,20.90,20.90,20.90,6000.00
28/03/2019,21.00,BAB,20.80,21.00,20.80,5000.00
27/03/2019,20.80,BAB,20.80,20.80,20.80,6100.00
26/03/2019,20.80,BAB,20.80,20.80,20.80,5700.00
25/03/2019,20.90,BAB,20.90,20.90,20.90,5800.00
22/03/2019,21.00,BAB,21.00,21.00,21.00,6900.00
21/03/2019,21.00,BAB,21.00,21.00,21.00,4800.00
20/03/2019,21.00,BAB,21.00,21.00,21.00,6400.00
19/03/2019,21.00,BAB,21.00,21.00,21.00,5100.00
18/03/2019,21.10,BAB,21.10,21.10,21.10,1500.00
15/03/2019,21.10,BAB,21.10,21.10,21.10,1500.00
14/03/2019,21.00,BAB,21.00,21.00,21.00,6300.00
13/03/2019,20.90,BAB,20.90,20.90,20.90,6700.00
12/03/2019,20.90,BAB,20.90,20.90,20.90,3100.00
11/03/2019,20.80,BAB,20.60,20.80,20.60,5400.00
08/03/2019,20.60,BAB,20.60,20.60,20.60,6200.00
07/03/2019,20.70,BAB,20.70,20.70,20.70,5700.00
06/03/2019,20.60,BAB,20.60,20.60,20.60,5200.00
05/03/2019,20.60,BAB,20.60,20.60,20.60,6100.00
04/03/2019,20.70,BAB,20.70,20.70,20.70,5600.00
01/03/2019,20.60,BAB,20.60,20.60,20.60,6500.00
28/02/2019,20.60,BAB,20.60,20.60,20.60,5900.00
27/02/2019,20.60,BAB,20.60,20.60,20.60,5200.00
26/02/2019,20.60,BAB,20.60,20.60,20.60,6700.00
25/02/2019,20.70,BAB,20.70,20.70,20.70,5100.00
22/02/2019,20.60,BAB,20.60,20.60,20.60,6100.00
21/02/2019,20.60,BAB,20.60,20.60,20.60,6300.00
20/02/2019,20.70,BAB,20.70,20.70,20.70,5600.00
19/02/2019,20.70,BAB,20.70,20.70,20.70,5300.00
18/02/2019,20.60,BAB,20.60,20.60,20.60,5700.00
15/02/2019,20.60,BAB,20.60,20.60,20.60,6100.00
14/02/2019,20.70,BAB,20.70,20.70,20.70,5700.00
13/02/2019,20.80,BAB,20.80,20.80,20.80,6400.00
12/02/2019,20.80,BAB,20.80,20.80,20.80,6400.00
11/02/2019,20.70,BAB,20.70,20.70,20.70,4800.00
01/02/2019,20.70,BAB,20.70,20.70,20.70,4100.00
31/01/2019,20.70,BAB,20.70,20.70,20.70,5700.00
30/01/2019,20.70,BAB,20.70,20.70,20.70,5600.00
29/01/2019,20.60,BAB,20.60,20.60,20.60,4100.00
28/01/2019,20.50,BAB,20.50,20.50,20.50,6700.00
25/01/2019,20.50,BAB,20.50,20.50,20.50,5200.00
24/01/2019,20.50,BAB,20.50,20.50,20.50,6400.00
23/01/2019,20.50,BAB,20.50,20.50,20.50,6400.00
22/01/2019,20.50,BAB,20.40,20.50,20.40,6800.00
21/01/2019,20.40,BAB,20.40,20.40,20.40,6700.00
18/01/2019,20.40,BAB,20.40,20.40,20.40,7200.00
17/01/2019,20.30,BAB,20.30,20.30,20.30,6700.00
16/01/2019,20.40,BAB,20.40,20.40,20.40,6300.00
15/01/2019,20.50,BAB,20.50,20.50,20.50,5800.00
14/01/2019,20.40,BAB,20.40,20.40,20.40,6600.00
11/01/2019,20.50,BAB,20.50,20.50,20.50,6100.00
10/01/2019,20.50,BAB,20.50,20.50,20.50,7300.00
09/01/2019,20.50,BAB,20.50,20.50,20.50,6200.00
08/01/2019,20.50,BAB,20.50,20.50,20.50,5800.00
07/01/2019,20.50,BAB,20.50,20.50,20.50,11800.00
04/01/2019,20.40,BAB,20.40,20.40,20.40,7300.00
03/01/2019,20.50,BAB,20.50,20.50,20.50,7400.00
02/01/2019,20.60,BAB,20.60,20.60,20.60,6800.00
28/12/2018,20.50,BAB,20.50,20.50,20.50,8200.00
27/12/2018,20.50,BAB,20.50,20.50,20.50,7400.00
26/12/2018,20.40,BAB,20.40,20.40,20.40,6800.00
25/12/2018,20.30,BAB,20.30,20.30,20.30,7100.00
24/12/2018,20.50,BAB,20.50,20.50,20.50,6300.00
21/12/2018,20.50,BAB,20.50,20.50,20.50,7400.00
20/12/2018,20.50,BAB,20.50,20.50,20.50,6900.00
19/12/2018,20.50,BAB,20.50,20.50,20.50,7300.00
18/12/2018,20.40,BAB,20.40,20.40,20.40,7100.00
17/12/2018,20.40,BAB,20.40,20.40,20.40,7200.00
14/12/2018,20.50,BAB,20.50,20.50,20.50,8300.00
13/12/2018,20.50,BAB,20.50,20.50,20.50,6700.00
12/12/2018,20.50,BAB,20.50,20.50,20.50,7400.00
11/12/2018,20.40,BAB,20.40,20.40,20.40,6200.00
10/12/2018,20.40,BAB,20.40,20.40,20.40,7300.00
07/12/2018,20.50,BAB,20.50,20.50,20.50,6800.00
06/12/2018,20.40,BAB,20.40,20.40,20.40,6100.00
05/12/2018,20.40,BAB,20.40,20.40,20.40,5900.00
04/12/2018,20.50,BAB,20.50,20.50,20.50,4000.00
03/12/2018,20.50,BAB,20.50,20.50,20.50,6400.00
30/11/2018,20.40,BAB,20.40,20.40,20.40,8100.00
29/11/2018,20.50,BAB,20.50,20.50,20.50,3100.00
28/11/2018,20.50,BAB,20.50,20.50,20.50,5200.00
27/11/2018,20.50,BAB,20.50,20.50,20.50,4100.00
26/11/2018,20.50,BAB,20.50,20.50,20.50,11200.00
23/11/2018,20.50,BAB,20.50,20.50,20.50,7100.00
22/11/2018,20.50,BAB,20.50,20.50,20.50,7300.00
21/11/2018,20.40,BAB,20.40,20.40,20.40,6700.00
20/11/2018,20.40,BAB,20.40,20.40,20.40,7200.00
19/11/2018,20.40,BAB,20.40,20.40,20.40,5900.00
16/11/2018,20.50,BAB,20.50,20.50,20.50,6400.00
15/11/2018,20.50,BAB,20.50,20.50,20.50,6100.00
14/11/2018,20.50,BAB,20.50,20.50,20.50,6700.00
13/11/2018,20.40,BAB,20.40,20.40,20.40,6300.00
12/11/2018,20.50,BAB,20.50,20.50,20.50,6100.00
09/11/2018,20.60,BAB,20.60,20.60,20.60,5300.00
08/11/2018,20.50,BAB,20.50,20.50,20.50,4600.00
07/11/2018,20.60,BAB,20.60,20.60,20.60,5600.00
06/11/2018,20.50,BAB,20.50,20.50,20.50,4800.00
05/11/2018,20.40,BAB,20.40,20.40,20.40,5900.00
02/11/2018,20.40,BAB,20.40,20.40,20.40,7800.00
01/11/2018,20.40,BAB,20.40,20.40,20.40,7500.00
31/10/2018,20.40,BAB,20.40,20.40,20.40,7600.00
30/10/2018,20.50,BAB,20.50,20.50,20.50,11700.00
29/10/2018,20.40,BAB,20.40,20.40,20.40,8100.00
26/10/2018,20.60,BAB,20.60,20.60,20.60,12000.00
25/10/2018,20.50,BAB,20.50,20.50,20.50,6800.00
24/10/2018,20.60,BAB,20.60,20.60,20.60,4400.00
23/10/2018,20.60,BAB,20.60,20.60,20.60,11400.00
22/10/2018,20.70,BAB,20.70,20.70,20.70,12600.00
19/10/2018,20.50,BAB,20.50,20.50,20.50,12100.00
18/10/2018,20.50,BAB,20.50,20.50,20.50,12600.00
17/10/2018,20.60,BAB,20.60,20.60,20.60,14900.00
16/10/2018,20.60,BAB,20.60,20.60,20.60,13000.00
15/10/2018,20.50,BAB,20.50,20.50,20.50,6800.00
12/10/2018,20.40,BAB,20.40,20.40,20.40,14300.00
11/10/2018,20.50,BAB,20.50,20.50,20.50,6900.00
10/10/2018,20.60,BAB,20.60,20.60,20.60,13500.00
09/10/2018,20.50,BAB,20.50,20.50,20.50,12700.00
08/10/2018,20.50,BAB,20.50,20.50,20.50,8600.00
05/10/2018,20.60,BAB,20.60,20.60,20.60,10900.00
04/10/2018,20.60,BAB,20.60,20.60,20.60,11200.00
03/10/2018,20.60,BAB,20.60,20.60,20.60,11700.00
02/10/2018,20.60,BAB,20.60,20.60,20.60,10900.00
01/10/2018,20.60,BAB,20.60,20.60,20.60,7200.00
28/09/2018,20.50,BAB,20.50,20.50,20.50,11100.00
27/09/2018,20.50,BAB,20.50,20.50,20.50,12300.00
26/09/2018,20.50,BAB,20.50,20.50,20.50,13900.00
25/09/2018,20.60,BAB,20.60,20.60,20.60,7400.00
24/09/2018,20.60,BAB,20.60,20.60,20.60,12100.00
21/09/2018,20.60,BAB,20.60,20.60,20.60,6300.00
20/09/2018,20.40,BAB,20.50,20.50,20.40,12700.00
19/09/2018,20.60,BAB,20.60,20.60,20.60,11900.00
18/09/2018,20.60,BAB,20.60,20.60,20.60,11200.00
17/09/2018,20.60,BAB,20.60,20.60,20.60,13600.00
14/09/2018,20.60,BAB,20.60,20.60,20.60,5800.00
13/09/2018,20.70,BAB,20.40,20.70,20.40,16700.00
12/09/2018,20.50,BAB,20.50,20.50,20.50,12900.00
11/09/2018,20.50,BAB,20.50,20.50,20.50,13800.00
10/09/2018,20.60,BAB,20.60,20.60,20.60,11600.00
07/09/2018,20.50,BAB,20.50,20.50,20.50,5900.00
06/09/2018,20.50,BAB,20.50,20.50,20.50,14700.00
05/09/2018,20.50,BAB,20.50,20.50,20.50,7300.00
04/09/2018,20.50,BAB,20.50,20.50,20.50,9600.00
31/08/2018,20.50,BAB,20.50,20.50,20.50,13800.00
30/08/2018,20.50,BAB,20.50,20.50,20.50,14200.00
29/08/2018,20.60,BAB,20.60,20.60,20.60,10900.00
28/08/2018,20.50,BAB,20.50,20.50,20.50,16600.00
27/08/2018,20.40,BAB,20.40,20.40,20.40,16300.00
24/08/2018,20.50,BAB,20.50,20.50,20.50,9200.00
23/08/2018,20.40,BAB,20.40,20.40,20.40,16100.00
22/08/2018,20.50,BAB,20.50,20.50,20.50,11400.00
21/08/2018,20.40,BAB,20.50,20.50,20.40,13700.00
