DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,56.60,BBC,59.80,59.80,56.60,670.00
10/01/2020,58.20,BBC,57.80,58.20,57.80,80.00
09/01/2020,59.40,BBC,59.40,59.40,59.40,20.00
08/01/2020,59.40,BBC,59.40,59.40,59.40,0.00
07/01/2020,59.40,BBC,58.00,59.40,58.00,110.00
06/01/2020,59.30,BBC,58.70,59.30,58.70,190.00
03/01/2020,58.40,BBC,58.40,58.40,58.40,0.00
02/01/2020,58.40,BBC,58.20,58.40,57.80,1000.00
31/12/2019,58.20,BBC,59.80,59.90,58.20,510.00
30/12/2019,58.50,BBC,61.00,61.00,58.50,390.00
27/12/2019,61.50,BBC,61.50,61.50,61.50,70.00
26/12/2019,59.00,BBC,60.00,61.00,59.00,520.00
25/12/2019,60.00,BBC,57.10,60.00,57.00,1050.00
24/12/2019,61.00,BBC,59.50,61.00,59.50,30.00
23/12/2019,61.80,BBC,60.50,62.40,59.00,250.00
20/12/2019,62.50,BBC,61.00,62.50,61.00,30.00
19/12/2019,60.00,BBC,62.70,60.10,60.00,560.00
18/12/2019,62.70,BBC,62.50,63.60,60.50,310.00
17/12/2019,62.50,BBC,62.50,62.50,62.50,20.00
16/12/2019,61.00,BBC,61.00,61.00,61.00,0.00
13/12/2019,61.00,BBC,60.90,61.00,60.90,440.00
12/12/2019,60.80,BBC,63.40,63.40,60.50,190.00
11/12/2019,60.50,BBC,62.80,62.80,60.50,50.00
10/12/2019,60.10,BBC,63.00,64.00,60.10,30.00
09/12/2019,62.50,BBC,62.50,62.50,61.00,190.00
06/12/2019,61.00,BBC,61.00,61.00,61.00,160.00
05/12/2019,62.30,BBC,59.40,62.30,59.40,30.00
04/12/2019,62.40,BBC,62.40,62.40,62.40,0.00
03/12/2019,62.40,BBC,62.40,62.40,62.40,0.00
02/12/2019,62.40,BBC,56.60,62.40,56.60,30.00
29/11/2019,60.50,BBC,61.40,60.50,60.50,60.00
28/11/2019,61.40,BBC,61.40,61.40,61.40,0.00
27/11/2019,61.40,BBC,61.50,61.50,61.40,30.00
26/11/2019,61.60,BBC,61.60,61.60,61.60,20.00
25/11/2019,61.40,BBC,61.40,61.40,61.40,0.00
22/11/2019,61.40,BBC,59.00,61.40,59.00,170.00
21/11/2019,61.40,BBC,61.40,61.40,61.40,0.00
20/11/2019,61.40,BBC,61.40,61.40,61.40,10.00
19/11/2019,60.30,BBC,60.80,60.80,58.20,510.00
18/11/2019,62.40,BBC,62.40,62.40,62.40,0.00
15/11/2019,62.40,BBC,62.40,62.40,62.40,0.00
14/11/2019,62.40,BBC,62.40,62.40,62.40,0.00
13/11/2019,62.40,BBC,60.20,62.40,60.10,60.00
12/11/2019,63.30,BBC,63.30,63.30,63.30,0.00
