DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,12.50,BDT,12.50,12.50,12.50,0.00
10/01/2020,12.50,BDT,12.50,12.50,12.50,0.00
09/01/2020,12.50,BDT,12.50,12.50,12.50,0.00
08/01/2020,12.50,BDT,12.60,12.60,12.50,8000.00
07/01/2020,12.80,BDT,12.80,13.50,12.80,3000.00
06/01/2020,12.50,BDT,12.50,12.50,12.50,0.00
03/01/2020,12.50,BDT,12.40,12.50,12.40,5100.00
02/01/2020,12.50,BDT,12.50,12.50,12.50,500.00
31/12/2019,12.50,BDT,12.50,12.50,12.50,3500.00
30/12/2019,12.60,BDT,12.60,12.60,12.60,0.00
27/12/2019,12.60,BDT,12.60,12.60,12.60,0.00
26/12/2019,12.60,BDT,12.60,12.60,12.60,1800.00
25/12/2019,12.60,BDT,12.50,12.60,12.50,6000.00
24/12/2019,12.60,BDT,12.60,12.60,12.60,5800.00
23/12/2019,12.70,BDT,12.70,12.70,12.70,5400.00
20/12/2019,13.00,BDT,13.00,13.00,13.00,200.00
19/12/2019,12.90,BDT,12.90,12.90,12.90,0.00
18/12/2019,12.90,BDT,12.90,12.90,12.90,1200.00
17/12/2019,12.90,BDT,12.90,12.90,12.90,302.00
16/12/2019,12.90,BDT,12.80,12.90,12.80,1000.00
13/12/2019,12.80,BDT,12.90,12.90,12.80,11708.00
12/12/2019,12.80,BDT,13.00,13.00,12.80,210.00
11/12/2019,13.00,BDT,13.00,13.00,13.00,420.00
10/12/2019,13.00,BDT,13.00,13.00,13.00,0.00
09/12/2019,13.00,BDT,12.80,13.00,12.80,8000.00
06/12/2019,12.90,BDT,12.90,12.90,12.90,1300.00
05/12/2019,12.90,BDT,12.90,12.90,12.90,1200.00
04/12/2019,12.90,BDT,12.90,12.90,12.90,2528.00
03/12/2019,12.80,BDT,13.00,13.00,12.80,1100.00
02/12/2019,12.90,BDT,13.00,13.00,12.90,60900.00
29/11/2019,12.70,BDT,12.60,12.80,12.60,4800.00
28/11/2019,12.60,BDT,12.70,12.70,12.60,1100.00
27/11/2019,12.50,BDT,12.30,12.50,12.10,1300.00
26/11/2019,12.60,BDT,12.60,12.60,12.60,3100.00
25/11/2019,13.00,BDT,13.60,13.60,13.00,8500.00
22/11/2019,13.00,BDT,13.00,13.00,13.00,800.00
21/11/2019,13.00,BDT,13.00,13.10,13.00,11400.00
20/11/2019,13.00,BDT,12.90,13.00,12.90,4200.00
19/11/2019,13.00,BDT,13.00,13.00,13.00,700.00
18/11/2019,13.00,BDT,13.00,13.00,13.00,5100.00
15/11/2019,13.00,BDT,13.00,13.00,13.00,0.00
14/11/2019,13.20,BDT,12.90,13.20,12.90,3300.00
13/11/2019,12.70,BDT,12.70,12.90,12.70,9000.00
12/11/2019,12.80,BDT,12.80,12.80,12.80,0.00
11/11/2019,12.80,BDT,12.80,12.80,12.80,700.00
08/11/2019,13.20,BDT,13.10,13.20,13.00,29100.00
07/11/2019,13.50,BDT,13.00,13.50,13.00,800.00
06/11/2019,13.00,BDT,13.70,13.90,13.00,12000.00
05/11/2019,13.30,BDT,13.40,13.40,13.30,4000.00
04/11/2019,13.00,BDT,15.00,15.00,13.00,86300.00
01/11/2019,14.70,BDT,14.70,14.70,14.70,7000.00
31/10/2019,14.70,BDT,14.70,14.70,14.70,0.00
30/10/2019,14.60,BDT,14.80,14.80,14.60,1700.00
29/10/2019,14.90,BDT,14.90,14.90,14.90,500.00
28/10/2019,15.70,BDT,15.70,15.70,15.70,2300.00
25/10/2019,14.80,BDT,15.00,15.30,14.80,5900.00
24/10/2019,15.00,BDT,15.00,15.70,15.00,4200.00
23/10/2019,15.40,BDT,14.90,15.40,14.90,4800.00
22/10/2019,15.00,BDT,15.00,15.00,15.00,100.00
21/10/2019,14.90,BDT,15.00,15.00,14.90,6000.00
18/10/2019,15.00,BDT,15.10,15.10,15.00,9900.00
17/10/2019,15.10,BDT,15.10,15.10,15.10,0.00
16/10/2019,15.10,BDT,15.10,15.10,15.10,0.00
15/10/2019,15.10,BDT,15.00,15.10,15.00,2300.00
14/10/2019,16.40,BDT,16.40,16.40,16.40,0.00
11/10/2019,16.10,BDT,16.40,16.40,15.50,8400.00
10/10/2019,15.90,BDT,15.00,15.90,15.00,8000.00
09/10/2019,15.00,BDT,15.00,15.00,15.00,2000.00
08/10/2019,15.10,BDT,15.50,15.50,14.90,10000.00
07/10/2019,14.90,BDT,14.90,14.90,14.90,600.00
04/10/2019,15.50,BDT,14.80,15.50,14.70,2200.00
03/10/2019,14.80,BDT,15.00,15.00,14.80,2400.00
02/10/2019,15.40,BDT,14.60,15.40,14.60,3000.00
01/10/2019,16.00,BDT,15.40,16.00,15.40,2300.00
30/09/2019,15.50,BDT,15.40,15.50,15.40,500.00
27/09/2019,15.90,BDT,15.50,15.90,15.50,5000.00
26/09/2019,15.50,BDT,14.60,15.50,14.60,2600.00
25/09/2019,15.20,BDT,15.00,15.20,14.60,9010.00
24/09/2019,15.20,BDT,15.10,15.20,15.10,5200.00
23/09/2019,15.40,BDT,15.30,15.40,15.30,1700.00
20/09/2019,15.40,BDT,15.00,15.50,15.00,5800.00
19/09/2019,15.10,BDT,15.50,15.70,14.40,15400.00
18/09/2019,15.70,BDT,15.50,15.70,15.50,5828.00
17/09/2019,16.00,BDT,16.00,16.00,16.00,500.00
16/09/2019,15.80,BDT,15.70,15.90,15.70,37210.00
13/09/2019,15.30,BDT,15.50,15.50,15.30,12800.00
12/09/2019,15.50,BDT,15.50,15.50,15.50,1000.00
11/09/2019,15.30,BDT,15.20,15.50,15.20,5200.00
10/09/2019,15.00,BDT,15.90,15.90,15.00,7700.00
09/09/2019,16.10,BDT,16.10,16.10,16.10,100.00
