DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,7.20,BLI,7.20,7.20,7.20,2700.00
10/01/2020,7.00,BLI,7.00,7.00,7.00,310.00
09/01/2020,7.70,BLI,7.70,7.70,7.70,0.00
08/01/2020,7.70,BLI,7.70,7.70,7.70,2210.00
07/01/2020,7.40,BLI,7.10,7.40,7.10,7900.00
06/01/2020,7.20,BLI,7.40,7.40,7.20,1642.00
03/01/2020,7.20,BLI,7.70,7.70,7.20,27600.00
02/01/2020,7.20,BLI,7.20,7.20,7.20,1900.00
31/12/2019,7.90,BLI,7.90,7.90,7.90,0.00
30/12/2019,7.90,BLI,7.90,7.90,7.90,2.00
27/12/2019,7.90,BLI,7.90,7.90,7.90,0.00
26/12/2019,7.90,BLI,7.90,7.90,7.90,0.00
25/12/2019,7.90,BLI,7.90,7.90,7.90,3100.00
24/12/2019,7.20,BLI,7.20,7.40,7.20,4900.00
23/12/2019,7.70,BLI,7.70,7.70,7.70,3101.00
20/12/2019,7.10,BLI,7.10,7.10,7.10,1000.00
19/12/2019,7.80,BLI,7.80,7.80,7.80,0.00
18/12/2019,7.80,BLI,7.80,7.80,7.80,1.00
17/12/2019,7.80,BLI,7.80,7.80,7.80,2122.00
16/12/2019,7.00,BLI,7.00,7.00,7.00,1000.00
13/12/2019,7.70,BLI,7.70,7.70,7.70,2500.00
12/12/2019,6.90,BLI,6.90,6.90,6.80,16700.00
11/12/2019,7.00,BLI,7.90,7.90,7.00,3700.00
10/12/2019,7.50,BLI,8.00,8.00,7.00,63100.00
09/12/2019,7.50,BLI,7.00,7.50,7.00,5400.00
06/12/2019,7.10,BLI,7.00,7.10,7.00,5000.00
05/12/2019,6.90,BLI,6.50,6.90,6.40,10711.00
04/12/2019,6.90,BLI,6.90,6.90,6.90,8300.00
03/12/2019,6.90,BLI,6.90,6.90,6.90,0.00
02/12/2019,6.80,BLI,6.80,7.00,6.80,14060.00
29/11/2019,7.00,BLI,7.90,7.90,7.00,2600.00
28/11/2019,7.40,BLI,7.40,7.40,7.40,0.00
27/11/2019,7.40,BLI,7.60,7.60,6.60,14348.00
26/11/2019,6.70,BLI,6.70,6.70,6.70,100.00
25/11/2019,7.10,BLI,7.10,7.10,7.10,1500.00
22/11/2019,6.80,BLI,6.50,6.80,6.50,8900.00
21/11/2019,7.00,BLI,7.00,7.00,7.00,1000.00
20/11/2019,6.70,BLI,6.60,6.70,6.60,900.00
19/11/2019,7.20,BLI,7.20,7.20,7.20,1000.00
18/11/2019,6.90,BLI,6.90,6.90,6.90,2000.00
15/11/2019,6.60,BLI,7.20,7.20,6.50,5200.00
14/11/2019,6.50,BLI,7.40,7.40,6.50,12650.00
13/11/2019,6.70,BLI,6.80,6.80,6.60,2700.00
12/11/2019,7.40,BLI,7.40,7.40,7.40,0.00
11/11/2019,7.40,BLI,7.40,7.40,7.40,1200.00
08/11/2019,6.80,BLI,7.30,7.30,6.40,4050.00
07/11/2019,6.90,BLI,6.40,6.90,6.40,1300.00
06/11/2019,6.40,BLI,6.40,6.40,6.40,3400.00
05/11/2019,6.40,BLI,6.40,6.40,6.40,1700.00
04/11/2019,6.50,BLI,6.30,6.50,6.30,2400.00
01/11/2019,6.50,BLI,6.20,6.50,6.20,700.00
31/10/2019,6.20,BLI,6.20,6.20,6.20,0.00
30/10/2019,6.20,BLI,6.20,6.20,6.20,1000.00
29/10/2019,6.50,BLI,6.60,6.60,6.10,6710.00
28/10/2019,6.60,BLI,6.70,6.70,6.60,1100.00
25/10/2019,6.70,BLI,6.70,6.70,6.70,400.00
24/10/2019,6.70,BLI,6.70,6.70,6.70,1000.00
23/10/2019,6.70,BLI,6.70,6.70,6.70,0.00
22/10/2019,6.70,BLI,6.70,6.70,6.70,244.00
21/10/2019,6.70,BLI,6.70,6.80,6.50,11000.00
18/10/2019,6.70,BLI,6.40,6.70,6.40,3700.00
17/10/2019,6.40,BLI,6.50,6.60,6.10,3340.00
16/10/2019,6.60,BLI,6.10,6.60,6.10,7000.00
15/10/2019,6.00,BLI,6.30,6.30,6.00,43740.00
14/10/2019,6.40,BLI,6.60,6.60,6.40,5200.00
11/10/2019,6.60,BLI,7.00,7.00,6.60,6200.00
10/10/2019,7.00,BLI,7.00,7.00,7.00,1400.00
09/10/2019,7.00,BLI,7.10,7.10,6.30,14600.00
08/10/2019,7.30,BLI,7.30,7.30,7.30,0.00
07/10/2019,7.00,BLI,7.20,7.40,7.00,5670.00
04/10/2019,7.10,BLI,7.10,7.10,7.10,1000.00
03/10/2019,7.10,BLI,7.10,7.10,7.10,1100.00
02/10/2019,7.20,BLI,7.00,7.20,7.00,7600.00
01/10/2019,7.10,BLI,7.20,7.20,7.10,6700.00
30/09/2019,7.10,BLI,7.10,7.10,7.00,4100.00
27/09/2019,7.40,BLI,7.30,7.40,7.10,3802.00
26/09/2019,7.30,BLI,7.20,7.30,7.10,19900.00
25/09/2019,7.40,BLI,7.30,7.40,7.30,800.00
24/09/2019,7.30,BLI,7.40,7.40,7.00,13500.00
23/09/2019,7.60,BLI,7.60,7.70,7.60,7200.00
