DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,5.50,BUD,5.50,5.50,5.50,200.00
10/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
09/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
08/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
07/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
06/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
03/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
02/01/2020,6.40,BUD,6.40,6.40,6.40,0.00
31/12/2019,6.40,BUD,6.40,6.40,6.40,0.00
30/12/2019,6.40,BUD,6.40,6.40,6.40,100.00
27/12/2019,5.70,BUD,5.70,5.70,5.70,0.00
26/12/2019,5.70,BUD,5.70,5.70,5.70,100.00
25/12/2019,5.30,BUD,5.30,5.30,5.30,0.00
24/12/2019,5.30,BUD,5.30,5.30,5.30,0.00
23/12/2019,5.30,BUD,5.30,5.30,5.30,100.00
20/12/2019,4.80,BUD,4.80,4.80,4.80,0.00
19/12/2019,4.80,BUD,4.80,4.80,4.80,100.00
18/12/2019,5.10,BUD,5.10,5.10,5.10,100.00
17/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
16/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
13/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
12/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
11/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
10/12/2019,5.90,BUD,5.90,5.90,5.90,0.00
09/12/2019,5.90,BUD,5.90,5.90,5.90,100.00
06/12/2019,5.30,BUD,5.30,5.30,5.30,100.00
05/12/2019,4.70,BUD,4.70,4.70,4.70,100.00
04/12/2019,5.40,BUD,5.40,5.40,5.40,0.00
03/12/2019,5.40,BUD,5.40,5.40,5.40,100.00
02/12/2019,4.80,BUD,4.80,4.80,4.80,0.00
29/11/2019,4.80,BUD,4.80,4.80,4.80,500.00
28/11/2019,4.70,BUD,4.70,4.70,4.70,300.00
27/11/2019,4.70,BUD,4.70,4.70,4.70,0.00
26/11/2019,4.70,BUD,4.70,4.70,4.70,0.00
25/11/2019,4.70,BUD,4.80,4.80,4.70,3600.00
22/11/2019,5.40,BUD,5.40,5.40,5.40,0.00
21/11/2019,5.40,BUD,5.40,5.40,5.40,0.00
20/11/2019,5.40,BUD,5.40,5.40,5.40,0.00
19/11/2019,5.40,BUD,5.40,5.40,5.40,0.00
18/11/2019,5.40,BUD,5.40,5.40,5.40,0.00
15/11/2019,5.40,BUD,5.40,5.40,5.40,500.00
14/11/2019,5.40,BUD,5.40,5.40,5.40,400.00
13/11/2019,4.90,BUD,5.00,5.00,4.90,1600.00
12/11/2019,5.70,BUD,5.70,5.70,5.70,100.00
11/11/2019,6.60,BUD,6.60,6.60,6.60,0.00
08/11/2019,6.60,BUD,6.60,6.60,6.60,100.00
07/11/2019,6.00,BUD,6.00,6.00,6.00,0.00
06/11/2019,6.00,BUD,6.00,6.00,6.00,100.00
05/11/2019,5.30,BUD,5.30,5.30,5.30,199.00
04/11/2019,6.20,BUD,6.20,6.20,6.20,0.00
01/11/2019,6.20,BUD,6.20,6.20,6.20,0.00
31/10/2019,6.20,BUD,6.20,6.20,6.20,100.00
30/10/2019,5.60,BUD,5.60,5.60,5.60,0.00
29/10/2019,5.60,BUD,5.60,5.60,5.60,100.00
28/10/2019,5.00,BUD,5.00,5.00,5.00,0.00
25/10/2019,5.00,BUD,5.00,5.00,5.00,0.00
24/10/2019,5.00,BUD,5.00,5.00,5.00,0.00
23/10/2019,5.00,BUD,5.10,5.10,5.00,7500.00
22/10/2019,5.30,BUD,5.90,5.90,5.30,8600.00
21/10/2019,6.20,BUD,6.20,6.20,6.20,100.00
18/10/2019,5.90,BUD,5.90,5.90,5.90,200.00
17/10/2019,5.90,BUD,5.90,5.90,5.90,0.00
16/10/2019,5.90,BUD,5.90,5.90,5.90,800.00
15/10/2019,6.00,BUD,6.00,6.00,6.00,0.00
14/10/2019,6.00,BUD,6.00,6.00,6.00,2300.00
11/10/2019,6.10,BUD,6.10,6.10,6.10,0.00
10/10/2019,6.10,BUD,6.10,6.10,6.10,1000.00
09/10/2019,6.00,BUD,6.00,6.00,6.00,0.00
08/10/2019,6.00,BUD,6.00,6.00,6.00,400.00
07/10/2019,6.00,BUD,6.00,6.00,6.00,1400.00
04/10/2019,6.00,BUD,6.00,6.00,6.00,1000.00
03/10/2019,6.30,BUD,6.30,6.30,6.30,0.00
02/10/2019,6.30,BUD,6.40,6.40,6.30,1000.00
01/10/2019,6.80,BUD,6.80,6.80,6.80,100.00
30/09/2019,6.00,BUD,6.00,6.00,6.00,1100.00
27/09/2019,6.50,BUD,6.50,6.50,6.50,100.00
26/09/2019,6.30,BUD,6.30,6.30,6.30,500.00
25/09/2019,5.70,BUD,5.70,5.70,5.70,115.00
24/09/2019,6.40,BUD,6.40,6.40,6.40,0.00
23/09/2019,6.40,BUD,6.40,6.40,6.40,0.00
20/09/2019,6.40,BUD,6.40,6.40,6.40,100.00
19/09/2019,6.00,BUD,6.00,6.00,6.00,0.00
18/09/2019,6.00,BUD,6.10,6.10,6.00,5000.00
17/09/2019,6.00,BUD,6.20,6.20,6.00,3000.00
16/09/2019,6.50,BUD,6.50,6.50,6.50,0.00
13/09/2019,6.50,BUD,6.50,6.50,6.50,800.00
12/09/2019,6.20,BUD,6.60,6.60,6.10,3200.00
11/09/2019,7.00,BUD,7.00,7.00,7.00,900.00
10/09/2019,6.80,BUD,6.90,7.00,6.80,800.00
09/09/2019,8.00,BUD,8.00,8.00,8.00,0.00
06/09/2019,8.00,BUD,8.00,8.00,8.00,3500.00
05/09/2019,7.50,BUD,6.20,7.50,6.20,300.00
04/09/2019,6.60,BUD,6.60,6.60,6.60,10000.00
03/09/2019,6.60,BUD,7.00,7.00,6.60,900.00
30/08/2019,7.60,BUD,7.50,7.60,7.50,1000.00
29/08/2019,7.50,BUD,7.50,7.50,7.50,100.00
28/08/2019,8.40,BUD,8.40,8.40,8.40,0.00
27/08/2019,8.40,BUD,8.40,8.40,8.40,0.00
26/08/2019,8.10,BUD,7.20,8.90,7.20,2200.00
23/08/2019,8.00,BUD,7.30,8.00,7.30,3000.00
22/08/2019,7.00,BUD,7.00,7.00,7.00,0.00
21/08/2019,7.00,BUD,7.00,7.00,7.00,100.00
20/08/2019,6.50,BUD,7.30,7.30,6.50,1084.00
19/08/2019,7.30,BUD,7.50,7.50,7.30,300.00
16/08/2019,7.50,BUD,7.50,7.50,7.50,0.00
15/08/2019,7.50,BUD,7.50,7.50,7.50,1400.00
14/08/2019,7.70,BUD,7.50,7.80,7.50,5010.00
13/08/2019,7.40,BUD,8.00,8.00,7.40,1084.00
12/08/2019,8.50,BUD,8.50,8.50,8.50,120.00
09/08/2019,8.50,BUD,8.50,8.60,8.40,12710.00
08/08/2019,9.80,BUD,9.80,9.80,9.80,0.00
