DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,22.40,BWE,22.65,22.65,22.30,28480.00
10/01/2020,22.65,BWE,22.50,22.75,22.40,71350.00
09/01/2020,22.40,BWE,22.55,22.70,22.00,62710.00
08/01/2020,22.55,BWE,22.75,22.75,22.35,95080.00
07/01/2020,22.50,BWE,22.90,22.90,22.50,182440.00
06/01/2020,22.70,BWE,22.90,22.95,22.70,113870.00
03/01/2020,22.80,BWE,23.00,23.00,22.60,100340.00
02/01/2020,22.95,BWE,22.95,23.10,22.90,114410.00
31/12/2019,23.00,BWE,22.50,23.00,22.50,29980.00
30/12/2019,22.95,BWE,23.60,23.80,22.90,130570.00
27/12/2019,24.15,BWE,25.00,25.00,24.00,200250.00
26/12/2019,24.30,BWE,24.50,24.60,24.20,193410.00
25/12/2019,24.50,BWE,24.55,24.60,24.50,9320.00
24/12/2019,24.55,BWE,24.70,24.70,24.50,60660.00
23/12/2019,24.55,BWE,25.00,25.15,24.40,146990.00
20/12/2019,25.00,BWE,25.00,25.40,24.95,57240.00
19/12/2019,25.00,BWE,24.70,25.00,24.50,86240.00
18/12/2019,24.70,BWE,24.80,24.85,24.70,65410.00
17/12/2019,24.80,BWE,24.70,24.80,24.50,28770.00
16/12/2019,24.70,BWE,24.85,24.95,24.60,37120.00
13/12/2019,24.85,BWE,24.80,25.00,24.50,73340.00
12/12/2019,24.80,BWE,24.80,24.80,24.40,66180.00
11/12/2019,24.80,BWE,24.80,24.80,24.40,51360.00
10/12/2019,24.80,BWE,24.90,24.90,24.40,35590.00
09/12/2019,25.00,BWE,25.00,25.00,24.40,32640.00
06/12/2019,25.10,BWE,24.20,25.10,24.00,84640.00
05/12/2019,24.20,BWE,24.05,24.30,23.95,93490.00
04/12/2019,24.30,BWE,24.40,24.40,24.10,49830.00
03/12/2019,24.30,BWE,24.05,24.30,24.00,90740.00
02/12/2019,24.30,BWE,24.40,24.40,24.00,78500.00
29/11/2019,24.30,BWE,23.80,24.30,23.80,46150.00
28/11/2019,23.80,BWE,23.75,24.00,23.60,30040.00
27/11/2019,23.75,BWE,23.60,23.85,23.20,98530.00
26/11/2019,23.20,BWE,23.95,23.95,22.90,303910.00
25/11/2019,23.50,BWE,23.90,24.45,23.50,49920.00
22/11/2019,23.70,BWE,23.70,23.90,23.45,53870.00
21/11/2019,23.60,BWE,24.00,24.00,23.60,62830.00
20/11/2019,24.00,BWE,24.30,24.30,23.80,39950.00
19/11/2019,23.90,BWE,23.80,24.00,23.80,226090.00
18/11/2019,24.00,BWE,24.35,24.35,23.00,508430.00
15/11/2019,24.35,BWE,24.70,24.80,24.35,31600.00
14/11/2019,24.50,BWE,24.80,24.80,24.40,173700.00
13/11/2019,24.90,BWE,25.10,25.10,24.75,127310.00
12/11/2019,24.80,BWE,25.25,25.40,24.80,273740.00
11/11/2019,25.25,BWE,25.30,25.35,25.25,56940.00
