DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,7.00,CDP,6.60,7.00,6.30,4200.00
10/01/2020,8.00,CDP,6.70,8.00,6.70,200.00
09/01/2020,7.90,CDP,6.40,7.90,6.40,627.00
08/01/2020,7.30,CDP,7.30,7.30,7.30,0.00
07/01/2020,7.30,CDP,7.30,7.30,7.30,100.00
06/01/2020,6.40,CDP,6.40,6.40,6.40,100.00
03/01/2020,7.10,CDP,7.10,7.10,7.10,100.00
02/01/2020,7.70,CDP,7.70,7.70,7.70,0.00
31/12/2019,8.00,CDP,7.40,8.00,7.40,200.00
30/12/2019,8.20,CDP,8.20,8.20,8.20,0.00
27/12/2019,8.20,CDP,8.20,8.20,8.20,0.00
26/12/2019,8.20,CDP,8.20,8.20,8.20,0.00
25/12/2019,8.20,CDP,8.20,8.20,8.20,100.00
24/12/2019,9.30,CDP,9.30,9.30,9.30,0.00
23/12/2019,9.50,CDP,9.30,9.50,7.80,4000.00
20/12/2019,8.40,CDP,8.40,8.40,8.40,0.00
19/12/2019,8.40,CDP,8.40,8.40,8.40,100.00
18/12/2019,9.90,CDP,9.70,9.90,9.70,4000.00
17/12/2019,9.70,CDP,9.70,9.70,9.70,100.00
16/12/2019,8.90,CDP,8.90,8.90,8.90,100.00
13/12/2019,8.80,CDP,8.80,8.80,8.80,5900.00
12/12/2019,9.50,CDP,9.50,9.50,9.20,900.00
11/12/2019,10.00,CDP,8.60,10.00,8.60,19800.00
10/12/2019,8.10,CDP,10.00,10.00,8.10,2100.00
09/12/2019,9.40,CDP,8.90,9.40,8.90,6200.00
06/12/2019,8.50,CDP,7.70,8.50,7.70,7000.00
05/12/2019,8.00,CDP,7.60,8.00,7.60,5600.00
04/12/2019,7.70,CDP,7.60,7.90,7.60,4800.00
03/12/2019,7.90,CDP,7.90,7.90,7.90,1202.00
02/12/2019,7.50,CDP,7.50,7.50,7.50,110.00
29/11/2019,7.60,CDP,7.60,7.60,7.60,500.00
28/11/2019,7.30,CDP,7.40,7.50,7.10,13200.00
27/11/2019,7.40,CDP,7.40,7.40,7.40,0.00
26/11/2019,7.40,CDP,7.50,7.50,7.40,339.00
25/11/2019,7.30,CDP,7.70,7.70,7.30,6000.00
22/11/2019,7.60,CDP,7.60,7.60,7.50,300.00
21/11/2019,7.70,CDP,7.70,7.70,7.70,0.00
20/11/2019,7.70,CDP,7.70,7.70,7.70,1400.00
19/11/2019,7.70,CDP,7.70,7.70,7.70,6400.00
18/11/2019,7.70,CDP,7.70,7.70,7.70,10000.00
15/11/2019,7.70,CDP,7.70,7.70,7.70,14800.00
14/11/2019,7.80,CDP,7.80,7.80,7.80,400.00
13/11/2019,7.70,CDP,7.70,7.70,7.70,0.00
12/11/2019,7.70,CDP,7.80,7.80,7.70,600.00
11/11/2019,8.00,CDP,8.00,8.00,8.00,600.00
08/11/2019,7.70,CDP,7.70,7.70,7.70,100.00
07/11/2019,8.00,CDP,8.00,8.00,8.00,0.00
06/11/2019,8.00,CDP,8.00,8.00,8.00,600.00
05/11/2019,7.50,CDP,7.50,7.50,7.50,100.00
04/11/2019,6.90,CDP,7.90,7.90,6.90,300.00
01/11/2019,8.00,CDP,8.00,8.00,8.00,5000.00
31/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
30/10/2019,8.00,CDP,8.00,8.00,8.00,8100.00
29/10/2019,8.00,CDP,8.30,8.30,7.40,11300.00
28/10/2019,8.50,CDP,8.50,8.50,8.50,400.00
25/10/2019,8.20,CDP,8.20,8.20,8.20,0.00
24/10/2019,8.20,CDP,8.20,8.20,8.20,900.00
23/10/2019,8.60,CDP,8.20,8.60,8.20,200.00
22/10/2019,8.60,CDP,7.90,8.60,7.90,12100.00
21/10/2019,8.70,CDP,7.80,8.70,7.80,600.00
18/10/2019,8.50,CDP,8.50,8.50,8.50,0.00
17/10/2019,8.50,CDP,8.50,8.50,8.50,0.00
16/10/2019,8.50,CDP,8.50,8.50,8.50,0.00
15/10/2019,8.50,CDP,8.50,8.50,8.50,200.00
14/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
11/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
10/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
09/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
08/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
07/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
04/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
03/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
02/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
01/10/2019,8.00,CDP,8.00,8.00,8.00,0.00
30/09/2019,8.00,CDP,8.00,8.00,8.00,700.00
27/09/2019,8.30,CDP,8.30,8.30,8.30,0.00
26/09/2019,8.40,CDP,8.30,8.40,8.30,1200.00
25/09/2019,8.40,CDP,8.40,8.40,8.40,25000.00
24/09/2019,8.40,CDP,8.40,8.40,8.40,4000.00
23/09/2019,8.50,CDP,8.20,8.50,8.20,3000.00
20/09/2019,8.20,CDP,8.30,8.40,8.20,2900.00
19/09/2019,8.50,CDP,8.50,8.50,8.50,0.00
18/09/2019,8.50,CDP,8.50,8.50,8.50,197.00
17/09/2019,8.30,CDP,8.60,8.60,8.30,17400.00
16/09/2019,7.50,CDP,7.50,7.50,7.50,100.00
13/09/2019,8.70,CDP,8.70,8.70,8.70,0.00
12/09/2019,8.70,CDP,8.60,8.70,8.60,1200.00
11/09/2019,8.60,CDP,8.60,8.60,8.60,200.00
10/09/2019,8.60,CDP,8.60,8.60,8.60,200.00
09/09/2019,8.60,CDP,8.50,8.60,8.20,9700.00
06/09/2019,8.10,CDP,8.10,8.10,8.10,0.00
05/09/2019,8.30,CDP,7.00,8.30,7.00,600.00
04/09/2019,8.10,CDP,8.10,8.10,8.10,0.00
03/09/2019,8.10,CDP,8.10,8.10,8.10,0.00
30/08/2019,8.10,CDP,8.10,8.10,8.10,103.00
29/08/2019,8.60,CDP,8.60,8.60,8.60,0.00
28/08/2019,8.60,CDP,8.60,8.60,8.60,0.00
27/08/2019,8.60,CDP,8.60,8.60,8.60,400.00
26/08/2019,9.30,CDP,9.30,9.30,9.30,0.00
23/08/2019,9.30,CDP,9.30,9.30,9.30,200.00
22/08/2019,8.10,CDP,8.10,8.10,8.10,100.00
21/08/2019,9.40,CDP,9.40,9.40,9.40,0.00
20/08/2019,8.70,CDP,10.00,10.00,8.70,200.00
19/08/2019,8.70,CDP,8.70,8.70,8.70,0.00
16/08/2019,8.70,CDP,8.70,8.70,8.70,0.00
15/08/2019,8.70,CDP,8.70,8.70,8.70,0.00
14/08/2019,8.70,CDP,8.70,8.70,8.70,100.00
13/08/2019,10.00,CDP,10.50,10.50,10.00,900.00
12/08/2019,9.50,CDP,8.10,9.50,8.10,8000.00
09/08/2019,8.50,CDP,8.50,8.50,8.50,1000.00
08/08/2019,8.90,CDP,8.90,8.90,8.90,0.00
07/08/2019,8.90,CDP,8.90,8.90,8.90,0.00
06/08/2019,8.90,CDP,8.90,8.90,8.90,0.00
05/08/2019,8.90,CDP,8.90,8.90,8.90,500.00
02/08/2019,8.50,CDP,7.10,8.50,7.10,600.00
01/08/2019,8.10,CDP,8.10,8.10,8.10,100.00
31/07/2019,8.50,CDP,8.50,8.50,8.50,100.00
30/07/2019,7.40,CDP,7.40,7.40,7.40,100.00
29/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
26/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
25/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
24/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
23/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
22/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
19/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
18/07/2019,8.60,CDP,8.60,8.60,8.60,0.00
17/07/2019,8.60,CDP,8.60,8.60,8.60,1900.00
16/07/2019,9.00,CDP,9.00,9.00,9.00,1100.00
15/07/2019,9.00,CDP,9.00,9.00,9.00,0.00
12/07/2019,9.00,CDP,9.00,9.00,9.00,0.00
11/07/2019,8.60,CDP,9.00,9.00,8.60,1100.00
10/07/2019,9.00,CDP,9.00,9.00,9.00,0.00
09/07/2019,9.00,CDP,9.00,9.00,9.00,5200.00
08/07/2019,8.50,CDP,8.50,8.50,8.50,0.00
05/07/2019,8.50,CDP,8.50,8.50,8.50,400.00
04/07/2019,9.00,CDP,9.00,9.00,9.00,1000.00
03/07/2019,9.30,CDP,9.30,9.30,9.30,0.00
02/07/2019,9.30,CDP,9.30,9.30,9.30,0.00
01/07/2019,9.30,CDP,9.30,9.30,9.30,0.00
28/06/2019,9.40,CDP,9.20,9.40,9.20,1200.00
27/06/2019,9.00,CDP,9.00,9.00,9.00,0.00
26/06/2019,9.00,CDP,9.00,9.00,9.00,0.00
25/06/2019,8.90,CDP,8.90,9.20,8.90,4800.00
