DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,15.00,CEE,14.35,15.45,14.35,5060.00
10/01/2020,15.30,CEE,15.95,15.95,15.30,5010.00
09/01/2020,15.20,CEE,15.20,15.20,15.20,16010.00
08/01/2020,14.25,CEE,14.60,16.00,14.25,6600.00
07/01/2020,15.05,CEE,15.30,16.20,15.05,3820.00
06/01/2020,15.30,CEE,15.40,15.40,15.30,3030.00
03/01/2020,16.20,CEE,15.25,16.20,15.25,18030.00
02/01/2020,16.15,CEE,16.15,16.15,16.15,10330.00
31/12/2019,16.40,CEE,16.40,16.40,16.40,7010.00
30/12/2019,15.45,CEE,16.40,16.40,15.45,1570.00
27/12/2019,16.40,CEE,16.40,16.40,16.40,6010.00
26/12/2019,15.45,CEE,15.55,16.00,15.35,19580.00
25/12/2019,16.40,CEE,16.30,16.40,16.30,34000.00
24/12/2019,16.40,CEE,16.40,16.40,16.35,13080.00
23/12/2019,15.70,CEE,15.50,15.90,15.50,25000.00
20/12/2019,15.50,CEE,15.50,15.60,15.50,13500.00
19/12/2019,15.50,CEE,16.00,16.00,15.05,42630.00
18/12/2019,16.00,CEE,16.00,16.00,16.00,13000.00
17/12/2019,16.80,CEE,16.80,16.80,16.80,13300.00
16/12/2019,16.80,CEE,16.80,16.80,16.80,5000.00
13/12/2019,16.80,CEE,16.80,16.80,16.80,13000.00
12/12/2019,16.90,CEE,16.90,16.90,16.90,13000.00
11/12/2019,16.90,CEE,16.90,16.90,16.90,6000.00
10/12/2019,16.95,CEE,15.80,17.75,15.75,13670.00
09/12/2019,16.90,CEE,16.95,16.95,16.90,10110.00
06/12/2019,16.00,CEE,15.30,16.15,14.95,20600.00
05/12/2019,15.30,CEE,15.30,15.30,15.30,15000.00
04/12/2019,15.00,CEE,14.95,15.00,14.95,6320.00
03/12/2019,15.00,CEE,15.00,15.00,14.45,3920.00
02/12/2019,15.00,CEE,14.70,15.00,14.00,48450.00
29/11/2019,14.95,CEE,14.30,14.95,14.60,47320.00
