DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.80,CIA,14.80,14.80,14.80,0.00
10/01/2020,14.80,CIA,15.00,15.00,14.80,500.00
09/01/2020,15.00,CIA,15.00,15.00,15.00,3938.00
08/01/2020,15.00,CIA,15.00,15.00,15.00,118.00
07/01/2020,15.00,CIA,15.00,15.00,14.70,7200.00
06/01/2020,15.10,CIA,14.60,15.10,14.40,2800.00
03/01/2020,14.30,CIA,15.20,15.40,14.30,4400.00
02/01/2020,15.00,CIA,15.00,15.00,15.00,0.00
31/12/2019,15.00,CIA,15.00,15.00,15.00,48.00
30/12/2019,15.00,CIA,15.00,15.00,15.00,1300.00
27/12/2019,15.00,CIA,15.00,15.00,15.00,0.00
26/12/2019,15.00,CIA,15.00,15.00,15.00,0.00
25/12/2019,15.00,CIA,15.50,15.50,15.00,1202.00
24/12/2019,15.20,CIA,15.20,15.20,15.20,18.00
23/12/2019,15.20,CIA,15.20,15.20,15.20,100.00
20/12/2019,15.00,CIA,15.00,15.00,15.00,200.00
19/12/2019,15.00,CIA,15.10,15.10,15.00,1410.00
18/12/2019,15.10,CIA,15.20,15.20,15.10,2000.00
17/12/2019,15.30,CIA,15.60,15.60,15.30,3000.00
16/12/2019,15.60,CIA,15.60,15.60,15.60,400.00
13/12/2019,15.50,CIA,15.50,15.50,15.20,2100.00
12/12/2019,15.50,CIA,15.50,15.50,15.50,0.00
11/12/2019,15.50,CIA,16.00,16.00,15.50,1820.00
10/12/2019,15.20,CIA,15.30,15.30,15.20,900.00
09/12/2019,15.20,CIA,15.20,15.20,15.20,10.00
06/12/2019,15.20,CIA,15.20,15.20,15.00,3700.00
05/12/2019,15.40,CIA,15.20,15.40,15.20,700.00
04/12/2019,15.20,CIA,15.20,15.20,15.20,100.00
03/12/2019,15.20,CIA,15.20,15.20,15.20,3000.00
02/12/2019,15.00,CIA,15.00,15.00,15.00,2100.00
29/11/2019,15.00,CIA,15.00,15.00,15.00,1900.00
28/11/2019,15.00,CIA,15.00,15.00,15.00,1120.00
27/11/2019,15.00,CIA,15.00,15.00,15.00,160.00
26/11/2019,15.00,CIA,15.00,15.00,15.00,0.00
25/11/2019,15.00,CIA,15.00,15.00,15.00,200.00
22/11/2019,15.00,CIA,15.70,15.70,15.00,7700.00
21/11/2019,15.20,CIA,15.30,15.30,15.20,5000.00
20/11/2019,15.30,CIA,15.50,15.50,15.30,1000.00
19/11/2019,15.30,CIA,15.60,15.60,15.30,5410.00
18/11/2019,15.50,CIA,15.80,15.80,15.30,3310.00
15/11/2019,15.80,CIA,15.80,15.80,15.80,0.00
14/11/2019,15.80,CIA,15.80,16.00,15.80,2600.00
13/11/2019,15.80,CIA,15.80,15.80,15.80,400.00
12/11/2019,15.80,CIA,15.90,16.00,15.80,8000.00
11/11/2019,15.90,CIA,16.50,16.50,15.90,1040.00
08/11/2019,15.70,CIA,15.70,15.70,15.70,1200.00
07/11/2019,15.60,CIA,15.50,15.60,15.50,9200.00
06/11/2019,16.00,CIA,16.40,16.40,15.90,2230.00
05/11/2019,16.20,CIA,16.10,16.20,16.10,1800.00
04/11/2019,16.00,CIA,15.90,16.00,15.90,4820.00
01/11/2019,15.90,CIA,15.50,15.90,15.50,7027.00
31/10/2019,15.40,CIA,15.90,15.90,15.40,5010.00
30/10/2019,15.90,CIA,15.90,15.90,15.80,13920.00
29/10/2019,15.80,CIA,16.10,16.10,15.80,7320.00
28/10/2019,16.10,CIA,15.60,16.10,15.60,4700.00
25/10/2019,15.60,CIA,15.70,15.70,15.50,4880.00
24/10/2019,15.50,CIA,15.50,15.70,15.50,9890.00
23/10/2019,15.10,CIA,15.00,15.10,15.00,3420.00
22/10/2019,14.90,CIA,14.90,14.90,14.90,100.00
21/10/2019,15.00,CIA,15.10,15.10,15.00,5845.00
18/10/2019,15.10,CIA,15.30,15.50,15.10,5325.00
17/10/2019,15.10,CIA,15.30,15.30,15.10,3310.00
16/10/2019,15.30,CIA,15.00,15.30,15.00,1320.00
15/10/2019,15.10,CIA,14.80,15.10,14.80,15100.00
14/10/2019,14.60,CIA,14.90,15.30,14.60,7300.00
11/10/2019,14.60,CIA,14.30,14.80,14.30,500.00
10/10/2019,14.00,CIA,14.00,14.00,14.00,1300.00
09/10/2019,14.80,CIA,15.00,15.00,14.80,4920.00
08/10/2019,14.70,CIA,14.70,14.70,14.70,0.00
07/10/2019,14.70,CIA,15.00,15.20,14.70,2500.00
04/10/2019,14.70,CIA,14.70,14.70,14.70,1400.00
03/10/2019,14.70,CIA,14.80,14.80,14.70,300.00
02/10/2019,14.80,CIA,14.60,15.00,14.50,5200.00
01/10/2019,14.50,CIA,15.20,15.50,14.50,10300.00
30/09/2019,14.50,CIA,14.80,14.90,14.50,21000.00
27/09/2019,14.80,CIA,14.90,14.90,14.70,13900.00
26/09/2019,14.90,CIA,14.90,15.00,14.90,1460.00
25/09/2019,14.90,CIA,14.90,14.90,14.90,50.00
24/09/2019,14.90,CIA,15.40,15.40,14.90,1500.00
23/09/2019,14.90,CIA,15.20,15.50,14.90,7315.00
20/09/2019,15.20,CIA,15.30,15.30,15.20,2000.00
19/09/2019,15.40,CIA,15.40,15.40,15.40,100.00
18/09/2019,15.00,CIA,15.20,15.20,15.00,7950.00
17/09/2019,15.20,CIA,15.50,15.80,15.20,8700.00
16/09/2019,15.50,CIA,15.50,15.50,15.50,3730.00
13/09/2019,15.50,CIA,15.50,15.90,15.20,11400.00
12/09/2019,15.50,CIA,15.50,15.60,15.50,2100.00
11/09/2019,15.60,CIA,15.50,16.00,15.50,11160.00
10/09/2019,16.50,CIA,16.20,16.90,15.80,14900.00
09/09/2019,16.20,CIA,16.60,16.70,16.20,13500.00
06/09/2019,16.60,CIA,17.00,17.30,16.50,4175.00
05/09/2019,17.00,CIA,16.50,17.00,16.50,9620.00
04/09/2019,16.50,CIA,16.50,16.50,16.50,11060.00
03/09/2019,16.50,CIA,17.00,17.00,16.50,5000.00
30/08/2019,16.80,CIA,16.60,17.50,16.60,6800.00
29/08/2019,16.50,CIA,16.50,17.00,16.50,11660.00
28/08/2019,16.50,CIA,16.50,16.50,16.50,3710.00
27/08/2019,16.50,CIA,16.50,16.50,16.50,500.00
26/08/2019,16.50,CIA,16.50,16.50,16.50,7100.00
23/08/2019,16.50,CIA,16.50,16.50,16.50,340.00
22/08/2019,16.50,CIA,16.60,16.60,16.40,14100.00
21/08/2019,16.50,CIA,16.30,16.50,16.30,4200.00
20/08/2019,16.40,CIA,16.40,16.40,16.40,100.00
19/08/2019,16.60,CIA,16.10,16.60,16.10,11620.00
