DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,23.75,CII,24.00,24.05,23.75,425870.00
10/01/2020,23.80,CII,22.90,23.80,22.70,883190.00
09/01/2020,22.90,CII,21.90,22.90,21.90,303420.00
08/01/2020,21.80,CII,23.00,23.90,21.80,573720.00
07/01/2020,23.30,CII,23.00,23.30,23.00,254360.00
06/01/2020,23.00,CII,22.70,23.20,22.70,115860.00
03/01/2020,23.10,CII,22.60,23.30,22.50,327750.00
02/01/2020,22.60,CII,22.10,22.80,22.10,682080.00
31/12/2019,22.50,CII,22.40,22.50,22.00,138680.00
30/12/2019,22.60,CII,22.00,22.60,21.50,232600.00
27/12/2019,22.00,CII,22.00,22.05,21.90,155750.00
26/12/2019,22.30,CII,22.60,22.60,22.00,96450.00
25/12/2019,22.60,CII,22.40,22.60,21.90,183110.00
24/12/2019,22.00,CII,22.10,22.35,21.90,112620.00
23/12/2019,22.10,CII,22.60,22.75,22.10,558860.00
20/12/2019,22.65,CII,22.50,22.65,22.35,144250.00
19/12/2019,22.50,CII,22.70,22.80,22.40,76240.00
18/12/2019,22.70,CII,22.75,22.80,22.55,143720.00
17/12/2019,22.75,CII,22.60,22.75,22.30,210990.00
16/12/2019,22.75,CII,22.60,22.90,22.55,55430.00
13/12/2019,22.75,CII,22.85,23.00,22.60,65840.00
12/12/2019,22.75,CII,22.40,22.85,22.35,123630.00
11/12/2019,22.50,CII,22.90,22.90,22.50,70810.00
10/12/2019,22.85,CII,23.10,23.15,22.55,445080.00
09/12/2019,23.10,CII,23.00,23.20,23.00,260450.00
06/12/2019,23.00,CII,22.55,23.00,22.50,85540.00
05/12/2019,22.70,CII,22.60,23.45,22.55,251030.00
04/12/2019,22.70,CII,22.60,23.00,22.60,648110.00
03/12/2019,22.70,CII,23.10,23.10,22.65,426360.00
02/12/2019,23.00,CII,24.00,24.00,22.85,467850.00
29/11/2019,24.00,CII,23.15,24.00,23.00,234720.00
28/11/2019,23.15,CII,23.50,23.60,22.85,148390.00
27/11/2019,23.30,CII,23.65,23.65,23.30,282410.00
26/11/2019,23.65,CII,24.00,24.40,23.65,232850.00
25/11/2019,24.00,CII,23.15,24.00,23.15,239120.00
22/11/2019,24.00,CII,24.80,24.80,23.10,477420.00
21/11/2019,24.80,CII,24.30,24.80,24.00,386380.00
20/11/2019,24.30,CII,24.90,24.90,24.25,316830.00
19/11/2019,24.70,CII,23.95,24.70,23.95,764670.00
18/11/2019,24.00,CII,23.70,24.00,23.60,162460.00
15/11/2019,23.70,CII,23.60,23.90,23.60,135500.00
14/11/2019,23.90,CII,24.35,24.35,23.50,277330.00
13/11/2019,24.00,CII,24.40,24.40,23.90,489990.00
12/11/2019,24.25,CII,24.30,24.30,24.10,239330.00
11/11/2019,24.10,CII,24.00,24.95,24.00,276770.00
08/11/2019,24.00,CII,24.00,24.20,23.85,358700.00
07/11/2019,24.00,CII,24.20,24.20,24.00,214030.00
06/11/2019,24.00,CII,24.30,24.50,24.00,480300.00
05/11/2019,24.30,CII,24.50,24.75,24.15,433860.00
04/11/2019,24.35,CII,24.75,24.85,24.35,978720.00
01/11/2019,24.50,CII,23.90,24.60,23.75,578430.00
31/10/2019,23.90,CII,23.90,24.30,23.70,191700.00
30/10/2019,23.70,CII,23.90,23.90,23.40,198700.00
29/10/2019,23.60,CII,23.95,23.95,23.45,277880.00
28/10/2019,23.85,CII,23.90,24.10,23.80,208580.00
25/10/2019,23.90,CII,24.60,24.60,23.90,432530.00
24/10/2019,24.35,CII,24.70,24.70,24.15,193850.00
23/10/2019,24.20,CII,24.45,24.50,24.20,145000.00
22/10/2019,24.40,CII,25.00,25.00,24.40,358520.00
21/10/2019,25.00,CII,25.50,25.50,24.80,318430.00
18/10/2019,25.25,CII,24.50,25.50,24.50,1104230.00
17/10/2019,24.20,CII,24.50,24.55,24.05,370310.00
16/10/2019,24.45,CII,24.70,24.70,24.30,865550.00
15/10/2019,24.50,CII,24.25,24.55,24.20,310360.00
14/10/2019,24.45,CII,24.90,24.90,24.30,415630.00
11/10/2019,24.30,CII,24.10,24.40,24.00,724330.00
10/10/2019,24.40,CII,24.80,25.00,24.10,860700.00
09/10/2019,24.75,CII,25.10,25.50,24.30,1103950.00
08/10/2019,25.10,CII,24.40,25.20,24.30,1873920.00
07/10/2019,24.45,CII,24.50,25.00,24.00,953510.00
04/10/2019,24.45,CII,23.10,24.60,23.00,1880920.00
03/10/2019,23.00,CII,23.00,23.10,22.55,550700.00
02/10/2019,23.35,CII,23.10,23.45,22.90,856540.00
01/10/2019,23.50,CII,22.10,23.50,21.95,2193660.00
30/09/2019,22.00,CII,21.40,22.20,21.40,973370.00
27/09/2019,21.40,CII,20.75,21.75,20.75,1844710.00
26/09/2019,20.75,CII,20.85,20.85,20.60,357160.00
25/09/2019,20.50,CII,20.45,21.05,20.45,1030370.00
24/09/2019,20.45,CII,20.60,20.75,20.45,140150.00
23/09/2019,20.55,CII,20.50,20.90,20.45,367210.00
20/09/2019,20.30,CII,20.60,20.60,20.30,2385140.00
19/09/2019,20.60,CII,20.70,20.70,20.20,300980.00
18/09/2019,20.65,CII,20.65,20.80,20.50,183440.00
17/09/2019,20.65,CII,20.70,20.80,20.50,184050.00
16/09/2019,20.70,CII,20.65,20.70,20.50,245020.00
13/09/2019,20.65,CII,20.50,20.90,20.50,310360.00
12/09/2019,20.50,CII,20.40,20.50,20.30,376880.00
11/09/2019,20.30,CII,20.05,20.40,20.00,487930.00
10/09/2019,20.00,CII,20.50,20.50,20.00,365190.00
09/09/2019,20.50,CII,20.60,20.60,20.10,361500.00
06/09/2019,20.55,CII,20.15,20.55,20.15,1457200.00
05/09/2019,20.30,CII,20.20,20.40,20.20,698220.00
04/09/2019,20.40,CII,20.50,20.50,20.20,470420.00
03/09/2019,20.70,CII,20.85,20.90,20.60,778480.00
30/08/2019,21.05,CII,21.50,21.50,20.80,963240.00
29/08/2019,20.75,CII,19.60,21.10,19.60,683540.00
28/08/2019,20.00,CII,20.00,20.10,19.90,320200.00
27/08/2019,20.05,CII,20.30,20.30,19.95,204400.00
26/08/2019,20.30,CII,20.40,20.40,19.85,295680.00
23/08/2019,20.50,CII,20.40,20.55,20.40,416500.00
22/08/2019,20.50,CII,20.60,20.95,20.35,427670.00
21/08/2019,20.80,CII,20.85,20.90,20.75,223900.00
20/08/2019,20.85,CII,20.80,21.00,20.65,433610.00
19/08/2019,20.85,CII,21.00,21.20,20.85,207460.00
16/08/2019,21.00,CII,21.00,21.05,20.90,406170.00
15/08/2019,21.00,CII,21.05,21.15,20.80,208130.00
14/08/2019,21.05,CII,20.25,21.25,20.25,661200.00
13/08/2019,21.15,CII,20.90,21.20,20.85,264810.00
12/08/2019,21.30,CII,21.10,21.45,20.95,551640.00
09/08/2019,21.05,CII,21.70,21.70,21.05,528960.00
08/08/2019,21.70,CII,20.90,21.75,20.80,1221930.00
07/08/2019,21.00,CII,21.20,21.20,20.95,305460.00
06/08/2019,21.50,CII,21.50,21.60,20.90,656260.00
05/08/2019,22.00,CII,21.80,22.00,21.35,553470.00
02/08/2019,21.80,CII,21.60,21.85,21.50,982990.00
01/08/2019,21.80,CII,21.70,21.90,21.15,846320.00
31/07/2019,21.90,CII,21.70,21.90,21.60,331960.00
