DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,13.50,CRC,13.50,13.55,13.50,22250.00
10/01/2020,13.50,CRC,13.45,13.50,13.45,15780.00
09/01/2020,13.45,CRC,13.35,13.45,13.35,17220.00
08/01/2020,13.35,CRC,13.40,13.45,13.35,16310.00
07/01/2020,13.50,CRC,13.40,13.50,13.40,18550.00
06/01/2020,13.40,CRC,13.30,13.40,13.20,28010.00
03/01/2020,13.30,CRC,13.35,13.35,13.20,16870.00
02/01/2020,13.35,CRC,13.40,13.40,13.30,25410.00
31/12/2019,13.40,CRC,13.50,13.50,13.35,42150.00
30/12/2019,13.45,CRC,13.45,13.50,13.30,20400.00
27/12/2019,13.45,CRC,13.50,13.55,13.35,84500.00
26/12/2019,13.50,CRC,13.60,13.60,13.45,123930.00
25/12/2019,13.60,CRC,13.65,13.65,13.40,134150.00
24/12/2019,13.65,CRC,13.70,13.75,13.60,38610.00
23/12/2019,13.70,CRC,13.80,13.90,13.60,42020.00
20/12/2019,13.80,CRC,13.70,13.80,13.70,99310.00
19/12/2019,13.70,CRC,13.55,13.70,13.50,37030.00
18/12/2019,13.55,CRC,13.50,13.65,13.50,38380.00
17/12/2019,13.50,CRC,13.40,13.50,13.35,40250.00
16/12/2019,13.40,CRC,13.50,13.55,13.40,48910.00
13/12/2019,13.55,CRC,13.50,13.55,13.50,35400.00
12/12/2019,13.50,CRC,13.50,13.60,13.35,43930.00
11/12/2019,13.50,CRC,13.50,13.50,13.30,47940.00
10/12/2019,13.50,CRC,13.50,13.50,13.20,42190.00
09/12/2019,13.60,CRC,13.80,13.80,13.00,45280.00
06/12/2019,13.80,CRC,14.10,14.15,13.80,43560.00
05/12/2019,14.10,CRC,13.95,14.10,13.90,43360.00
04/12/2019,13.95,CRC,13.90,14.00,13.90,34680.00
03/12/2019,13.90,CRC,13.50,13.90,13.50,46410.00
02/12/2019,13.50,CRC,13.45,13.60,13.20,41680.00
29/11/2019,13.45,CRC,13.35,13.45,13.35,34570.00
28/11/2019,13.35,CRC,13.40,13.45,13.30,34790.00
27/11/2019,13.35,CRC,13.40,13.40,13.20,51550.00
26/11/2019,13.40,CRC,13.40,13.40,13.30,56030.00
25/11/2019,13.30,CRC,13.30,13.40,13.20,44930.00
22/11/2019,13.40,CRC,13.40,13.45,13.20,50720.00
21/11/2019,13.40,CRC,13.40,13.40,13.35,49830.00
20/11/2019,13.50,CRC,13.50,13.50,13.05,33950.00
19/11/2019,13.60,CRC,13.60,13.65,13.50,53960.00
18/11/2019,13.50,CRC,13.40,13.70,13.35,41960.00
