DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,26.70,DDG,27.00,27.00,26.60,110800.00
10/01/2020,27.00,DDG,26.90,27.00,26.80,91700.00
09/01/2020,27.00,DDG,26.70,27.00,26.60,75200.00
08/01/2020,26.80,DDG,26.90,26.90,26.70,66100.00
07/01/2020,26.80,DDG,26.90,26.90,26.70,57600.00
06/01/2020,26.90,DDG,26.90,26.90,26.70,88500.00
03/01/2020,26.90,DDG,26.90,27.00,26.70,142500.00
02/01/2020,27.00,DDG,27.00,27.00,26.80,199000.00
31/12/2019,27.00,DDG,27.10,27.20,26.90,60260.00
30/12/2019,27.10,DDG,27.00,27.20,26.80,68139.00
27/12/2019,27.00,DDG,26.90,27.10,26.70,175900.00
26/12/2019,26.90,DDG,27.00,27.10,26.80,200140.00
25/12/2019,27.10,DDG,27.50,27.50,26.90,88400.00
24/12/2019,27.50,DDG,28.10,28.20,27.30,75010.00
23/12/2019,28.20,DDG,28.00,28.30,27.80,86193.00
20/12/2019,28.10,DDG,25.50,28.10,25.40,152544.00
19/12/2019,25.60,DDG,24.90,25.60,24.70,96869.00
18/12/2019,24.90,DDG,24.70,24.90,24.60,62700.00
17/12/2019,24.70,DDG,24.80,24.80,24.40,70600.00
16/12/2019,24.90,DDG,24.90,25.10,24.70,87400.00
13/12/2019,25.00,DDG,25.00,25.10,24.80,62200.00
12/12/2019,25.10,DDG,25.00,25.10,24.80,79700.00
11/12/2019,24.90,DDG,25.00,25.00,24.80,86500.00
10/12/2019,25.00,DDG,25.00,25.00,24.90,52301.00
09/12/2019,25.10,DDG,25.20,25.40,25.00,103100.00
06/12/2019,25.30,DDG,25.30,25.40,25.10,71700.00
05/12/2019,25.40,DDG,25.60,25.60,25.20,79500.00
04/12/2019,25.50,DDG,25.10,25.50,24.80,177010.00
03/12/2019,25.10,DDG,25.10,25.10,24.40,202200.00
02/12/2019,25.10,DDG,25.30,25.30,25.00,144310.00
29/11/2019,25.30,DDG,25.40,25.40,25.10,76100.00
28/11/2019,25.40,DDG,25.30,25.40,25.10,92710.00
27/11/2019,25.40,DDG,25.60,25.60,25.30,126100.00
26/11/2019,25.60,DDG,25.70,25.80,25.50,259350.00
25/11/2019,25.80,DDG,26.00,26.00,25.70,177687.00
22/11/2019,25.90,DDG,25.70,25.90,25.60,178700.00
21/11/2019,25.80,DDG,25.70,25.80,25.50,175200.00
20/11/2019,25.70,DDG,25.50,25.70,25.30,72900.00
19/11/2019,25.50,DDG,25.60,25.60,25.40,100250.00
18/11/2019,25.60,DDG,25.60,25.70,25.50,155600.00
15/11/2019,25.60,DDG,25.60,25.80,25.50,46711.00
14/11/2019,25.70,DDG,25.70,25.70,25.40,103800.00
13/11/2019,25.70,DDG,25.70,25.90,25.60,78370.00
12/11/2019,25.80,DDG,26.00,26.00,25.70,82040.00
11/11/2019,26.00,DDG,25.90,26.10,25.80,88880.00
08/11/2019,25.90,DDG,25.50,26.00,25.40,109650.00
07/11/2019,25.60,DDG,25.10,25.60,24.90,122300.00
06/11/2019,25.10,DDG,25.20,25.30,25.00,55720.00
05/11/2019,25.20,DDG,25.20,25.30,25.10,67800.00
04/11/2019,25.30,DDG,25.20,25.30,25.00,141800.00
01/11/2019,25.30,DDG,25.20,25.40,25.00,78800.00
31/10/2019,25.30,DDG,25.40,25.50,25.10,76600.00
30/10/2019,25.40,DDG,25.40,25.50,25.30,122200.00
29/10/2019,25.50,DDG,25.50,25.50,25.30,52300.00
28/10/2019,25.50,DDG,25.50,25.50,25.30,61900.00
25/10/2019,25.50,DDG,25.50,25.60,25.40,47900.00
24/10/2019,25.60,DDG,25.40,25.60,25.40,90400.00
23/10/2019,25.60,DDG,25.50,25.60,25.20,67300.00
22/10/2019,25.50,DDG,25.40,25.60,25.30,89400.00
21/10/2019,25.50,DDG,25.50,25.60,25.40,80300.00
18/10/2019,25.60,DDG,25.40,25.70,25.40,96450.00
17/10/2019,25.50,DDG,25.60,25.60,25.30,76600.00
16/10/2019,25.60,DDG,25.70,25.90,25.50,58778.00
15/10/2019,25.70,DDG,25.70,25.90,25.60,50100.00
14/10/2019,25.80,DDG,25.70,26.00,25.60,53992.00
11/10/2019,25.70,DDG,25.60,25.80,25.50,54650.00
10/10/2019,25.60,DDG,25.40,25.70,25.40,58900.00
09/10/2019,25.50,DDG,25.40,25.50,25.40,61400.00
08/10/2019,25.60,DDG,25.60,25.60,25.40,45600.00
07/10/2019,25.60,DDG,25.50,25.60,25.40,92700.00
04/10/2019,25.60,DDG,25.40,25.60,25.40,57326.00
03/10/2019,25.50,DDG,25.40,25.70,25.40,64984.00
02/10/2019,25.50,DDG,25.40,25.60,25.30,51813.00
01/10/2019,25.40,DDG,25.30,25.50,25.30,59687.00
30/09/2019,25.40,DDG,25.40,25.50,25.20,77700.00
27/09/2019,25.40,DDG,25.40,25.40,25.10,57553.00
26/09/2019,25.30,DDG,25.40,25.40,25.20,43556.00
25/09/2019,25.40,DDG,25.40,25.40,25.30,55981.00
24/09/2019,25.40,DDG,25.40,25.50,25.30,55721.00
23/09/2019,25.40,DDG,25.50,25.60,25.40,47302.00
20/09/2019,25.50,DDG,25.40,25.50,25.40,65800.00
19/09/2019,25.40,DDG,25.40,25.50,25.30,58400.00
18/09/2019,25.40,DDG,25.30,25.50,25.30,87820.00
17/09/2019,25.30,DDG,25.40,25.50,25.00,71800.00
16/09/2019,25.50,DDG,25.50,25.70,25.40,87110.00
13/09/2019,25.60,DDG,25.20,25.70,25.20,476523.00
12/09/2019,25.50,DDG,25.70,25.70,25.30,197940.00
11/09/2019,25.60,DDG,25.60,25.70,25.50,62600.00
10/09/2019,25.60,DDG,25.50,25.70,25.30,91100.00
09/09/2019,25.60,DDG,25.40,25.60,25.40,90300.00
06/09/2019,25.50,DDG,25.50,25.70,25.30,93000.00
05/09/2019,25.40,DDG,25.40,25.60,25.30,74600.00
04/09/2019,25.50,DDG,26.40,26.40,25.50,119100.00
03/09/2019,26.40,DDG,26.20,26.50,26.20,121790.00
30/08/2019,26.30,DDG,25.70,26.30,25.60,258122.00
29/08/2019,25.60,DDG,25.60,25.70,25.60,219400.00
28/08/2019,25.70,DDG,25.70,25.70,25.60,35890.00
27/08/2019,25.70,DDG,25.70,25.80,25.60,40600.00
26/08/2019,25.60,DDG,25.60,25.70,25.40,49000.00
23/08/2019,25.60,DDG,25.70,25.70,25.60,54520.00
22/08/2019,25.70,DDG,25.60,25.80,25.60,58800.00
21/08/2019,25.70,DDG,25.80,25.80,25.50,54909.00
20/08/2019,25.80,DDG,25.70,25.80,25.40,66500.00
19/08/2019,25.70,DDG,25.80,25.80,25.60,61000.00
16/08/2019,25.80,DDG,25.70,25.80,25.40,48309.00
15/08/2019,25.80,DDG,25.60,25.80,25.60,49500.00
14/08/2019,25.70,DDG,25.60,25.70,25.50,54500.00
13/08/2019,25.60,DDG,25.70,25.80,25.60,48520.00
12/08/2019,25.70,DDG,25.70,25.70,25.60,56400.00
09/08/2019,25.70,DDG,25.70,25.80,25.50,40600.00
08/08/2019,25.70,DDG,25.60,25.80,25.50,53600.00
07/08/2019,25.70,DDG,25.60,25.70,25.50,76700.00
06/08/2019,25.60,DDG,25.50,25.70,25.30,100800.00
05/08/2019,25.60,DDG,25.60,25.70,25.30,54200.00
02/08/2019,25.60,DDG,25.70,25.80,25.60,87100.00
01/08/2019,25.70,DDG,25.70,25.80,25.50,155300.00
31/07/2019,25.70,DDG,25.50,25.70,25.50,81500.00
30/07/2019,25.60,DDG,25.60,25.60,25.40,95200.00
29/07/2019,25.60,DDG,25.60,25.70,25.40,83300.00
26/07/2019,25.70,DDG,25.50,25.80,25.40,59909.00
25/07/2019,25.60,DDG,25.40,25.60,25.40,114500.00
24/07/2019,25.40,DDG,25.50,25.50,25.30,89500.00
23/07/2019,25.60,DDG,25.60,25.70,25.40,73600.00
22/07/2019,25.60,DDG,25.40,25.60,25.40,94101.00
19/07/2019,25.50,DDG,25.50,25.60,25.40,164600.00
18/07/2019,25.50,DDG,25.40,25.60,25.20,248722.00
17/07/2019,25.50,DDG,25.70,25.70,25.30,117300.00
16/07/2019,25.70,DDG,25.70,25.90,25.50,190000.00
15/07/2019,25.80,DDG,25.80,25.90,25.70,199900.00
12/07/2019,25.80,DDG,25.50,25.80,25.50,207600.00
11/07/2019,25.60,DDG,25.30,25.70,25.20,213100.00
10/07/2019,25.40,DDG,25.10,25.50,25.10,71201.00
09/07/2019,25.20,DDG,25.20,25.30,25.00,43320.00
08/07/2019,25.20,DDG,25.20,25.30,25.10,51800.00
05/07/2019,25.20,DDG,25.20,25.30,25.00,41712.00
04/07/2019,25.20,DDG,24.80,25.40,24.80,64000.00
03/07/2019,24.90,DDG,25.00,25.10,24.70,33000.00
02/07/2019,25.00,DDG,25.00,25.10,24.90,24300.00
01/07/2019,25.10,DDG,24.70,25.20,24.70,69206.00
28/06/2019,24.80,DDG,24.50,24.80,24.50,149320.00
27/06/2019,24.60,DDG,24.50,24.60,24.40,130308.00
26/06/2019,24.50,DDG,24.40,24.50,24.20,23100.00
25/06/2019,24.40,DDG,24.40,24.40,24.10,62705.00
24/06/2019,24.40,DDG,24.40,24.50,24.30,45401.00
21/06/2019,24.40,DDG,24.40,24.50,24.20,50249.00
20/06/2019,24.50,DDG,24.20,24.60,24.20,62611.00
19/06/2019,24.20,DDG,24.10,24.30,24.10,51479.00
18/06/2019,24.10,DDG,24.30,24.40,24.00,50200.00
17/06/2019,24.20,DDG,24.20,24.30,24.20,37800.00
14/06/2019,24.20,DDG,24.20,24.30,24.10,84402.00
13/06/2019,24.20,DDG,24.40,24.40,24.10,120200.00
12/06/2019,24.40,DDG,24.20,24.50,24.10,115700.00
11/06/2019,24.30,DDG,24.10,24.30,24.10,117620.00
10/06/2019,24.20,DDG,24.10,24.30,24.00,74220.00
07/06/2019,24.10,DDG,23.70,24.20,23.60,38700.00
06/06/2019,23.70,DDG,23.70,23.70,23.50,19200.00
05/06/2019,23.70,DDG,23.60,23.90,23.60,18700.00
04/06/2019,23.80,DDG,23.70,23.90,23.60,18400.00
03/06/2019,23.80,DDG,24.00,24.10,23.70,21200.00
31/05/2019,24.00,DDG,23.50,24.00,23.00,57900.00
30/05/2019,23.50,DDG,22.10,23.50,22.10,224500.00
29/05/2019,22.20,DDG,22.00,22.20,21.70,23900.00
28/05/2019,22.00,DDG,22.10,22.20,21.20,32600.00
27/05/2019,22.10,DDG,22.00,22.10,22.00,25100.00
24/05/2019,22.00,DDG,22.30,22.30,21.90,32620.00
23/05/2019,22.30,DDG,22.40,22.50,22.00,38900.00
22/05/2019,22.50,DDG,22.30,22.60,22.20,31700.00
21/05/2019,22.30,DDG,22.20,22.40,22.10,45000.00
