DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.06,DIC,2.25,2.25,2.06,202600.00
10/01/2020,2.21,DIC,2.06,2.21,2.06,595110.00
09/01/2020,2.07,DIC,1.99,2.09,1.97,260690.00
08/01/2020,1.99,DIC,1.98,1.99,1.96,348210.00
07/01/2020,1.98,DIC,1.98,2.00,1.95,123110.00
06/01/2020,1.96,DIC,1.96,1.99,1.95,367100.00
03/01/2020,1.95,DIC,2.02,2.02,1.95,191040.00
02/01/2020,2.02,DIC,1.95,2.05,1.94,457040.00
31/12/2019,1.95,DIC,1.97,1.98,1.95,349240.00
30/12/2019,1.97,DIC,1.98,1.99,1.93,506860.00
27/12/2019,1.97,DIC,1.99,1.99,1.95,201850.00
26/12/2019,1.97,DIC,1.95,2.00,1.95,85470.00
25/12/2019,1.95,DIC,1.99,2.03,1.93,191090.00
24/12/2019,1.99,DIC,2.05,2.05,1.97,104090.00
23/12/2019,2.07,DIC,1.97,2.07,1.97,174720.00
20/12/2019,1.97,DIC,1.97,2.03,1.95,91560.00
19/12/2019,2.00,DIC,1.95,2.05,1.93,366160.00
18/12/2019,1.95,DIC,1.97,2.02,1.95,369860.00
17/12/2019,1.95,DIC,1.99,2.04,1.94,283530.00
16/12/2019,1.99,DIC,1.95,2.07,1.92,280100.00
13/12/2019,1.96,DIC,2.05,2.05,1.91,156050.00
12/12/2019,2.05,DIC,1.96,2.05,1.94,228560.00
11/12/2019,1.92,DIC,1.96,1.97,1.90,391370.00
10/12/2019,1.90,DIC,1.95,1.98,1.90,146900.00
09/12/2019,1.95,DIC,2.05,2.05,1.86,109990.00
06/12/2019,1.97,DIC,2.04,2.04,1.95,31820.00
05/12/2019,1.95,DIC,2.03,2.10,1.94,335060.00
04/12/2019,2.05,DIC,2.11,2.11,2.03,201190.00
03/12/2019,2.15,DIC,2.17,2.19,2.03,214700.00
02/12/2019,2.17,DIC,2.19,2.24,2.11,336430.00
29/11/2019,2.12,DIC,1.99,2.12,1.96,893800.00
28/11/2019,1.99,DIC,2.02,2.02,1.90,99870.00
27/11/2019,1.99,DIC,1.97,2.00,1.92,95620.00
26/11/2019,1.94,DIC,1.90,1.95,1.84,304950.00
25/11/2019,1.95,DIC,2.02,2.06,1.95,501100.00
22/11/2019,2.09,DIC,2.22,2.22,2.06,145820.00
21/11/2019,2.14,DIC,2.14,2.25,2.02,334640.00
20/11/2019,2.11,DIC,2.39,2.39,2.09,1990200.00
19/11/2019,2.24,DIC,2.24,2.24,2.24,292540.00
18/11/2019,2.10,DIC,2.10,2.10,2.10,178370.00
15/11/2019,1.97,DIC,1.97,1.97,1.92,714130.00
14/11/2019,1.85,DIC,1.73,1.85,1.73,1172840.00
13/11/2019,1.73,DIC,1.74,1.77,1.72,111900.00
12/11/2019,1.75,DIC,1.72,1.78,1.70,203900.00
11/11/2019,1.74,DIC,1.75,1.78,1.74,162860.00
08/11/2019,1.76,DIC,1.81,1.81,1.75,54580.00
07/11/2019,1.78,DIC,1.74,1.83,1.74,147110.00
06/11/2019,1.74,DIC,1.76,1.76,1.73,137400.00
05/11/2019,1.74,DIC,1.79,1.80,1.73,303550.00
04/11/2019,1.76,DIC,1.75,1.83,1.74,105220.00
01/11/2019,1.76,DIC,1.78,1.82,1.75,98980.00
31/10/2019,1.80,DIC,1.84,1.84,1.75,73570.00
30/10/2019,1.80,DIC,1.81,1.85,1.79,211990.00
29/10/2019,1.81,DIC,1.85,1.90,1.80,345760.00
28/10/2019,1.89,DIC,1.89,1.94,1.85,113670.00
25/10/2019,1.90,DIC,1.96,2.00,1.90,271850.00
24/10/2019,1.94,DIC,1.83,1.94,1.80,1187530.00
23/10/2019,1.83,DIC,1.82,1.83,1.80,102230.00
22/10/2019,1.83,DIC,1.86,1.86,1.79,186140.00
21/10/2019,1.85,DIC,1.78,1.86,1.71,182840.00
18/10/2019,1.76,DIC,1.81,1.81,1.74,202200.00
17/10/2019,1.81,DIC,1.84,1.92,1.80,276450.00
16/10/2019,1.81,DIC,1.73,1.81,1.70,485120.00
15/10/2019,1.70,DIC,1.82,1.82,1.69,944250.00
14/10/2019,1.78,DIC,1.77,1.84,1.77,117140.00
11/10/2019,1.80,DIC,1.84,1.84,1.78,80610.00
10/10/2019,1.79,DIC,1.84,1.84,1.78,146710.00
09/10/2019,1.80,DIC,1.88,1.89,1.80,909290.00
08/10/2019,1.88,DIC,1.95,1.95,1.88,308700.00
07/10/2019,1.95,DIC,2.02,2.02,1.90,287330.00
04/10/2019,1.94,DIC,1.87,1.94,1.80,925420.00
03/10/2019,1.82,DIC,1.82,1.85,1.82,1321530.00
02/10/2019,1.95,DIC,2.09,2.09,1.95,682940.00
01/10/2019,2.09,DIC,2.00,2.09,1.97,180230.00
30/09/2019,2.00,DIC,2.00,2.10,2.00,829360.00
27/09/2019,2.15,DIC,2.15,2.15,2.15,325540.00
26/09/2019,2.31,DIC,2.31,2.35,2.31,99790.00
25/09/2019,2.48,DIC,2.47,2.48,2.42,10640.00
24/09/2019,2.48,DIC,2.31,2.61,2.31,164950.00
23/09/2019,2.48,DIC,2.48,2.49,2.48,204120.00
20/09/2019,2.66,DIC,2.55,2.66,2.52,14830.00
19/09/2019,2.51,DIC,2.60,2.60,2.50,34610.00
18/09/2019,2.64,DIC,2.75,2.75,2.60,85950.00
17/09/2019,2.68,DIC,2.62,2.79,2.62,3580.00
16/09/2019,2.74,DIC,2.87,2.87,2.68,12790.00
13/09/2019,2.70,DIC,2.65,2.74,2.65,21760.00
12/09/2019,2.70,DIC,2.80,2.80,2.68,84670.00
11/09/2019,2.80,DIC,2.80,2.80,2.70,9370.00
10/09/2019,2.83,DIC,2.84,2.84,2.80,840.00
09/09/2019,2.84,DIC,2.84,2.86,2.84,1050.00
06/09/2019,2.84,DIC,2.93,2.93,2.80,5320.00
05/09/2019,2.78,DIC,2.81,2.82,2.78,58690.00
04/09/2019,2.83,DIC,2.85,2.85,2.82,54340.00
03/09/2019,2.85,DIC,2.86,2.89,2.80,36200.00
30/08/2019,2.86,DIC,2.89,2.91,2.85,63630.00
29/08/2019,2.92,DIC,2.95,2.95,2.86,23400.00
28/08/2019,2.89,DIC,2.89,2.97,2.89,69640.00
27/08/2019,2.90,DIC,2.95,2.97,2.90,3750.00
26/08/2019,2.95,DIC,2.90,2.96,2.86,29520.00
23/08/2019,2.91,DIC,2.94,2.98,2.90,120230.00
22/08/2019,2.90,DIC,2.92,2.95,2.88,224100.00
21/08/2019,2.90,DIC,2.90,3.00,2.90,113080.00
20/08/2019,2.90,DIC,2.78,2.91,2.78,3820.00
19/08/2019,2.92,DIC,2.88,2.92,2.88,13780.00
16/08/2019,2.88,DIC,2.83,2.88,2.83,98070.00
15/08/2019,2.87,DIC,2.84,2.88,2.80,51580.00
14/08/2019,2.84,DIC,2.88,2.88,2.84,27590.00
13/08/2019,2.79,DIC,2.87,2.87,2.76,22670.00
12/08/2019,2.95,DIC,2.88,2.95,2.86,27210.00
09/08/2019,2.88,DIC,2.86,2.91,2.86,26600.00
08/08/2019,2.85,DIC,2.87,2.92,2.85,10090.00
07/08/2019,2.85,DIC,2.94,2.94,2.85,53030.00
06/08/2019,2.90,DIC,2.85,2.94,2.85,180.00
05/08/2019,2.90,DIC,2.83,2.95,2.83,22030.00
02/08/2019,2.93,DIC,2.82,2.93,2.82,11600.00
01/08/2019,2.84,DIC,2.82,2.90,2.82,11130.00
31/07/2019,2.82,DIC,2.90,2.90,2.82,52480.00
30/07/2019,2.81,DIC,2.94,2.94,2.81,5630.00
29/07/2019,2.97,DIC,2.97,2.97,2.97,5010.00
26/07/2019,2.95,DIC,2.90,2.95,2.85,21100.00
25/07/2019,2.95,DIC,2.85,3.00,2.85,8580.00
24/07/2019,2.90,DIC,2.90,2.96,2.90,6460.00
23/07/2019,2.90,DIC,2.94,2.94,2.87,11750.00
22/07/2019,2.95,DIC,2.90,2.95,2.85,14740.00
19/07/2019,2.98,DIC,2.98,2.98,2.98,1000.00
18/07/2019,2.98,DIC,2.98,3.00,2.98,12610.00
17/07/2019,2.98,DIC,3.01,3.07,2.98,15300.00
16/07/2019,3.06,DIC,3.10,3.10,3.06,1660.00
15/07/2019,3.15,DIC,2.98,3.17,2.97,85040.00
12/07/2019,2.98,DIC,2.90,2.99,2.89,216050.00
11/07/2019,2.88,DIC,2.98,2.98,2.81,133110.00
10/07/2019,2.90,DIC,3.00,3.00,2.90,4270.00
09/07/2019,3.00,DIC,2.99,3.00,2.98,5420.00
08/07/2019,2.97,DIC,2.90,2.97,2.90,90.00
05/07/2019,2.97,DIC,2.84,2.97,2.81,5170.00
04/07/2019,2.86,DIC,2.92,2.92,2.86,2430.00
03/07/2019,2.99,DIC,2.82,2.99,2.82,18510.00
02/07/2019,2.97,DIC,2.93,3.00,2.87,10130.00
01/07/2019,2.95,DIC,2.95,3.09,2.93,3650.00
28/06/2019,2.95,DIC,3.00,3.00,2.95,4190.00
27/06/2019,3.00,DIC,3.11,3.11,2.98,141380.00
26/06/2019,3.15,DIC,2.90,3.15,2.90,76720.00
25/06/2019,2.95,DIC,2.84,2.95,2.84,30120.00
24/06/2019,2.84,DIC,2.85,2.85,2.81,65510.00
21/06/2019,2.83,DIC,2.82,2.90,2.82,6940.00
20/06/2019,2.84,DIC,2.85,2.85,2.82,115310.00
19/06/2019,2.83,DIC,2.83,2.84,2.83,91640.00
18/06/2019,2.83,DIC,2.98,2.98,2.83,168920.00
17/06/2019,2.83,DIC,2.87,2.88,2.83,67940.00
14/06/2019,2.95,DIC,2.91,2.95,2.90,128100.00
13/06/2019,2.91,DIC,2.82,2.91,2.80,2040.00
12/06/2019,2.92,DIC,2.81,2.92,2.81,29170.00
