DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.00,DS3,3.00,3.00,2.90,56500.00
10/01/2020,3.00,DS3,3.10,3.10,2.90,24200.00
09/01/2020,3.10,DS3,3.00,3.10,3.00,93000.00
08/01/2020,3.00,DS3,3.10,3.10,3.00,76700.00
07/01/2020,3.10,DS3,3.10,3.10,3.00,91500.00
06/01/2020,3.10,DS3,3.10,3.20,3.00,42300.00
03/01/2020,3.20,DS3,3.10,3.20,3.10,55500.00
02/01/2020,3.00,DS3,3.10,3.20,3.00,60600.00
31/12/2019,3.20,DS3,3.20,3.20,3.10,115800.00
30/12/2019,3.20,DS3,3.20,3.20,3.10,47700.00
27/12/2019,3.20,DS3,3.20,3.30,3.20,13300.00
26/12/2019,3.30,DS3,3.30,3.40,3.20,87800.00
25/12/2019,3.40,DS3,3.20,3.50,3.10,336700.00
24/12/2019,3.20,DS3,3.10,3.20,3.10,68200.00
23/12/2019,3.10,DS3,3.20,3.20,3.10,66200.00
20/12/2019,3.20,DS3,3.20,3.20,3.10,86300.00
19/12/2019,3.20,DS3,3.20,3.20,3.20,81300.00
18/12/2019,3.20,DS3,3.20,3.20,3.20,4200.00
17/12/2019,3.20,DS3,3.30,3.30,3.20,4100.00
16/12/2019,3.30,DS3,3.20,3.30,3.20,8900.00
13/12/2019,3.20,DS3,3.20,3.30,3.10,45200.00
12/12/2019,3.20,DS3,3.20,3.20,3.10,26500.00
11/12/2019,3.30,DS3,3.30,3.30,3.20,34100.00
10/12/2019,3.30,DS3,3.30,3.30,3.20,4400.00
09/12/2019,3.20,DS3,3.20,3.20,3.20,200.00
06/12/2019,3.30,DS3,3.30,3.30,3.20,28300.00
05/12/2019,3.30,DS3,3.30,3.30,3.30,109100.00
04/12/2019,3.20,DS3,3.10,3.20,3.10,8700.00
03/12/2019,3.20,DS3,3.20,3.30,3.20,25200.00
02/12/2019,3.20,DS3,3.30,3.30,3.20,9400.00
29/11/2019,3.20,DS3,3.30,3.30,3.20,51100.00
28/11/2019,3.30,DS3,3.20,3.40,3.20,151700.00
27/11/2019,3.30,DS3,3.20,3.30,3.20,4100.00
26/11/2019,3.30,DS3,3.20,3.30,3.10,3000.00
25/11/2019,3.30,DS3,3.30,3.30,3.20,14900.00
22/11/2019,3.20,DS3,3.30,3.30,3.20,77900.00
21/11/2019,3.30,DS3,3.30,3.30,3.20,27900.00
20/11/2019,3.20,DS3,3.30,3.30,3.20,122200.00
19/11/2019,3.30,DS3,3.40,3.40,3.20,55100.00
18/11/2019,3.40,DS3,3.40,3.40,3.20,141900.00
15/11/2019,3.40,DS3,3.40,3.40,3.30,47900.00
14/11/2019,3.40,DS3,3.30,3.40,3.30,24000.00
13/11/2019,3.40,DS3,3.60,3.60,3.40,55800.00
12/11/2019,3.40,DS3,3.30,3.50,3.30,58200.00
11/11/2019,3.50,DS3,3.50,3.50,3.30,71800.00
08/11/2019,3.50,DS3,3.40,3.50,3.40,23900.00
07/11/2019,3.40,DS3,3.50,3.60,3.40,20200.00
06/11/2019,3.30,DS3,3.60,3.60,3.30,58400.00
05/11/2019,3.40,DS3,3.60,3.60,3.40,126600.00
04/11/2019,3.60,DS3,3.60,3.90,3.50,111900.00
01/11/2019,3.60,DS3,3.60,3.60,3.50,18600.00
31/10/2019,3.60,DS3,3.60,3.60,3.50,129500.00
30/10/2019,3.60,DS3,3.40,3.60,3.40,364000.00
29/10/2019,3.30,DS3,3.30,3.40,3.30,16400.00
28/10/2019,3.30,DS3,3.30,3.40,3.30,212900.00
25/10/2019,3.30,DS3,3.20,3.30,3.20,99300.00
24/10/2019,3.20,DS3,3.20,3.20,3.10,110400.00
23/10/2019,3.20,DS3,3.10,3.20,3.10,23100.00
22/10/2019,3.20,DS3,3.20,3.20,3.10,3300.00
21/10/2019,3.20,DS3,3.20,3.20,3.10,3600.00
18/10/2019,3.10,DS3,3.20,3.20,3.00,26500.00
17/10/2019,3.30,DS3,3.20,3.30,3.20,20200.00
16/10/2019,3.30,DS3,3.20,3.30,3.20,19700.00
15/10/2019,3.20,DS3,3.20,3.20,3.10,8700.00
14/10/2019,3.20,DS3,3.20,3.20,3.20,37800.00
11/10/2019,3.20,DS3,3.10,3.20,3.10,58800.00
10/10/2019,3.10,DS3,3.20,3.20,3.10,24900.00
09/10/2019,3.20,DS3,3.20,3.30,3.20,42100.00
08/10/2019,3.20,DS3,3.20,3.30,3.20,14700.00
07/10/2019,3.20,DS3,3.30,3.30,3.20,32400.00
