DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,0.90,FID,0.90,0.90,0.90,200.00
10/01/2020,0.90,FID,0.90,0.90,0.90,100.00
09/01/2020,1.00,FID,1.00,1.00,1.00,0.00
08/01/2020,1.00,FID,1.00,1.00,1.00,0.00
07/01/2020,1.00,FID,1.00,1.00,1.00,200.00
06/01/2020,0.90,FID,0.90,0.90,0.90,1500.00
03/01/2020,1.00,FID,1.00,1.00,1.00,1500.00
02/01/2020,1.00,FID,1.00,1.00,1.00,0.00
31/12/2019,1.00,FID,0.90,1.00,0.90,200.00
30/12/2019,1.00,FID,1.00,1.00,1.00,100.00
27/12/2019,1.10,FID,1.10,1.10,1.10,0.00
26/12/2019,1.10,FID,1.10,1.10,1.10,0.00
25/12/2019,1.10,FID,1.10,1.10,1.10,0.00
24/12/2019,1.10,FID,1.10,1.10,1.10,0.00
23/12/2019,1.10,FID,1.00,1.10,1.00,10900.00
20/12/2019,1.00,FID,0.90,1.00,0.90,200.00
19/12/2019,1.00,FID,1.00,1.00,1.00,54900.00
18/12/2019,1.10,FID,0.90,1.10,0.90,200.00
17/12/2019,1.00,FID,1.00,1.00,1.00,40100.00
16/12/2019,1.00,FID,1.10,1.10,1.00,12500.00
13/12/2019,1.10,FID,1.10,1.10,1.10,100.00
12/12/2019,1.00,FID,1.10,1.10,1.00,19100.00
11/12/2019,1.00,FID,1.00,1.00,1.00,23100.00
10/12/2019,1.00,FID,1.00,1.00,1.00,1000.00
09/12/2019,1.00,FID,1.00,1.00,1.00,19600.00
06/12/2019,1.00,FID,1.10,1.10,0.90,7600.00
05/12/2019,1.00,FID,1.00,1.00,1.00,100.00
04/12/2019,1.10,FID,1.00,1.10,1.00,35200.00
03/12/2019,1.00,FID,1.00,1.00,1.00,30100.00
02/12/2019,1.10,FID,1.00,1.10,1.00,95400.00
29/11/2019,1.10,FID,1.10,1.10,1.10,16200.00
28/11/2019,1.20,FID,1.20,1.20,1.20,100.00
27/11/2019,1.10,FID,1.10,1.10,1.10,600.00
26/11/2019,1.20,FID,1.00,1.20,1.00,200.00
25/11/2019,1.10,FID,1.10,1.10,1.10,6000.00
22/11/2019,1.20,FID,1.20,1.20,1.20,20900.00
21/11/2019,1.30,FID,1.30,1.30,1.30,100.00
20/11/2019,1.40,FID,1.20,1.40,1.20,700.00
19/11/2019,1.30,FID,1.30,1.50,1.30,11040.00
18/11/2019,1.40,FID,1.30,1.40,1.20,44300.00
15/11/2019,1.30,FID,1.30,1.30,1.10,30520.00
14/11/2019,1.20,FID,1.20,1.20,1.20,20000.00
13/11/2019,1.10,FID,0.90,1.10,0.90,134300.00
12/11/2019,1.00,FID,1.00,1.00,1.00,18300.00
11/11/2019,1.10,FID,1.10,1.10,1.00,15300.00
08/11/2019,1.10,FID,1.10,1.10,1.10,1000.00
07/11/2019,1.10,FID,1.10,1.10,1.10,3000.00
06/11/2019,1.00,FID,1.00,1.00,1.00,0.00
05/11/2019,1.00,FID,1.00,1.00,1.00,5000.00
04/11/2019,1.10,FID,1.10,1.10,1.10,0.00
01/11/2019,1.10,FID,1.10,1.10,1.10,100.00
31/10/2019,1.10,FID,1.10,1.10,1.10,0.00
30/10/2019,1.10,FID,1.10,1.10,1.10,0.00
29/10/2019,1.10,FID,0.90,1.10,0.90,3300.00
28/10/2019,1.00,FID,1.00,1.00,1.00,500.00
25/10/2019,1.10,FID,1.10,1.10,1.10,0.00
24/10/2019,1.10,FID,1.10,1.10,1.10,400.00
23/10/2019,1.10,FID,1.10,1.10,1.10,100.00
22/10/2019,1.00,FID,1.00,1.00,0.90,81600.00
21/10/2019,1.00,FID,1.00,1.00,1.00,100.00
18/10/2019,1.10,FID,1.10,1.10,1.10,200.00
17/10/2019,1.00,FID,1.00,1.00,1.00,100.00
16/10/2019,1.10,FID,1.00,1.10,1.00,46100.00
15/10/2019,1.10,FID,1.00,1.10,0.90,3000.00
14/10/2019,1.00,FID,1.00,1.00,1.00,2500.00
11/10/2019,1.00,FID,1.20,1.20,1.00,400.00
10/10/2019,1.10,FID,1.10,1.10,1.10,100.00
09/10/2019,1.20,FID,1.20,1.20,1.20,200.00
08/10/2019,1.30,FID,1.30,1.30,1.30,0.00
