DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,120.70,FOC,120.70,120.70,120.70,41.00
10/01/2020,121.00,FOC,120.30,121.00,120.30,200.00
09/01/2020,120.30,FOC,120.30,120.30,120.30,0.00
08/01/2020,117.90,FOC,122.70,122.70,117.50,1300.00
07/01/2020,127.50,FOC,127.50,127.50,127.50,0.00
06/01/2020,127.50,FOC,127.50,127.50,127.50,100.00
03/01/2020,123.80,FOC,123.80,123.80,123.80,10.00
02/01/2020,123.00,FOC,124.20,124.20,123.00,1000.00
31/12/2019,126.00,FOC,128.50,128.50,126.00,1500.00
30/12/2019,126.90,FOC,126.90,126.90,126.90,0.00
27/12/2019,126.90,FOC,126.90,126.90,126.90,303.00
26/12/2019,127.00,FOC,127.00,127.00,127.00,200.00
25/12/2019,126.90,FOC,126.90,126.90,126.90,100.00
24/12/2019,122.10,FOC,125.20,125.20,122.10,500.00
23/12/2019,125.70,FOC,125.70,125.70,125.70,0.00
20/12/2019,125.70,FOC,125.70,125.70,125.70,0.00
19/12/2019,126.90,FOC,125.10,126.90,125.00,300.00
18/12/2019,127.30,FOC,127.30,127.30,127.30,0.00
17/12/2019,127.30,FOC,127.30,127.30,127.30,100.00
16/12/2019,123.20,FOC,121.70,123.20,121.70,400.00
13/12/2019,126.70,FOC,127.90,127.90,122.60,500.00
12/12/2019,127.00,FOC,122.30,127.00,122.30,400.00
11/12/2019,122.40,FOC,122.40,122.40,122.40,500.00
10/12/2019,122.50,FOC,128.40,128.40,122.40,2454.00
09/12/2019,122.40,FOC,122.40,122.50,122.40,300.00
06/12/2019,122.50,FOC,122.10,122.50,122.10,400.00
05/12/2019,122.00,FOC,121.80,122.10,121.80,800.00
04/12/2019,121.70,FOC,121.60,121.70,121.60,200.00
03/12/2019,121.30,FOC,121.30,121.30,121.30,100.00
02/12/2019,121.20,FOC,121.20,121.20,121.20,100.00
29/11/2019,126.00,FOC,121.10,126.00,120.10,600.00
28/11/2019,121.20,FOC,121.10,121.20,121.10,1400.00
27/11/2019,121.10,FOC,121.10,121.10,121.10,500.00
26/11/2019,121.10,FOC,121.00,121.10,121.00,200.00
25/11/2019,128.40,FOC,111.60,128.40,111.60,200.00
22/11/2019,123.30,FOC,123.30,123.30,123.30,0.00
21/11/2019,123.10,FOC,123.70,123.70,123.10,500.00
20/11/2019,123.30,FOC,123.80,123.80,123.30,500.00
19/11/2019,123.80,FOC,123.80,123.80,123.80,200.00
18/11/2019,123.70,FOC,123.60,123.70,123.60,1000.00
15/11/2019,123.80,FOC,123.70,123.80,123.70,200.00
14/11/2019,123.50,FOC,123.50,123.50,123.50,100.00
13/11/2019,125.80,FOC,125.80,125.80,125.80,100.00
12/11/2019,126.70,FOC,126.70,126.70,126.70,100.00
11/11/2019,126.80,FOC,126.80,126.80,126.80,100.00
08/11/2019,123.50,FOC,123.50,123.50,123.50,100.00
07/11/2019,127.00,FOC,127.00,127.00,127.00,100.00
06/11/2019,125.60,FOC,125.60,125.60,125.60,0.00
05/11/2019,123.00,FOC,126.50,126.50,123.00,2600.00
04/11/2019,126.50,FOC,122.50,126.50,122.50,1200.00
01/11/2019,127.70,FOC,127.70,127.70,127.70,0.00
31/10/2019,129.00,FOC,126.40,129.00,126.40,200.00
30/10/2019,121.20,FOC,122.00,122.00,121.20,900.00
29/10/2019,121.50,FOC,121.50,121.50,121.50,100.00
28/10/2019,123.00,FOC,123.00,123.00,123.00,0.00
25/10/2019,123.00,FOC,123.00,123.00,123.00,10.00
24/10/2019,123.00,FOC,123.10,123.10,123.00,1000.00
23/10/2019,123.00,FOC,123.00,123.10,123.00,900.00
22/10/2019,129.00,FOC,121.70,129.00,121.70,500.00
21/10/2019,146.00,FOC,124.20,146.00,124.20,205.00
18/10/2019,146.00,FOC,146.00,146.00,146.00,100.00
17/10/2019,129.00,FOC,129.00,129.00,129.00,0.00
16/10/2019,129.00,FOC,129.00,129.00,129.00,100.00
15/10/2019,128.00,FOC,128.00,128.00,128.00,700.00
14/10/2019,128.00,FOC,122.10,128.00,122.10,1300.00
11/10/2019,124.70,FOC,124.70,124.70,124.70,0.00
10/10/2019,120.70,FOC,137.80,137.80,120.70,500.00
09/10/2019,128.00,FOC,113.30,128.00,113.30,200.00
08/10/2019,127.00,FOC,127.00,127.00,127.00,0.00
07/10/2019,127.00,FOC,127.00,127.00,127.00,0.00
04/10/2019,127.00,FOC,127.00,127.00,127.00,0.00
03/10/2019,127.00,FOC,127.00,127.00,127.00,0.00
02/10/2019,127.00,FOC,127.00,127.00,127.00,900.00
01/10/2019,127.00,FOC,127.00,128.00,127.00,2220.00
30/09/2019,127.00,FOC,145.60,145.60,127.00,1200.00
27/09/2019,128.00,FOC,128.00,128.00,128.00,0.00
26/09/2019,128.00,FOC,128.00,128.00,128.00,100.00
