DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,57.10,FPT,57.40,57.60,57.00,786760.00
10/01/2020,57.50,FPT,57.50,57.80,57.10,1018650.00
09/01/2020,57.60,FPT,57.30,57.70,57.10,967050.00
08/01/2020,56.80,FPT,57.50,57.70,56.80,1814290.00
07/01/2020,58.10,FPT,57.30,58.10,57.00,837240.00
06/01/2020,57.00,FPT,57.10,57.60,56.80,1091660.00
03/01/2020,57.60,FPT,58.90,59.10,57.40,2047880.00
02/01/2020,58.60,FPT,58.30,59.00,58.00,896720.00
31/12/2019,58.30,FPT,58.60,58.70,58.00,689030.00
30/12/2019,58.60,FPT,57.80,58.90,57.60,2881060.00
27/12/2019,57.60,FPT,57.40,57.80,56.80,1004860.00
26/12/2019,57.40,FPT,57.80,58.10,57.40,1124500.00
25/12/2019,57.50,FPT,56.40,57.90,56.40,1604350.00
24/12/2019,56.40,FPT,56.40,56.50,56.10,692100.00
23/12/2019,56.10,FPT,56.90,57.00,56.00,766000.00
20/12/2019,56.50,FPT,56.00,56.70,55.80,777100.00
19/12/2019,55.80,FPT,55.50,56.20,55.40,817820.00
18/12/2019,55.50,FPT,55.40,56.00,55.00,1022490.00
17/12/2019,55.40,FPT,56.20,56.40,55.10,2211360.00
16/12/2019,56.50,FPT,57.10,57.10,56.40,968130.00
13/12/2019,57.10,FPT,57.20,57.50,56.90,1681700.00
12/12/2019,57.00,FPT,56.80,57.20,56.70,942410.00
11/12/2019,56.50,FPT,55.50,56.60,55.20,877960.00
10/12/2019,55.50,FPT,55.30,55.80,54.80,797100.00
09/12/2019,55.30,FPT,55.20,55.80,55.00,700960.00
06/12/2019,55.00,FPT,55.00,55.40,54.70,556160.00
05/12/2019,54.90,FPT,55.50,55.80,54.80,1144000.00
04/12/2019,55.40,FPT,54.50,55.50,54.00,932130.00
03/12/2019,54.50,FPT,54.20,55.20,53.30,1619120.00
02/12/2019,54.60,FPT,56.50,56.50,54.60,1992380.00
29/11/2019,56.40,FPT,56.00,56.80,55.80,739370.00
28/11/2019,56.00,FPT,56.90,56.90,55.80,1370820.00
27/11/2019,57.00,FPT,57.20,57.40,56.90,812280.00
26/11/2019,57.10,FPT,57.00,57.20,56.80,968690.00
25/11/2019,56.60,FPT,56.10,57.00,55.80,1087990.00
22/11/2019,56.00,FPT,56.30,57.10,55.50,1625820.00
21/11/2019,56.00,FPT,56.80,57.10,55.90,3303950.00
20/11/2019,56.80,FPT,58.20,58.20,56.60,2291760.00
19/11/2019,58.30,FPT,57.50,58.30,57.50,1059770.00
18/11/2019,57.50,FPT,58.40,58.80,57.10,2794920.00
15/11/2019,58.60,FPT,58.30,58.80,57.70,2568040.00
14/11/2019,58.30,FPT,60.50,61.00,57.50,4799390.00
13/11/2019,60.50,FPT,61.20,61.30,60.50,1333940.00
12/11/2019,61.00,FPT,60.00,61.30,60.00,2842650.00
11/11/2019,60.00,FPT,59.70,60.60,59.50,2180490.00
08/11/2019,59.60,FPT,59.80,59.80,59.20,1219540.00
07/11/2019,59.50,FPT,59.50,59.90,59.20,1438030.00
06/11/2019,59.50,FPT,59.80,60.40,59.50,1551610.00
05/11/2019,59.80,FPT,60.10,60.10,59.40,1239520.00
04/11/2019,59.90,FPT,58.70,60.50,58.70,5811560.00
01/11/2019,58.50,FPT,58.00,58.70,57.60,1732950.00
31/10/2019,57.90,FPT,58.00,58.70,57.80,1263390.00
30/10/2019,57.80,FPT,57.90,58.10,57.60,1102070.00
29/10/2019,57.90,FPT,58.20,58.30,57.80,953020.00
28/10/2019,58.10,FPT,58.00,58.80,57.80,1494820.00
25/10/2019,58.00,FPT,58.30,58.50,57.70,1355310.00
24/10/2019,58.20,FPT,56.80,58.20,56.40,2233890.00
23/10/2019,56.40,FPT,56.00,57.00,56.00,747810.00
22/10/2019,56.30,FPT,56.50,56.60,55.70,1534380.00
21/10/2019,56.50,FPT,57.40,57.40,56.30,1260490.00
18/10/2019,57.10,FPT,56.80,57.60,56.60,1447340.00
17/10/2019,56.70,FPT,57.40,57.50,56.60,1621590.00
16/10/2019,57.50,FPT,57.80,58.00,57.40,829050.00
15/10/2019,57.40,FPT,57.80,57.80,57.40,663910.00
14/10/2019,57.70,FPT,57.00,58.20,56.80,2231030.00
11/10/2019,56.50,FPT,56.70,56.90,56.40,794420.00
10/10/2019,56.40,FPT,56.60,57.00,56.40,808000.00
09/10/2019,56.40,FPT,56.30,57.00,55.80,937530.00
08/10/2019,56.10,FPT,55.50,56.20,55.20,1337220.00
07/10/2019,55.50,FPT,56.80,57.20,55.50,2371810.00
04/10/2019,56.80,FPT,57.50,57.50,56.70,1271210.00
03/10/2019,57.20,FPT,56.60,57.40,56.40,2804850.00
02/10/2019,57.20,FPT,58.50,58.60,57.20,2439020.00
01/10/2019,58.50,FPT,57.70,58.50,57.60,1644130.00
30/09/2019,57.70,FPT,59.30,59.50,57.70,2199170.00
27/09/2019,58.50,FPT,57.60,58.80,57.40,2510520.00
26/09/2019,57.70,FPT,57.70,58.00,57.20,992640.00
25/09/2019,57.40,FPT,56.30,57.40,56.10,1442410.00
