DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.00,FRM,15.50,15.50,14.00,1100.00
10/01/2020,14.10,FRM,14.10,14.10,14.10,0.00
09/01/2020,14.00,FRM,14.20,14.20,14.00,1700.00
08/01/2020,12.40,FRM,12.40,12.40,12.40,100.00
07/01/2020,13.80,FRM,13.80,13.80,13.80,0.00
06/01/2020,13.80,FRM,13.80,13.80,13.80,0.00
03/01/2020,13.80,FRM,13.80,13.80,13.80,0.00
02/01/2020,14.30,FRM,12.40,14.30,12.40,500.00
31/12/2019,14.20,FRM,14.20,14.20,14.20,0.00
30/12/2019,14.40,FRM,14.00,14.40,14.00,700.00
27/12/2019,13.10,FRM,13.10,13.10,13.10,0.00
26/12/2019,13.10,FRM,13.10,13.10,13.10,0.00
25/12/2019,13.10,FRM,13.10,13.10,13.10,0.00
24/12/2019,13.10,FRM,13.10,13.10,13.10,100.00
23/12/2019,14.00,FRM,13.90,14.00,13.90,900.00
20/12/2019,14.30,FRM,14.30,14.30,14.30,0.00
19/12/2019,14.50,FRM,14.00,14.50,14.00,800.00
18/12/2019,14.30,FRM,14.30,14.30,14.30,0.00
17/12/2019,14.00,FRM,13.90,14.60,13.90,1100.00
16/12/2019,12.70,FRM,12.70,12.70,12.70,0.00
13/12/2019,12.60,FRM,12.90,12.90,12.60,2100.00
12/12/2019,15.10,FRM,14.40,15.10,14.40,600.00
11/12/2019,13.70,FRM,13.70,13.70,13.70,0.00
10/12/2019,13.70,FRM,13.70,13.70,13.70,100.00
09/12/2019,12.00,FRM,12.00,12.00,12.00,300.00
06/12/2019,13.20,FRM,13.00,13.30,13.00,1300.00
05/12/2019,14.50,FRM,15.50,15.50,14.20,1100.00
04/12/2019,13.50,FRM,13.50,13.50,13.50,0.00
03/12/2019,13.50,FRM,13.50,13.50,13.50,100.00
02/12/2019,14.50,FRM,14.50,14.50,14.50,2500.00
29/11/2019,17.00,FRM,17.00,17.00,17.00,0.00
28/11/2019,17.00,FRM,17.00,17.00,17.00,0.00
27/11/2019,17.00,FRM,17.00,17.00,17.00,100.00
26/11/2019,14.80,FRM,16.50,16.50,14.80,400.00
25/11/2019,18.80,FRM,14.10,18.80,14.10,9800.00
22/11/2019,16.60,FRM,15.00,16.90,15.00,2100.00
21/11/2019,15.40,FRM,15.40,15.40,15.40,100.00
20/11/2019,13.50,FRM,13.50,13.50,13.50,1000.00
19/11/2019,11.80,FRM,11.80,11.80,11.80,1900.00
18/11/2019,13.40,FRM,13.40,13.40,13.40,100.00
15/11/2019,15.10,FRM,15.10,15.10,15.10,100.00
14/11/2019,17.60,FRM,17.60,17.60,17.60,0.00
13/11/2019,15.20,FRM,17.60,17.90,15.20,31400.00
12/11/2019,18.50,FRM,15.40,19.00,15.40,32700.00
11/11/2019,17.00,FRM,17.00,17.00,17.00,100.00
08/11/2019,15.00,FRM,18.00,19.40,15.00,29100.00
07/11/2019,17.40,FRM,13.00,17.40,13.00,37200.00
06/11/2019,15.20,FRM,15.20,15.20,15.20,0.00
05/11/2019,14.80,FRM,15.90,15.90,14.80,300.00
04/11/2019,15.30,FRM,14.40,15.30,14.40,600.00
01/11/2019,13.50,FRM,13.50,13.50,13.50,100.00
31/10/2019,11.80,FRM,11.10,13.20,11.00,3000.00
30/10/2019,11.50,FRM,11.60,11.60,11.50,2500.00
29/10/2019,13.20,FRM,13.20,13.20,13.20,0.00
28/10/2019,12.80,FRM,15.40,15.40,12.80,1100.00
25/10/2019,14.90,FRM,14.90,14.90,14.90,0.00
24/10/2019,14.90,FRM,14.90,14.90,14.90,100.00
23/10/2019,13.70,FRM,13.70,13.70,13.70,0.00
22/10/2019,13.70,FRM,13.70,13.70,13.70,600.00
21/10/2019,15.70,FRM,15.70,15.70,15.70,0.00
18/10/2019,15.70,FRM,15.70,15.70,15.70,0.00
17/10/2019,15.70,FRM,15.70,15.70,15.70,0.00
16/10/2019,15.70,FRM,15.70,15.70,15.70,100.00
15/10/2019,14.40,FRM,14.40,14.40,14.40,1400.00
14/10/2019,16.70,FRM,16.70,16.70,16.70,0.00
11/10/2019,16.00,FRM,15.90,16.80,15.90,26800.00
10/10/2019,16.00,FRM,16.50,16.50,16.00,2100.00
09/10/2019,18.80,FRM,18.80,18.80,18.80,17600.00
08/10/2019,15.60,FRM,15.90,19.00,15.20,46800.00
07/10/2019,15.00,FRM,16.90,17.00,15.00,23000.00
04/10/2019,17.60,FRM,17.60,17.60,17.60,100.00
03/10/2019,19.50,FRM,17.90,21.00,17.90,53600.00
02/10/2019,18.50,FRM,15.90,18.50,15.00,43100.00
01/10/2019,16.70,FRM,13.90,16.70,13.90,13400.00
30/09/2019,14.80,FRM,12.80,14.80,12.10,8400.00
27/09/2019,14.00,FRM,14.00,14.00,14.00,800.00
26/09/2019,14.90,FRM,13.70,14.90,13.60,49100.00
25/09/2019,14.20,FRM,14.50,15.60,14.10,900.00
24/09/2019,13.80,FRM,13.60,13.80,13.60,3900.00
23/09/2019,14.00,FRM,15.90,16.30,14.00,8800.00
20/09/2019,16.30,FRM,16.30,16.30,16.30,200.00
19/09/2019,15.20,FRM,15.30,19.90,15.20,27300.00
18/09/2019,17.90,FRM,15.90,18.20,14.10,44200.00
17/09/2019,16.40,FRM,14.00,16.90,12.60,31900.00
16/09/2019,15.00,FRM,14.30,15.90,14.30,16000.00
13/09/2019,16.80,FRM,16.80,16.80,16.80,0.00
12/09/2019,16.80,FRM,16.80,16.80,16.80,0.00
11/09/2019,16.80,FRM,15.80,16.80,15.80,5400.00
10/09/2019,13.80,FRM,17.80,17.80,13.70,17200.00
09/09/2019,14.10,FRM,16.90,18.00,14.00,22500.00
06/09/2019,16.50,FRM,13.50,16.50,13.10,31700.00
05/09/2019,13.70,FRM,16.50,16.50,12.60,37100.00
04/09/2019,13.60,FRM,15.00,17.40,13.00,23500.00
03/09/2019,15.20,FRM,15.30,15.30,15.20,5100.00
30/08/2019,20.00,FRM,16.00,20.00,15.00,32300.00
29/08/2019,17.00,FRM,18.00,18.00,17.00,2100.00
28/08/2019,16.20,FRM,17.00,18.50,16.20,10000.00
27/08/2019,19.00,FRM,19.00,19.00,19.00,0.00
26/08/2019,19.00,FRM,19.00,19.00,19.00,1700.00
23/08/2019,22.30,FRM,22.30,22.30,22.30,0.00
22/08/2019,22.30,FRM,22.30,22.30,22.30,0.00
21/08/2019,22.30,FRM,22.30,22.30,22.30,0.00
20/08/2019,23.10,FRM,22.00,23.10,17.10,9500.00
19/08/2019,20.10,FRM,20.10,20.10,20.10,0.00
16/08/2019,20.00,FRM,19.50,20.50,19.50,5300.00
15/08/2019,19.00,FRM,19.00,19.00,19.00,0.00
14/08/2019,20.00,FRM,18.00,20.00,18.00,1500.00
13/08/2019,18.00,FRM,18.00,18.00,18.00,0.00
12/08/2019,18.00,FRM,18.00,18.00,18.00,0.00
09/08/2019,18.00,FRM,18.00,18.00,18.00,100.00
08/08/2019,17.00,FRM,14.00,17.00,14.00,4000.00
07/08/2019,14.80,FRM,14.00,15.00,14.00,5500.00
06/08/2019,13.80,FRM,12.60,13.80,12.60,7500.00
05/08/2019,14.80,FRM,14.80,14.80,14.80,0.00
02/08/2019,14.80,FRM,14.80,14.80,14.80,0.00
01/08/2019,14.80,FRM,14.80,14.80,14.80,0.00
31/07/2019,14.80,FRM,14.80,14.80,14.80,1000.00
30/07/2019,13.40,FRM,12.00,13.40,12.00,1400.00
29/07/2019,13.30,FRM,11.60,13.30,11.60,4100.00
26/07/2019,11.60,FRM,11.60,11.60,11.60,0.00
25/07/2019,12.10,FRM,10.50,12.10,10.50,1500.00
24/07/2019,11.50,FRM,9.90,11.50,9.90,3000.00
23/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
22/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
19/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
18/07/2019,10.00,FRM,10.00,10.00,10.00,300.00
17/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
16/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
15/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
12/07/2019,10.00,FRM,10.00,10.00,10.00,1000.00
11/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
10/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
09/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
08/07/2019,10.00,FRM,10.00,10.00,10.00,0.00
