DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,11.15,FTS,11.30,11.30,11.15,6290.00
10/01/2020,11.30,FTS,11.50,11.50,11.00,26040.00
09/01/2020,11.20,FTS,11.25,11.30,11.20,13670.00
08/01/2020,11.25,FTS,11.55,11.55,11.00,47420.00
07/01/2020,11.60,FTS,11.60,11.60,11.45,2000.00
06/01/2020,11.45,FTS,11.75,11.80,11.45,20860.00
03/01/2020,11.65,FTS,11.70,11.70,11.55,18090.00
02/01/2020,11.55,FTS,11.60,11.70,11.50,7730.00
31/12/2019,11.50,FTS,11.40,11.70,11.40,16770.00
30/12/2019,11.60,FTS,11.75,11.75,11.60,10090.00
27/12/2019,11.65,FTS,11.50,11.70,11.50,8560.00
26/12/2019,11.65,FTS,11.55,11.75,11.55,7440.00
25/12/2019,11.70,FTS,11.80,11.80,11.60,7450.00
24/12/2019,11.80,FTS,11.90,11.90,11.70,3020.00
23/12/2019,11.95,FTS,11.90,11.95,11.90,890.00
20/12/2019,11.90,FTS,11.90,12.00,11.70,10730.00
19/12/2019,12.00,FTS,12.20,12.10,12.00,14750.00
18/12/2019,12.20,FTS,12.40,12.40,12.00,8530.00
17/12/2019,12.20,FTS,12.10,12.20,12.05,19650.00
16/12/2019,12.10,FTS,12.30,12.40,12.00,7320.00
13/12/2019,12.30,FTS,12.20,12.40,12.20,8070.00
12/12/2019,12.40,FTS,12.45,12.45,12.00,21820.00
11/12/2019,12.45,FTS,12.40,12.50,12.00,63530.00
10/12/2019,12.45,FTS,12.55,12.55,12.25,16530.00
09/12/2019,12.50,FTS,12.50,12.50,12.30,2660.00
06/12/2019,12.50,FTS,12.10,12.50,12.05,25480.00
05/12/2019,12.05,FTS,12.35,12.35,12.00,9970.00
04/12/2019,12.45,FTS,12.50,12.50,12.20,4450.00
03/12/2019,12.50,FTS,12.40,12.75,12.20,7410.00
02/12/2019,12.30,FTS,13.00,13.00,12.30,45730.00
29/11/2019,13.00,FTS,12.60,13.05,12.50,122840.00
28/11/2019,12.60,FTS,12.75,12.80,12.40,61020.00
27/11/2019,12.60,FTS,13.05,13.05,12.50,63250.00
26/11/2019,13.05,FTS,12.10,13.15,12.10,35190.00
25/11/2019,12.30,FTS,12.00,12.35,12.00,40980.00
22/11/2019,12.40,FTS,12.50,13.00,12.30,42500.00
21/11/2019,12.75,FTS,12.60,12.80,12.00,121970.00
20/11/2019,12.00,FTS,11.30,12.00,11.30,345270.00
19/11/2019,11.25,FTS,11.30,11.35,11.25,50100.00
18/11/2019,11.30,FTS,11.40,11.40,11.25,34890.00
15/11/2019,11.30,FTS,11.30,11.40,11.30,11340.00
14/11/2019,11.30,FTS,11.45,11.45,11.30,46680.00
13/11/2019,11.40,FTS,11.40,11.45,11.30,75440.00
12/11/2019,11.25,FTS,11.25,11.35,11.25,71260.00
11/11/2019,11.25,FTS,11.35,11.35,11.20,127810.00
08/11/2019,11.30,FTS,11.25,11.30,11.20,52410.00
07/11/2019,11.25,FTS,11.20,11.25,11.15,25810.00
06/11/2019,11.25,FTS,11.25,11.35,11.15,66530.00
05/11/2019,11.20,FTS,11.25,11.25,11.15,23990.00
04/11/2019,11.25,FTS,11.40,11.40,11.15,60740.00
01/11/2019,11.25,FTS,11.35,11.35,11.25,25800.00
31/10/2019,11.35,FTS,11.40,11.45,11.25,33700.00
30/10/2019,11.40,FTS,11.30,11.40,11.30,32300.00
29/10/2019,11.45,FTS,11.35,11.45,11.30,22530.00
28/10/2019,11.40,FTS,11.30,11.50,11.25,6310.00
25/10/2019,11.40,FTS,11.45,11.45,11.10,56870.00
24/10/2019,11.45,FTS,11.50,11.50,11.30,14160.00
23/10/2019,11.50,FTS,11.40,11.50,11.30,19260.00
22/10/2019,11.30,FTS,11.25,11.30,11.10,20140.00
21/10/2019,11.10,FTS,11.30,11.35,11.10,43190.00
18/10/2019,11.35,FTS,11.40,11.50,11.30,25470.00
17/10/2019,11.45,FTS,11.70,11.70,11.45,41000.00
16/10/2019,11.55,FTS,11.80,11.80,11.50,42730.00
