DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,24.20,GAB,24.20,24.20,24.20,75720.00
10/01/2020,22.65,GAB,22.65,22.65,21.05,147420.00
09/01/2020,21.20,GAB,21.05,21.20,21.05,33540.00
08/01/2020,19.85,GAB,19.70,22.50,19.70,266640.00
07/01/2020,21.15,GAB,21.15,21.15,19.00,139870.00
06/01/2020,19.80,GAB,19.65,19.80,17.35,177460.00
03/01/2020,18.55,GAB,18.55,18.55,18.55,121890.00
02/01/2020,17.35,GAB,15.35,17.35,15.30,78630.00
31/12/2019,16.25,GAB,18.50,18.50,16.10,320670.00
30/12/2019,17.30,GAB,15.50,17.30,15.50,357330.00
27/12/2019,16.20,GAB,15.15,16.20,15.15,265940.00
26/12/2019,15.15,GAB,15.15,15.15,15.15,159250.00
25/12/2019,14.20,GAB,13.30,14.20,12.60,350470.00
24/12/2019,13.30,GAB,13.30,13.30,13.20,388480.00
23/12/2019,12.45,GAB,12.45,12.45,12.45,201310.00
20/12/2019,11.65,GAB,11.65,11.65,11.50,243310.00
19/12/2019,10.90,GAB,10.20,10.90,10.00,743320.00
18/12/2019,10.20,GAB,10.00,10.25,10.00,327300.00
17/12/2019,10.20,GAB,10.00,10.30,10.00,299030.00
16/12/2019,10.30,GAB,10.30,10.30,10.00,408460.00
13/12/2019,10.30,GAB,10.25,10.40,9.98,365340.00
12/12/2019,10.25,GAB,10.40,10.40,9.98,339180.00
11/12/2019,10.25,GAB,10.35,10.35,10.00,169010.00
10/12/2019,10.35,GAB,10.40,10.40,9.99,311520.00
09/12/2019,10.40,GAB,10.55,10.55,10.00,561850.00
06/12/2019,10.45,GAB,10.80,10.80,10.30,107290.00
05/12/2019,10.80,GAB,11.00,11.00,10.35,77300.00
04/12/2019,10.85,GAB,10.70,11.40,10.00,404840.00
03/12/2019,10.70,GAB,10.75,10.80,10.20,135530.00
02/12/2019,10.75,GAB,10.75,10.75,10.25,147200.00
29/11/2019,10.75,GAB,10.55,10.75,10.00,258630.00
28/11/2019,10.55,GAB,11.40,11.40,10.55,40930.00
27/11/2019,11.10,GAB,10.40,11.10,10.00,132020.00
26/11/2019,10.40,GAB,10.40,10.40,10.00,70420.00
25/11/2019,10.40,GAB,10.35,10.50,9.80,126780.00
22/11/2019,10.25,GAB,10.95,11.20,10.25,121530.00
21/11/2019,10.95,GAB,10.95,11.70,10.95,131170.00
20/11/2019,10.95,GAB,10.30,10.95,10.00,114710.00
19/11/2019,10.25,GAB,10.20,10.50,9.76,254240.00
18/11/2019,10.20,GAB,10.10,10.20,9.75,209000.00
15/11/2019,10.10,GAB,10.00,10.10,9.88,71700.00
14/11/2019,10.10,GAB,10.15,10.20,9.95,31540.00
13/11/2019,10.10,GAB,10.50,10.50,10.00,198600.00
12/11/2019,10.50,GAB,10.40,10.70,10.20,165300.00
11/11/2019,10.70,GAB,11.00,11.00,10.50,136390.00
08/11/2019,11.00,GAB,11.10,11.10,10.60,177960.00
07/11/2019,11.10,GAB,11.20,11.20,10.65,180310.00
06/11/2019,11.20,GAB,11.20,11.20,10.65,142820.00
05/11/2019,11.20,GAB,10.75,11.20,10.65,170270.00
04/11/2019,11.20,GAB,11.20,11.20,10.65,82570.00
01/11/2019,11.20,GAB,11.40,11.40,10.70,79930.00
31/10/2019,11.10,GAB,11.00,11.35,11.00,62870.00
30/10/2019,11.20,GAB,10.30,11.20,10.30,76510.00
29/10/2019,11.00,GAB,11.60,11.60,11.00,66530.00
28/10/2019,11.50,GAB,11.50,11.60,11.00,54820.00
25/10/2019,11.50,GAB,11.60,11.60,11.00,62310.00
24/10/2019,11.60,GAB,11.70,11.70,11.25,50330.00
23/10/2019,11.70,GAB,11.70,11.70,11.30,64280.00
22/10/2019,11.70,GAB,11.10,11.80,11.10,117790.00
21/10/2019,11.70,GAB,11.90,11.90,10.90,128420.00
18/10/2019,11.50,GAB,11.80,11.85,11.50,66010.00
17/10/2019,11.70,GAB,12.05,12.10,11.40,79670.00
16/10/2019,12.10,GAB,12.60,12.60,12.00,78170.00
15/10/2019,12.05,GAB,12.05,12.05,11.95,127790.00
14/10/2019,11.30,GAB,10.85,11.30,10.10,296690.00
11/10/2019,10.60,GAB,10.90,11.00,10.50,77570.00
10/10/2019,10.90,GAB,10.85,11.00,10.75,51950.00
09/10/2019,10.70,GAB,10.90,11.00,10.70,20120.00
08/10/2019,10.85,GAB,10.80,10.90,10.70,28560.00
07/10/2019,10.50,GAB,11.10,11.10,10.50,43930.00
04/10/2019,11.10,GAB,11.10,11.10,10.80,37270.00
03/10/2019,11.10,GAB,11.10,11.10,10.80,61580.00
02/10/2019,11.10,GAB,11.15,11.15,10.80,68640.00
01/10/2019,11.15,GAB,11.20,11.20,10.90,58820.00
30/09/2019,11.10,GAB,11.00,11.15,10.75,75110.00
27/09/2019,10.95,GAB,10.95,11.50,10.70,47000.00
26/09/2019,10.95,GAB,11.00,11.00,10.60,46110.00
25/09/2019,11.00,GAB,11.00,11.05,10.75,128740.00
24/09/2019,11.00,GAB,11.10,11.10,10.70,122500.00
23/09/2019,11.10,GAB,10.65,11.15,10.65,65930.00
20/09/2019,11.25,GAB,11.35,11.35,10.60,151380.00
19/09/2019,11.20,GAB,11.50,11.50,11.10,71360.00
18/09/2019,11.10,GAB,11.20,11.20,10.60,75440.00
17/09/2019,11.10,GAB,11.85,11.85,10.90,219220.00
16/09/2019,11.70,GAB,11.95,12.10,11.45,137260.00
13/09/2019,11.95,GAB,12.00,12.00,11.55,106360.00
12/09/2019,11.70,GAB,12.00,12.30,11.70,109220.00
11/09/2019,12.25,GAB,12.30,12.35,11.80,99940.00
10/09/2019,12.30,GAB,12.30,12.50,11.80,92060.00
09/09/2019,12.30,GAB,12.30,12.75,12.10,74680.00
06/09/2019,12.30,GAB,11.50,12.45,11.50,152650.00
05/09/2019,12.20,GAB,12.15,12.30,11.60,103830.00
04/09/2019,12.00,GAB,11.90,12.20,11.20,98940.00
03/09/2019,11.90,GAB,11.45,12.00,10.70,207070.00
