DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,26.00,GEG,26.50,26.60,26.00,347650.00
10/01/2020,26.50,GEG,26.20,26.50,26.10,403660.00
09/01/2020,26.15,GEG,26.10,26.50,26.00,402820.00
08/01/2020,26.10,GEG,26.50,26.50,26.00,447960.00
07/01/2020,26.50,GEG,26.45,26.90,26.40,401870.00
06/01/2020,26.45,GEG,26.40,26.75,26.40,367170.00
03/01/2020,26.40,GEG,26.10,27.00,26.10,450670.00
02/01/2020,26.10,GEG,27.00,27.25,26.10,533480.00
31/12/2019,27.00,GEG,26.90,27.00,26.65,488110.00
30/12/2019,26.90,GEG,26.45,26.90,26.45,513840.00
27/12/2019,26.80,GEG,26.75,26.95,26.50,576960.00
26/12/2019,26.75,GEG,26.15,27.00,26.05,633510.00
25/12/2019,26.15,GEG,26.10,26.40,26.10,445540.00
24/12/2019,26.10,GEG,26.30,26.50,26.10,415280.00
23/12/2019,26.40,GEG,26.70,27.45,26.40,465920.00
20/12/2019,26.75,GEG,26.95,27.15,26.70,537040.00
19/12/2019,26.95,GEG,27.10,27.10,26.50,502220.00
18/12/2019,27.10,GEG,27.10,27.45,27.00,573520.00
17/12/2019,27.15,GEG,26.35,27.20,26.10,616690.00
16/12/2019,26.35,GEG,26.50,26.70,26.15,463190.00
13/12/2019,26.50,GEG,26.95,26.95,26.50,617910.00
12/12/2019,27.00,GEG,27.10,27.10,26.85,497070.00
11/12/2019,27.10,GEG,27.55,27.60,27.10,503220.00
10/12/2019,27.55,GEG,27.50,27.60,27.15,485230.00
09/12/2019,27.55,GEG,27.60,28.00,27.30,486780.00
06/12/2019,27.55,GEG,27.50,27.60,27.45,488310.00
05/12/2019,27.55,GEG,27.65,27.70,27.50,501610.00
04/12/2019,27.65,GEG,27.70,27.85,27.55,449120.00
03/12/2019,27.70,GEG,27.70,27.80,27.60,499100.00
02/12/2019,27.70,GEG,27.70,27.90,27.60,479800.00
29/11/2019,27.70,GEG,27.60,27.80,27.60,514540.00
28/11/2019,27.60,GEG,27.50,27.80,27.50,494660.00
27/11/2019,27.50,GEG,27.50,27.90,27.35,512900.00
26/11/2019,27.50,GEG,28.00,28.00,27.50,534510.00
25/11/2019,28.00,GEG,28.05,28.20,27.95,565390.00
22/11/2019,28.05,GEG,28.20,28.25,28.05,503030.00
21/11/2019,28.20,GEG,28.15,28.25,28.05,558020.00
20/11/2019,28.20,GEG,28.25,28.30,28.15,505640.00
19/11/2019,28.25,GEG,28.25,28.30,28.15,725280.00
18/11/2019,28.25,GEG,28.20,28.40,28.15,706950.00
15/11/2019,28.25,GEG,27.60,28.40,27.50,725070.00
14/11/2019,27.60,GEG,27.70,27.85,27.50,531860.00
13/11/2019,27.70,GEG,27.90,28.00,27.70,615670.00
12/11/2019,28.00,GEG,28.20,28.20,27.50,625000.00
11/11/2019,28.20,GEG,28.15,28.30,28.00,601390.00
08/11/2019,28.15,GEG,27.70,28.20,27.70,451710.00
07/11/2019,27.70,GEG,27.70,27.80,27.50,563600.00
06/11/2019,27.70,GEG,27.65,27.70,27.40,588400.00
05/11/2019,27.65,GEG,27.70,27.80,27.30,617680.00
04/11/2019,27.70,GEG,27.90,27.95,27.50,462580.00
01/11/2019,27.90,GEG,27.80,28.00,27.70,502740.00
31/10/2019,27.80,GEG,27.75,27.80,27.65,512150.00
30/10/2019,27.75,GEG,27.75,27.95,27.70,498770.00
29/10/2019,27.75,GEG,27.60,27.95,27.60,483660.00
28/10/2019,27.60,GEG,27.65,27.70,27.30,600190.00
25/10/2019,27.60,GEG,27.70,27.90,27.60,555020.00
24/10/2019,27.90,GEG,27.95,28.00,27.40,552230.00
23/10/2019,27.95,GEG,28.00,28.10,27.75,428520.00
22/10/2019,28.00,GEG,28.00,28.20,27.80,492050.00
21/10/2019,28.00,GEG,28.10,28.15,27.70,519850.00
18/10/2019,28.15,GEG,28.20,28.30,27.95,512080.00
17/10/2019,28.20,GEG,28.10,28.40,28.10,604370.00
16/10/2019,28.10,GEG,27.25,28.60,27.25,671560.00
15/10/2019,27.40,GEG,27.25,27.40,27.10,693590.00
14/10/2019,27.25,GEG,27.00,27.25,27.00,601160.00
11/10/2019,27.05,GEG,27.00,27.40,26.75,462850.00
10/10/2019,27.00,GEG,27.00,27.20,26.85,476880.00
09/10/2019,27.20,GEG,27.20,27.40,26.90,442440.00
08/10/2019,27.20,GEG,27.10,27.20,27.00,389600.00
07/10/2019,27.10,GEG,27.20,27.20,27.00,379790.00
04/10/2019,27.20,GEG,27.20,27.30,27.00,266490.00
03/10/2019,27.20,GEG,27.00,27.35,27.00,413520.00
02/10/2019,27.15,GEG,27.40,27.40,27.00,417960.00
01/10/2019,27.40,GEG,27.40,27.50,27.20,410990.00
30/09/2019,27.40,GEG,27.50,27.60,27.25,398090.00
27/09/2019,27.40,GEG,27.05,27.90,27.05,439310.00
26/09/2019,27.00,GEG,27.85,27.90,27.00,478720.00
25/09/2019,27.85,GEG,27.85,27.90,27.60,513710.00
24/09/2019,27.85,GEG,27.80,28.00,27.70,447400.00
23/09/2019,27.80,GEG,27.95,27.95,27.50,490650.00
20/09/2019,28.00,GEG,28.00,28.10,27.70,504060.00
19/09/2019,28.00,GEG,29.95,29.95,27.60,507830.00
10/09/2019,27.40,GEG,27.10,27.40,26.90,341410.00
09/09/2019,27.00,GEG,27.00,27.40,26.90,344813.00
06/09/2019,27.10,GEG,27.00,27.30,26.70,343808.00
05/09/2019,27.10,GEG,27.10,27.40,27.00,283755.00
04/09/2019,27.10,GEG,27.30,27.40,26.70,370530.00
03/09/2019,27.30,GEG,27.30,27.70,27.10,369020.00
30/08/2019,27.40,GEG,27.20,27.50,27.20,438110.00
29/08/2019,27.40,GEG,27.20,27.50,26.80,494148.00
28/08/2019,27.20,GEG,27.30,27.60,27.10,583410.00
27/08/2019,27.30,GEG,27.30,27.70,27.20,627910.00
26/08/2019,27.30,GEG,27.30,27.80,27.10,785951.00
23/08/2019,27.30,GEG,27.30,27.80,27.00,557678.00
22/08/2019,27.40,GEG,27.90,28.00,26.90,758391.00
21/08/2019,27.80,GEG,28.10,28.40,27.50,923980.00
20/08/2019,28.20,GEG,28.20,28.70,27.70,708473.00
19/08/2019,28.20,GEG,28.20,28.50,28.00,869660.00
16/08/2019,28.20,GEG,27.40,28.60,27.40,814122.00
15/08/2019,27.70,GEG,27.70,27.80,26.90,462230.00
14/08/2019,27.90,GEG,27.30,28.30,27.10,753900.00
13/08/2019,27.50,GEG,28.00,28.00,26.80,749156.00
12/08/2019,27.50,GEG,29.00,29.20,27.00,473600.00
09/08/2019,29.10,GEG,27.80,29.70,27.80,1044503.00
08/08/2019,28.10,GEG,27.60,28.10,27.50,535260.00
07/08/2019,28.00,GEG,26.20,28.20,26.20,841540.00
06/08/2019,26.30,GEG,26.50,26.50,26.00,341764.00
