DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.70,HAC,4.70,4.70,4.70,300.00
10/01/2020,4.70,HAC,4.70,4.80,4.70,599.00
09/01/2020,5.00,HAC,5.00,5.20,4.70,11600.00
08/01/2020,5.00,HAC,4.90,5.00,4.60,56000.00
07/01/2020,4.90,HAC,4.90,5.20,4.60,53605.00
06/01/2020,4.80,HAC,4.70,5.00,4.50,44360.00
03/01/2020,4.80,HAC,5.00,5.00,4.80,800.00
02/01/2020,5.10,HAC,5.20,5.30,4.90,14300.00
31/12/2019,4.70,HAC,5.10,5.10,4.70,45000.00
30/12/2019,5.10,HAC,5.10,5.10,4.90,68000.00
27/12/2019,5.00,HAC,4.90,5.00,4.90,3500.00
26/12/2019,5.00,HAC,5.00,5.00,5.00,6200.00
25/12/2019,5.00,HAC,4.90,5.00,4.90,5400.00
24/12/2019,4.90,HAC,4.90,4.90,4.90,0.00
23/12/2019,4.80,HAC,4.90,5.10,4.80,23100.00
20/12/2019,4.60,HAC,4.60,5.10,4.60,65800.00
19/12/2019,4.60,HAC,4.60,4.60,4.60,2000.00
18/12/2019,4.60,HAC,4.80,5.20,4.60,32489.00
17/12/2019,4.80,HAC,4.80,4.80,4.80,265.00
16/12/2019,4.80,HAC,4.90,5.00,4.80,39135.00
13/12/2019,4.70,HAC,4.70,5.00,4.70,23378.00
12/12/2019,5.00,HAC,4.60,5.00,4.50,100831.00
11/12/2019,4.40,HAC,4.40,4.40,4.40,24.00
10/12/2019,4.40,HAC,4.40,4.40,4.40,0.00
09/12/2019,4.50,HAC,4.40,4.50,4.40,6000.00
06/12/2019,4.60,HAC,4.90,4.90,4.60,3185.00
05/12/2019,4.50,HAC,4.70,4.70,4.50,348.00
04/12/2019,4.80,HAC,4.70,4.80,4.70,18916.00
03/12/2019,4.50,HAC,4.50,4.50,4.50,13.00
02/12/2019,4.70,HAC,4.60,4.70,4.50,4164.00
29/11/2019,5.00,HAC,4.80,5.00,4.80,49242.00
28/11/2019,4.90,HAC,4.60,4.90,4.60,21580.00
27/11/2019,4.80,HAC,4.80,4.80,4.80,0.00
26/11/2019,4.80,HAC,4.80,4.80,4.80,0.00
25/11/2019,4.80,HAC,4.60,4.90,4.60,13155.00
22/11/2019,4.90,HAC,4.80,4.90,4.80,7000.00
21/11/2019,4.80,HAC,4.80,4.80,4.80,0.00
20/11/2019,4.80,HAC,4.80,4.80,4.80,0.00
19/11/2019,4.90,HAC,4.60,4.90,4.60,22431.00
18/11/2019,4.90,HAC,4.80,4.90,4.80,3000.00
15/11/2019,4.90,HAC,4.60,4.90,4.60,18100.00
14/11/2019,4.90,HAC,4.90,4.90,4.90,15037.00
13/11/2019,4.90,HAC,4.80,5.00,4.80,31100.00
12/11/2019,4.70,HAC,4.70,4.70,4.70,0.00
11/11/2019,4.80,HAC,4.50,4.90,4.50,13300.00
08/11/2019,4.70,HAC,4.70,4.70,4.70,1082.00
07/11/2019,4.90,HAC,4.90,4.90,4.90,100.00
06/11/2019,4.70,HAC,4.70,4.70,4.70,5000.00
05/11/2019,4.90,HAC,4.90,4.90,4.90,226.00
04/11/2019,4.80,HAC,4.60,4.80,4.60,8132.00
