DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,19.90,HAF,19.90,19.90,19.90,100.00
10/01/2020,18.80,HAF,18.80,18.80,18.80,0.00
09/01/2020,18.80,HAF,18.80,18.80,18.80,0.00
08/01/2020,18.80,HAF,18.80,18.80,18.80,0.00
07/01/2020,18.80,HAF,18.80,18.80,18.80,0.00
06/01/2020,18.80,HAF,18.80,18.80,18.80,100.00
03/01/2020,16.50,HAF,16.50,16.50,16.50,2000.00
02/01/2020,19.40,HAF,19.40,19.40,19.40,0.00
31/12/2019,16.20,HAF,20.00,20.00,16.20,1200.00
30/12/2019,19.00,HAF,19.00,19.00,19.00,0.00
27/12/2019,20.00,HAF,15.00,20.00,15.00,1300.00
26/12/2019,17.60,HAF,17.60,17.60,17.60,0.00
25/12/2019,17.90,HAF,16.00,17.90,16.00,1200.00
24/12/2019,15.90,HAF,15.90,15.90,15.90,1000.00
23/12/2019,15.30,HAF,15.30,15.30,15.30,0.00
20/12/2019,15.30,HAF,15.30,15.30,15.30,200.00
19/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
18/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
17/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
16/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
13/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
12/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
11/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
10/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
09/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
06/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
05/12/2019,17.90,HAF,17.90,17.90,17.90,0.00
04/12/2019,17.90,HAF,17.90,17.90,17.90,100.00
03/12/2019,15.90,HAF,15.90,15.90,15.90,100.00
02/12/2019,15.60,HAF,11.70,15.60,11.70,300.00
29/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
28/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
27/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
26/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
25/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
22/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
21/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
20/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
19/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
18/11/2019,13.60,HAF,13.60,13.60,13.60,0.00
15/11/2019,13.60,HAF,13.60,13.60,13.60,100.00
14/11/2019,14.00,HAF,14.00,14.00,14.00,100.00
13/11/2019,15.60,HAF,15.60,15.60,15.60,0.00
12/11/2019,15.60,HAF,15.60,15.60,15.60,0.00
11/11/2019,15.60,HAF,15.60,15.60,15.60,0.00
08/11/2019,15.60,HAF,15.60,15.60,15.60,0.00
07/11/2019,15.60,HAF,15.60,15.60,15.60,100.00
06/11/2019,16.00,HAF,16.00,16.00,16.00,100.00
05/11/2019,14.30,HAF,14.30,14.30,14.30,0.00
04/11/2019,14.30,HAF,14.30,14.30,14.30,0.00
01/11/2019,14.30,HAF,14.30,14.30,14.30,0.00
31/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
30/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
29/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
28/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
25/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
24/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
23/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
22/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
21/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
18/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
17/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
16/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
15/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
14/10/2019,14.30,HAF,14.30,14.30,14.30,0.00
11/10/2019,14.30,HAF,14.30,14.30,14.30,1000.00
10/10/2019,14.20,HAF,14.20,14.20,14.20,0.00
09/10/2019,14.20,HAF,14.20,14.20,14.20,0.00
08/10/2019,14.20,HAF,14.20,14.20,14.20,0.00
07/10/2019,14.20,HAF,14.20,14.20,14.20,0.00
04/10/2019,14.20,HAF,14.20,14.20,14.20,2500.00
03/10/2019,12.40,HAF,12.40,12.40,12.40,0.00
02/10/2019,12.40,HAF,12.40,12.40,12.40,0.00
01/10/2019,12.40,HAF,12.40,12.40,12.40,0.00
30/09/2019,12.40,HAF,12.40,12.40,12.40,0.00
27/09/2019,12.40,HAF,12.40,12.40,12.40,0.00
