DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,20.30,HBD,18.40,20.30,18.40,1000.00
10/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
09/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
08/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
07/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
06/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
03/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
02/01/2020,21.60,HBD,21.60,21.60,21.60,0.00
31/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
30/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
27/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
26/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
25/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
24/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
23/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
20/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
19/12/2019,21.60,HBD,21.60,21.60,21.60,10.00
18/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
17/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
16/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
13/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
12/12/2019,21.60,HBD,21.60,21.60,21.60,0.00
11/12/2019,21.60,HBD,21.60,21.60,21.60,100.00
10/12/2019,18.90,HBD,18.90,18.90,18.90,0.00
09/12/2019,18.90,HBD,18.90,18.90,18.90,0.00
06/12/2019,18.90,HBD,18.90,18.90,18.90,0.00
05/12/2019,18.90,HBD,18.90,18.90,18.90,100.00
04/12/2019,18.00,HBD,18.00,18.00,18.00,0.00
03/12/2019,18.00,HBD,18.00,18.00,18.00,0.00
02/12/2019,18.00,HBD,18.00,18.00,18.00,100.00
29/11/2019,15.70,HBD,15.70,15.70,15.70,100.00
28/11/2019,13.70,HBD,13.70,13.70,13.70,0.00
27/11/2019,13.70,HBD,13.70,13.70,13.70,400.00
26/11/2019,16.10,HBD,16.10,16.10,16.10,0.00
25/11/2019,16.10,HBD,16.10,16.10,16.10,0.00
22/11/2019,16.10,HBD,16.10,16.10,16.10,0.00
21/11/2019,16.10,HBD,16.10,16.10,16.10,400.00
20/11/2019,16.10,HBD,16.10,16.10,16.10,0.00
19/11/2019,16.10,HBD,16.10,16.10,16.10,0.00
18/11/2019,16.10,HBD,16.10,16.10,16.10,210.00
15/11/2019,14.00,HBD,14.00,14.00,14.00,0.00
14/11/2019,14.00,HBD,14.00,14.00,14.00,0.00
13/11/2019,14.00,HBD,14.00,14.00,14.00,100.00
12/11/2019,16.40,HBD,16.40,16.40,16.40,0.00
11/11/2019,16.40,HBD,16.40,16.40,16.40,300.00
08/11/2019,16.40,HBD,16.40,16.40,16.40,0.00
07/11/2019,16.40,HBD,16.40,16.40,16.40,300.00
06/11/2019,14.60,HBD,13.90,14.60,13.90,200.00
05/11/2019,12.70,HBD,12.70,12.70,12.70,100.00
04/11/2019,11.10,HBD,11.10,11.10,11.10,0.00
01/11/2019,11.10,HBD,11.10,11.10,11.10,600.00
31/10/2019,9.70,HBD,9.70,9.70,9.70,0.00
30/10/2019,9.70,HBD,9.70,9.70,9.70,0.00
29/10/2019,9.70,HBD,9.70,9.70,9.70,0.00
28/10/2019,9.70,HBD,9.70,9.70,9.70,100.00
25/10/2019,11.20,HBD,11.20,11.20,11.20,0.00
24/10/2019,11.20,HBD,11.20,11.20,11.20,0.00
23/10/2019,11.20,HBD,11.20,11.20,11.20,0.00
22/10/2019,11.20,HBD,11.20,11.20,11.20,0.00
21/10/2019,11.20,HBD,11.20,11.20,11.20,0.00
18/10/2019,11.20,HBD,11.20,11.20,11.20,100.00
17/10/2019,13.00,HBD,13.00,13.00,13.00,0.00
16/10/2019,13.00,HBD,13.00,13.00,13.00,100.00
15/10/2019,11.50,HBD,11.50,11.50,11.50,0.00
