DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,19.80,HCB,19.80,19.80,19.80,0.00
10/01/2020,19.80,HCB,19.80,19.80,19.80,2600.00
09/01/2020,22.90,HCB,22.90,22.90,22.90,0.00
08/01/2020,22.90,HCB,22.90,22.90,22.90,0.00
07/01/2020,22.90,HCB,22.90,22.90,22.90,0.00
06/01/2020,22.90,HCB,22.90,22.90,22.90,0.00
03/01/2020,22.90,HCB,22.90,22.90,22.90,100.00
02/01/2020,24.00,HCB,24.00,24.00,24.00,0.00
31/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
30/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
27/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
26/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
25/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
24/12/2019,24.00,HCB,24.00,24.00,24.00,0.00
23/12/2019,25.00,HCB,25.00,25.00,25.00,0.00
20/12/2019,25.00,HCB,25.00,25.00,25.00,0.00
19/12/2019,25.00,HCB,25.00,25.00,25.00,0.00
18/12/2019,25.00,HCB,25.00,25.00,25.00,600.00
