DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.29,HII,9.27,9.30,9.27,112250.00
10/01/2020,9.27,HII,9.22,9.27,9.21,122160.00
09/01/2020,9.22,HII,9.21,9.26,9.21,141300.00
08/01/2020,9.21,HII,9.39,9.40,9.20,111340.00
07/01/2020,9.40,HII,9.40,9.50,9.39,112900.00
06/01/2020,9.40,HII,9.66,9.66,9.20,106330.00
03/01/2020,9.66,HII,9.66,9.68,9.62,102660.00
02/01/2020,9.66,HII,9.61,9.72,9.61,115500.00
31/12/2019,9.60,HII,9.68,9.68,9.60,122200.00
30/12/2019,9.68,HII,9.68,9.69,9.63,155390.00
27/12/2019,9.68,HII,9.66,9.70,9.62,112210.00
26/12/2019,9.66,HII,9.71,9.75,9.65,120390.00
25/12/2019,9.71,HII,9.70,9.72,9.60,121700.00
24/12/2019,9.70,HII,9.70,9.75,9.60,108920.00
23/12/2019,9.70,HII,10.00,10.10,9.50,131200.00
20/12/2019,10.00,HII,10.00,10.05,9.95,114660.00
19/12/2019,10.00,HII,9.94,10.10,9.92,223650.00
18/12/2019,9.94,HII,10.05,10.10,9.94,148730.00
17/12/2019,10.10,HII,10.35,10.40,10.10,217400.00
16/12/2019,10.35,HII,10.20,10.40,10.20,271560.00
13/12/2019,10.20,HII,9.84,10.45,9.84,412200.00
12/12/2019,9.84,HII,9.75,9.85,9.75,205580.00
11/12/2019,9.80,HII,9.80,9.85,9.78,108320.00
10/12/2019,9.80,HII,9.82,9.87,9.71,111640.00
09/12/2019,9.85,HII,9.80,9.88,9.80,125960.00
06/12/2019,9.80,HII,9.80,9.89,9.78,188890.00
05/12/2019,9.80,HII,9.90,9.99,9.80,123120.00
04/12/2019,9.99,HII,10.00,10.05,9.85,99480.00
03/12/2019,10.00,HII,10.00,10.05,9.90,102280.00
02/12/2019,10.00,HII,10.20,10.20,10.00,111390.00
29/11/2019,10.20,HII,10.20,10.20,10.10,111180.00
28/11/2019,10.20,HII,10.25,10.35,10.10,122710.00
27/11/2019,10.25,HII,10.25,10.30,10.15,146780.00
26/11/2019,10.25,HII,10.15,10.30,10.15,144770.00
25/11/2019,10.15,HII,10.10,10.30,10.10,150500.00
22/11/2019,10.05,HII,10.05,10.20,10.05,286470.00
21/11/2019,10.05,HII,10.30,10.35,10.00,128390.00
20/11/2019,10.30,HII,10.35,10.40,10.25,132190.00
19/11/2019,10.40,HII,10.55,10.60,10.35,118820.00
18/11/2019,10.50,HII,10.65,10.70,10.50,126570.00
15/11/2019,10.60,HII,10.85,10.90,10.60,196230.00
14/11/2019,10.85,HII,11.05,11.10,10.80,276280.00
13/11/2019,11.05,HII,11.15,11.30,11.00,294720.00
12/11/2019,11.20,HII,11.20,11.25,11.10,254080.00
11/11/2019,11.15,HII,11.40,11.45,11.10,306950.00
08/11/2019,11.40,HII,11.45,11.50,11.20,381710.00
07/11/2019,11.45,HII,11.65,11.75,11.30,372890.00
06/11/2019,11.70,HII,11.60,11.80,11.60,444060.00
05/11/2019,11.60,HII,11.35,11.60,11.30,620290.00
04/11/2019,11.30,HII,11.30,11.45,11.15,583900.00
