DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,20.20,HUB,20.20,20.20,20.20,0.00
10/01/2020,20.20,HUB,20.20,20.20,20.20,0.00
09/01/2020,20.20,HUB,20.20,20.20,20.20,260.00
08/01/2020,19.90,HUB,19.90,19.90,19.70,1690.00
07/01/2020,19.90,HUB,19.90,19.90,19.90,7000.00
06/01/2020,20.00,HUB,19.60,20.00,19.60,1050.00
03/01/2020,20.50,HUB,20.00,20.50,19.55,46740.00
02/01/2020,20.95,HUB,20.00,20.95,20.00,2250.00
31/12/2019,20.50,HUB,20.50,20.50,20.50,0.00
30/12/2019,20.50,HUB,20.50,20.50,20.50,0.00
27/12/2019,20.50,HUB,20.45,20.50,20.45,4800.00
26/12/2019,19.45,HUB,19.45,19.45,19.45,0.00
25/12/2019,19.45,HUB,18.60,19.45,18.60,310.00
24/12/2019,18.20,HUB,19.10,19.10,18.20,1800.00
23/12/2019,19.10,HUB,19.10,19.10,19.10,0.00
20/12/2019,19.10,HUB,19.00,19.10,19.00,8000.00
19/12/2019,19.00,HUB,19.00,19.00,19.00,0.00
18/12/2019,19.00,HUB,19.00,19.00,19.00,2090.00
17/12/2019,19.00,HUB,19.00,19.00,19.00,270.00
16/12/2019,19.00,HUB,19.00,19.00,19.00,210.00
13/12/2019,19.90,HUB,19.90,19.90,19.90,30.00
12/12/2019,19.90,HUB,19.90,19.90,19.90,0.00
11/12/2019,19.90,HUB,19.90,19.90,19.90,0.00
10/12/2019,19.90,HUB,18.70,19.90,18.60,5110.00
09/12/2019,19.15,HUB,19.15,19.15,19.15,0.00
06/12/2019,19.15,HUB,19.15,19.15,19.15,0.00
05/12/2019,19.15,HUB,19.15,19.15,19.15,1000.00
04/12/2019,19.15,HUB,19.15,19.15,19.15,0.00
03/12/2019,19.15,HUB,19.15,19.15,19.15,0.00
02/12/2019,19.15,HUB,19.15,19.15,19.15,0.00
29/11/2019,19.15,HUB,19.00,19.20,18.80,11600.00
28/11/2019,19.00,HUB,18.90,19.00,18.90,1520.00
27/11/2019,19.45,HUB,19.00,19.45,19.00,910.00
26/11/2019,19.00,HUB,19.00,19.20,19.00,2750.00
25/11/2019,19.20,HUB,19.30,19.30,18.40,6540.00
22/11/2019,19.50,HUB,19.50,19.50,19.50,4180.00
21/11/2019,19.90,HUB,19.90,19.90,19.90,0.00
20/11/2019,19.90,HUB,19.90,19.90,19.90,0.00
19/11/2019,19.90,HUB,19.50,19.90,19.50,1020.00
18/11/2019,19.95,HUB,19.10,19.95,19.10,1260.00
15/11/2019,20.00,HUB,20.00,20.00,20.00,100.00
14/11/2019,20.35,HUB,19.60,20.35,19.20,11110.00
13/11/2019,20.40,HUB,20.40,20.40,20.40,150.00
12/11/2019,20.40,HUB,19.70,20.40,19.70,1760.00
11/11/2019,19.75,HUB,19.75,20.00,19.75,1870.00
08/11/2019,19.75,HUB,19.75,19.75,19.75,0.00
07/11/2019,19.75,HUB,19.70,19.75,19.70,20.00
06/11/2019,19.75,HUB,19.80,19.80,19.75,1690.00
05/11/2019,19.80,HUB,19.80,19.80,19.75,890.00
04/11/2019,19.75,HUB,19.60,20.80,19.60,620.00
01/11/2019,20.80,HUB,20.80,20.80,20.80,0.00
31/10/2019,20.80,HUB,19.80,20.80,19.80,40.00
30/10/2019,20.20,HUB,20.30,20.30,20.20,22180.00
29/10/2019,20.30,HUB,20.30,20.30,20.30,10760.00
28/10/2019,20.30,HUB,20.40,20.40,20.00,10150.00
25/10/2019,21.45,HUB,21.45,21.45,21.45,0.00
24/10/2019,21.45,HUB,20.40,21.45,20.00,70.00
23/10/2019,20.05,HUB,20.20,20.20,20.00,22900.00
22/10/2019,20.50,HUB,20.05,20.50,20.05,20.00
21/10/2019,20.50,HUB,20.50,20.50,20.50,5000.00
18/10/2019,20.70,HUB,20.35,20.75,20.00,20260.00
17/10/2019,21.00,HUB,20.60,21.00,20.50,2380.00
16/10/2019,20.85,HUB,20.30,20.85,20.30,2690.00
15/10/2019,19.50,HUB,20.50,20.70,19.50,24950.00
14/10/2019,20.80,HUB,20.80,20.80,20.80,280.00
11/10/2019,21.00,HUB,20.50,21.00,20.40,8100.00
10/10/2019,21.00,HUB,22.00,22.00,21.00,1380.00
09/10/2019,21.00,HUB,20.80,21.00,20.50,610.00
08/10/2019,20.40,HUB,20.60,20.60,20.40,2570.00
07/10/2019,20.85,HUB,20.20,20.85,20.20,7210.00
04/10/2019,20.40,HUB,20.40,20.50,20.20,9650.00
03/10/2019,20.40,HUB,20.50,20.50,20.30,7000.00
02/10/2019,20.65,HUB,20.60,20.90,20.50,6040.00
01/10/2019,21.00,HUB,21.00,21.00,20.50,4940.00
30/09/2019,20.50,HUB,20.50,20.70,20.50,15980.00
27/09/2019,20.70,HUB,20.75,21.20,20.50,25070.00
26/09/2019,21.70,HUB,21.50,21.70,20.25,24660.00
25/09/2019,21.60,HUB,22.75,22.75,20.90,45870.00
24/09/2019,22.45,HUB,22.00,22.50,21.80,3930.00
23/09/2019,22.00,HUB,22.70,22.70,22.00,19460.00
20/09/2019,23.00,HUB,23.00,23.00,22.60,1210.00
19/09/2019,22.55,HUB,23.35,23.40,22.55,18430.00
18/09/2019,23.40,HUB,23.00,23.40,22.90,4310.00
17/09/2019,23.00,HUB,23.00,23.10,22.70,7700.00
16/09/2019,23.35,HUB,22.40,23.50,22.40,8010.00
13/09/2019,22.30,HUB,22.70,23.60,22.30,17500.00
12/09/2019,22.70,HUB,23.50,23.50,22.60,12660.00
11/09/2019,23.50,HUB,22.20,24.10,22.20,200.00
10/09/2019,23.00,HUB,24.45,24.45,22.50,4570.00
09/09/2019,22.90,HUB,22.60,22.90,22.60,4980.00
06/09/2019,22.60,HUB,23.40,23.40,22.60,41600.00
05/09/2019,23.95,HUB,24.00,24.00,23.40,19800.00
04/09/2019,24.00,HUB,24.30,24.40,23.30,35600.00
03/09/2019,24.50,HUB,24.10,24.90,23.80,74570.00
30/08/2019,24.80,HUB,25.30,25.30,24.40,70600.00
29/08/2019,25.30,HUB,23.80,25.30,23.65,166760.00
28/08/2019,23.65,HUB,24.90,25.00,23.65,70420.00
27/08/2019,24.05,HUB,22.50,24.05,22.30,237050.00
26/08/2019,22.50,HUB,21.60,22.70,21.00,27250.00
23/08/2019,21.60,HUB,21.90,22.20,21.60,25600.00
22/08/2019,21.90,HUB,21.80,21.90,21.40,7190.00
21/08/2019,21.80,HUB,22.70,22.90,21.80,20080.00
20/08/2019,22.60,HUB,23.00,23.00,22.20,48730.00
19/08/2019,21.95,HUB,21.45,22.30,21.00,36890.00
16/08/2019,21.05,HUB,19.75,21.05,19.75,50260.00
15/08/2019,19.70,HUB,20.00,20.30,19.50,3160.00
14/08/2019,20.20,HUB,19.80,20.50,19.70,9800.00
13/08/2019,19.70,HUB,20.30,20.50,19.50,25570.00
12/08/2019,20.30,HUB,21.15,21.15,20.30,9370.00
09/08/2019,20.80,HUB,20.20,20.80,20.00,23140.00
08/08/2019,20.90,HUB,21.35,21.35,20.15,4540.00
07/08/2019,20.90,HUB,21.40,21.90,20.55,14090.00
06/08/2019,21.40,HUB,20.50,21.40,20.30,97720.00
05/08/2019,20.00,HUB,18.05,20.00,18.05,18210.00
02/08/2019,18.70,HUB,18.90,18.90,18.00,16300.00
01/08/2019,18.90,HUB,17.90,18.90,17.80,17300.00
31/07/2019,17.90,HUB,18.50,18.60,17.80,59510.00
30/07/2019,18.50,HUB,19.45,19.45,18.00,23830.00
29/07/2019,18.60,HUB,18.90,18.90,18.60,79350.00
26/07/2019,20.00,HUB,21.55,21.55,20.00,16980.00
25/07/2019,21.50,HUB,20.20,21.55,20.00,18610.00
24/07/2019,20.20,HUB,21.60,21.60,20.20,33270.00
23/07/2019,21.70,HUB,21.95,22.00,20.45,74690.00
22/07/2019,21.95,HUB,23.70,23.70,21.95,36260.00
19/07/2019,23.60,HUB,23.00,23.70,22.95,790.00
18/07/2019,23.50,HUB,22.70,23.50,22.70,7280.00
17/07/2019,23.20,HUB,23.10,24.70,23.10,23190.00
16/07/2019,24.30,HUB,24.40,25.40,24.30,55540.00
15/07/2019,23.80,HUB,24.50,25.00,23.80,37090.00
12/07/2019,25.00,HUB,23.50,25.00,23.50,25110.00
11/07/2019,23.50,HUB,22.60,24.00,22.50,38940.00
10/07/2019,23.00,HUB,23.80,23.95,23.00,46790.00
09/07/2019,22.40,HUB,21.50,22.40,21.40,84140.00
08/07/2019,20.95,HUB,19.70,20.95,19.70,66830.00
05/07/2019,19.60,HUB,19.25,19.60,19.25,10040.00
04/07/2019,19.60,HUB,19.20,19.60,19.10,18140.00
03/07/2019,19.60,HUB,19.60,19.60,19.50,19640.00
02/07/2019,19.80,HUB,19.10,19.80,19.00,118720.00
01/07/2019,19.00,HUB,17.90,19.00,17.50,75660.00
28/06/2019,17.80,HUB,17.15,18.20,17.15,9750.00
27/06/2019,17.15,HUB,17.50,18.10,17.05,21310.00
26/06/2019,17.00,HUB,16.50,17.60,16.50,10060.00
25/06/2019,16.50,HUB,16.35,16.50,16.35,11490.00
24/06/2019,16.40,HUB,17.00,17.00,16.00,4540.00
21/06/2019,16.05,HUB,16.10,16.10,16.00,4310.00
20/06/2019,16.05,HUB,16.05,16.15,16.05,3490.00
19/06/2019,16.25,HUB,16.30,16.30,16.05,120.00
18/06/2019,16.00,HUB,16.00,16.20,16.00,7010.00
17/06/2019,16.10,HUB,16.10,16.10,16.00,6900.00
14/06/2019,16.45,HUB,16.45,16.45,16.45,0.00
13/06/2019,16.45,HUB,16.45,16.45,16.45,10.00
12/06/2019,15.70,HUB,16.30,16.30,15.50,22940.00
11/06/2019,15.95,HUB,15.60,15.95,15.60,1010.00
10/06/2019,16.00,HUB,16.00,16.00,16.00,10.00
07/06/2019,16.00,HUB,16.00,16.00,16.00,580.00
