DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,13.80,HWS,13.80,13.80,13.80,0.00
10/01/2020,13.80,HWS,13.80,13.80,13.80,0.00
09/01/2020,13.80,HWS,13.80,13.80,13.80,1400.00
08/01/2020,12.00,HWS,12.00,12.00,12.00,0.00
07/01/2020,12.00,HWS,12.00,12.00,12.00,0.00
06/01/2020,12.00,HWS,12.00,12.00,12.00,0.00
03/01/2020,12.00,HWS,12.00,12.00,12.00,12500.00
02/01/2020,11.80,HWS,11.80,11.80,11.80,100.00
31/12/2019,11.80,HWS,11.80,11.80,11.80,200.00
30/12/2019,11.70,HWS,11.70,11.70,11.70,0.00
27/12/2019,11.70,HWS,11.70,11.70,11.70,0.00
26/12/2019,11.70,HWS,11.70,11.70,11.70,0.00
25/12/2019,11.70,HWS,11.70,11.70,11.70,0.00
24/12/2019,11.70,HWS,11.70,11.70,11.70,0.00
23/12/2019,11.70,HWS,11.70,11.70,11.70,200.00
20/12/2019,11.80,HWS,11.80,11.80,11.80,0.00
19/12/2019,11.80,HWS,11.80,11.80,11.80,0.00
18/12/2019,11.80,HWS,11.80,11.80,11.80,0.00
17/12/2019,11.80,HWS,11.80,11.80,11.80,200.00
16/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
13/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
12/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
11/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
10/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
09/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
06/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
05/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
04/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
03/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
02/12/2019,12.00,HWS,12.00,12.00,12.00,0.00
29/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
28/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
27/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
26/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
25/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
22/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
21/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
20/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
19/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
18/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
15/11/2019,12.00,HWS,12.00,12.00,12.00,0.00
14/11/2019,12.00,HWS,12.80,12.80,12.00,5100.00
13/11/2019,11.90,HWS,11.90,11.90,11.90,0.00
12/11/2019,11.90,HWS,11.90,11.90,11.90,0.00
