DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,18.30,IFS,18.10,18.30,18.10,1940.00
10/01/2020,18.10,IFS,18.10,18.10,18.10,0.00
09/01/2020,18.10,IFS,18.10,18.10,18.10,10.00
08/01/2020,19.10,IFS,17.00,19.10,17.00,200.00
07/01/2020,18.90,IFS,18.90,18.90,18.90,0.00
06/01/2020,18.90,IFS,18.90,18.90,18.90,0.00
03/01/2020,18.90,IFS,18.90,18.90,18.90,1900.00
02/01/2020,18.00,IFS,18.00,18.00,18.00,10.00
31/12/2019,18.00,IFS,18.00,18.00,18.00,360.00
30/12/2019,18.00,IFS,18.00,18.00,18.00,0.00
27/12/2019,18.00,IFS,18.10,18.10,18.00,2522.00
26/12/2019,18.90,IFS,18.90,18.90,18.90,0.00
25/12/2019,19.00,IFS,18.80,19.00,18.80,7500.00
24/12/2019,19.00,IFS,19.00,19.00,19.00,1000.00
23/12/2019,18.60,IFS,18.60,18.60,18.60,0.00
20/12/2019,18.60,IFS,18.60,18.60,18.60,0.00
19/12/2019,18.60,IFS,18.60,18.60,18.60,0.00
18/12/2019,18.60,IFS,18.60,18.60,18.60,0.00
17/12/2019,18.60,IFS,18.60,18.60,18.60,0.00
16/12/2019,19.10,IFS,18.70,19.10,18.10,4000.00
13/12/2019,19.10,IFS,19.10,19.10,19.10,0.00
12/12/2019,19.10,IFS,19.10,19.10,19.10,0.00
11/12/2019,19.10,IFS,19.10,19.10,19.10,0.00
10/12/2019,19.10,IFS,19.10,19.10,19.10,0.00
09/12/2019,19.00,IFS,19.40,19.40,19.00,412.00
06/12/2019,19.00,IFS,19.00,19.00,19.00,800.00
05/12/2019,18.20,IFS,18.20,18.20,18.20,0.00
04/12/2019,18.20,IFS,18.20,18.20,18.20,0.00
03/12/2019,18.40,IFS,18.30,18.40,18.10,1610.00
02/12/2019,19.50,IFS,19.50,19.50,19.50,0.00
29/11/2019,19.50,IFS,19.50,19.50,19.50,0.00
28/11/2019,19.50,IFS,19.60,19.60,19.50,1500.00
27/11/2019,19.90,IFS,19.90,19.90,19.90,0.00
26/11/2019,19.80,IFS,20.00,20.00,19.80,1350.00
25/11/2019,20.00,IFS,20.00,20.00,20.00,800.00
22/11/2019,20.00,IFS,20.00,20.10,20.00,8200.00
21/11/2019,20.00,IFS,20.00,20.00,19.70,3000.00
20/11/2019,20.00,IFS,20.00,20.00,20.00,0.00
19/11/2019,20.00,IFS,20.00,20.00,20.00,0.00
18/11/2019,20.00,IFS,20.00,20.00,20.00,140.00
