DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.90,ILA,3.00,3.30,2.90,55600.00
10/01/2020,3.40,ILA,3.30,3.40,2.80,5600.00
09/01/2020,3.40,ILA,3.10,3.40,2.90,16280.00
08/01/2020,3.30,ILA,3.30,3.30,3.30,89053.00
07/01/2020,2.90,ILA,2.90,2.90,2.90,13500.00
06/01/2020,2.70,ILA,2.40,2.70,2.30,22700.00
03/01/2020,2.70,ILA,2.70,2.80,2.30,30200.00
02/01/2020,2.60,ILA,2.70,2.70,2.60,6040.00
31/12/2019,2.30,ILA,2.60,2.80,2.30,30300.00
30/12/2019,2.80,ILA,2.60,3.20,2.50,46503.00
27/12/2019,2.90,ILA,2.90,2.90,2.80,38600.00
26/12/2019,2.60,ILA,2.50,3.00,2.50,78350.00
25/12/2019,2.80,ILA,3.20,3.50,2.80,65200.00
24/12/2019,3.20,ILA,3.30,3.50,3.20,118352.00
23/12/2019,4.00,ILA,4.10,4.30,3.30,54801.00
20/12/2019,3.90,ILA,3.80,4.20,3.70,91610.00
19/12/2019,4.00,ILA,5.00,5.10,4.00,182848.00
18/12/2019,4.60,ILA,4.50,4.60,4.50,333020.00
17/12/2019,4.00,ILA,3.70,4.00,3.70,109850.00
16/12/2019,3.70,ILA,3.10,3.70,3.00,126213.00
13/12/2019,3.10,ILA,3.40,3.40,3.10,207700.00
12/12/2019,3.10,ILA,2.90,3.10,2.90,44300.00
11/12/2019,2.70,ILA,2.60,2.70,2.60,133900.00
10/12/2019,2.40,ILA,2.10,2.40,2.10,100100.00
09/12/2019,2.30,ILA,2.10,2.30,1.90,142600.00
06/12/2019,2.10,ILA,2.40,2.40,1.80,153500.00
05/12/2019,2.10,ILA,2.10,2.10,2.00,55820.00
04/12/2019,1.90,ILA,1.90,1.90,1.90,69430.00
03/12/2019,1.80,ILA,1.70,1.80,1.70,170600.00
02/12/2019,1.70,ILA,1.50,1.70,1.50,40200.00
29/11/2019,1.60,ILA,1.50,1.60,1.50,58600.00
28/11/2019,1.60,ILA,1.70,1.70,1.60,31500.00
27/11/2019,1.70,ILA,1.80,1.90,1.70,140900.00
26/11/2019,1.70,ILA,1.60,1.70,1.60,112460.00
25/11/2019,1.50,ILA,1.50,1.50,1.50,5600.00
22/11/2019,1.50,ILA,1.50,1.50,1.50,8000.00
21/11/2019,1.50,ILA,1.50,1.50,1.50,7600.00
20/11/2019,1.50,ILA,1.50,1.50,1.50,1000.00
19/11/2019,1.50,ILA,1.30,1.50,1.30,22000.00
18/11/2019,1.40,ILA,1.40,1.40,1.40,12500.00
15/11/2019,1.40,ILA,1.40,1.40,1.40,3500.00
14/11/2019,1.50,ILA,1.50,1.50,1.50,100.00
13/11/2019,1.50,ILA,1.40,1.50,1.40,8600.00
12/11/2019,1.50,ILA,1.50,1.50,1.50,20.00
11/11/2019,1.40,ILA,1.50,1.50,1.40,220.00
08/11/2019,1.40,ILA,1.40,1.40,1.40,5100.00
07/11/2019,1.40,ILA,1.50,1.50,1.40,1100.00
06/11/2019,1.40,ILA,1.40,1.40,1.40,500.00
05/11/2019,1.40,ILA,1.50,1.50,1.40,17400.00
04/11/2019,1.40,ILA,1.50,1.50,1.40,400.00
01/11/2019,1.40,ILA,1.40,1.40,1.40,9900.00
31/10/2019,1.40,ILA,1.40,1.40,1.40,6200.00
30/10/2019,1.50,ILA,1.40,1.50,1.40,1400.00
29/10/2019,1.50,ILA,1.50,1.50,1.50,10400.00
28/10/2019,1.50,ILA,1.40,1.50,1.40,35400.00
25/10/2019,1.50,ILA,1.40,1.50,1.40,7220.00
24/10/2019,1.40,ILA,1.50,1.50,1.40,3000.00
23/10/2019,1.50,ILA,1.40,1.50,1.40,17100.00
22/10/2019,1.50,ILA,1.50,1.50,1.50,10540.00
21/10/2019,1.50,ILA,1.50,1.50,1.50,15300.00
18/10/2019,1.50,ILA,1.50,1.50,1.50,29200.00
17/10/2019,1.50,ILA,1.50,1.50,1.50,8700.00
16/10/2019,1.50,ILA,1.50,1.50,1.50,3900.00
15/10/2019,1.50,ILA,1.50,1.60,1.50,43100.00
14/10/2019,1.50,ILA,1.50,1.60,1.50,27000.00
