DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.00,ITQ,2.00,2.00,1.90,4300.00
10/01/2020,2.00,ITQ,1.90,2.00,1.90,14900.00
09/01/2020,2.00,ITQ,1.90,2.00,1.90,10200.00
08/01/2020,1.90,ITQ,1.90,1.90,1.90,5600.00
07/01/2020,2.00,ITQ,2.00,2.00,1.90,11116.00
06/01/2020,1.90,ITQ,2.00,2.00,1.90,7000.00
03/01/2020,2.00,ITQ,2.10,2.10,1.90,13504.00
02/01/2020,2.00,ITQ,2.00,2.00,2.00,15900.00
31/12/2019,2.00,ITQ,2.10,2.10,2.00,47800.00
30/12/2019,2.10,ITQ,2.10,2.10,2.10,166900.00
27/12/2019,2.10,ITQ,2.10,2.10,2.10,39500.00
26/12/2019,2.20,ITQ,2.40,2.40,2.20,140994.00
25/12/2019,2.20,ITQ,2.10,2.20,2.10,82800.00
24/12/2019,2.00,ITQ,2.00,2.00,2.00,154610.00
23/12/2019,1.90,ITQ,1.90,1.90,1.90,12100.00
20/12/2019,1.90,ITQ,1.90,1.90,1.90,56000.00
19/12/2019,1.90,ITQ,1.90,1.90,1.90,15500.00
18/12/2019,1.90,ITQ,1.90,1.90,1.90,23300.00
17/12/2019,1.90,ITQ,1.90,1.90,1.90,34500.00
16/12/2019,2.00,ITQ,1.90,2.00,1.90,11600.00
13/12/2019,1.90,ITQ,2.00,2.00,1.90,92500.00
12/12/2019,2.00,ITQ,1.90,2.00,1.90,50900.00
11/12/2019,2.00,ITQ,2.00,2.00,2.00,19100.00
10/12/2019,2.00,ITQ,1.90,2.00,1.90,48600.00
09/12/2019,2.00,ITQ,2.00,2.00,2.00,100.00
06/12/2019,1.90,ITQ,2.00,2.00,1.90,57100.00
05/12/2019,2.00,ITQ,2.00,2.00,1.90,9900.00
04/12/2019,1.90,ITQ,1.90,1.90,1.90,54710.00
03/12/2019,1.80,ITQ,1.90,2.00,1.80,25700.00
02/12/2019,2.00,ITQ,1.90,2.00,1.90,9200.00
29/11/2019,1.90,ITQ,1.90,1.90,1.90,16510.00
28/11/2019,2.00,ITQ,1.90,2.00,1.90,55000.00
27/11/2019,2.00,ITQ,1.90,2.00,1.90,77100.00
26/11/2019,2.00,ITQ,2.00,2.00,2.00,31800.00
25/11/2019,2.00,ITQ,2.00,2.00,2.00,76500.00
22/11/2019,2.00,ITQ,2.00,2.00,2.00,31300.00
21/11/2019,2.00,ITQ,2.00,2.10,2.00,63500.00
20/11/2019,2.00,ITQ,2.00,2.00,1.90,51100.00
19/11/2019,2.00,ITQ,2.00,2.00,2.00,24500.00
18/11/2019,2.10,ITQ,2.10,2.10,2.00,31200.00
15/11/2019,2.10,ITQ,2.10,2.20,2.00,27500.00
14/11/2019,2.20,ITQ,2.10,2.20,2.00,8900.00
