DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,30.00,KDF,30.40,30.40,30.00,400.00
10/01/2020,30.90,KDF,30.10,30.90,29.00,4300.00
09/01/2020,30.10,KDF,30.00,30.10,30.00,1500.00
08/01/2020,31.80,KDF,31.80,31.80,31.80,0.00
07/01/2020,31.80,KDF,31.80,31.80,31.80,0.00
06/01/2020,31.80,KDF,31.80,31.80,31.80,100.00
03/01/2020,32.00,KDF,30.60,32.00,30.60,1100.00
02/01/2020,32.00,KDF,34.50,34.50,32.00,1100.00
31/12/2019,31.90,KDF,31.90,31.90,31.90,0.00
30/12/2019,31.90,KDF,32.00,32.00,31.00,12400.00
27/12/2019,31.00,KDF,31.00,31.00,31.00,1.00
26/12/2019,31.00,KDF,31.00,31.00,31.00,0.00
25/12/2019,31.00,KDF,31.00,31.00,31.00,1000.00
24/12/2019,32.00,KDF,30.50,32.00,30.50,2000.00
23/12/2019,31.50,KDF,31.50,31.50,31.50,1.00
20/12/2019,31.50,KDF,31.50,31.50,31.50,100.00
19/12/2019,31.50,KDF,32.00,32.00,31.50,1600.00
18/12/2019,29.70,KDF,30.40,30.40,29.70,15210.00
17/12/2019,30.30,KDF,30.80,30.80,30.30,2700.00
16/12/2019,30.90,KDF,30.90,30.90,30.90,0.00
13/12/2019,30.90,KDF,30.90,30.90,30.90,0.00
12/12/2019,31.00,KDF,30.40,31.00,30.40,900.00
11/12/2019,30.40,KDF,31.00,31.00,30.40,8003.00
10/12/2019,30.70,KDF,30.60,30.70,30.30,11613.00
09/12/2019,30.90,KDF,30.80,30.90,30.80,3800.00
06/12/2019,31.80,KDF,30.20,31.80,30.20,1810.00
05/12/2019,32.60,KDF,32.60,32.60,32.60,0.00
04/12/2019,32.60,KDF,32.60,32.60,32.60,100.00
03/12/2019,31.40,KDF,31.00,31.40,31.00,400.00
02/12/2019,30.10,KDF,30.30,30.30,30.10,3910.00
29/11/2019,32.00,KDF,31.00,32.00,31.00,1300.00
28/11/2019,32.40,KDF,32.00,32.40,31.80,3702.00
27/11/2019,32.00,KDF,33.50,33.50,32.00,2600.00
26/11/2019,33.90,KDF,33.90,33.90,33.90,100.00
25/11/2019,32.40,KDF,32.40,32.50,32.40,1200.00
22/11/2019,32.50,KDF,32.00,32.50,32.00,28300.00
21/11/2019,32.00,KDF,32.00,32.00,32.00,1420.00
20/11/2019,31.90,KDF,32.50,32.50,31.90,23200.00
19/11/2019,32.00,KDF,32.00,32.00,32.00,5300.00
18/11/2019,33.50,KDF,31.60,33.50,31.60,2900.00
15/11/2019,34.00,KDF,32.00,34.00,31.50,13908.00
14/11/2019,32.20,KDF,32.90,32.90,32.00,11500.00
13/11/2019,33.50,KDF,34.30,34.30,33.30,5410.00
12/11/2019,34.70,KDF,33.70,34.70,33.70,4102.00
11/11/2019,34.80,KDF,34.50,34.80,33.80,7320.00
08/11/2019,34.80,KDF,33.20,34.90,33.20,7000.00
07/11/2019,33.60,KDF,34.50,34.50,33.60,5800.00
06/11/2019,34.50,KDF,34.50,35.00,34.50,4210.00
05/11/2019,34.90,KDF,33.60,35.20,33.50,73823.00
04/11/2019,35.40,KDF,32.60,35.50,32.50,53028.00
01/11/2019,35.50,KDF,35.30,35.80,35.30,104100.00
31/10/2019,35.40,KDF,35.40,36.00,34.50,114714.00
30/10/2019,35.00,KDF,35.10,35.50,35.00,9810.00
29/10/2019,36.40,KDF,36.20,37.00,35.20,12628.00
28/10/2019,36.00,KDF,36.40,37.00,36.00,8964.00
25/10/2019,36.80,KDF,36.20,37.90,36.00,78100.00
24/10/2019,35.00,KDF,36.90,38.00,35.00,72940.00
23/10/2019,37.10,KDF,36.60,37.40,36.60,55762.00
22/10/2019,36.80,KDF,36.80,36.90,36.00,31231.00
21/10/2019,36.90,KDF,36.50,36.90,36.00,72803.00
18/10/2019,36.00,KDF,35.50,36.80,35.50,67040.00
17/10/2019,36.00,KDF,34.20,36.00,34.20,112164.00
16/10/2019,34.40,KDF,34.20,34.80,33.90,49528.00
15/10/2019,34.00,KDF,34.30,34.70,33.80,20800.00
14/10/2019,34.50,KDF,31.00,35.20,31.00,136020.00
11/10/2019,33.50,KDF,30.00,33.50,30.00,159300.00
10/10/2019,29.00,KDF,29.60,30.70,29.00,18200.00
09/10/2019,28.50,KDF,29.20,30.40,28.50,25300.00
08/10/2019,29.20,KDF,29.90,29.90,29.20,6100.00
07/10/2019,30.10,KDF,29.90,30.10,29.00,22900.00
04/10/2019,29.70,KDF,29.50,30.20,29.50,12600.00
03/10/2019,30.30,KDF,30.30,30.30,30.00,400.00
02/10/2019,29.90,KDF,29.50,29.90,29.50,3200.00
01/10/2019,29.80,KDF,30.00,30.00,29.50,14540.00
30/09/2019,30.50,KDF,28.50,31.80,28.00,7600.00
27/09/2019,31.50,KDF,30.90,31.50,30.80,72100.00
26/09/2019,31.70,KDF,30.90,31.70,30.80,6700.00
25/09/2019,30.90,KDF,30.90,30.90,30.80,2300.00
24/09/2019,30.90,KDF,30.80,31.00,30.80,8300.00
23/09/2019,30.90,KDF,31.00,31.40,30.80,21208.00
20/09/2019,31.40,KDF,31.20,31.70,30.80,27433.00
19/09/2019,31.60,KDF,31.00,32.00,31.00,4100.00
18/09/2019,31.90,KDF,33.00,33.00,31.90,13900.00
17/09/2019,32.60,KDF,31.80,32.80,31.80,32748.00
16/09/2019,31.40,KDF,33.20,33.20,31.00,11010.00
13/09/2019,32.70,KDF,32.00,32.70,32.00,21850.00
12/09/2019,31.90,KDF,31.00,32.00,31.00,14141.00
11/09/2019,31.40,KDF,31.70,31.70,29.50,77772.00
10/09/2019,31.10,KDF,32.90,32.90,31.00,37450.00
09/09/2019,32.50,KDF,32.70,33.00,32.00,26070.00
06/09/2019,32.30,KDF,33.50,33.50,32.10,16169.00
05/09/2019,33.00,KDF,31.70,33.60,31.60,56900.00
04/09/2019,32.90,KDF,34.00,34.00,31.60,111150.00
03/09/2019,34.70,KDF,35.00,35.00,34.00,91761.00
30/08/2019,33.60,KDF,36.20,37.60,33.60,69550.00
29/08/2019,35.60,KDF,32.00,35.60,32.00,247328.00
28/08/2019,31.40,KDF,30.90,31.50,30.60,135300.00
27/08/2019,30.90,KDF,28.50,31.00,28.30,75700.00
26/08/2019,28.10,KDF,29.10,29.10,28.10,8500.00
23/08/2019,29.00,KDF,28.00,29.00,27.80,12201.00
22/08/2019,28.20,KDF,28.50,28.50,27.50,28700.00
21/08/2019,29.40,KDF,29.00,29.50,29.00,28700.00
20/08/2019,30.00,KDF,30.70,30.70,29.50,52000.00
19/08/2019,30.70,KDF,29.70,32.00,29.70,59503.00
16/08/2019,29.80,KDF,28.00,30.00,27.50,88570.00
15/08/2019,26.50,KDF,26.00,26.50,26.00,7810.00
14/08/2019,25.50,KDF,26.00,26.00,25.50,8100.00
13/08/2019,26.00,KDF,26.00,26.00,26.00,2700.00
