DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,32.20,KHA,32.20,32.20,32.20,3800.00
10/01/2020,32.10,KHA,32.20,32.20,32.10,400.00
09/01/2020,32.20,KHA,32.20,32.20,32.20,0.00
08/01/2020,32.20,KHA,32.20,32.20,32.20,0.00
07/01/2020,32.20,KHA,32.20,32.20,32.20,300.00
06/01/2020,37.60,KHA,37.60,37.60,37.60,500.00
03/01/2020,43.60,KHA,43.60,43.60,43.60,95.00
02/01/2020,43.60,KHA,43.60,43.60,43.60,62.00
31/12/2019,43.60,KHA,43.60,43.60,43.60,10.00
30/12/2019,40.90,KHA,36.50,47.00,36.50,1896.00
27/12/2019,40.90,KHA,40.90,40.90,40.90,0.00
26/12/2019,42.90,KHA,41.60,42.90,36.00,1500.00
25/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
24/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
23/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
20/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
19/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
18/12/2019,41.60,KHA,41.60,41.60,41.60,0.00
17/12/2019,42.90,KHA,34.00,42.90,34.00,1400.00
16/12/2019,40.00,KHA,39.00,40.00,39.00,2630.00
13/12/2019,36.00,KHA,34.00,36.00,34.00,900.00
12/12/2019,34.00,KHA,33.00,34.00,33.00,1900.00
11/12/2019,32.00,KHA,32.00,32.00,32.00,3000.00
10/12/2019,30.90,KHA,30.90,30.90,30.90,4000.00
09/12/2019,33.00,KHA,28.70,33.00,28.70,508.00
06/12/2019,28.80,KHA,28.80,28.80,28.80,0.00
05/12/2019,28.80,KHA,28.80,28.80,28.80,0.00
04/12/2019,28.80,KHA,28.80,28.80,28.80,0.00
03/12/2019,28.80,KHA,28.80,28.80,28.80,0.00
02/12/2019,28.80,KHA,28.80,28.80,28.80,0.00
29/11/2019,28.80,KHA,28.80,28.80,28.80,5.00
28/11/2019,28.80,KHA,28.80,28.80,28.80,0.00
27/11/2019,28.80,KHA,28.80,28.80,28.80,0.00
26/11/2019,28.80,KHA,28.80,28.80,28.80,0.00
25/11/2019,28.80,KHA,28.80,28.80,28.80,0.00
22/11/2019,28.80,KHA,28.80,28.80,28.80,22.00
21/11/2019,28.80,KHA,28.80,28.80,28.80,300.00
20/11/2019,28.80,KHA,28.80,28.80,28.80,0.00
19/11/2019,28.80,KHA,28.80,28.80,28.80,100.00
18/11/2019,25.20,KHA,25.20,25.20,25.20,0.00
15/11/2019,25.20,KHA,25.30,25.30,25.20,300.00
14/11/2019,29.30,KHA,29.30,29.30,29.30,200.00
13/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
12/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
11/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
08/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
07/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
06/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
05/11/2019,34.30,KHA,34.30,34.30,34.30,1.00
04/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
01/11/2019,34.30,KHA,34.30,34.30,34.30,0.00
31/10/2019,34.30,KHA,34.30,34.30,34.30,700.00
30/10/2019,34.30,KHA,34.30,34.30,34.30,0.00
29/10/2019,34.00,KHA,34.50,34.50,34.00,3300.00
28/10/2019,34.50,KHA,34.40,34.50,34.40,2100.00
25/10/2019,30.90,KHA,29.90,30.90,29.90,2000.00
24/10/2019,27.40,KHA,27.40,27.40,27.40,0.00
23/10/2019,27.40,KHA,27.40,27.40,27.40,9.00
22/10/2019,27.40,KHA,27.40,27.40,27.40,100.00
21/10/2019,24.00,KHA,24.00,24.00,24.00,100.00
18/10/2019,26.50,KHA,26.50,26.50,26.50,0.00
17/10/2019,26.50,KHA,26.50,26.50,26.50,100.00
16/10/2019,26.50,KHA,26.50,26.50,26.50,0.00
15/10/2019,26.50,KHA,26.50,26.50,26.50,0.00
14/10/2019,26.50,KHA,26.50,26.50,26.50,0.00
11/10/2019,26.50,KHA,26.50,26.50,26.50,0.00
10/10/2019,26.50,KHA,26.50,26.50,26.50,100.00
09/10/2019,29.30,KHA,29.30,29.30,29.30,0.00
08/10/2019,29.30,KHA,29.30,29.30,29.30,8.00
07/10/2019,29.30,KHA,29.30,29.30,29.30,0.00
04/10/2019,29.30,KHA,29.30,29.30,29.30,0.00
03/10/2019,29.30,KHA,29.30,29.30,29.30,0.00
02/10/2019,29.30,KHA,29.30,29.30,29.30,4.00
01/10/2019,29.00,KHA,29.50,29.50,29.00,220.00
30/09/2019,29.40,KHA,29.40,29.40,29.40,0.00
27/09/2019,29.40,KHA,29.40,29.40,29.40,0.00
26/09/2019,29.40,KHA,29.40,29.40,29.40,0.00
25/09/2019,29.40,KHA,29.40,29.40,29.40,0.00
24/09/2019,26.30,KHA,31.00,31.00,26.30,302.00
23/09/2019,30.30,KHA,30.30,30.30,30.30,300.00
20/09/2019,28.00,KHA,26.00,30.00,26.00,508.00
19/09/2019,26.50,KHA,29.00,29.00,26.50,1100.00
18/09/2019,30.30,KHA,30.30,30.30,30.30,4.00
17/09/2019,30.30,KHA,30.30,30.30,30.30,0.00
16/09/2019,30.30,KHA,30.30,30.30,30.30,0.00
13/09/2019,30.30,KHA,30.30,30.30,30.30,24.00
12/09/2019,30.30,KHA,30.30,30.30,30.30,0.00
11/09/2019,30.30,KHA,30.30,30.30,30.30,3000.00
10/09/2019,30.30,KHA,30.30,30.30,30.30,84.00
09/09/2019,30.30,KHA,30.30,30.30,30.30,100.00
06/09/2019,29.90,KHA,29.90,29.90,29.90,0.00
05/09/2019,29.90,KHA,29.90,29.90,29.90,0.00
04/09/2019,29.90,KHA,29.90,29.90,29.90,77.00
03/09/2019,29.90,KHA,29.90,29.90,29.90,100.00
30/08/2019,29.90,KHA,29.90,29.90,29.90,0.00
29/08/2019,29.90,KHA,29.90,29.90,29.90,5.00
28/08/2019,29.90,KHA,29.90,29.90,29.90,0.00
27/08/2019,29.90,KHA,29.90,29.90,29.90,0.00
26/08/2019,29.90,KHA,29.90,29.90,29.90,0.00
23/08/2019,29.90,KHA,29.90,29.90,29.90,0.00
22/08/2019,30.00,KHA,29.90,30.00,29.90,1008.00
21/08/2019,30.00,KHA,30.00,30.00,30.00,100.00
20/08/2019,26.40,KHA,26.40,26.40,26.40,0.00
19/08/2019,26.40,KHA,26.50,26.50,26.40,1000.00
16/08/2019,31.00,KHA,31.00,31.00,31.00,0.00
15/08/2019,31.00,KHA,31.00,31.00,31.00,0.00
14/08/2019,31.20,KHA,28.00,31.20,28.00,2000.00
13/08/2019,31.20,KHA,31.20,31.20,31.20,0.00
12/08/2019,31.20,KHA,31.20,31.20,31.20,0.00
09/08/2019,32.00,KHA,25.10,32.00,25.10,2500.00
08/08/2019,28.10,KHA,28.10,28.10,28.10,0.00
07/08/2019,28.10,KHA,28.10,28.10,28.10,100.00
06/08/2019,30.50,KHA,30.50,30.50,30.50,100.00
05/08/2019,28.80,KHA,28.80,28.80,28.80,0.00
02/08/2019,28.80,KHA,28.80,28.80,28.80,0.00
01/08/2019,28.80,KHA,28.80,28.80,28.80,100.00
31/07/2019,25.10,KHA,25.10,25.10,25.10,0.00
30/07/2019,25.10,KHA,25.10,25.10,25.10,0.00
29/07/2019,25.10,KHA,25.10,25.10,25.10,100.00
26/07/2019,27.10,KHA,27.10,27.10,27.10,0.00
25/07/2019,27.10,KHA,27.10,27.10,27.10,10.00
24/07/2019,27.30,KHA,26.70,27.40,26.70,300.00
23/07/2019,30.80,KHA,30.80,30.80,30.80,0.00
22/07/2019,30.80,KHA,30.80,30.80,30.80,0.00
19/07/2019,30.80,KHA,30.80,30.80,30.80,119.00
18/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
17/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
16/07/2019,29.50,KHA,29.50,29.50,29.50,300.00
15/07/2019,29.50,KHA,29.50,29.50,29.50,12.00
12/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
11/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
10/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
09/07/2019,29.50,KHA,29.50,29.50,29.50,5.00
08/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
05/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
04/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
03/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
02/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
01/07/2019,29.50,KHA,29.50,29.50,29.50,0.00
28/06/2019,29.50,KHA,29.50,29.50,29.50,0.00
27/06/2019,29.50,KHA,29.50,29.50,29.50,0.00
26/06/2019,29.50,KHA,29.50,29.50,29.50,100.00
25/06/2019,30.00,KHA,30.00,30.00,30.00,0.00
24/06/2019,30.00,KHA,30.00,30.00,30.00,100.00
21/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
20/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
19/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
18/06/2019,30.60,KHA,30.60,30.60,30.60,3.00
17/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
14/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
13/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
12/06/2019,30.60,KHA,30.60,30.60,30.60,0.00
11/06/2019,30.60,KHA,30.60,30.60,30.60,210.00
10/06/2019,29.70,KHA,29.70,29.70,29.70,0.00
07/06/2019,29.70,KHA,29.70,29.70,29.70,0.00
06/06/2019,29.70,KHA,29.70,29.70,29.70,0.00
05/06/2019,29.70,KHA,29.70,29.70,29.70,0.00
04/06/2019,29.70,KHA,29.70,29.70,29.70,2.00
03/06/2019,29.70,KHA,29.70,29.70,29.70,10.00
31/05/2019,29.70,KHA,29.70,29.70,29.70,0.00
30/05/2019,29.70,KHA,29.70,29.70,29.70,0.00
29/05/2019,29.70,KHA,29.70,29.70,29.70,0.00
28/05/2019,29.70,KHA,29.70,29.70,29.70,0.00
27/05/2019,29.70,KHA,29.70,29.70,29.70,10.00
24/05/2019,29.70,KHA,29.60,29.70,29.60,210.00
23/05/2019,29.50,KHA,29.50,29.50,29.50,0.00
22/05/2019,29.50,KHA,29.50,29.50,29.50,100.00
21/05/2019,29.70,KHA,29.70,29.70,29.70,0.00
20/05/2019,29.70,KHA,29.70,29.70,29.70,224.00
17/05/2019,29.10,KHA,30.00,30.00,29.10,300.00
16/05/2019,30.10,KHA,30.20,30.20,30.10,900.00
15/05/2019,30.20,KHA,30.20,30.20,30.20,4.00
14/05/2019,30.20,KHA,30.20,30.20,30.20,200.00
13/05/2019,30.20,KHA,30.20,30.20,30.20,96.00
10/05/2019,30.20,KHA,30.20,30.20,30.20,200.00
09/05/2019,30.00,KHA,30.00,30.00,30.00,0.00
08/05/2019,30.10,KHA,30.10,30.10,30.00,1000.00
07/05/2019,34.00,KHA,33.80,34.00,33.80,800.00
06/05/2019,31.50,KHA,31.50,31.50,31.50,270.00
03/05/2019,32.00,KHA,32.20,32.20,32.00,200.00
02/05/2019,32.00,KHA,32.00,32.00,32.00,100.00
26/04/2019,33.60,KHA,33.60,33.60,33.60,0.00
25/04/2019,33.60,KHA,33.60,33.60,33.60,0.00
24/04/2019,33.60,KHA,33.60,33.60,33.60,0.00
23/04/2019,30.70,KHA,33.00,35.20,30.70,700.00
22/04/2019,30.70,KHA,30.70,30.70,30.70,0.00
19/04/2019,30.70,KHA,30.70,30.70,30.70,0.00
18/04/2019,30.70,KHA,30.70,30.70,30.70,0.00
17/04/2019,30.70,KHA,30.70,30.70,30.70,10.00
16/04/2019,30.70,KHA,30.70,30.70,30.70,200.00
12/04/2019,30.60,KHA,30.60,30.60,30.60,50.00
11/04/2019,30.60,KHA,30.60,30.60,30.60,30.00
10/04/2019,30.60,KHA,30.60,30.60,30.60,0.00
09/04/2019,30.60,KHA,30.60,30.60,30.60,42.00
08/04/2019,30.60,KHA,30.60,30.60,30.60,0.00
05/04/2019,30.60,KHA,30.60,30.60,30.60,0.00
04/04/2019,30.60,KHA,30.60,30.60,30.60,0.00
03/04/2019,30.60,KHA,30.60,30.60,30.60,360.00
02/04/2019,34.00,KHA,34.00,34.00,34.00,0.00
01/04/2019,34.00,KHA,34.00,34.00,34.00,3.00
29/03/2019,34.00,KHA,34.00,34.00,34.00,10.00
28/03/2019,34.00,KHA,34.00,34.00,34.00,0.00
