DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.11,LAF,9.11,9.11,9.11,0.00
10/01/2020,9.11,LAF,9.11,9.11,9.11,0.00
09/01/2020,9.11,LAF,9.11,9.11,9.11,0.00
08/01/2020,9.11,LAF,9.11,9.11,9.11,0.00
07/01/2020,9.11,LAF,9.12,9.12,9.11,2500.00
06/01/2020,9.11,LAF,9.11,9.11,9.11,10.00
03/01/2020,9.31,LAF,9.51,9.51,9.31,1060.00
02/01/2020,9.80,LAF,10.00,10.00,9.80,1000.00
31/12/2019,10.25,LAF,9.80,10.25,9.80,650.00
30/12/2019,9.79,LAF,9.79,9.79,9.79,1070.00
27/12/2019,9.15,LAF,9.15,9.15,9.15,10.00
26/12/2019,9.79,LAF,9.79,9.79,9.79,50.00
25/12/2019,9.18,LAF,9.18,9.18,9.18,0.00
24/12/2019,9.18,LAF,8.66,9.18,8.66,130.00
23/12/2019,8.65,LAF,8.65,8.65,8.65,0.00
20/12/2019,8.65,LAF,8.65,8.65,8.65,200.00
19/12/2019,9.30,LAF,9.30,9.30,9.30,0.00
18/12/2019,9.30,LAF,8.65,9.30,8.65,3570.00
17/12/2019,9.30,LAF,9.30,9.30,9.30,10.00
16/12/2019,10.00,LAF,10.00,10.00,10.00,0.00
13/12/2019,10.00,LAF,10.00,10.00,10.00,0.00
12/12/2019,10.00,LAF,10.00,10.00,10.00,0.00
11/12/2019,10.00,LAF,10.00,10.00,10.00,0.00
10/12/2019,10.00,LAF,9.73,10.00,9.73,150.00
09/12/2019,9.73,LAF,9.72,9.73,9.72,470.00
06/12/2019,9.10,LAF,9.10,9.10,9.10,0.00
05/12/2019,9.10,LAF,9.10,9.10,9.10,0.00
04/12/2019,9.10,LAF,9.10,9.10,9.10,100.00
03/12/2019,9.10,LAF,9.10,9.10,9.10,120.00
02/12/2019,9.70,LAF,9.70,9.70,9.70,50.00
29/11/2019,9.72,LAF,9.09,9.72,9.10,2580.00
28/11/2019,9.09,LAF,9.09,9.09,9.09,10.00
27/11/2019,8.50,LAF,8.50,8.50,8.50,1000.00
26/11/2019,8.15,LAF,8.15,8.15,8.15,10.00
25/11/2019,8.30,LAF,8.20,8.30,8.20,1050.00
22/11/2019,8.01,LAF,8.01,8.01,8.01,30.00
21/11/2019,7.84,LAF,7.84,7.84,7.84,0.00
20/11/2019,7.84,LAF,7.84,7.84,7.84,6770.00
19/11/2019,8.41,LAF,8.41,8.41,8.41,0.00
18/11/2019,8.41,LAF,8.41,8.41,8.41,0.00
15/11/2019,8.41,LAF,8.41,8.41,8.41,10.00
14/11/2019,9.00,LAF,9.00,9.00,9.00,0.00
13/11/2019,9.00,LAF,9.31,9.31,9.00,180.00
12/11/2019,9.31,LAF,10.00,10.00,9.31,5660.00
11/11/2019,10.00,LAF,10.00,10.00,10.00,1420.00
08/11/2019,9.73,LAF,9.73,9.73,9.73,10.00
07/11/2019,9.73,LAF,9.73,9.73,9.73,0.00
06/11/2019,9.73,LAF,8.70,9.73,8.70,30.00
05/11/2019,9.10,LAF,9.10,9.10,9.10,10.00
04/11/2019,9.50,LAF,10.90,10.90,9.50,530.00
01/11/2019,10.20,LAF,10.25,10.25,10.15,12480.00
31/10/2019,9.69,LAF,9.69,9.69,9.69,50.00
30/10/2019,9.07,LAF,9.07,9.07,9.07,10.00
29/10/2019,8.50,LAF,8.50,8.50,8.50,0.00
28/10/2019,8.50,LAF,8.51,8.51,8.50,3640.00
25/10/2019,8.38,LAF,8.38,8.38,8.38,0.00
24/10/2019,8.38,LAF,9.00,9.00,8.38,100.00
23/10/2019,9.00,LAF,9.00,9.00,9.00,0.00
22/10/2019,9.00,LAF,9.63,9.63,9.00,50.00
21/10/2019,9.63,LAF,9.58,9.63,9.58,490.00
18/10/2019,9.00,LAF,9.01,9.01,9.00,150.00
17/10/2019,9.60,LAF,10.50,10.50,9.60,3310.00
16/10/2019,10.00,LAF,10.15,10.15,10.00,240.00
15/10/2019,9.49,LAF,8.80,9.49,8.80,70.00
14/10/2019,9.26,LAF,8.06,9.26,8.06,6670.00
11/10/2019,8.66,LAF,8.66,8.66,8.66,10.00
10/10/2019,8.10,LAF,8.10,8.10,8.10,0.00
09/10/2019,8.10,LAF,8.15,8.15,8.10,5010.00
08/10/2019,8.10,LAF,8.10,8.10,8.10,3030.00
07/10/2019,8.10,LAF,8.10,8.10,8.10,2030.00
04/10/2019,8.10,LAF,8.10,8.10,8.10,3000.00
03/10/2019,8.10,LAF,8.11,8.11,8.10,670.00
02/10/2019,8.10,LAF,8.10,8.10,8.10,100.00
01/10/2019,8.56,LAF,8.56,8.56,8.56,100.00
30/09/2019,8.02,LAF,8.02,8.02,8.02,0.00
27/09/2019,8.02,LAF,7.50,8.02,7.50,5200.00
26/09/2019,7.50,LAF,7.50,7.50,7.50,10.00
25/09/2019,7.01,LAF,7.01,7.01,7.01,100.00
24/09/2019,7.52,LAF,7.98,7.98,7.52,3010.00
23/09/2019,7.47,LAF,7.89,7.89,7.47,260.00
20/09/2019,7.46,LAF,7.90,7.90,7.46,1010.00
19/09/2019,7.99,LAF,7.99,7.99,7.99,20.00
18/09/2019,7.83,LAF,7.83,7.83,7.83,1000.00
17/09/2019,7.80,LAF,7.08,7.80,7.08,510.00
16/09/2019,7.60,LAF,7.56,8.10,7.56,10250.00
13/09/2019,8.10,LAF,7.61,8.10,7.61,6680.00
12/09/2019,7.61,LAF,8.10,8.10,7.61,12860.00
11/09/2019,8.08,LAF,7.80,8.08,7.80,620.00
10/09/2019,8.09,LAF,7.88,8.10,7.88,12270.00
09/09/2019,7.78,LAF,7.78,7.78,7.78,10.00
06/09/2019,7.70,LAF,7.30,7.70,7.30,40.00
05/09/2019,7.60,LAF,7.00,7.60,7.00,10920.00
04/09/2019,7.50,LAF,7.50,7.50,7.50,70.00
03/09/2019,7.49,LAF,7.00,7.49,7.00,540.00
30/08/2019,7.00,LAF,7.00,7.00,7.00,13240.00
29/08/2019,6.72,LAF,6.72,6.72,6.72,3300.00
28/08/2019,7.20,LAF,7.00,7.21,7.00,5350.00
27/08/2019,7.50,LAF,7.50,7.50,7.50,0.00
26/08/2019,7.50,LAF,7.50,7.50,7.50,0.00
23/08/2019,7.50,LAF,7.50,7.50,7.50,1000.00
22/08/2019,7.50,LAF,7.50,7.50,7.50,1110.00
21/08/2019,7.50,LAF,7.50,7.50,7.50,0.00
20/08/2019,7.50,LAF,7.50,7.50,7.50,0.00
19/08/2019,7.50,LAF,7.50,7.50,7.50,190.00
16/08/2019,7.50,LAF,7.50,7.50,7.50,530.00
15/08/2019,7.20,LAF,7.20,7.20,7.20,10.00
14/08/2019,7.48,LAF,7.48,7.49,7.20,730.00
13/08/2019,7.18,LAF,7.18,7.18,7.18,10.00
12/08/2019,7.29,LAF,7.53,7.53,7.29,1010.00
09/08/2019,7.13,LAF,7.13,7.13,7.13,0.00
08/08/2019,7.13,LAF,6.62,7.13,6.62,20.00
07/08/2019,7.10,LAF,6.81,7.31,6.81,2910.00
