DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,16.00,LEC,16.50,16.50,15.05,180.00
10/01/2020,15.90,LEC,16.10,16.10,15.05,920.00
09/01/2020,15.50,LEC,16.50,16.50,15.50,170.00
08/01/2020,16.45,LEC,16.45,16.45,16.45,100.00
07/01/2020,16.50,LEC,16.60,16.60,15.50,370.00
06/01/2020,16.30,LEC,15.45,16.30,15.45,80.00
03/01/2020,16.40,LEC,15.30,16.40,15.30,1170.00
02/01/2020,16.15,LEC,16.15,16.15,15.00,610.00
31/12/2019,15.10,LEC,15.10,15.10,15.10,20.00
30/12/2019,15.40,LEC,15.40,15.40,15.40,100.00
27/12/2019,16.30,LEC,16.30,16.30,16.30,100.00
26/12/2019,16.40,LEC,16.40,16.50,16.40,1040.00
25/12/2019,16.50,LEC,16.50,16.50,16.50,1350.00
24/12/2019,16.10,LEC,15.95,16.10,15.95,1400.00
23/12/2019,15.10,LEC,16.10,16.10,15.10,200.00
20/12/2019,16.10,LEC,16.20,16.20,14.50,1450.00
19/12/2019,15.30,LEC,16.40,15.30,15.30,130.00
18/12/2019,16.40,LEC,16.70,16.70,15.65,1110.00
17/12/2019,16.80,LEC,16.00,16.80,15.00,2230.00
16/12/2019,16.00,LEC,15.90,16.00,15.80,1050.00
13/12/2019,16.10,LEC,15.05,16.10,15.05,740.00
12/12/2019,15.70,LEC,15.00,15.80,15.00,620.00
11/12/2019,15.50,LEC,16.00,16.00,15.50,80.00
10/12/2019,16.10,LEC,16.10,16.10,16.10,50.00
09/12/2019,15.45,LEC,16.30,16.30,15.45,100.00
06/12/2019,16.30,LEC,15.30,16.30,15.30,810.00
05/12/2019,16.30,LEC,16.50,16.50,15.40,160.00
04/12/2019,15.85,LEC,17.00,17.00,15.85,80.00
03/12/2019,17.00,LEC,17.00,17.00,17.00,0.00
02/12/2019,17.00,LEC,17.05,17.10,15.00,1810.00
29/11/2019,16.00,LEC,16.20,16.00,15.25,590.00
28/11/2019,16.20,LEC,16.30,16.30,15.20,290.00
27/11/2019,15.95,LEC,15.95,15.95,15.95,100.00
26/11/2019,15.95,LEC,15.95,15.95,15.95,100.00
25/11/2019,15.20,LEC,15.20,15.20,15.20,60.00
22/11/2019,15.95,LEC,15.90,15.95,15.90,550.00
21/11/2019,15.90,LEC,15.90,15.90,15.90,100.00
20/11/2019,16.25,LEC,16.25,16.25,16.25,0.00
19/11/2019,16.25,LEC,15.30,16.25,15.30,1010.00
18/11/2019,16.30,LEC,15.30,16.30,15.30,480.00
15/11/2019,16.30,LEC,16.20,16.30,16.20,540.00
14/11/2019,16.20,LEC,16.50,16.50,15.50,400.00
13/11/2019,15.70,LEC,15.70,17.30,15.70,1140.00
12/11/2019,16.30,LEC,15.60,16.45,15.60,590.00
11/11/2019,16.30,LEC,15.70,16.30,15.70,90.00
08/11/2019,16.30,LEC,15.80,16.30,15.80,550.00
07/11/2019,16.40,LEC,16.50,16.50,15.50,930.00
06/11/2019,16.30,LEC,16.45,16.45,15.70,600.00
05/11/2019,16.40,LEC,15.50,16.50,15.50,1890.00
04/11/2019,16.50,LEC,15.80,16.50,15.80,420.00
01/11/2019,16.45,LEC,15.75,16.45,15.75,540.00
31/10/2019,16.30,LEC,15.50,16.30,15.50,210.00
30/10/2019,16.30,LEC,16.30,16.30,16.30,50.00
29/10/2019,16.30,LEC,15.80,16.35,15.80,590.00
28/10/2019,16.70,LEC,16.70,16.70,16.70,0.00
25/10/2019,16.70,LEC,16.00,16.70,16.00,240.00
