DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,39.50,LGC,39.50,39.50,39.50,10.00
10/01/2020,39.50,LGC,39.50,39.50,39.50,10.00
09/01/2020,39.90,LGC,39.90,44.90,39.90,1510.00
08/01/2020,42.00,LGC,42.00,42.00,42.00,0.00
07/01/2020,42.00,LGC,42.00,42.00,42.00,0.00
06/01/2020,42.00,LGC,42.00,42.00,42.00,0.00
03/01/2020,42.00,LGC,42.00,42.00,42.00,10.00
02/01/2020,39.50,LGC,39.50,39.50,39.50,0.00
31/12/2019,39.50,LGC,39.50,39.50,39.50,0.00
30/12/2019,39.50,LGC,39.50,39.50,39.50,450.00
27/12/2019,39.50,LGC,39.50,39.50,39.50,10.00
26/12/2019,42.30,LGC,42.30,42.30,42.30,0.00
25/12/2019,42.30,LGC,42.30,42.30,42.30,10.00
24/12/2019,39.55,LGC,39.55,39.55,39.55,0.00
23/12/2019,39.55,LGC,39.55,39.55,39.55,0.00
20/12/2019,39.55,LGC,39.55,39.55,39.55,10.00
19/12/2019,37.00,LGC,37.00,37.00,37.00,0.00
18/12/2019,37.00,LGC,37.00,37.00,37.00,0.00
17/12/2019,37.00,LGC,37.00,37.00,37.00,100.00
16/12/2019,39.00,LGC,39.00,39.00,39.00,10.00
13/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
12/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
11/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
10/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
09/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
06/12/2019,39.00,LGC,39.00,39.00,39.00,10.00
05/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
04/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
03/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
02/12/2019,39.00,LGC,39.00,39.00,39.00,0.00
29/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
28/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
27/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
26/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
25/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
22/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
21/11/2019,39.00,LGC,39.00,39.00,39.00,0.00
20/11/2019,39.00,LGC,39.00,39.00,39.00,10.00
