DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,1.50,MEC,1.50,1.50,1.50,0.00
10/01/2020,1.50,MEC,1.50,1.50,1.50,0.00
09/01/2020,1.50,MEC,1.50,1.50,1.50,0.00
08/01/2020,1.50,MEC,1.50,1.50,1.50,500.00
07/01/2020,1.50,MEC,1.50,1.50,1.50,0.00
06/01/2020,1.50,MEC,1.50,1.50,1.50,100.00
03/01/2020,1.60,MEC,1.60,1.60,1.60,0.00
02/01/2020,1.60,MEC,1.60,1.60,1.60,0.00
31/12/2019,1.60,MEC,1.50,1.60,1.50,300.00
30/12/2019,1.50,MEC,1.50,1.50,1.50,2000.00
27/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
26/12/2019,1.60,MEC,1.50,1.60,1.50,5100.00
25/12/2019,1.60,MEC,1.50,1.60,1.50,5200.00
24/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
23/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
20/12/2019,1.60,MEC,1.60,1.60,1.60,100.00
19/12/2019,1.60,MEC,1.60,1.60,1.60,30210.00
18/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
17/12/2019,1.60,MEC,1.60,1.60,1.60,6600.00
16/12/2019,1.70,MEC,1.70,1.70,1.70,0.00
13/12/2019,1.70,MEC,1.60,1.70,1.60,1600.00
12/12/2019,1.60,MEC,1.60,1.60,1.60,2.00
11/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
10/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
09/12/2019,1.60,MEC,1.60,1.60,1.60,200.00
06/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
05/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
04/12/2019,1.60,MEC,1.60,1.60,1.60,100.00
03/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
02/12/2019,1.60,MEC,1.60,1.60,1.60,0.00
29/11/2019,1.60,MEC,1.60,1.60,1.60,100.00
28/11/2019,1.70,MEC,1.60,1.70,1.60,900.00
27/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
26/11/2019,1.60,MEC,1.60,1.60,1.60,100.00
25/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
22/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
21/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
20/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
19/11/2019,1.60,MEC,1.60,1.60,1.60,100.00
18/11/2019,1.70,MEC,1.50,1.70,1.50,2300.00
15/11/2019,1.60,MEC,1.60,1.60,1.60,200.00
14/11/2019,1.70,MEC,1.70,1.70,1.70,0.00
13/11/2019,1.70,MEC,1.70,1.70,1.70,0.00
12/11/2019,1.70,MEC,1.70,1.70,1.70,0.00
11/11/2019,1.70,MEC,1.50,1.70,1.50,200.00
08/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
07/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
06/11/2019,1.60,MEC,1.60,1.60,1.60,0.00
05/11/2019,1.60,MEC,1.60,1.60,1.60,100.00
04/11/2019,1.70,MEC,1.70,1.70,1.70,0.00
01/11/2019,1.70,MEC,1.60,1.70,1.60,20200.00
31/10/2019,1.70,MEC,1.70,1.70,1.60,2700.00
30/10/2019,1.70,MEC,1.70,1.70,1.70,0.00
29/10/2019,1.70,MEC,1.70,1.70,1.70,2600.00
28/10/2019,1.80,MEC,1.80,1.80,1.80,0.00
25/10/2019,1.80,MEC,1.70,1.80,1.70,800.00
24/10/2019,1.70,MEC,1.50,1.70,1.50,15300.00
23/10/2019,1.60,MEC,1.60,1.60,1.60,0.00
22/10/2019,1.60,MEC,1.60,1.60,1.60,2.00
21/10/2019,1.60,MEC,1.60,1.60,1.60,300.00
18/10/2019,1.60,MEC,1.50,1.60,1.50,200.00
17/10/2019,1.60,MEC,1.60,1.60,1.60,0.00
16/10/2019,1.60,MEC,1.50,1.60,1.50,7300.00
15/10/2019,1.60,MEC,1.50,1.60,1.50,21700.00
14/10/2019,1.60,MEC,1.60,1.60,1.60,74.00
11/10/2019,1.60,MEC,1.50,1.60,1.50,1540.00
10/10/2019,1.60,MEC,1.60,1.60,1.60,7000.00
09/10/2019,1.70,MEC,1.60,1.70,1.60,19600.00
08/10/2019,1.70,MEC,1.70,1.70,1.70,500.00
07/10/2019,1.80,MEC,1.80,1.80,1.80,0.00
04/10/2019,1.80,MEC,1.80,1.80,1.80,100.00
03/10/2019,1.80,MEC,1.80,1.80,1.80,100.00
02/10/2019,1.70,MEC,1.70,1.70,1.70,5100.00
01/10/2019,1.80,MEC,1.70,1.80,1.70,5325.00
30/09/2019,1.80,MEC,1.80,1.80,1.80,0.00
27/09/2019,1.80,MEC,1.80,1.80,1.70,1573.00
26/09/2019,1.80,MEC,1.80,1.80,1.80,200.00
25/09/2019,1.80,MEC,1.70,1.80,1.70,37100.00
24/09/2019,1.80,MEC,1.80,1.90,1.80,30226.00
23/09/2019,1.80,MEC,1.80,1.80,1.80,10300.00
20/09/2019,1.90,MEC,1.90,1.90,1.90,0.00
19/09/2019,1.90,MEC,1.90,1.90,1.90,10.00
18/09/2019,1.90,MEC,1.90,1.90,1.90,0.00
17/09/2019,1.90,MEC,1.90,1.90,1.90,0.00
16/09/2019,1.90,MEC,1.90,1.90,1.80,6100.00
13/09/2019,1.90,MEC,1.90,1.90,1.90,4700.00
12/09/2019,1.90,MEC,1.90,1.90,1.90,5000.00
11/09/2019,2.00,MEC,2.00,2.00,1.90,13200.00
