DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.09,MHC,3.09,3.09,3.09,10.00
10/01/2020,2.90,MHC,2.83,2.90,2.81,1530.00
09/01/2020,2.89,MHC,2.98,2.98,2.82,30.00
08/01/2020,2.82,MHC,2.87,2.89,2.82,28500.00
07/01/2020,2.90,MHC,2.80,2.90,2.80,3210.00
06/01/2020,2.85,MHC,2.81,2.90,2.80,11110.00
03/01/2020,2.98,MHC,2.81,2.98,2.81,300.00
02/01/2020,2.83,MHC,2.90,2.90,2.81,4220.00
31/12/2019,3.00,MHC,3.00,3.00,3.00,8310.00
30/12/2019,3.19,MHC,3.02,3.19,3.01,3110.00
27/12/2019,3.23,MHC,2.99,3.23,2.96,27730.00
26/12/2019,3.10,MHC,3.29,3.39,3.03,12410.00
25/12/2019,3.19,MHC,3.20,3.24,3.04,5930.00
24/12/2019,3.20,MHC,3.01,3.20,3.00,1000.00
23/12/2019,3.20,MHC,3.00,3.20,3.00,7070.00
20/12/2019,3.21,MHC,3.06,3.22,3.06,21970.00
19/12/2019,3.23,MHC,3.23,3.23,3.23,0.00
18/12/2019,3.23,MHC,3.15,3.23,3.12,9120.00
17/12/2019,3.35,MHC,3.37,3.38,3.10,4770.00
16/12/2019,3.30,MHC,3.07,3.43,3.07,350.00
13/12/2019,3.22,MHC,3.28,3.37,3.17,6540.00
12/12/2019,3.40,MHC,3.28,3.40,3.28,15010.00
11/12/2019,3.43,MHC,3.58,3.65,3.22,9270.00
10/12/2019,3.46,MHC,3.69,3.69,3.46,40.00
09/12/2019,3.49,MHC,3.27,3.60,3.27,2060.00
06/12/2019,3.50,MHC,3.25,3.59,3.25,60.00
05/12/2019,3.40,MHC,3.79,3.79,3.33,6730.00
04/12/2019,3.58,MHC,3.59,3.59,3.58,1500.00
03/12/2019,3.44,MHC,3.30,3.44,3.21,4500.00
02/12/2019,3.45,MHC,3.30,3.45,3.30,200.00
29/11/2019,3.30,MHC,3.47,3.53,3.30,200.00
28/11/2019,3.47,MHC,3.40,3.47,3.33,12910.00
27/11/2019,3.45,MHC,3.33,3.45,3.33,2650.00
26/11/2019,3.50,MHC,3.40,3.54,3.39,17450.00
25/11/2019,3.40,MHC,3.41,3.49,3.40,16640.00
22/11/2019,3.65,MHC,3.65,3.65,3.65,10.00
21/11/2019,3.50,MHC,3.33,3.50,3.33,12240.00
20/11/2019,3.50,MHC,3.34,3.55,3.34,10880.00
19/11/2019,3.40,MHC,3.69,3.69,3.40,7620.00
18/11/2019,3.55,MHC,3.46,3.55,3.44,530.00
15/11/2019,3.68,MHC,3.45,3.68,3.41,2010.00
14/11/2019,3.49,MHC,3.48,3.50,3.48,62810.00
13/11/2019,3.74,MHC,3.57,3.74,3.57,5010.00
12/11/2019,3.57,MHC,3.57,3.57,3.57,740.00
11/11/2019,3.74,MHC,3.54,3.74,3.54,290.00
08/11/2019,3.79,MHC,3.79,3.79,3.79,0.00
07/11/2019,3.79,MHC,3.79,3.79,3.79,0.00
06/11/2019,3.79,MHC,3.78,3.79,3.78,1010.00
05/11/2019,3.79,MHC,3.70,3.80,3.50,13280.00
04/11/2019,3.60,MHC,3.80,3.80,3.60,3510.00
01/11/2019,3.71,MHC,3.83,3.85,3.71,2240.00
31/10/2019,3.88,MHC,3.83,3.90,3.83,170.00
30/10/2019,3.85,MHC,3.90,3.90,3.85,12450.00
29/10/2019,3.98,MHC,4.20,4.20,3.86,26180.00
28/10/2019,3.96,MHC,3.82,3.96,3.80,12680.00
25/10/2019,3.97,MHC,4.18,4.18,3.80,8260.00
24/10/2019,3.94,MHC,4.05,4.05,3.74,1820.00
23/10/2019,3.82,MHC,3.85,4.00,3.82,6360.00
22/10/2019,4.10,MHC,3.83,4.10,3.83,20200.00
21/10/2019,3.85,MHC,3.80,3.85,3.80,1530.00
18/10/2019,3.68,MHC,3.83,3.85,3.68,11000.00
17/10/2019,3.79,MHC,3.80,3.85,3.70,8960.00
16/10/2019,3.82,MHC,3.80,3.82,3.80,6210.00
15/10/2019,3.90,MHC,3.88,3.90,3.88,40.00
14/10/2019,3.82,MHC,3.63,3.82,3.63,930.00
11/10/2019,3.82,MHC,3.79,3.83,3.62,2490.00
10/10/2019,3.58,MHC,3.88,3.88,3.58,6600.00
09/10/2019,3.83,MHC,3.70,3.90,3.60,9000.00
08/10/2019,3.80,MHC,3.96,3.96,3.76,8530.00
07/10/2019,3.84,MHC,3.95,3.95,3.80,27130.00
04/10/2019,3.98,MHC,4.00,4.00,3.98,300.00
03/10/2019,3.80,MHC,3.79,3.80,3.79,520.00
02/10/2019,3.85,MHC,3.80,3.85,3.80,1210.00
01/10/2019,3.78,MHC,3.60,3.79,3.60,8520.00
30/09/2019,3.60,MHC,3.88,3.89,3.60,78580.00
27/09/2019,3.80,MHC,3.80,3.90,3.79,20680.00
26/09/2019,3.80,MHC,3.61,3.80,3.61,27330.00
25/09/2019,3.85,MHC,3.80,3.85,3.80,8690.00
24/09/2019,3.84,MHC,3.74,3.85,3.74,20270.00
23/09/2019,3.98,MHC,3.88,3.98,3.78,89790.00
20/09/2019,4.05,MHC,3.98,4.06,3.96,7430.00
19/09/2019,4.06,MHC,3.84,4.06,3.82,1240.00
18/09/2019,4.08,MHC,4.07,4.08,4.07,4510.00
17/09/2019,4.08,MHC,4.08,4.10,4.07,9570.00
16/09/2019,4.09,MHC,4.09,4.09,4.09,0.00
13/09/2019,4.09,MHC,3.93,4.14,3.93,4010.00
12/09/2019,4.18,MHC,4.18,4.18,4.18,1010.00
11/09/2019,4.00,MHC,4.20,4.20,4.00,310.00
10/09/2019,4.15,MHC,4.15,4.15,4.15,220.00
09/09/2019,4.11,MHC,4.12,4.16,4.10,1240.00
06/09/2019,4.16,MHC,4.16,4.16,4.16,1160.00
05/09/2019,4.16,MHC,4.14,4.16,4.14,10110.00
04/09/2019,4.20,MHC,4.18,4.20,4.18,750.00
03/09/2019,4.17,MHC,3.93,4.17,3.93,4970.00
30/08/2019,4.17,MHC,4.15,4.19,4.00,6490.00
29/08/2019,4.20,MHC,3.92,4.20,3.92,2600.00
28/08/2019,4.18,MHC,4.00,4.18,3.92,14890.00
27/08/2019,4.20,MHC,3.92,4.20,3.92,1610.00
26/08/2019,4.21,MHC,3.99,4.22,3.99,1940.00
23/08/2019,4.29,MHC,4.29,4.29,3.90,11820.00
22/08/2019,4.10,MHC,4.27,4.27,4.10,1530.00
21/08/2019,4.19,MHC,4.20,4.20,4.15,66070.00
20/08/2019,4.06,MHC,3.98,4.18,3.98,121510.00
19/08/2019,4.15,MHC,4.20,4.20,4.01,420.00
16/08/2019,4.15,MHC,4.05,4.15,4.05,1210.00
15/08/2019,4.15,MHC,4.00,4.15,4.00,32330.00
14/08/2019,4.19,MHC,4.28,4.28,4.00,4390.00
13/08/2019,4.20,MHC,3.94,4.20,3.94,22090.00
12/08/2019,4.20,MHC,4.17,4.29,4.01,63750.00
09/08/2019,4.19,MHC,4.11,4.30,4.11,35190.00
08/08/2019,4.11,MHC,3.81,4.12,3.80,24810.00
07/08/2019,3.97,MHC,3.89,4.14,3.79,41100.00
06/08/2019,4.27,MHC,4.10,4.50,4.10,41450.00
05/08/2019,4.35,MHC,4.39,4.61,4.30,26780.00
02/08/2019,4.39,MHC,4.67,4.67,4.20,3790.00
01/08/2019,4.39,MHC,4.69,4.69,4.30,24060.00
31/07/2019,4.45,MHC,4.66,4.66,4.45,4470.00
30/07/2019,4.45,MHC,4.45,4.49,4.43,51230.00
29/07/2019,4.44,MHC,4.55,4.60,4.42,20630.00
26/07/2019,4.55,MHC,4.31,4.55,4.31,2930.00
25/07/2019,4.60,MHC,4.60,4.60,4.40,2770.00
24/07/2019,4.50,MHC,4.31,4.50,4.31,1030.00
23/07/2019,4.58,MHC,4.50,4.70,4.21,15110.00
22/07/2019,4.43,MHC,4.43,4.43,4.43,1000.00
19/07/2019,4.70,MHC,4.70,4.70,4.70,10.00
18/07/2019,4.67,MHC,4.40,4.67,4.40,10680.00
17/07/2019,4.67,MHC,4.63,4.67,4.63,1410.00
16/07/2019,4.70,MHC,4.58,4.70,4.58,40.00
15/07/2019,4.57,MHC,4.36,4.60,4.36,27960.00
12/07/2019,4.60,MHC,4.51,4.63,4.50,37000.00
11/07/2019,4.70,MHC,4.70,4.70,4.70,40.00
10/07/2019,4.70,MHC,4.48,4.70,4.47,7290.00
09/07/2019,4.79,MHC,4.50,4.79,4.50,7060.00
08/07/2019,4.59,MHC,4.60,4.60,4.45,7350.00
05/07/2019,4.68,MHC,4.70,4.70,4.49,23190.00
04/07/2019,4.51,MHC,4.66,4.70,4.51,26390.00
03/07/2019,4.65,MHC,4.85,4.85,4.47,31190.00
02/07/2019,4.65,MHC,4.62,4.85,4.46,20150.00
01/07/2019,4.62,MHC,4.60,4.64,4.51,17840.00
28/06/2019,4.64,MHC,4.72,4.72,4.43,10340.00
27/06/2019,4.60,MHC,4.44,4.61,4.44,17420.00
26/06/2019,4.77,MHC,4.77,4.77,4.77,0.00
25/06/2019,4.77,MHC,4.80,4.80,4.34,19670.00
24/06/2019,4.65,MHC,4.49,4.65,4.49,5820.00
21/06/2019,4.70,MHC,4.70,4.70,4.70,100.00
20/06/2019,4.78,MHC,4.78,4.78,4.78,10.00
19/06/2019,4.75,MHC,4.69,4.75,4.60,3140.00
18/06/2019,4.88,MHC,4.88,4.88,4.70,930.00
17/06/2019,4.70,MHC,4.80,4.90,4.60,12250.00
14/06/2019,4.80,MHC,4.74,4.80,4.74,1190.00
13/06/2019,4.80,MHC,4.69,4.80,4.61,4550.00
12/06/2019,4.70,MHC,4.69,4.70,4.69,740.00
11/06/2019,4.70,MHC,4.75,4.75,4.56,100030.00
10/06/2019,4.68,MHC,4.50,4.70,4.40,6260.00
