DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,65.90,MML,65.80,65.90,65.10,17710.00
10/01/2020,65.90,MML,65.50,66.00,65.20,8789.00
09/01/2020,65.90,MML,65.90,66.00,65.00,32659.00
08/01/2020,65.90,MML,65.90,66.00,65.50,12790.00
07/01/2020,66.00,MML,66.00,66.00,65.10,34804.00
06/01/2020,66.00,MML,66.00,66.00,65.30,6965.00
03/01/2020,66.00,MML,66.00,66.10,65.00,30330.00
02/01/2020,66.00,MML,66.00,66.00,65.80,30336.00
31/12/2019,66.00,MML,66.00,66.00,65.90,15051.00
30/12/2019,66.00,MML,66.00,66.30,65.80,41765.00
27/12/2019,65.90,MML,66.00,66.40,65.90,51760.00
26/12/2019,66.00,MML,65.90,66.00,65.80,22640.00
25/12/2019,65.90,MML,66.00,66.30,65.10,45585.00
24/12/2019,65.60,MML,65.70,66.00,65.10,51730.00
23/12/2019,65.00,MML,66.00,66.00,64.80,57620.00
20/12/2019,65.60,MML,66.00,66.50,65.60,36291.00
19/12/2019,66.00,MML,66.00,66.50,65.80,14311.00
18/12/2019,66.00,MML,66.50,67.50,65.80,32499.00
17/12/2019,65.90,MML,65.00,68.00,65.00,75555.00
16/12/2019,65.90,MML,65.90,66.30,65.00,37776.00
13/12/2019,65.80,MML,66.30,66.40,65.70,65735.00
12/12/2019,66.20,MML,65.90,67.00,65.00,20740.00
11/12/2019,65.50,MML,64.90,67.00,63.60,64940.00
10/12/2019,65.10,MML,69.00,69.00,62.00,158368.00
09/12/2019,69.90,MML,80.00,80.00,69.50,63600.00
