DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,23.90,MPC,24.10,24.20,23.40,260732.00
10/01/2020,24.10,MPC,24.50,24.80,24.00,142210.00
09/01/2020,24.50,MPC,23.70,24.80,23.70,270200.00
08/01/2020,23.70,MPC,23.50,24.10,23.10,291439.00
07/01/2020,23.50,MPC,22.60,23.50,22.60,448350.00
06/01/2020,22.50,MPC,22.70,22.90,22.50,137878.00
03/01/2020,22.70,MPC,22.80,22.80,22.60,141194.00
02/01/2020,22.70,MPC,21.50,22.90,21.50,330309.00
31/12/2019,21.60,MPC,21.50,21.80,21.40,149052.00
30/12/2019,21.80,MPC,21.50,21.90,21.50,52210.00
27/12/2019,21.50,MPC,22.10,22.20,21.50,117260.00
26/12/2019,22.00,MPC,21.10,22.40,21.00,183890.00
25/12/2019,21.50,MPC,21.30,21.50,21.00,104420.00
24/12/2019,21.30,MPC,21.30,22.50,21.00,174110.00
23/12/2019,21.10,MPC,21.00,21.40,20.90,136040.00
20/12/2019,21.10,MPC,21.00,22.00,20.60,67502.00
19/12/2019,20.60,MPC,20.70,21.30,20.50,192710.00
18/12/2019,20.70,MPC,20.70,21.00,20.10,39790.00
17/12/2019,20.90,MPC,21.30,21.30,20.70,61200.00
16/12/2019,21.30,MPC,21.30,21.30,20.90,167802.00
13/12/2019,21.20,MPC,21.90,22.00,21.10,105460.00
12/12/2019,21.60,MPC,22.20,22.20,21.30,195413.00
11/12/2019,21.70,MPC,20.40,23.10,20.40,448268.00
10/12/2019,20.20,MPC,20.20,21.00,20.00,110814.00
09/12/2019,20.10,MPC,19.20,20.30,19.20,178500.00
06/12/2019,19.30,MPC,18.70,19.50,18.70,90500.00
05/12/2019,18.80,MPC,18.40,18.80,18.40,65473.00
04/12/2019,18.40,MPC,18.70,18.80,18.40,90150.00
03/12/2019,18.70,MPC,18.80,18.80,18.50,84600.00
02/12/2019,18.90,MPC,18.80,19.10,18.70,110410.00
29/11/2019,19.00,MPC,19.50,19.50,18.90,125240.00
28/11/2019,19.50,MPC,18.80,21.00,18.80,170980.00
27/11/2019,18.10,MPC,18.70,18.70,18.00,225330.00
26/11/2019,18.50,MPC,19.40,19.40,18.20,360670.00
25/11/2019,18.90,MPC,20.50,20.50,18.90,210240.00
22/11/2019,20.10,MPC,21.10,21.30,19.80,264760.00
21/11/2019,21.00,MPC,21.40,21.40,21.00,78130.00
20/11/2019,21.20,MPC,22.00,22.00,21.10,145988.00
19/11/2019,21.90,MPC,21.70,21.90,21.50,107555.00
18/11/2019,21.70,MPC,21.80,21.90,21.50,50050.00
15/11/2019,21.70,MPC,21.70,22.00,21.60,120656.00
14/11/2019,21.80,MPC,21.90,21.90,21.50,109798.00
13/11/2019,21.70,MPC,22.50,22.50,21.70,126910.00
12/11/2019,22.20,MPC,22.00,22.60,22.00,108250.00
11/11/2019,22.00,MPC,22.20,22.20,21.80,67680.00
08/11/2019,22.20,MPC,22.50,22.60,22.00,67178.00
07/11/2019,22.50,MPC,22.40,22.60,22.30,59630.00
06/11/2019,22.40,MPC,21.80,22.50,21.70,101222.00
05/11/2019,21.80,MPC,21.90,22.00,21.60,102850.00
04/11/2019,21.90,MPC,22.40,22.40,21.80,77410.00
01/11/2019,22.20,MPC,22.50,22.50,22.10,69816.00
31/10/2019,22.50,MPC,22.70,22.90,22.40,48520.00
30/10/2019,22.70,MPC,22.60,22.80,22.60,58100.00
29/10/2019,22.60,MPC,22.40,23.20,22.30,232340.00
28/10/2019,22.40,MPC,21.80,22.50,21.80,128660.00
25/10/2019,21.80,MPC,22.00,22.00,21.70,46000.00
24/10/2019,22.00,MPC,22.20,22.40,21.90,69135.00
23/10/2019,22.30,MPC,21.60,22.50,21.10,142700.00
22/10/2019,21.60,MPC,22.00,22.00,21.40,262970.00
21/10/2019,22.00,MPC,23.20,23.20,21.80,278600.00
18/10/2019,23.10,MPC,23.80,23.80,23.00,161950.00
17/10/2019,23.50,MPC,23.90,24.00,23.50,97473.00
