DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,33.00,MQN,34.00,34.00,33.00,900.00
10/01/2020,33.50,MQN,32.40,33.50,32.40,1400.00
09/01/2020,33.40,MQN,33.40,33.40,33.40,200.00
08/01/2020,33.50,MQN,32.40,33.50,32.40,3900.00
07/01/2020,33.50,MQN,33.10,33.60,32.20,4700.00
06/01/2020,33.40,MQN,33.00,33.40,33.00,700.00
03/01/2020,33.00,MQN,32.10,33.00,32.10,5600.00
02/01/2020,33.50,MQN,34.50,34.50,32.10,4200.00
31/12/2019,33.00,MQN,32.30,33.00,32.30,1400.00
30/12/2019,32.90,MQN,32.00,32.90,32.00,5200.00
27/12/2019,32.50,MQN,32.00,32.50,32.00,3500.00
26/12/2019,32.20,MQN,32.10,32.20,32.10,1100.00
25/12/2019,32.50,MQN,32.50,32.50,32.50,3100.00
24/12/2019,32.50,MQN,32.50,32.50,32.50,2500.00
23/12/2019,31.70,MQN,33.90,33.90,31.70,1500.00
20/12/2019,32.10,MQN,32.50,32.50,32.10,300.00
19/12/2019,32.90,MQN,31.60,32.90,31.60,300.00
18/12/2019,32.80,MQN,31.90,32.80,31.90,400.00
17/12/2019,33.00,MQN,31.60,33.00,31.60,1900.00
16/12/2019,32.10,MQN,32.10,32.10,32.10,400.00
13/12/2019,32.40,MQN,32.30,32.40,32.30,500.00
12/12/2019,32.20,MQN,33.70,33.70,32.20,1700.00
11/12/2019,33.00,MQN,32.30,33.00,32.30,300.00
10/12/2019,32.20,MQN,36.80,36.80,32.20,1900.00
09/12/2019,32.10,MQN,32.10,32.10,32.10,100.00
06/12/2019,32.20,MQN,32.20,32.20,32.20,100.00
05/12/2019,32.10,MQN,32.10,32.90,32.10,300.00
04/12/2019,32.80,MQN,33.40,33.40,32.00,2900.00
03/12/2019,32.70,MQN,32.10,32.70,32.10,5600.00
02/12/2019,32.90,MQN,32.00,33.00,32.00,4000.00
29/11/2019,32.60,MQN,32.50,33.40,31.10,6600.00
28/11/2019,33.50,MQN,34.50,34.50,32.00,3400.00
27/11/2019,32.50,MQN,33.80,33.80,32.00,3200.00
26/11/2019,31.30,MQN,34.00,34.00,31.10,10200.00
25/11/2019,32.00,MQN,32.00,32.00,30.40,4504.00
22/11/2019,31.10,MQN,34.80,34.80,31.10,7400.00
21/11/2019,32.00,MQN,31.90,32.00,31.90,1220.00
20/11/2019,32.40,MQN,30.90,32.40,30.90,1400.00
19/11/2019,31.10,MQN,30.70,31.90,30.70,6300.00
18/11/2019,30.90,MQN,32.90,32.90,30.70,5987.00
15/11/2019,31.90,MQN,31.90,32.00,30.60,3800.00
14/11/2019,31.90,MQN,33.40,33.40,30.10,3055.00
13/11/2019,32.00,MQN,32.50,32.50,30.70,2800.00
12/11/2019,31.90,MQN,33.80,33.80,30.40,1331.00
11/11/2019,31.50,MQN,30.80,31.50,29.90,910.00
08/11/2019,31.50,MQN,31.00,31.50,29.30,2900.00
07/11/2019,31.70,MQN,30.30,31.70,30.30,220.00
06/11/2019,31.10,MQN,34.50,34.50,31.10,3100.00
05/11/2019,31.60,MQN,31.60,31.60,31.60,100.00
04/11/2019,31.40,MQN,31.40,31.40,31.40,600.00
01/11/2019,31.60,MQN,31.60,31.60,31.50,1410.00
31/10/2019,31.50,MQN,31.60,31.60,31.50,1658.00
30/10/2019,31.60,MQN,32.60,32.60,31.60,6310.00
29/10/2019,32.20,MQN,32.50,32.50,31.60,820.00
28/10/2019,32.40,MQN,32.50,32.50,31.50,6200.00
25/10/2019,32.20,MQN,31.20,32.20,31.20,1100.00
24/10/2019,32.00,MQN,31.50,32.60,31.50,3200.00
23/10/2019,31.90,MQN,33.80,33.90,31.90,4500.00
22/10/2019,31.00,MQN,31.00,32.40,31.00,4700.00
21/10/2019,31.80,MQN,31.00,31.80,30.50,1273.00
18/10/2019,31.50,MQN,31.00,31.50,31.00,1005.00
17/10/2019,30.50,MQN,30.50,30.60,30.50,1700.00
16/10/2019,30.10,MQN,30.10,30.10,30.10,339.00
15/10/2019,30.10,MQN,30.00,30.10,29.80,3613.00
14/10/2019,30.50,MQN,30.00,30.50,30.00,5627.00
11/10/2019,30.80,MQN,30.50,30.80,30.00,3403.00
10/10/2019,30.00,MQN,31.00,31.00,29.60,3600.00
09/10/2019,31.30,MQN,30.50,31.30,29.90,4000.00
08/10/2019,30.00,MQN,29.30,30.00,29.30,1900.00
07/10/2019,29.20,MQN,29.40,29.60,29.20,5000.00
04/10/2019,29.20,MQN,28.80,29.20,28.10,1400.00
03/10/2019,28.60,MQN,26.50,28.60,26.50,2600.00
02/10/2019,28.80,MQN,28.30,28.80,27.40,2700.00
01/10/2019,28.30,MQN,28.30,28.30,28.30,1300.00
30/09/2019,28.50,MQN,28.50,28.50,28.10,2100.00
27/09/2019,28.60,MQN,29.10,29.10,28.60,700.00
26/09/2019,28.50,MQN,28.80,28.90,28.50,4900.00
25/09/2019,29.50,MQN,29.00,29.50,28.70,5200.00
24/09/2019,29.50,MQN,29.50,29.50,28.10,4000.00
23/09/2019,29.50,MQN,28.60,29.50,28.60,4700.00
20/09/2019,29.50,MQN,29.50,29.50,29.10,3200.00
19/09/2019,30.30,MQN,29.20,30.30,29.20,3500.00
18/09/2019,30.10,MQN,30.10,30.10,29.10,1800.00
17/09/2019,30.40,MQN,29.90,30.40,29.70,800.00
16/09/2019,30.30,MQN,29.90,30.30,29.60,1700.00
13/09/2019,30.00,MQN,30.00,30.00,29.50,1100.00
12/09/2019,30.00,MQN,30.00,30.00,29.10,2315.00
11/09/2019,30.40,MQN,29.10,30.40,29.00,1805.00
10/09/2019,30.00,MQN,30.00,30.00,29.20,2000.00
09/09/2019,30.30,MQN,30.90,30.90,30.30,6500.00
06/09/2019,30.80,MQN,30.00,30.80,30.00,1100.00
05/09/2019,30.00,MQN,30.00,30.00,29.50,2800.00
04/09/2019,30.00,MQN,30.00,30.00,30.00,3900.00
03/09/2019,30.10,MQN,30.10,30.10,30.10,800.00
30/08/2019,31.00,MQN,31.00,31.00,30.10,900.00
29/08/2019,31.40,MQN,31.00,31.40,30.50,4500.00
28/08/2019,31.00,MQN,29.60,31.00,29.60,1000.00
27/08/2019,30.50,MQN,30.50,30.50,30.50,500.00
26/08/2019,30.00,MQN,30.10,30.80,29.70,2900.00
23/08/2019,30.10,MQN,30.10,30.10,30.10,1800.00
22/08/2019,30.10,MQN,30.10,30.10,30.10,810.00
21/08/2019,30.80,MQN,30.50,30.80,30.50,2200.00
