DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,16.25,NAV,16.25,16.25,16.25,0.00
10/01/2020,16.25,NAV,16.25,16.25,16.25,10.00
09/01/2020,15.20,NAV,14.20,15.20,14.20,50.00
08/01/2020,14.25,NAV,14.25,14.25,14.25,0.00
07/01/2020,14.25,NAV,14.25,14.25,14.25,10.00
06/01/2020,13.35,NAV,13.35,13.35,13.35,10.00
03/01/2020,12.50,NAV,12.50,12.50,12.50,0.00
02/01/2020,12.50,NAV,12.50,12.50,12.50,1500.00
31/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
30/12/2019,12.90,NAV,12.90,12.90,12.90,0.00
27/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
26/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
25/12/2019,13.90,NAV,13.90,13.90,13.90,2130.00
24/12/2019,13.90,NAV,13.90,13.90,13.90,2130.00
23/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
20/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
19/12/2019,13.90,NAV,13.90,13.90,13.90,0.00
18/12/2019,13.90,NAV,15.85,15.85,13.90,170.00
17/12/2019,14.85,NAV,13.90,14.85,13.90,1010.00
16/12/2019,13.90,NAV,13.90,13.90,13.90,10.00
13/12/2019,14.85,NAV,14.85,14.85,14.85,110.00
12/12/2019,15.95,NAV,17.10,17.10,15.95,14310.00
11/12/2019,17.10,NAV,15.95,17.10,15.95,24920.00
10/12/2019,16.00,NAV,14.55,16.00,14.55,8720.00
09/12/2019,15.60,NAV,16.60,16.60,15.60,5240.00
06/12/2019,15.60,NAV,15.60,15.60,15.60,4000.00
05/12/2019,14.60,NAV,14.60,14.60,14.60,5000.00
04/12/2019,13.70,NAV,13.70,13.70,13.70,9470.00
03/12/2019,12.85,NAV,12.85,12.85,12.85,5940.00
02/12/2019,12.05,NAV,12.00,12.05,12.00,1710.00
29/11/2019,11.30,NAV,11.25,11.30,11.25,1300.00
28/11/2019,11.25,NAV,11.25,11.25,11.25,310.00
27/11/2019,10.70,NAV,10.40,10.70,10.40,9520.00
26/11/2019,10.40,NAV,10.40,10.40,10.40,10340.00
25/11/2019,10.40,NAV,10.10,10.80,10.10,17940.00
22/11/2019,10.10,NAV,10.00,10.10,10.00,6030.00
21/11/2019,10.70,NAV,10.00,10.70,10.00,8080.00
20/11/2019,10.00,NAV,10.00,10.00,10.00,0.00
19/11/2019,10.00,NAV,9.30,10.00,9.30,29370.00
18/11/2019,10.00,NAV,10.00,10.00,10.00,10.00
15/11/2019,9.35,NAV,9.35,9.35,9.35,0.00
14/11/2019,9.35,NAV,9.35,9.35,9.35,0.00
13/11/2019,9.35,NAV,9.35,9.35,9.35,0.00
12/11/2019,9.35,NAV,9.35,9.35,9.35,0.00
11/11/2019,9.35,NAV,9.35,9.35,9.35,0.00
08/11/2019,9.35,NAV,9.35,9.35,9.35,100.00
07/11/2019,10.05,NAV,10.05,10.05,10.05,0.00
06/11/2019,10.05,NAV,10.10,10.10,9.77,560.00
05/11/2019,10.50,NAV,10.50,10.50,10.50,2140.00
04/11/2019,9.82,NAV,9.82,9.82,9.82,0.00
01/11/2019,9.82,NAV,9.82,9.82,9.82,0.00
31/10/2019,9.82,NAV,9.82,9.82,9.82,0.00
30/10/2019,9.82,NAV,9.82,9.82,9.82,0.00
29/10/2019,9.82,NAV,9.70,9.82,9.70,1300.00
28/10/2019,9.18,NAV,9.18,9.18,9.18,0.00
25/10/2019,9.18,NAV,9.18,9.18,9.18,0.00
24/10/2019,9.18,NAV,9.18,9.18,9.18,0.00
23/10/2019,9.18,NAV,9.18,9.18,9.18,0.00
22/10/2019,9.18,NAV,9.18,9.18,9.18,0.00
21/10/2019,9.18,NAV,9.18,9.18,9.18,50.00
18/10/2019,8.88,NAV,8.88,8.88,8.88,20.00
17/10/2019,8.80,NAV,8.80,8.80,8.80,0.00
16/10/2019,8.80,NAV,8.80,8.80,8.80,0.00
15/10/2019,8.80,NAV,8.80,8.80,8.80,0.00
14/10/2019,8.80,NAV,8.80,8.80,8.80,10.00
11/10/2019,8.23,NAV,8.23,8.23,8.23,0.00
10/10/2019,8.23,NAV,8.23,8.23,8.23,1760.00
09/10/2019,7.70,NAV,8.63,8.63,7.70,30.00
08/10/2019,8.07,NAV,8.07,8.07,8.07,10.00
07/10/2019,7.55,NAV,7.55,7.55,7.55,290.00
04/10/2019,7.55,NAV,7.55,7.55,7.55,20.00
03/10/2019,8.11,NAV,8.11,8.11,8.11,0.00
02/10/2019,8.11,NAV,8.33,8.33,8.11,310.00
01/10/2019,7.90,NAV,7.90,7.90,7.90,20.00
30/09/2019,8.20,NAV,8.27,8.27,8.20,6310.00
27/09/2019,7.73,NAV,7.90,7.90,7.73,500.00
26/09/2019,8.30,NAV,8.30,8.30,8.30,0.00
25/09/2019,8.30,NAV,8.30,8.30,8.30,0.00
24/09/2019,8.30,NAV,8.30,8.30,8.30,0.00
23/09/2019,8.30,NAV,8.30,8.30,8.30,0.00
20/09/2019,8.30,NAV,8.30,8.30,8.30,12000.00
19/09/2019,8.30,NAV,8.21,8.30,8.21,17020.00
18/09/2019,7.77,NAV,8.22,8.22,7.70,1280.00
17/09/2019,7.70,NAV,7.70,7.70,7.70,1000.00
16/09/2019,7.65,NAV,7.65,7.65,7.65,0.00
13/09/2019,7.65,NAV,7.65,7.65,7.65,200.00
12/09/2019,8.20,NAV,8.20,8.20,8.20,0.00
11/09/2019,8.20,NAV,8.20,8.40,8.20,33210.00
10/09/2019,8.10,NAV,7.50,8.10,7.44,280.00
09/09/2019,8.00,NAV,8.00,8.00,8.00,2050.00
06/09/2019,8.00,NAV,7.50,8.00,7.50,850.00
05/09/2019,8.00,NAV,8.10,8.10,8.00,570.00
04/09/2019,8.20,NAV,8.50,8.50,8.20,27000.00
03/09/2019,8.40,NAV,8.40,8.40,8.40,0.00
30/08/2019,8.40,NAV,8.40,8.40,8.40,0.00
29/08/2019,8.40,NAV,8.50,8.50,8.40,810.00
28/08/2019,7.99,NAV,7.99,7.99,7.98,2110.00
27/08/2019,8.00,NAV,8.00,8.00,7.44,2000.00
26/08/2019,8.00,NAV,8.00,8.00,8.00,220.00
23/08/2019,8.00,NAV,8.00,8.57,8.00,1510.00
22/08/2019,8.29,NAV,8.29,8.29,8.29,10.00
21/08/2019,8.40,NAV,7.91,8.49,7.91,150.00
20/08/2019,8.50,NAV,8.50,8.50,8.50,0.00
19/08/2019,8.50,NAV,8.50,8.50,8.50,0.00
16/08/2019,8.50,NAV,8.50,8.50,8.50,0.00
15/08/2019,8.50,NAV,8.50,8.50,8.50,0.00
14/08/2019,8.50,NAV,8.50,8.50,8.50,0.00
13/08/2019,8.50,NAV,8.50,8.50,8.50,20.00
12/08/2019,8.50,NAV,8.00,8.50,8.00,710.00
09/08/2019,8.57,NAV,8.57,8.57,8.57,10.00
08/08/2019,8.27,NAV,8.27,8.27,8.27,0.00
07/08/2019,8.27,NAV,8.27,8.27,8.27,200.00
06/08/2019,8.27,NAV,8.27,8.27,8.27,200.00
05/08/2019,8.89,NAV,7.79,8.90,7.79,7130.00
02/08/2019,8.37,NAV,8.37,8.37,8.37,910.00
01/08/2019,9.00,NAV,9.00,9.00,9.00,0.00
31/07/2019,9.00,NAV,9.04,9.04,9.00,1030.00
30/07/2019,8.64,NAV,8.30,8.64,8.00,9330.00
29/07/2019,8.13,NAV,8.11,8.13,8.11,2290.00
26/07/2019,8.66,NAV,8.16,8.66,8.11,21630.00
25/07/2019,8.71,NAV,8.14,8.71,8.14,20.00
24/07/2019,8.73,NAV,8.12,8.73,8.12,20.00
23/07/2019,8.72,NAV,8.72,8.72,8.72,1000.00
22/07/2019,8.72,NAV,8.73,8.73,8.72,4400.00
19/07/2019,9.03,NAV,8.73,9.03,8.72,3410.00
18/07/2019,9.37,NAV,9.43,9.43,8.40,22480.00
17/07/2019,9.00,NAV,8.65,9.34,8.65,5810.00
16/07/2019,9.24,NAV,8.65,9.24,8.65,13910.00
15/07/2019,9.28,NAV,8.65,9.28,8.65,24750.00
12/07/2019,9.29,NAV,8.72,9.29,8.50,2400.00
11/07/2019,8.72,NAV,8.72,8.72,8.72,1010.00
10/07/2019,9.35,NAV,8.77,9.35,8.77,2600.00
09/07/2019,9.40,NAV,8.70,9.40,8.70,15800.00
08/07/2019,9.30,NAV,8.65,9.30,8.65,5210.00
05/07/2019,9.30,NAV,8.41,9.30,8.41,2710.00
04/07/2019,8.96,NAV,8.42,8.96,8.40,19060.00
03/07/2019,8.40,NAV,8.41,8.70,8.40,22010.00
02/07/2019,8.40,NAV,9.00,9.08,8.40,27850.00
01/07/2019,8.50,NAV,8.50,8.50,8.40,24520.00
28/06/2019,8.40,NAV,8.50,8.50,8.40,18970.00
27/06/2019,8.50,NAV,8.50,8.50,8.50,12690.00
26/06/2019,8.50,NAV,8.80,8.90,8.50,14050.00
25/06/2019,8.90,NAV,8.80,8.90,8.70,8410.00
24/06/2019,8.80,NAV,8.70,8.80,8.70,6010.00
21/06/2019,9.00,NAV,8.70,9.00,8.70,1600.00
20/06/2019,8.80,NAV,8.70,8.80,8.70,5310.00
19/06/2019,9.10,NAV,9.10,9.10,9.10,0.00
18/06/2019,9.10,NAV,9.10,9.10,9.10,0.00
17/06/2019,9.10,NAV,8.51,9.10,8.51,3510.00
14/06/2019,9.00,NAV,9.00,9.00,9.00,20.00
13/06/2019,8.50,NAV,8.39,8.50,8.39,20.00
12/06/2019,9.00,NAV,9.00,9.00,8.96,1170.00
11/06/2019,9.63,NAV,8.42,9.63,8.42,20.00
10/06/2019,9.00,NAV,9.00,9.00,9.00,80.00
07/06/2019,8.56,NAV,8.56,8.56,8.56,10.00
06/06/2019,9.10,NAV,9.10,9.73,9.10,1390.00
05/06/2019,9.10,NAV,9.73,9.73,8.90,1170.00
04/06/2019,9.10,NAV,9.00,9.63,9.00,1100.00
03/06/2019,9.00,NAV,8.70,9.10,8.70,2500.00
31/05/2019,8.70,NAV,8.70,8.70,8.70,500.00
30/05/2019,9.00,NAV,9.00,9.00,9.00,650.00
29/05/2019,9.00,NAV,9.00,9.00,9.00,420.00
28/05/2019,9.20,NAV,9.20,9.20,9.20,400.00
27/05/2019,9.40,NAV,8.50,9.40,8.50,40.00
24/05/2019,9.07,NAV,9.07,9.07,9.07,1000.00
23/05/2019,9.10,NAV,8.47,9.10,8.47,40.00
