DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,6.40,NBC,6.40,6.40,6.40,34800.00
10/01/2020,6.40,NBC,6.40,6.40,6.40,21300.00
09/01/2020,6.40,NBC,6.40,6.40,6.40,21200.00
08/01/2020,6.40,NBC,6.40,6.50,6.40,5600.00
07/01/2020,6.40,NBC,6.50,6.50,6.40,22000.00
06/01/2020,6.50,NBC,6.50,6.50,6.50,6200.00
03/01/2020,6.50,NBC,6.50,6.50,6.50,0.00
02/01/2020,6.50,NBC,6.60,6.60,6.50,39881.00
31/12/2019,6.60,NBC,6.40,6.60,6.40,6700.00
30/12/2019,6.50,NBC,6.30,6.50,6.30,18200.00
27/12/2019,6.30,NBC,6.30,6.30,6.30,6800.00
26/12/2019,6.30,NBC,6.30,6.30,6.30,2800.00
25/12/2019,6.30,NBC,6.30,6.30,6.30,3600.00
24/12/2019,6.30,NBC,6.30,6.30,6.30,3600.00
23/12/2019,6.30,NBC,6.30,6.30,6.30,1000.00
20/12/2019,6.20,NBC,6.20,6.20,6.20,0.00
19/12/2019,6.20,NBC,6.20,6.20,6.20,1100.00
18/12/2019,6.10,NBC,6.20,6.20,6.10,9700.00
17/12/2019,6.20,NBC,6.20,6.20,6.20,600.00
16/12/2019,6.10,NBC,6.10,6.10,6.10,0.00
13/12/2019,6.10,NBC,6.20,6.20,6.10,1600.00
12/12/2019,6.10,NBC,6.10,6.10,6.10,6150.00
11/12/2019,6.10,NBC,6.10,6.10,6.10,29.00
10/12/2019,6.10,NBC,6.20,6.20,6.10,23300.00
09/12/2019,6.20,NBC,6.20,6.20,6.10,30700.00
06/12/2019,6.20,NBC,6.20,6.20,6.20,8800.00
05/12/2019,6.20,NBC,6.20,6.20,6.20,15600.00
04/12/2019,6.20,NBC,6.20,6.20,6.20,10500.00
03/12/2019,6.10,NBC,6.10,6.10,6.10,32800.00
02/12/2019,6.10,NBC,6.20,6.20,6.10,17000.00
29/11/2019,6.20,NBC,6.20,6.20,6.20,5000.00
28/11/2019,6.10,NBC,6.20,6.20,6.10,2100.00
27/11/2019,6.10,NBC,6.10,6.10,6.10,0.00
26/11/2019,6.10,NBC,6.10,6.10,6.10,0.00
25/11/2019,6.10,NBC,6.10,6.20,6.10,27500.00
22/11/2019,6.10,NBC,6.20,6.20,6.10,33300.00
21/11/2019,6.20,NBC,6.10,6.20,6.10,6300.00
20/11/2019,6.10,NBC,6.10,6.10,6.10,100.00
19/11/2019,6.10,NBC,6.20,6.20,6.10,14400.00
18/11/2019,6.20,NBC,6.20,6.20,6.20,2600.00
15/11/2019,6.20,NBC,6.20,6.20,6.20,18400.00
14/11/2019,6.20,NBC,6.20,6.20,6.20,5200.00
13/11/2019,6.10,NBC,6.20,6.20,6.10,46400.00
12/11/2019,6.10,NBC,6.20,6.20,6.10,9100.00
11/11/2019,6.20,NBC,6.20,6.20,6.20,18100.00
08/11/2019,6.20,NBC,6.20,6.20,6.20,11000.00
07/11/2019,6.10,NBC,6.10,6.10,6.10,7000.00
06/11/2019,6.20,NBC,6.20,6.20,6.20,0.00
05/11/2019,6.20,NBC,6.20,6.20,6.20,1000.00
04/11/2019,6.20,NBC,6.20,6.20,6.20,6000.00
