DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,32.00,NHC,32.00,32.00,32.00,0.00
10/01/2020,32.00,NHC,32.00,32.00,32.00,0.00
09/01/2020,32.00,NHC,32.00,32.00,32.00,1802.00
08/01/2020,33.90,NHC,33.90,33.90,33.90,100.00
07/01/2020,31.40,NHC,31.40,31.40,31.40,1600.00
06/01/2020,34.80,NHC,34.80,34.80,34.80,0.00
03/01/2020,34.80,NHC,34.80,34.80,34.80,0.00
02/01/2020,34.80,NHC,34.80,34.80,34.80,0.00
31/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
30/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
27/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
26/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
25/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
24/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
23/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
20/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
19/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
18/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
17/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
16/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
13/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
12/12/2019,34.80,NHC,34.80,34.80,34.80,0.00
11/12/2019,34.80,NHC,34.80,34.80,34.80,100.00
10/12/2019,34.60,NHC,34.60,34.60,34.60,0.00
09/12/2019,34.60,NHC,34.60,34.60,34.60,0.00
06/12/2019,34.60,NHC,34.60,34.60,34.60,100.00
05/12/2019,31.50,NHC,31.50,31.50,31.50,0.00
04/12/2019,31.50,NHC,31.50,31.50,31.50,0.00
03/12/2019,31.50,NHC,31.50,31.50,31.50,0.00
02/12/2019,31.50,NHC,31.50,31.50,31.50,1400.00
29/11/2019,34.60,NHC,34.60,34.60,34.60,100.00
28/11/2019,31.50,NHC,31.50,31.50,31.50,0.00
27/11/2019,31.50,NHC,31.50,31.50,31.50,0.00
26/11/2019,31.50,NHC,31.50,31.50,31.50,0.00
25/11/2019,31.50,NHC,31.50,31.50,31.50,0.00
22/11/2019,31.50,NHC,31.50,31.50,31.50,5500.00
21/11/2019,31.50,NHC,31.50,31.50,31.50,5800.00
20/11/2019,32.00,NHC,30.00,32.00,30.00,4106.00
19/11/2019,30.00,NHC,30.00,30.00,30.00,1000.00
18/11/2019,30.00,NHC,30.10,30.10,30.00,1400.00
15/11/2019,30.00,NHC,30.00,30.00,30.00,0.00
14/11/2019,30.00,NHC,30.00,30.00,30.00,200.00
13/11/2019,33.00,NHC,33.00,33.00,33.00,0.00
12/11/2019,33.00,NHC,33.00,33.00,33.00,0.00
11/11/2019,33.00,NHC,33.00,33.00,33.00,500.00
08/11/2019,34.20,NHC,34.20,34.20,34.20,0.00
07/11/2019,34.20,NHC,34.20,34.20,34.20,0.00
06/11/2019,34.20,NHC,35.00,35.00,34.20,1200.00
05/11/2019,34.20,NHC,34.20,34.20,34.20,0.00
04/11/2019,34.20,NHC,34.20,34.20,34.20,0.00
01/11/2019,34.20,NHC,34.20,34.20,34.20,0.00
31/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
30/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
29/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
28/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
25/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
24/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
23/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
22/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
21/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
18/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
17/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
16/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
15/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
14/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
11/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
10/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
09/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
08/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
07/10/2019,34.20,NHC,34.20,34.20,34.20,0.00
04/10/2019,34.20,NHC,34.20,34.20,34.20,100.00
03/10/2019,31.10,NHC,31.10,31.10,31.10,0.00
02/10/2019,31.10,NHC,31.10,31.10,31.10,100.00
01/10/2019,34.50,NHC,34.50,34.50,34.50,0.00
30/09/2019,34.50,NHC,34.50,34.50,34.50,0.00
27/09/2019,34.50,NHC,34.50,34.50,34.50,0.00
26/09/2019,34.50,NHC,34.50,34.50,34.50,300.00
25/09/2019,33.00,NHC,36.30,36.30,33.00,200.00
24/09/2019,33.00,NHC,33.00,33.00,33.00,100.00
23/09/2019,30.00,NHC,30.80,30.80,30.00,202.00
20/09/2019,28.00,NHC,28.00,28.00,28.00,106.00
19/09/2019,30.50,NHC,30.50,30.50,30.50,100.00
18/09/2019,30.50,NHC,30.00,30.50,30.00,2700.00
17/09/2019,31.00,NHC,31.00,31.00,31.00,5500.00
16/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
13/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
12/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
11/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
10/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
09/09/2019,34.40,NHC,34.40,34.40,34.40,0.00
