DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,46.85,NHH,49.00,49.00,46.80,197070.00
10/01/2020,47.35,NHH,49.00,49.00,47.00,241690.00
09/01/2020,46.20,NHH,45.00,46.20,45.00,254490.00
08/01/2020,44.85,NHH,45.25,45.40,44.65,223140.00
07/01/2020,45.00,NHH,46.00,46.00,44.85,230380.00
06/01/2020,45.10,NHH,45.00,45.40,44.90,229640.00
03/01/2020,45.00,NHH,45.80,46.30,45.00,241590.00
02/01/2020,45.80,NHH,45.00,46.00,45.00,246400.00
31/12/2019,45.00,NHH,45.00,46.00,44.20,226220.00
30/12/2019,44.60,NHH,43.75,45.00,43.75,271460.00
27/12/2019,43.70,NHH,44.10,44.50,43.60,208380.00
26/12/2019,44.00,NHH,42.65,45.55,42.65,220850.00
25/12/2019,42.60,NHH,41.40,44.00,41.40,243830.00
24/12/2019,41.15,NHH,38.50,41.15,38.50,163970.00
23/12/2019,38.50,NHH,35.95,38.50,35.50,137140.00
20/12/2019,36.00,NHH,38.00,38.40,35.85,183660.00
19/12/2019,38.50,NHH,39.50,39.70,36.75,178450.00
18/12/2019,39.50,NHH,42.10,42.50,39.20,248720.00
17/12/2019,42.10,NHH,44.50,44.70,42.00,270970.00
16/12/2019,44.60,NHH,44.90,44.90,44.40,285690.00
13/12/2019,44.80,NHH,46.40,46.40,44.50,513970.00
12/12/2019,45.00,NHH,49.40,49.40,45.00,126780.00
04/12/2019,45.00,NHH,46.90,46.90,45.00,111200.00
03/12/2019,45.90,NHH,46.30,46.30,42.00,106200.00
02/12/2019,45.50,NHH,46.50,47.00,45.50,143600.00
29/11/2019,46.80,NHH,48.00,48.50,45.90,149600.00
28/11/2019,46.80,NHH,47.00,48.00,45.50,152200.00
27/11/2019,46.80,NHH,46.90,47.20,45.00,138000.00
26/11/2019,47.00,NHH,43.00,48.80,43.00,133900.00
25/11/2019,47.00,NHH,49.80,49.80,45.50,110200.00
22/11/2019,47.70,NHH,48.60,48.70,46.00,127900.00
21/11/2019,48.20,NHH,48.00,48.90,46.00,150500.00
20/11/2019,47.50,NHH,47.00,49.30,46.80,120100.00
19/11/2019,49.00,NHH,43.00,49.30,42.00,139820.00
18/11/2019,50.00,NHH,48.00,50.00,48.00,110402.00
15/11/2019,48.00,NHH,47.50,49.00,47.30,101700.00
14/11/2019,47.50,NHH,48.00,50.00,45.00,117600.00
13/11/2019,48.00,NHH,46.90,48.00,45.50,154100.00
12/11/2019,47.30,NHH,47.60,48.00,46.00,140400.00
11/11/2019,47.00,NHH,45.60,50.00,43.10,151800.00
08/11/2019,43.00,NHH,48.00,48.00,43.00,164232.00
07/11/2019,46.40,NHH,46.00,46.50,45.70,140500.00
06/11/2019,45.60,NHH,44.20,47.50,44.20,137700.00
05/11/2019,45.00,NHH,44.00,46.50,42.00,151903.00
04/11/2019,46.50,NHH,49.00,50.00,44.50,129330.00
01/11/2019,47.30,NHH,48.70,52.60,47.30,123808.00
31/10/2019,51.00,NHH,49.10,53.00,48.10,93721.00
30/10/2019,50.00,NHH,41.60,51.40,41.60,155903.00
29/10/2019,43.00,NHH,42.50,45.80,40.00,136018.00
28/10/2019,44.00,NHH,38.00,44.00,37.70,141400.00
25/10/2019,38.50,NHH,39.40,40.40,38.00,144100.00
24/10/2019,39.00,NHH,40.00,41.00,37.00,165100.00
23/10/2019,40.10,NHH,39.40,40.10,38.00,110300.00
22/10/2019,40.00,NHH,38.20,40.00,36.50,90800.00
21/10/2019,39.50,NHH,37.50,40.00,35.50,105900.00
18/10/2019,38.40,NHH,37.80,38.50,36.90,84400.00
17/10/2019,36.90,NHH,37.00,38.20,35.00,40400.00
16/10/2019,37.00,NHH,38.30,38.90,37.00,25200.00
