DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,0.40,NHP,0.50,0.50,0.40,74400.00
10/01/2020,0.40,NHP,0.50,0.50,0.40,15400.00
09/01/2020,0.50,NHP,0.50,0.50,0.40,122800.00
08/01/2020,0.40,NHP,0.50,0.50,0.40,129200.00
07/01/2020,0.40,NHP,0.50,0.50,0.30,151403.00
06/01/2020,0.40,NHP,0.40,0.50,0.30,113500.00
03/01/2020,0.40,NHP,0.50,0.50,0.40,47500.00
02/01/2020,0.40,NHP,0.50,0.50,0.40,10800.00
31/12/2019,0.50,NHP,0.50,0.50,0.30,49226.00
30/12/2019,0.40,NHP,0.40,0.50,0.40,45400.00
27/12/2019,0.50,NHP,0.50,0.50,0.30,61800.00
26/12/2019,0.40,NHP,0.40,0.50,0.30,317000.00
25/12/2019,0.40,NHP,0.50,0.50,0.40,3500.00
24/12/2019,0.40,NHP,0.50,0.50,0.40,152200.00
23/12/2019,0.40,NHP,0.50,0.50,0.40,163800.00
20/12/2019,0.40,NHP,0.50,0.50,0.40,129600.00
19/12/2019,0.50,NHP,0.50,0.50,0.40,507.00
18/12/2019,0.40,NHP,0.50,0.50,0.40,64300.00
17/12/2019,0.40,NHP,0.50,0.50,0.40,75300.00
16/12/2019,0.50,NHP,0.50,0.50,0.40,1710.00
13/12/2019,0.40,NHP,0.50,0.50,0.40,266535.00
12/12/2019,0.50,NHP,0.50,0.50,0.40,28200.00
11/12/2019,0.40,NHP,0.50,0.50,0.40,2410.00
10/12/2019,0.40,NHP,0.50,0.50,0.40,40610.00
09/12/2019,0.50,NHP,0.50,0.50,0.40,26200.00
06/12/2019,0.50,NHP,0.50,0.50,0.50,29600.00
05/12/2019,0.50,NHP,0.50,0.50,0.40,216400.00
04/12/2019,0.40,NHP,0.50,0.50,0.40,76800.00
03/12/2019,0.40,NHP,0.50,0.50,0.40,8100.00
02/12/2019,0.40,NHP,0.40,0.50,0.40,6300.00
29/11/2019,0.40,NHP,0.50,0.50,0.40,21500.00
28/11/2019,0.50,NHP,0.50,0.50,0.50,64910.00
27/11/2019,0.40,NHP,0.50,0.50,0.40,14100.00
26/11/2019,0.40,NHP,0.50,0.50,0.40,8500.00
25/11/2019,0.50,NHP,0.50,0.50,0.40,93800.00
22/11/2019,0.50,NHP,0.50,0.50,0.50,51200.00
21/11/2019,0.40,NHP,0.50,0.50,0.40,21610.00
20/11/2019,0.40,NHP,0.50,0.50,0.40,133100.00
19/11/2019,0.50,NHP,0.50,0.50,0.40,205500.00
18/11/2019,0.40,NHP,0.50,0.50,0.40,4200.00
15/11/2019,0.40,NHP,0.50,0.50,0.40,3300.00
14/11/2019,0.40,NHP,0.40,0.40,0.40,5100.00
13/11/2019,0.40,NHP,0.50,0.50,0.40,47540.00
12/11/2019,0.40,NHP,0.40,0.40,0.40,15200.00
