DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,48.80,NNC,48.05,49.10,48.05,960.00
10/01/2020,48.00,NNC,49.30,49.30,48.00,4590.00
09/01/2020,49.20,NNC,49.10,49.50,49.10,56370.00
08/01/2020,49.00,NNC,49.10,49.40,49.00,11220.00
07/01/2020,49.10,NNC,48.85,49.10,48.85,4120.00
06/01/2020,48.85,NNC,48.85,49.00,48.85,11470.00
03/01/2020,48.90,NNC,48.75,48.90,48.75,9960.00
02/01/2020,48.85,NNC,48.65,48.85,48.65,5770.00
31/12/2019,48.60,NNC,48.60,48.80,48.60,40130.00
30/12/2019,48.50,NNC,48.55,48.60,48.50,6250.00
27/12/2019,48.55,NNC,48.45,48.55,48.45,7930.00
26/12/2019,48.50,NNC,48.50,48.55,48.45,14460.00
25/12/2019,48.55,NNC,48.50,48.55,48.45,6780.00
24/12/2019,48.50,NNC,48.60,48.60,48.00,44380.00
23/12/2019,48.60,NNC,48.65,48.65,47.65,16950.00
20/12/2019,48.60,NNC,48.60,48.65,48.60,6630.00
19/12/2019,48.40,NNC,47.40,48.40,48.00,8880.00
18/12/2019,47.40,NNC,47.45,47.70,47.40,13120.00
17/12/2019,47.40,NNC,47.30,47.45,47.30,9220.00
16/12/2019,47.30,NNC,47.30,47.30,47.30,20360.00
13/12/2019,47.30,NNC,47.30,47.50,47.30,4070.00
12/12/2019,47.30,NNC,47.15,47.30,47.15,1930.00
11/12/2019,47.15,NNC,47.10,47.20,47.10,10130.00
10/12/2019,47.10,NNC,47.30,47.30,47.10,7790.00
09/12/2019,47.05,NNC,47.10,47.40,47.05,14910.00
06/12/2019,47.20,NNC,47.30,47.30,47.20,4470.00
05/12/2019,47.30,NNC,47.30,47.30,47.20,2280.00
04/12/2019,47.10,NNC,47.10,47.10,46.85,2490.00
03/12/2019,47.10,NNC,47.20,47.30,47.00,3140.00
02/12/2019,47.35,NNC,47.40,47.50,47.35,5110.00
29/11/2019,47.95,NNC,47.25,47.95,47.20,3560.00
28/11/2019,47.25,NNC,47.20,47.25,47.20,9600.00
27/11/2019,47.20,NNC,47.10,47.60,47.10,5340.00
26/11/2019,47.10,NNC,48.40,48.40,47.10,11490.00
25/11/2019,48.40,NNC,48.25,48.40,47.90,5190.00
22/11/2019,48.40,NNC,48.00,48.40,47.90,26840.00
21/11/2019,48.35,NNC,48.00,48.45,47.90,18160.00
20/11/2019,48.00,NNC,48.40,48.50,48.00,10690.00
19/11/2019,48.40,NNC,48.50,48.50,48.00,3410.00
18/11/2019,48.50,NNC,46.85,48.50,46.85,3590.00
15/11/2019,48.90,NNC,49.00,49.00,46.75,13440.00
14/11/2019,49.00,NNC,48.60,49.00,48.15,3140.00
13/11/2019,48.70,NNC,48.00,48.70,47.90,3470.00
12/11/2019,47.90,NNC,47.90,47.90,47.75,24540.00
11/11/2019,47.90,NNC,47.00,48.90,47.00,9110.00
08/11/2019,49.00,NNC,49.00,49.10,48.90,3940.00
07/11/2019,49.10,NNC,50.00,50.00,49.00,85110.00
06/11/2019,53.80,NNC,53.80,54.00,53.70,110930.00
