DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,161.90,NTC,163.20,163.90,161.80,6500.00
10/01/2020,162.00,NTC,160.00,164.80,159.50,30300.00
09/01/2020,159.80,NTC,161.90,161.90,157.00,16646.00
08/01/2020,160.80,NTC,163.90,163.90,157.00,15727.00
07/01/2020,162.00,NTC,164.90,164.90,159.00,45926.00
06/01/2020,162.90,NTC,164.90,164.90,160.00,30510.00
03/01/2020,165.00,NTC,165.00,165.70,163.70,20110.00
02/01/2020,165.50,NTC,165.00,168.30,164.00,6500.00
31/12/2019,165.70,NTC,164.50,166.40,163.10,29661.00
30/12/2019,165.40,NTC,167.00,167.50,164.00,16310.00
27/12/2019,166.50,NTC,167.50,167.70,165.00,32745.00
26/12/2019,167.50,NTC,168.00,168.00,165.50,35800.00
25/12/2019,167.50,NTC,167.80,169.20,165.40,12907.00
24/12/2019,167.30,NTC,168.00,169.40,165.10,11120.00
23/12/2019,167.50,NTC,168.00,170.00,165.00,16295.00
20/12/2019,167.80,NTC,168.00,169.80,164.80,10000.00
19/12/2019,166.50,NTC,168.90,168.90,165.00,45984.00
18/12/2019,167.50,NTC,170.90,170.90,166.00,11110.00
17/12/2019,169.90,NTC,170.60,171.00,168.00,17280.00
16/12/2019,170.90,NTC,170.40,172.00,168.30,7740.00
13/12/2019,170.40,NTC,171.00,172.40,169.20,54120.00
12/12/2019,171.00,NTC,165.00,172.00,164.70,60914.00
11/12/2019,165.50,NTC,166.00,166.70,164.40,74003.00
10/12/2019,165.80,NTC,166.70,166.70,164.50,13950.00
09/12/2019,165.80,NTC,167.90,167.90,164.00,19500.00
06/12/2019,166.80,NTC,166.40,169.70,166.00,14172.00
05/12/2019,171.40,NTC,168.90,171.90,167.80,34503.00
04/12/2019,167.40,NTC,167.90,167.90,165.00,73940.00
03/12/2019,166.70,NTC,163.50,167.90,160.00,89310.00
02/12/2019,166.70,NTC,170.00,170.00,162.00,15835.00
29/11/2019,169.30,NTC,169.90,169.90,168.20,8300.00
28/11/2019,168.80,NTC,170.00,170.10,167.50,12800.00
27/11/2019,168.90,NTC,170.00,170.00,168.00,20130.00
26/11/2019,170.00,NTC,169.90,171.50,166.00,34740.00
25/11/2019,168.00,NTC,170.80,170.80,167.50,7280.00
22/11/2019,169.90,NTC,168.50,173.20,168.00,53626.00
21/11/2019,168.00,NTC,167.60,169.10,166.00,10630.00
20/11/2019,167.70,NTC,168.80,168.80,164.10,15520.00
19/11/2019,168.40,NTC,169.70,169.70,165.30,16500.00
18/11/2019,165.80,NTC,165.80,173.90,164.20,8611.00
15/11/2019,165.50,NTC,165.90,165.90,163.00,15905.00
14/11/2019,165.60,NTC,171.20,171.20,163.00,41744.00
13/11/2019,170.10,NTC,172.90,172.90,168.00,10830.00
12/11/2019,172.90,NTC,167.00,173.70,167.00,5210.00
11/11/2019,172.40,NTC,172.50,176.90,171.50,5636.00
08/11/2019,172.90,NTC,174.80,175.00,169.60,27214.00
07/11/2019,174.50,NTC,180.00,180.00,170.00,58707.00
06/11/2019,176.80,NTC,174.90,179.30,174.90,30760.00
05/11/2019,174.40,NTC,168.00,174.90,168.00,48650.00
04/11/2019,168.80,NTC,167.00,168.90,167.00,33620.00
01/11/2019,167.30,NTC,168.50,169.80,165.00,31850.00
31/10/2019,168.00,NTC,168.50,170.00,166.40,60450.00
30/10/2019,168.50,NTC,168.00,170.00,166.10,31838.00
29/10/2019,167.50,NTC,167.40,167.50,165.60,21529.00
28/10/2019,169.00,NTC,169.80,170.00,165.00,59731.00
25/10/2019,168.40,NTC,160.00,168.40,160.00,76760.00
24/10/2019,163.00,NTC,153.20,163.20,153.00,82450.00
23/10/2019,154.30,NTC,153.90,154.30,152.00,32800.00
22/10/2019,154.00,NTC,155.40,155.40,151.30,37632.00
21/10/2019,155.30,NTC,156.00,156.90,152.00,23002.00
18/10/2019,154.00,NTC,151.00,156.00,151.00,45751.00
17/10/2019,150.80,NTC,150.00,152.00,146.60,91757.00
16/10/2019,148.90,NTC,160.00,160.50,147.00,105715.00
15/10/2019,158.40,NTC,155.50,158.90,155.00,35600.00
14/10/2019,156.80,NTC,165.00,166.10,155.00,115940.00
11/10/2019,164.90,NTC,165.50,165.80,164.30,14300.00
10/10/2019,164.90,NTC,165.30,165.50,163.00,30806.00
09/10/2019,165.30,NTC,164.00,165.90,163.90,43101.00
08/10/2019,164.00,NTC,164.90,164.90,163.00,30773.00
07/10/2019,162.70,NTC,166.30,166.30,162.60,10835.00
04/10/2019,166.00,NTC,168.90,168.90,165.10,23200.00
03/10/2019,167.70,NTC,165.20,167.90,164.00,48800.00
02/10/2019,167.50,NTC,167.60,169.00,165.10,31998.00
01/10/2019,168.90,NTC,166.00,169.90,166.00,35730.00
