DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
10/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
09/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
08/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
07/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
06/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
03/01/2020,24.90,NTW,24.90,24.90,24.90,0.00
02/01/2020,24.90,NTW,24.90,24.90,24.90,100.00
31/12/2019,24.20,NTW,20.60,24.20,20.60,3200.00
30/12/2019,24.20,NTW,24.20,24.20,24.20,0.00
27/12/2019,24.20,NTW,24.20,24.20,24.20,100.00
26/12/2019,24.20,NTW,20.80,24.20,20.80,200.00
25/12/2019,24.30,NTW,24.30,24.30,24.30,0.00
24/12/2019,24.30,NTW,24.30,24.30,24.30,0.00
23/12/2019,24.30,NTW,24.30,24.30,24.30,0.00
20/12/2019,24.30,NTW,24.30,24.30,24.30,100.00
19/12/2019,28.50,NTW,28.50,28.50,28.50,100.00
18/12/2019,25.00,NTW,25.00,25.00,25.00,100.00
17/12/2019,23.90,NTW,18.00,23.90,18.00,300.00
16/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
13/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
12/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
11/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
10/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
09/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
06/12/2019,20.90,NTW,20.90,20.90,20.90,0.00
05/12/2019,20.90,NTW,20.90,20.90,20.90,1.00
04/12/2019,20.90,NTW,20.90,20.90,20.90,100.00
03/12/2019,19.00,NTW,19.70,19.70,19.00,3700.00
02/12/2019,19.00,NTW,19.00,19.00,19.00,1101.00
29/11/2019,19.00,NTW,19.40,19.40,19.00,1100.00
28/11/2019,18.70,NTW,18.70,18.70,18.70,19.00
27/11/2019,18.70,NTW,18.70,18.70,18.70,0.00
26/11/2019,18.90,NTW,18.50,19.00,18.50,1600.00
25/11/2019,18.50,NTW,18.50,18.50,18.50,0.00
22/11/2019,18.50,NTW,18.50,18.50,18.50,3200.00
21/11/2019,18.80,NTW,18.70,18.80,18.70,7500.00
20/11/2019,17.20,NTW,17.20,17.20,17.20,0.00
19/11/2019,17.20,NTW,17.20,17.20,17.20,200.00
18/11/2019,19.50,NTW,19.50,19.50,19.50,0.00
15/11/2019,19.50,NTW,19.50,19.50,19.50,1.00
14/11/2019,19.50,NTW,19.50,19.50,19.50,3.00
13/11/2019,19.50,NTW,19.50,19.50,19.50,0.00
12/11/2019,19.50,NTW,19.40,19.50,19.40,268.00
11/11/2019,17.20,NTW,17.20,17.20,17.20,100.00
08/11/2019,19.90,NTW,19.90,19.90,19.90,0.00
07/11/2019,19.90,NTW,19.90,19.90,19.90,0.00
06/11/2019,19.90,NTW,19.90,19.90,19.90,0.00
05/11/2019,19.90,NTW,19.90,19.90,19.90,0.00
04/11/2019,19.90,NTW,19.90,19.90,19.90,700.00
01/11/2019,19.30,NTW,19.30,19.30,19.30,0.00
31/10/2019,19.30,NTW,19.30,19.30,19.30,0.00
30/10/2019,19.30,NTW,19.30,19.30,19.30,0.00
29/10/2019,19.30,NTW,19.30,19.30,19.30,0.00
