DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.60,ONE,3.60,3.60,3.60,1200.00
10/01/2020,3.40,ONE,3.40,3.40,3.40,6600.00
09/01/2020,3.50,ONE,3.50,3.50,3.50,0.00
08/01/2020,3.50,ONE,3.50,3.50,3.50,2000.00
07/01/2020,3.50,ONE,3.50,3.50,3.50,11300.00
06/01/2020,3.50,ONE,3.50,3.50,3.50,21000.00
03/01/2020,3.50,ONE,3.50,3.50,3.50,11000.00
02/01/2020,3.40,ONE,3.40,3.40,3.40,0.00
31/12/2019,3.40,ONE,3.40,3.40,3.40,19.00
30/12/2019,3.40,ONE,3.40,3.40,3.40,0.00
27/12/2019,3.40,ONE,3.40,3.40,3.40,18700.00
26/12/2019,3.40,ONE,3.40,3.40,3.40,0.00
25/12/2019,3.40,ONE,3.50,3.50,3.40,519.00
24/12/2019,3.50,ONE,3.50,3.50,3.50,200.00
23/12/2019,3.50,ONE,3.50,3.50,3.50,350.00
20/12/2019,3.50,ONE,3.50,3.50,3.50,0.00
19/12/2019,3.50,ONE,3.50,3.50,3.50,200.00
18/12/2019,3.60,ONE,3.60,3.60,3.60,900.00
17/12/2019,3.60,ONE,3.60,3.60,3.50,1250.00
16/12/2019,3.60,ONE,3.50,3.60,3.40,3600.00
13/12/2019,3.60,ONE,3.50,3.60,3.40,5400.00
12/12/2019,3.60,ONE,3.50,3.60,3.50,1200.00
11/12/2019,3.50,ONE,3.50,3.50,3.50,100.00
10/12/2019,3.50,ONE,3.50,3.50,3.50,200.00
09/12/2019,3.50,ONE,3.50,3.50,3.50,0.00
06/12/2019,3.50,ONE,3.50,3.50,3.50,0.00
05/12/2019,3.50,ONE,3.40,3.70,3.40,4900.00
04/12/2019,4.00,ONE,4.00,4.00,4.00,17200.00
03/12/2019,4.00,ONE,4.00,4.00,4.00,21700.00
02/12/2019,4.00,ONE,4.00,4.00,4.00,3120.00
29/11/2019,4.00,ONE,4.00,4.00,4.00,0.00
28/11/2019,4.00,ONE,4.00,4.00,4.00,3600.00
27/11/2019,4.00,ONE,4.00,4.20,4.00,61920.00
26/11/2019,4.00,ONE,3.90,4.00,3.90,5700.00
25/11/2019,4.00,ONE,4.10,4.10,4.00,4475.00
22/11/2019,4.10,ONE,4.10,4.10,4.00,6600.00
21/11/2019,4.10,ONE,4.00,4.10,4.00,900.00
20/11/2019,4.10,ONE,4.10,4.10,4.10,1000.00
19/11/2019,4.20,ONE,4.20,4.20,4.20,0.00
18/11/2019,4.20,ONE,4.00,4.20,3.90,25500.00
15/11/2019,4.00,ONE,4.10,4.40,3.90,38900.00
14/11/2019,4.00,ONE,3.90,4.00,3.80,45900.00
13/11/2019,3.90,ONE,3.90,4.00,3.80,11100.00
12/11/2019,3.90,ONE,3.90,3.90,3.90,0.00
11/11/2019,3.90,ONE,3.90,3.90,3.90,2600.00
08/11/2019,4.00,ONE,4.00,4.00,4.00,0.00
07/11/2019,4.00,ONE,4.00,4.00,4.00,30.00
06/11/2019,4.00,ONE,4.00,4.00,4.00,100.00
05/11/2019,4.00,ONE,4.00,4.00,4.00,0.00
04/11/2019,4.00,ONE,4.00,4.00,4.00,0.00
01/11/2019,4.00,ONE,4.00,4.00,4.00,0.00
31/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
30/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
29/10/2019,4.00,ONE,4.00,4.00,3.90,5420.00
28/10/2019,4.00,ONE,3.90,4.00,3.90,8100.00
25/10/2019,3.90,ONE,3.90,3.90,3.90,0.00
24/10/2019,3.90,ONE,3.90,3.90,3.90,2000.00
23/10/2019,3.90,ONE,3.90,3.90,3.90,100.00
22/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
21/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
18/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
17/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
16/10/2019,4.00,ONE,4.00,4.00,4.00,0.00
15/10/2019,4.00,ONE,4.00,4.00,4.00,3014.00
14/10/2019,4.00,ONE,4.00,4.00,4.00,100.00
11/10/2019,4.00,ONE,4.00,4.00,4.00,1000.00
10/10/2019,4.10,ONE,4.10,4.10,4.10,49.00
09/10/2019,4.10,ONE,4.10,4.10,4.10,0.00
08/10/2019,4.10,ONE,3.80,4.10,3.70,2200.00
07/10/2019,4.00,ONE,4.00,4.20,3.80,3900.00
04/10/2019,3.90,ONE,3.90,3.90,3.90,100.00
03/10/2019,4.10,ONE,4.10,4.10,4.10,0.00
02/10/2019,4.10,ONE,4.20,4.20,4.10,1200.00
01/10/2019,3.90,ONE,4.00,4.00,3.90,330.00
30/09/2019,4.00,ONE,4.00,4.00,4.00,5100.00
27/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
26/09/2019,4.00,ONE,4.00,4.00,4.00,200.00
25/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
24/09/2019,4.00,ONE,4.00,4.00,4.00,1000.00
23/09/2019,4.10,ONE,4.10,4.10,4.10,0.00
20/09/2019,4.10,ONE,4.10,4.10,3.80,323.00
19/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
18/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
17/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
16/09/2019,4.00,ONE,4.00,4.00,4.00,5000.00
13/09/2019,4.00,ONE,4.00,4.00,4.00,10000.00
12/09/2019,4.00,ONE,4.00,4.00,4.00,11900.00
11/09/2019,3.90,ONE,3.90,3.90,3.90,200.00
10/09/2019,4.00,ONE,4.00,4.00,4.00,3000.00
09/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
06/09/2019,4.00,ONE,4.00,4.00,4.00,200.00
05/09/2019,4.00,ONE,4.00,4.00,4.00,3500.00
04/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
03/09/2019,4.00,ONE,4.00,4.00,4.00,0.00
30/08/2019,4.00,ONE,4.00,4.00,4.00,3000.00
29/08/2019,3.90,ONE,3.90,3.90,3.90,100.00
28/08/2019,3.80,ONE,3.80,3.80,3.80,0.00
27/08/2019,3.80,ONE,3.80,3.80,3.80,0.00
26/08/2019,3.80,ONE,3.80,3.80,3.80,100.00
23/08/2019,4.00,ONE,4.00,4.00,4.00,0.00
22/08/2019,4.00,ONE,4.00,4.00,4.00,0.00
21/08/2019,4.00,ONE,4.00,4.00,4.00,10000.00
20/08/2019,4.10,ONE,4.10,4.10,4.10,20000.00
19/08/2019,4.20,ONE,4.20,4.20,4.20,220.00
16/08/2019,3.90,ONE,3.90,3.90,3.90,10.00
15/08/2019,3.90,ONE,3.90,3.90,3.90,400.00
14/08/2019,4.00,ONE,3.90,4.00,3.90,9700.00
13/08/2019,4.00,ONE,4.00,4.00,4.00,0.00
12/08/2019,4.00,ONE,4.00,4.00,4.00,600.00
09/08/2019,4.00,ONE,4.00,4.00,4.00,0.00
08/08/2019,4.00,ONE,4.00,4.00,4.00,0.00
07/08/2019,4.00,ONE,4.10,4.10,4.00,5110.00
06/08/2019,3.90,ONE,4.00,4.00,3.90,6100.00
05/08/2019,4.00,ONE,4.00,4.00,4.00,600.00
02/08/2019,3.90,ONE,4.10,4.10,3.90,23700.00
01/08/2019,4.30,ONE,4.30,4.30,4.30,0.00
31/07/2019,4.30,ONE,4.30,4.30,4.30,900.00
30/07/2019,4.10,ONE,4.10,4.10,4.10,0.00
29/07/2019,4.10,ONE,4.00,4.10,4.00,8119.00
26/07/2019,4.20,ONE,4.20,4.20,4.20,800.00
25/07/2019,4.20,ONE,4.20,4.20,4.20,200.00
24/07/2019,4.20,ONE,4.20,4.20,4.20,7200.00
23/07/2019,4.50,ONE,4.40,4.50,4.00,49000.00
22/07/2019,4.40,ONE,4.40,4.40,4.40,3700.00
19/07/2019,4.70,ONE,4.40,5.10,4.40,59914.00
18/07/2019,4.80,ONE,4.80,4.80,4.80,240.00
17/07/2019,4.90,ONE,4.90,4.90,4.90,1072.00
16/07/2019,4.80,ONE,5.00,5.00,4.80,309.00
15/07/2019,4.70,ONE,4.70,4.70,4.70,400.00
12/07/2019,4.80,ONE,4.70,4.80,4.70,1060.00
11/07/2019,4.70,ONE,4.70,4.70,4.70,1100.00
10/07/2019,4.70,ONE,4.70,4.70,4.70,1000.00
09/07/2019,4.70,ONE,4.70,4.70,4.70,5155.00
08/07/2019,4.70,ONE,4.70,4.70,4.70,404.00
05/07/2019,4.80,ONE,4.70,4.80,4.70,13600.00
04/07/2019,4.70,ONE,4.70,4.70,4.70,2500.00
03/07/2019,4.80,ONE,4.80,4.80,4.80,0.00
02/07/2019,4.80,ONE,4.80,4.80,4.80,0.00
01/07/2019,4.80,ONE,4.80,4.80,4.70,20300.00
28/06/2019,4.40,ONE,4.70,4.70,4.40,1500.00
27/06/2019,4.60,ONE,4.60,4.60,4.60,0.00
26/06/2019,4.60,ONE,4.60,4.60,4.60,6100.00
25/06/2019,4.60,ONE,4.60,5.00,4.60,3000.00
24/06/2019,4.60,ONE,4.60,4.60,4.60,7100.00
21/06/2019,4.70,ONE,4.70,4.70,4.70,600.00
20/06/2019,4.90,ONE,4.70,4.90,4.70,12200.00
19/06/2019,4.80,ONE,4.80,4.80,4.80,3300.00
18/06/2019,4.70,ONE,4.60,4.70,4.60,21100.00
17/06/2019,4.40,ONE,4.40,4.40,4.40,122.00
14/06/2019,4.50,ONE,4.40,4.60,4.40,26190.00
13/06/2019,4.40,ONE,4.30,4.50,4.20,23033.00
12/06/2019,4.40,ONE,4.40,4.40,4.40,5000.00
11/06/2019,4.40,ONE,4.30,4.40,4.30,45600.00
10/06/2019,4.40,ONE,4.40,4.40,4.40,116.00
07/06/2019,4.50,ONE,4.20,4.50,4.10,10100.00
06/06/2019,4.20,ONE,4.20,4.20,4.20,100.00
05/06/2019,4.30,ONE,4.20,4.30,4.10,13010.00
04/06/2019,4.30,ONE,4.30,4.30,4.30,0.00
03/06/2019,4.30,ONE,4.30,4.30,4.30,100.00
31/05/2019,4.70,ONE,4.70,4.70,4.70,0.00
30/05/2019,4.70,ONE,4.70,4.70,4.70,100.00
29/05/2019,4.30,ONE,4.30,4.30,4.30,15500.00
28/05/2019,4.30,ONE,4.30,4.30,4.30,10000.00
