DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,44.05,OPC,47.00,47.00,44.05,100.00
10/01/2020,44.00,OPC,44.00,44.00,44.00,0.00
09/01/2020,44.00,OPC,45.85,45.90,44.00,170.00
08/01/2020,43.15,OPC,43.15,43.15,43.15,30.00
07/01/2020,45.00,OPC,46.90,46.90,45.00,30.00
06/01/2020,44.10,OPC,45.45,45.45,44.10,30.00
03/01/2020,45.50,OPC,44.80,46.50,44.80,470.00
02/01/2020,43.55,OPC,43.55,43.55,43.55,20.00
31/12/2019,46.00,OPC,44.80,46.00,42.15,6040.00
30/12/2019,45.00,OPC,45.00,45.00,45.00,2470.00
27/12/2019,46.00,OPC,46.00,46.00,46.00,130.00
26/12/2019,46.00,OPC,46.00,46.00,46.00,1300.00
25/12/2019,44.00,OPC,46.95,46.95,44.00,10010.00
24/12/2019,45.00,OPC,45.00,45.00,45.00,100.00
23/12/2019,44.00,OPC,44.00,44.00,44.00,10.00
20/12/2019,45.00,OPC,45.00,45.00,45.00,0.00
19/12/2019,45.00,OPC,46.00,45.00,45.00,20.00
18/12/2019,46.00,OPC,44.05,46.00,44.05,150.00
17/12/2019,46.80,OPC,46.80,46.80,46.80,30.00
16/12/2019,46.90,OPC,46.90,48.00,46.90,30.00
13/12/2019,46.90,OPC,47.00,47.00,46.90,30.00
12/12/2019,44.40,OPC,46.00,46.80,44.40,7990.00
11/12/2019,45.10,OPC,46.00,46.80,45.10,220.00
10/12/2019,44.00,OPC,45.00,45.00,44.00,20.00
09/12/2019,43.05,OPC,46.90,46.90,43.05,30.00
06/12/2019,45.50,OPC,45.50,45.50,45.50,20.00
05/12/2019,45.60,OPC,45.60,45.60,45.60,0.00
04/12/2019,45.60,OPC,45.60,45.60,45.60,10.00
03/12/2019,42.70,OPC,42.70,42.70,42.70,20.00
02/12/2019,45.00,OPC,45.00,45.00,45.00,0.00
29/11/2019,45.00,OPC,47.00,47.00,45.00,80.00
28/11/2019,47.00,OPC,47.00,47.00,47.00,10.00
27/11/2019,46.00,OPC,46.00,46.00,46.00,0.00
26/11/2019,46.00,OPC,46.00,46.00,46.00,30.00
25/11/2019,46.00,OPC,47.45,47.45,46.00,1370.00
22/11/2019,46.80,OPC,47.90,47.90,46.60,1220.00
21/11/2019,46.50,OPC,46.50,46.50,46.50,90.00
20/11/2019,47.00,OPC,46.50,47.00,44.00,4140.00
19/11/2019,47.00,OPC,46.00,47.00,46.00,5000.00
18/11/2019,47.00,OPC,47.00,47.00,47.00,1640.00
15/11/2019,46.90,OPC,46.90,46.90,46.90,10.00
14/11/2019,46.50,OPC,46.50,46.50,46.50,0.00
13/11/2019,46.50,OPC,47.50,47.50,46.50,210.00
12/11/2019,47.50,OPC,46.50,47.80,46.50,850.00
11/11/2019,46.50,OPC,46.50,46.50,46.50,0.00
08/11/2019,46.50,OPC,46.50,46.50,46.50,50.00
07/11/2019,45.70,OPC,46.80,47.50,45.55,2180.00
06/11/2019,45.50,OPC,45.50,45.50,45.50,0.00
05/11/2019,45.50,OPC,46.90,47.30,45.50,880.00
04/11/2019,47.45,OPC,46.60,47.50,46.00,2030.00
01/11/2019,45.50,OPC,45.50,45.50,45.00,1570.00
31/10/2019,45.50,OPC,47.00,47.20,45.50,1720.00
30/10/2019,45.50,OPC,46.10,46.10,45.50,300.00
29/10/2019,46.20,OPC,46.00,46.20,46.00,1050.00
28/10/2019,46.10,OPC,46.10,46.10,46.10,1000.00
25/10/2019,45.00,OPC,47.95,47.95,45.00,4030.00
24/10/2019,46.70,OPC,47.00,47.00,46.70,700.00
23/10/2019,46.80,OPC,47.00,47.00,46.80,330.00
22/10/2019,47.00,OPC,47.45,47.50,47.00,2250.00
21/10/2019,49.00,OPC,46.20,49.00,46.20,540.00
18/10/2019,48.90,OPC,48.70,48.90,48.70,680.00
17/10/2019,48.50,OPC,50.00,50.00,46.65,1040.00
16/10/2019,48.20,OPC,48.00,48.20,48.00,540.00
15/10/2019,45.05,OPC,47.00,48.00,44.00,2470.00
14/10/2019,47.00,OPC,47.00,47.00,47.00,1400.00
11/10/2019,46.85,OPC,48.00,49.00,46.50,470.00
10/10/2019,48.45,OPC,45.30,48.45,45.30,1000.00
09/10/2019,45.30,OPC,48.45,48.45,45.30,2890.00
08/10/2019,48.45,OPC,48.20,48.45,47.25,570.00
07/10/2019,49.00,OPC,47.00,49.00,44.50,230.00
04/10/2019,47.00,OPC,49.70,49.70,47.00,310.00
03/10/2019,49.80,OPC,46.70,49.90,46.60,590.00
02/10/2019,50.00,OPC,49.80,50.00,49.80,510.00
01/10/2019,49.90,OPC,48.00,49.90,48.00,840.00
30/09/2019,49.70,OPC,49.70,49.70,49.70,100.00
27/09/2019,49.80,OPC,49.80,49.80,49.80,130.00
26/09/2019,49.90,OPC,49.90,49.90,49.00,290.00
25/09/2019,50.00,OPC,49.50,50.00,47.00,60.00
24/09/2019,49.50,OPC,49.00,49.50,49.00,180.00
23/09/2019,46.60,OPC,49.50,49.50,46.20,4140.00
20/09/2019,49.00,OPC,52.00,52.00,47.00,170.00
19/09/2019,50.00,OPC,50.00,50.00,49.00,240.00
18/09/2019,48.90,OPC,51.20,51.20,48.90,140.00
17/09/2019,50.00,OPC,52.30,52.30,50.00,20.00
16/09/2019,52.00,OPC,51.00,52.00,51.00,50.00
13/09/2019,51.00,OPC,50.00,51.00,50.00,260.00
12/09/2019,49.50,OPC,49.50,49.50,49.50,0.00
11/09/2019,49.50,OPC,49.50,49.50,49.50,0.00
10/09/2019,49.50,OPC,49.50,49.50,49.50,0.00
09/09/2019,49.50,OPC,49.50,49.50,49.50,0.00
06/09/2019,49.50,OPC,50.00,50.00,49.50,670.00
05/09/2019,49.50,OPC,49.50,49.50,49.50,100.00
04/09/2019,50.00,OPC,50.00,50.00,50.00,0.00
03/09/2019,50.00,OPC,50.00,50.00,50.00,0.00
30/08/2019,50.00,OPC,50.00,50.00,50.00,0.00
29/08/2019,50.00,OPC,50.00,50.00,50.00,10.00
28/08/2019,50.00,OPC,50.00,50.00,50.00,0.00
27/08/2019,50.00,OPC,50.00,50.00,50.00,0.00
26/08/2019,50.00,OPC,50.00,50.00,50.00,10.00
23/08/2019,50.00,OPC,50.00,50.00,49.00,4290.00
22/08/2019,50.00,OPC,49.50,50.00,49.50,33020.00
21/08/2019,50.00,OPC,50.00,50.00,50.00,32000.00
20/08/2019,50.00,OPC,50.00,50.00,50.00,4220.00
19/08/2019,49.00,OPC,49.00,49.00,49.00,4190.00
16/08/2019,48.70,OPC,48.70,48.70,48.70,10.00
15/08/2019,50.00,OPC,49.50,50.00,49.50,5630.00
14/08/2019,49.00,OPC,49.00,49.00,49.00,0.00
13/08/2019,49.00,OPC,49.00,49.00,49.00,5880.00
12/08/2019,49.00,OPC,48.50,49.00,48.50,7680.00
09/08/2019,48.50,OPC,48.90,48.90,48.50,3750.00
08/08/2019,48.40,OPC,48.90,48.90,48.40,11010.00
07/08/2019,48.40,OPC,48.90,48.90,48.40,13800.00
