DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,6.00,ORS,6.00,6.00,6.00,2900.00
10/01/2020,6.00,ORS,6.10,6.10,6.00,41600.00
09/01/2020,6.00,ORS,6.10,6.10,6.00,4800.00
08/01/2020,6.10,ORS,6.10,6.10,6.10,35000.00
07/01/2020,6.10,ORS,6.10,6.10,6.10,15000.00
06/01/2020,6.10,ORS,6.10,6.10,6.10,1200.00
03/01/2020,6.10,ORS,6.20,6.20,6.10,33900.00
02/01/2020,6.20,ORS,6.20,6.20,6.10,71200.00
31/12/2019,6.20,ORS,6.00,6.20,6.00,2700.00
30/12/2019,6.10,ORS,6.00,6.10,6.00,19100.00
27/12/2019,6.00,ORS,5.80,6.00,5.80,4000.00
26/12/2019,5.70,ORS,5.70,5.70,5.70,5300.00
25/12/2019,6.00,ORS,6.00,6.00,6.00,0.00
24/12/2019,6.00,ORS,6.00,6.00,6.00,0.00
23/12/2019,6.00,ORS,6.00,6.10,6.00,46300.00
20/12/2019,6.00,ORS,6.00,6.40,5.90,8600.00
19/12/2019,6.00,ORS,6.00,6.00,6.00,6700.00
18/12/2019,6.00,ORS,6.00,6.00,6.00,13500.00
17/12/2019,6.00,ORS,6.00,6.00,6.00,7600.00
16/12/2019,6.00,ORS,6.00,6.00,6.00,1500.00
13/12/2019,6.00,ORS,6.00,6.10,6.00,75100.00
12/12/2019,6.20,ORS,6.00,6.20,6.00,7400.00
11/12/2019,6.20,ORS,6.20,6.20,6.20,1000.00
10/12/2019,6.00,ORS,6.10,6.10,6.00,19700.00
09/12/2019,6.20,ORS,6.30,6.50,6.20,29300.00
06/12/2019,6.00,ORS,6.20,6.20,6.00,29800.00
05/12/2019,6.20,ORS,6.20,6.30,6.20,33900.00
04/12/2019,6.60,ORS,6.60,6.60,6.60,0.00
03/12/2019,6.60,ORS,6.60,6.60,6.60,100.00
02/12/2019,6.30,ORS,6.30,6.30,6.30,0.00
29/11/2019,6.30,ORS,6.30,6.30,6.30,1000.00
28/11/2019,6.30,ORS,6.40,6.40,6.30,3300.00
27/11/2019,6.40,ORS,6.50,6.60,6.30,64200.00
26/11/2019,6.40,ORS,6.50,6.70,6.40,69800.00
25/11/2019,6.70,ORS,6.30,6.70,6.30,1100.00
22/11/2019,6.50,ORS,6.40,6.50,6.40,2100.00
21/11/2019,6.40,ORS,6.50,6.50,6.40,3500.00
20/11/2019,6.40,ORS,6.50,6.50,6.40,1500.00
19/11/2019,6.50,ORS,6.50,6.50,6.50,0.00
18/11/2019,6.50,ORS,6.50,6.50,6.50,0.00
15/11/2019,6.50,ORS,6.50,6.50,6.50,1800.00
14/11/2019,6.50,ORS,6.70,6.70,6.40,22600.00
13/11/2019,6.80,ORS,6.80,6.80,6.80,2000.00
12/11/2019,6.60,ORS,6.80,6.80,6.60,15400.00
11/11/2019,6.80,ORS,6.80,6.80,6.80,0.00
08/11/2019,6.80,ORS,6.80,6.80,6.80,3100.00
07/11/2019,6.80,ORS,6.80,6.80,6.80,3400.00
06/11/2019,6.80,ORS,6.80,6.80,6.80,25900.00
05/11/2019,6.80,ORS,6.80,6.80,6.80,2900.00
04/11/2019,6.70,ORS,6.80,6.80,6.70,2700.00
01/11/2019,6.80,ORS,6.80,7.10,6.80,38600.00
31/10/2019,6.80,ORS,6.90,6.90,6.80,6700.00
30/10/2019,6.80,ORS,6.90,7.00,6.80,23500.00
29/10/2019,6.80,ORS,7.00,7.00,6.80,3600.00
28/10/2019,6.80,ORS,6.90,6.90,6.80,2100.00
25/10/2019,6.80,ORS,6.90,7.00,6.80,10100.00
24/10/2019,7.00,ORS,7.40,7.40,7.00,11100.00
23/10/2019,7.00,ORS,7.10,7.10,7.00,10400.00
22/10/2019,7.10,ORS,7.30,7.50,7.00,12300.00
21/10/2019,7.00,ORS,7.00,7.10,7.00,22300.00
18/10/2019,7.00,ORS,6.80,7.00,6.80,20100.00
17/10/2019,7.00,ORS,7.00,7.00,7.00,500.00
16/10/2019,6.80,ORS,7.00,7.10,6.80,2300.00
15/10/2019,7.00,ORS,7.10,7.10,7.00,2300.00
14/10/2019,7.00,ORS,7.10,7.10,7.00,1200.00
11/10/2019,6.90,ORS,6.90,6.90,6.80,10500.00
10/10/2019,6.90,ORS,7.00,7.00,6.50,9200.00
09/10/2019,7.00,ORS,7.80,7.80,6.70,20010.00
08/10/2019,7.80,ORS,7.90,7.90,7.80,400.00
07/10/2019,7.90,ORS,7.60,8.00,7.60,138600.00
04/10/2019,7.00,ORS,6.30,7.00,6.30,48220.00
03/10/2019,6.20,ORS,6.00,6.20,6.00,7800.00
02/10/2019,6.10,ORS,6.00,6.10,6.00,900.00
01/10/2019,6.10,ORS,6.10,6.10,6.10,4300.00
30/09/2019,5.90,ORS,5.90,5.90,5.90,9000.00
27/09/2019,5.90,ORS,5.90,5.90,5.90,0.00
26/09/2019,6.00,ORS,5.80,6.00,5.80,20800.00
25/09/2019,5.90,ORS,5.90,5.90,5.90,2000.00
24/09/2019,6.00,ORS,5.90,6.00,5.90,4000.00
23/09/2019,5.90,ORS,5.90,5.90,5.90,300.00
20/09/2019,5.90,ORS,6.20,6.20,5.90,9400.00
19/09/2019,5.90,ORS,5.90,5.90,5.90,6600.00
18/09/2019,5.90,ORS,5.70,6.20,5.70,14200.00
17/09/2019,5.50,ORS,5.50,5.50,5.50,900.00
16/09/2019,5.60,ORS,5.60,5.60,5.60,3010.00
13/09/2019,5.70,ORS,5.60,5.70,5.50,4400.00
