DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,24.80,PAC,24.85,24.85,24.25,4900.00
10/01/2020,24.85,PAC,24.90,24.90,24.10,11090.00
09/01/2020,24.90,PAC,24.70,24.90,24.40,7170.00
08/01/2020,24.50,PAC,24.90,24.90,24.50,32910.00
07/01/2020,24.90,PAC,24.85,25.00,24.85,17210.00
06/01/2020,25.00,PAC,24.80,25.45,24.80,18020.00
03/01/2020,25.30,PAC,25.05,25.30,25.00,13550.00
02/01/2020,25.00,PAC,24.90,25.05,24.90,19820.00
31/12/2019,25.00,PAC,25.00,25.00,24.90,6170.00
30/12/2019,25.00,PAC,25.10,25.10,24.90,30320.00
27/12/2019,25.10,PAC,25.40,25.40,25.00,12460.00
26/12/2019,25.15,PAC,25.45,25.45,24.75,31730.00
25/12/2019,25.10,PAC,25.00,25.10,24.50,33010.00
24/12/2019,25.00,PAC,25.00,25.00,24.80,10100.00
23/12/2019,25.00,PAC,24.50,25.00,24.00,87470.00
20/12/2019,24.95,PAC,25.00,25.00,24.70,14270.00
19/12/2019,25.35,PAC,25.40,25.40,24.50,17020.00
18/12/2019,25.40,PAC,24.90,25.50,24.80,16900.00
17/12/2019,25.50,PAC,25.60,25.60,25.30,4110.00
16/12/2019,25.60,PAC,25.00,25.60,25.00,310.00
13/12/2019,25.65,PAC,25.00,25.65,25.00,8150.00
12/12/2019,25.20,PAC,25.00,25.20,25.00,24700.00
11/12/2019,25.55,PAC,25.00,25.60,25.00,46540.00
10/12/2019,25.60,PAC,25.60,25.70,25.30,16750.00
09/12/2019,25.70,PAC,25.60,25.80,25.55,7080.00
06/12/2019,25.80,PAC,25.80,25.90,25.40,19750.00
05/12/2019,25.80,PAC,25.50,25.90,25.50,16370.00
04/12/2019,26.90,PAC,27.20,27.30,26.90,14190.00
03/12/2019,27.05,PAC,26.90,27.20,26.85,32000.00
02/12/2019,26.85,PAC,26.80,26.95,26.75,27260.00
29/11/2019,26.70,PAC,26.30,26.70,26.30,29240.00
28/11/2019,26.30,PAC,26.70,26.70,26.20,24850.00
27/11/2019,26.60,PAC,26.50,26.90,26.50,24340.00
26/11/2019,26.60,PAC,26.10,26.60,26.05,16890.00
25/11/2019,26.50,PAC,26.50,26.80,26.25,8180.00
22/11/2019,26.50,PAC,26.50,26.80,26.50,22830.00
21/11/2019,26.20,PAC,26.70,26.70,26.20,68070.00
20/11/2019,26.00,PAC,26.25,26.30,25.80,18370.00
19/11/2019,26.20,PAC,26.20,26.40,26.20,7560.00
18/11/2019,26.50,PAC,26.45,26.50,25.75,9930.00
15/11/2019,26.05,PAC,26.50,26.70,26.00,14320.00
14/11/2019,26.50,PAC,26.30,26.50,25.95,12210.00
13/11/2019,26.05,PAC,26.05,26.30,26.00,20800.00
12/11/2019,26.00,PAC,26.30,26.30,26.00,11270.00
11/11/2019,26.30,PAC,26.70,26.70,26.30,5930.00
08/11/2019,26.75,PAC,26.40,26.75,26.00,41990.00
07/11/2019,26.25,PAC,26.15,26.40,26.00,13650.00
06/11/2019,26.50,PAC,26.30,26.50,26.20,7740.00
05/11/2019,26.50,PAC,26.50,26.50,26.00,5240.00
04/11/2019,26.50,PAC,26.70,26.70,25.70,20860.00
01/11/2019,26.70,PAC,26.70,26.70,26.00,47820.00
31/10/2019,26.70,PAC,26.70,26.80,26.50,24010.00
30/10/2019,26.70,PAC,27.00,27.00,26.70,20450.00
29/10/2019,27.00,PAC,27.10,27.10,26.80,17960.00
28/10/2019,27.10,PAC,27.50,27.50,27.10,4930.00
25/10/2019,27.10,PAC,26.80,27.20,26.80,13900.00
24/10/2019,26.80,PAC,27.20,27.20,26.60,70880.00
23/10/2019,27.20,PAC,27.90,27.90,27.00,23990.00
22/10/2019,27.20,PAC,27.85,27.90,27.20,17480.00
21/10/2019,27.60,PAC,27.20,27.60,27.20,44630.00
18/10/2019,27.15,PAC,27.30,27.40,27.10,36200.00
17/10/2019,27.60,PAC,27.60,27.70,27.35,42060.00
16/10/2019,27.50,PAC,27.85,27.90,27.35,23990.00
15/10/2019,27.30,PAC,27.90,28.00,27.00,49400.00
14/10/2019,27.90,PAC,28.10,28.35,27.70,69650.00
11/10/2019,27.85,PAC,27.85,28.10,27.80,86150.00
10/10/2019,27.85,PAC,28.50,28.50,27.85,150650.00
09/10/2019,28.45,PAC,29.60,29.60,27.90,129800.00
08/10/2019,29.45,PAC,29.70,30.50,28.40,73420.00
07/10/2019,29.70,PAC,29.50,29.80,29.30,54040.00
04/10/2019,29.50,PAC,30.50,30.50,29.00,131640.00
03/10/2019,30.50,PAC,29.50,30.85,29.40,67890.00
02/10/2019,29.50,PAC,28.80,29.90,28.70,65720.00
01/10/2019,28.55,PAC,28.25,28.65,27.95,227010.00
30/09/2019,28.00,PAC,28.45,28.50,27.70,49290.00
27/09/2019,28.20,PAC,28.35,28.40,27.85,88580.00
26/09/2019,28.30,PAC,28.05,28.60,27.50,95220.00
25/09/2019,28.45,PAC,28.30,28.60,28.00,36260.00
24/09/2019,28.00,PAC,28.00,28.60,28.00,10600.00
23/09/2019,28.00,PAC,28.85,28.85,27.70,86020.00
20/09/2019,28.70,PAC,28.40,28.70,28.20,26300.00
19/09/2019,28.40,PAC,28.00,28.60,27.90,36920.00
18/09/2019,28.00,PAC,28.00,28.40,27.90,136590.00
17/09/2019,28.00,PAC,28.10,28.15,27.60,35230.00
16/09/2019,28.00,PAC,27.60,28.60,27.50,199980.00
13/09/2019,27.60,PAC,26.60,27.60,26.50,46250.00
12/09/2019,26.60,PAC,27.15,27.20,26.40,61300.00
11/09/2019,26.60,PAC,27.80,27.80,26.20,54440.00
10/09/2019,27.70,PAC,27.00,27.70,26.80,12980.00
09/09/2019,27.85,PAC,28.15,28.15,27.05,13210.00
06/09/2019,28.20,PAC,28.80,28.80,28.20,1530.00
05/09/2019,28.80,PAC,27.50,28.80,27.20,8480.00
04/09/2019,27.50,PAC,26.70,27.50,26.60,23070.00
03/09/2019,27.00,PAC,28.00,28.20,27.00,29340.00
30/08/2019,28.00,PAC,28.60,28.70,27.90,39690.00
29/08/2019,28.80,PAC,28.95,29.00,28.60,20800.00
28/08/2019,28.95,PAC,29.00,29.00,28.80,24220.00
27/08/2019,29.00,PAC,29.40,29.40,28.95,43110.00
26/08/2019,29.00,PAC,29.00,29.50,28.95,36480.00
23/08/2019,29.00,PAC,30.20,30.20,28.90,73560.00
22/08/2019,30.10,PAC,30.30,30.30,29.70,60610.00
21/08/2019,30.10,PAC,30.25,30.30,29.85,14430.00
20/08/2019,30.10,PAC,29.90,30.10,29.70,6550.00
19/08/2019,30.00,PAC,30.00,30.10,29.80,2990.00
16/08/2019,30.20,PAC,30.90,30.90,29.80,8570.00
15/08/2019,29.85,PAC,30.00,30.40,29.25,2120.00
14/08/2019,29.85,PAC,30.50,30.50,29.80,8720.00
13/08/2019,30.30,PAC,30.10,30.45,30.00,6890.00
12/08/2019,30.55,PAC,30.00,30.55,30.00,6030.00
09/08/2019,30.00,PAC,30.80,31.50,29.90,12700.00
08/08/2019,30.35,PAC,28.60,30.40,28.60,19230.00
07/08/2019,29.00,PAC,29.90,29.90,29.00,23550.00
06/08/2019,29.50,PAC,30.60,30.60,29.40,39410.00
05/08/2019,30.60,PAC,31.60,31.60,30.50,10270.00
02/08/2019,31.00,PAC,30.60,31.00,30.00,19060.00
01/08/2019,30.90,PAC,32.00,32.00,30.60,48390.00
31/07/2019,32.00,PAC,32.00,32.00,31.20,6690.00
30/07/2019,32.00,PAC,33.05,33.40,31.40,5070.00
29/07/2019,32.45,PAC,32.55,32.55,31.05,2740.00
26/07/2019,32.55,PAC,33.00,33.00,31.90,23010.00
25/07/2019,33.00,PAC,33.20,33.30,32.80,13530.00
24/07/2019,33.60,PAC,33.50,33.95,33.20,10800.00
23/07/2019,33.85,PAC,34.75,34.75,33.85,21170.00
22/07/2019,34.75,PAC,34.55,34.80,34.55,1190.00
19/07/2019,34.60,PAC,34.20,34.60,33.05,3280.00
18/07/2019,34.20,PAC,33.75,34.20,33.30,14560.00
17/07/2019,34.20,PAC,34.50,34.50,33.00,9910.00
16/07/2019,34.45,PAC,34.00,34.50,34.00,7410.00
15/07/2019,34.00,PAC,35.00,35.00,33.55,70500.00
12/07/2019,35.50,PAC,35.20,35.50,35.20,1780.00
11/07/2019,35.10,PAC,35.90,35.90,35.00,70060.00
10/07/2019,35.90,PAC,36.00,36.00,35.60,840.00
09/07/2019,35.90,PAC,35.70,36.00,35.60,3910.00
08/07/2019,36.00,PAC,36.00,36.00,35.70,28450.00
05/07/2019,36.00,PAC,36.00,36.00,36.00,4160.00
04/07/2019,36.00,PAC,35.90,36.00,35.20,4970.00
03/07/2019,35.90,PAC,35.90,36.00,35.90,2280.00
02/07/2019,35.95,PAC,35.90,35.95,35.90,2100.00
01/07/2019,35.90,PAC,35.40,36.00,35.35,1470.00
28/06/2019,35.30,PAC,35.50,36.80,35.30,30170.00
27/06/2019,35.80,PAC,36.60,36.60,35.80,26730.00
26/06/2019,36.50,PAC,36.65,36.65,35.70,46820.00
25/06/2019,36.70,PAC,36.50,36.80,36.50,700.00
24/06/2019,36.80,PAC,36.55,36.80,35.40,3630.00
21/06/2019,36.80,PAC,37.00,37.10,36.80,2740.00
20/06/2019,37.40,PAC,37.40,37.40,37.40,20.00
19/06/2019,37.00,PAC,36.90,37.50,36.85,156440.00
18/06/2019,37.30,PAC,36.80,37.30,36.80,1500.00
17/06/2019,37.30,PAC,37.00,37.30,37.00,2900.00
14/06/2019,36.95,PAC,36.90,36.95,36.90,11160.00
13/06/2019,36.90,PAC,36.85,36.95,36.50,43010.00
12/06/2019,36.85,PAC,36.90,36.90,36.50,3510.00
11/06/2019,36.95,PAC,36.80,36.95,36.75,10100.00
10/06/2019,36.90,PAC,36.00,36.90,36.00,6000.00
07/06/2019,36.90,PAC,36.90,36.90,35.35,330.00
06/06/2019,36.90,PAC,35.75,36.90,35.75,70.00
05/06/2019,36.90,PAC,36.90,36.90,36.75,4370.00
04/06/2019,36.90,PAC,36.60,36.90,36.40,4160.00
03/06/2019,36.60,PAC,36.05,36.60,36.00,2700.00
31/05/2019,36.60,PAC,36.60,36.60,36.60,2240.00
30/05/2019,36.60,PAC,37.00,37.00,36.40,2960.00
29/05/2019,37.20,PAC,37.10,37.20,36.50,20080.00
28/05/2019,37.20,PAC,36.45,37.20,36.45,240.00
27/05/2019,37.00,PAC,37.20,37.20,36.10,8690.00
24/05/2019,37.20,PAC,37.35,37.40,36.70,20340.00
23/05/2019,37.40,PAC,37.40,37.40,37.40,1180.00
22/05/2019,37.60,PAC,36.50,37.90,36.50,5790.00
21/05/2019,37.60,PAC,38.50,38.50,37.60,3070.00
20/05/2019,38.00,PAC,37.45,38.10,37.00,20380.00
17/05/2019,37.60,PAC,36.95,37.65,36.95,31080.00
16/05/2019,37.00,PAC,36.00,37.00,36.00,35620.00
15/05/2019,36.00,PAC,35.95,36.00,35.25,5240.00
14/05/2019,35.80,PAC,36.80,36.80,35.35,19970.00
13/05/2019,36.00,PAC,36.00,36.00,35.75,2740.00
10/05/2019,36.00,PAC,35.10,36.00,35.10,5040.00
09/05/2019,35.00,PAC,35.00,36.05,35.00,3190.00
08/05/2019,36.30,PAC,34.60,36.30,34.60,620.00
07/05/2019,36.30,PAC,36.20,36.30,35.70,11810.00
06/05/2019,36.30,PAC,36.50,36.95,33.95,3000.00
03/05/2019,36.50,PAC,37.00,37.00,36.40,2400.00
02/05/2019,36.50,PAC,36.10,37.05,36.00,3440.00
26/04/2019,37.05,PAC,36.50,37.45,36.45,8210.00
25/04/2019,37.00,PAC,37.95,37.95,36.95,5290.00
24/04/2019,37.60,PAC,37.00,37.60,37.00,3030.00
23/04/2019,37.80,PAC,37.80,37.80,36.05,6920.00
22/04/2019,37.80,PAC,38.50,38.50,37.15,3460.00
19/04/2019,38.00,PAC,38.40,38.40,37.20,130.00
18/04/2019,38.15,PAC,37.95,38.15,37.30,2030.00
17/04/2019,38.25,PAC,38.40,38.80,38.00,3340.00
16/04/2019,38.00,PAC,38.00,38.00,38.00,90.00
12/04/2019,38.00,PAC,37.00,38.30,37.00,1660.00
11/04/2019,38.40,PAC,38.35,38.40,37.65,1600.00
10/04/2019,38.40,PAC,38.40,38.40,37.90,50.00
09/04/2019,38.40,PAC,38.10,38.40,38.00,1750.00
08/04/2019,38.40,PAC,38.95,38.95,38.35,1900.00
05/04/2019,38.40,PAC,38.00,38.50,38.00,2990.00
04/04/2019,38.35,PAC,38.50,38.50,37.20,1130.00
03/04/2019,38.35,PAC,38.00,38.35,38.00,2160.00
02/04/2019,38.40,PAC,38.20,39.00,38.00,5800.00
01/04/2019,38.25,PAC,38.50,38.50,37.70,10550.00
29/03/2019,38.50,PAC,38.50,38.50,38.00,14710.00
28/03/2019,38.50,PAC,38.40,38.50,38.40,1730.00
27/03/2019,38.50,PAC,38.50,38.50,38.25,3050.00
26/03/2019,38.50,PAC,38.40,38.50,38.20,5780.00
25/03/2019,38.50,PAC,38.10,39.00,38.10,9410.00
22/03/2019,38.50,PAC,38.10,38.90,38.10,9060.00
21/03/2019,38.90,PAC,38.05,39.10,38.05,16430.00
20/03/2019,39.00,PAC,37.10,39.00,37.10,28200.00
19/03/2019,38.70,PAC,39.00,39.00,38.30,8130.00
18/03/2019,38.80,PAC,39.00,39.00,38.40,6070.00
15/03/2019,39.40,PAC,39.10,39.40,38.35,2090.00
14/03/2019,39.10,PAC,39.00,39.50,38.50,11260.00
13/03/2019,39.00,PAC,38.10,40.00,38.10,22030.00
12/03/2019,38.10,PAC,38.05,38.80,38.05,10960.00
11/03/2019,38.50,PAC,38.90,38.90,38.10,11070.00
08/03/2019,38.90,PAC,38.60,38.90,37.60,9010.00
07/03/2019,38.60,PAC,39.40,39.50,38.60,6110.00
06/03/2019,39.50,PAC,38.00,39.90,38.00,49670.00
05/03/2019,37.50,PAC,38.30,38.30,37.50,6410.00
04/03/2019,38.00,PAC,37.00,38.30,36.90,51890.00
01/03/2019,37.00,PAC,36.80,37.00,36.55,39940.00
28/02/2019,36.55,PAC,37.00,37.10,36.50,12120.00
27/02/2019,36.70,PAC,37.10,37.10,36.70,3060.00
26/02/2019,36.95,PAC,37.00,37.00,36.50,24840.00
25/02/2019,36.90,PAC,36.25,36.90,36.00,12170.00
22/02/2019,36.00,PAC,36.25,36.25,35.80,21500.00
21/02/2019,36.25,PAC,36.00,36.25,35.80,25790.00
20/02/2019,36.30,PAC,36.90,36.90,36.30,2320.00
19/02/2019,36.40,PAC,36.60,37.00,36.30,4140.00
18/02/2019,36.30,PAC,37.00,37.00,36.30,14330.00
15/02/2019,36.75,PAC,37.50,37.50,36.75,16860.00
14/02/2019,36.80,PAC,37.25,37.25,36.80,16780.00
13/02/2019,37.25,PAC,36.30,37.30,36.30,11540.00
12/02/2019,37.25,PAC,37.00,37.25,36.80,2100.00
11/02/2019,37.20,PAC,37.00,37.50,36.60,10330.00
01/02/2019,36.75,PAC,36.90,36.90,35.20,8440.00
31/01/2019,36.50,PAC,37.00,37.00,36.50,13930.00
30/01/2019,36.50,PAC,36.00,36.50,35.80,2360.00
29/01/2019,35.20,PAC,36.65,36.65,35.20,33250.00
28/01/2019,36.70,PAC,36.50,36.70,36.10,18290.00
25/01/2019,36.50,PAC,37.60,37.60,36.50,13600.00
24/01/2019,37.60,PAC,37.60,37.60,36.60,69810.00
23/01/2019,37.60,PAC,38.30,38.30,37.30,5530.00
22/01/2019,38.30,PAC,38.00,38.30,37.50,7030.00
21/01/2019,38.30,PAC,38.15,38.30,37.20,4200.00
18/01/2019,38.40,PAC,38.50,38.60,38.40,1760.00
17/01/2019,38.70,PAC,38.30,38.70,38.20,1050.00
16/01/2019,38.80,PAC,38.80,38.80,38.70,5100.00
15/01/2019,38.80,PAC,38.30,38.80,38.00,3000.00
14/01/2019,38.70,PAC,38.50,38.70,38.40,8850.00
11/01/2019,38.75,PAC,38.80,38.80,38.50,530.00
10/01/2019,38.80,PAC,38.60,38.80,38.20,8260.00
09/01/2019,38.20,PAC,38.00,38.35,37.95,12070.00
08/01/2019,37.95,PAC,38.00,38.40,37.95,1500.00
07/01/2019,38.60,PAC,37.50,38.60,37.45,7000.00
04/01/2019,38.00,PAC,38.00,38.25,37.90,5850.00
03/01/2019,38.20,PAC,38.70,38.70,37.70,770.00
02/01/2019,38.20,PAC,38.50,38.80,38.10,4410.00
28/12/2018,38.75,PAC,38.90,38.90,38.00,9140.00
27/12/2018,38.60,PAC,37.50,39.00,37.50,6650.00
26/12/2018,38.60,PAC,38.50,38.80,38.50,5910.00
25/12/2018,38.40,PAC,37.90,38.40,37.00,36350.00
24/12/2018,38.40,PAC,38.00,38.50,37.00,25490.00
21/12/2018,38.60,PAC,37.50,38.60,37.00,13090.00
20/12/2018,38.30,PAC,38.60,38.60,38.00,3710.00
19/12/2018,38.50,PAC,36.60,38.60,36.60,40210.00
18/12/2018,39.00,PAC,37.50,40.00,37.50,4830.00
17/12/2018,39.00,PAC,41.15,41.15,37.70,130640.00
14/12/2018,40.50,PAC,42.00,42.00,39.80,26810.00
13/12/2018,40.30,PAC,41.05,41.50,39.90,81700.00
12/12/2018,42.80,PAC,42.75,43.00,42.10,8940.00
11/12/2018,42.80,PAC,42.90,42.90,42.80,400.00
10/12/2018,42.95,PAC,42.90,42.95,42.50,1650.00
07/12/2018,43.00,PAC,43.20,43.20,42.00,11290.00
06/12/2018,43.20,PAC,43.80,43.80,42.10,2550.00
05/12/2018,42.30,PAC,42.30,42.30,42.30,670.00
04/12/2018,42.70,PAC,42.85,42.90,42.10,4350.00
03/12/2018,43.00,PAC,43.45,43.45,43.00,1420.00
30/11/2018,43.20,PAC,43.20,43.20,43.20,600.00
29/11/2018,43.10,PAC,42.20,43.50,42.20,800.00
28/11/2018,43.50,PAC,42.65,43.70,42.65,380.00
27/11/2018,43.70,PAC,43.30,43.70,43.30,370.00
26/11/2018,43.45,PAC,43.35,43.45,43.35,6410.00
23/11/2018,43.30,PAC,42.40,43.30,42.40,1580.00
22/11/2018,43.00,PAC,43.00,43.00,42.05,8200.00
21/11/2018,42.50,PAC,42.50,43.00,42.50,3920.00
20/11/2018,42.50,PAC,42.00,43.00,42.00,6680.00
19/11/2018,43.00,PAC,42.60,43.30,42.40,6160.00
16/11/2018,42.80,PAC,43.00,43.00,41.50,8890.00
15/11/2018,42.00,PAC,42.50,43.10,42.00,8730.00
14/11/2018,43.90,PAC,43.90,43.90,42.20,5600.00
13/11/2018,43.90,PAC,43.50,43.90,42.00,10010.00
12/11/2018,43.50,PAC,43.50,43.80,43.10,7500.00
09/11/2018,43.50,PAC,43.60,43.60,42.90,3640.00
08/11/2018,42.80,PAC,43.30,43.30,42.80,12960.00
07/11/2018,44.50,PAC,44.60,44.90,43.50,5780.00
06/11/2018,44.70,PAC,44.10,44.90,44.00,580.00
05/11/2018,44.00,PAC,44.40,45.10,43.20,15000.00
02/11/2018,44.30,PAC,44.00,44.50,44.00,7920.00
01/11/2018,44.00,PAC,43.90,44.00,42.30,26990.00
31/10/2018,43.50,PAC,43.20,43.80,43.20,4040.00
30/10/2018,43.20,PAC,42.50,43.20,42.50,12840.00
29/10/2018,42.50,PAC,42.10,43.00,41.95,48440.00
26/10/2018,42.90,PAC,43.30,43.30,41.20,3940.00
25/10/2018,43.50,PAC,44.40,44.40,41.20,60210.00
24/10/2018,44.30,PAC,44.60,44.60,43.55,7890.00
23/10/2018,44.80,PAC,44.50,45.00,43.55,5530.00
22/10/2018,44.60,PAC,47.30,47.30,44.60,16050.00
19/10/2018,45.80,PAC,44.00,45.80,44.00,6970.00
18/10/2018,45.00,PAC,45.00,45.90,45.00,3020.00
17/10/2018,46.50,PAC,46.50,46.50,46.50,10.00
16/10/2018,45.00,PAC,44.20,47.00,44.20,11880.00
15/10/2018,44.20,PAC,44.60,45.00,43.00,11020.00
12/10/2018,44.60,PAC,42.10,45.80,42.10,11370.00
11/10/2018,44.50,PAC,45.00,45.10,43.00,18640.00
10/10/2018,46.00,PAC,46.40,46.40,45.80,5220.00
