DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.30,PDB,9.30,9.30,9.30,50.00
10/01/2020,9.30,PDB,9.30,9.30,9.30,0.00
09/01/2020,9.30,PDB,9.30,9.30,9.30,0.00
08/01/2020,9.30,PDB,9.30,9.30,9.30,0.00
07/01/2020,9.30,PDB,9.30,9.30,9.30,0.00
06/01/2020,9.30,PDB,9.30,9.30,9.30,0.00
03/01/2020,9.30,PDB,9.30,9.30,9.30,2000.00
02/01/2020,9.30,PDB,9.00,9.50,9.00,2800.00
31/12/2019,9.60,PDB,9.60,9.60,9.60,1000.00
30/12/2019,9.40,PDB,9.40,9.40,9.40,0.00
27/12/2019,9.40,PDB,9.00,9.40,9.00,4500.00
26/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
25/12/2019,9.70,PDB,9.70,9.70,9.70,30.00
24/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
23/12/2019,9.70,PDB,9.60,9.70,9.60,1100.00
20/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
19/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
18/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
17/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
16/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
13/12/2019,9.70,PDB,9.70,9.70,9.70,0.00
12/12/2019,9.70,PDB,9.70,9.70,9.70,500.00
11/12/2019,9.50,PDB,9.50,9.50,9.50,1500.00
10/12/2019,9.50,PDB,9.50,9.50,9.50,0.00
09/12/2019,9.50,PDB,9.50,9.50,9.50,1000.00
06/12/2019,9.50,PDB,9.50,9.50,9.50,0.00
05/12/2019,9.50,PDB,9.50,9.50,9.50,0.00
04/12/2019,9.50,PDB,9.50,9.50,9.50,500.00
03/12/2019,9.50,PDB,9.50,9.50,9.50,100.00
02/12/2019,9.60,PDB,9.60,9.60,9.60,0.00
29/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
28/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
27/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
26/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
25/11/2019,9.60,PDB,9.60,9.60,9.60,500.00
22/11/2019,8.90,PDB,8.90,8.90,8.90,100.00
21/11/2019,9.60,PDB,9.60,9.60,9.60,200.00
20/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
19/11/2019,9.60,PDB,9.60,9.60,9.60,0.00
18/11/2019,9.60,PDB,9.60,9.60,9.60,1050.00
15/11/2019,9.60,PDB,9.60,9.60,9.60,1000.00
14/11/2019,9.70,PDB,9.60,9.70,9.60,2000.00
13/11/2019,9.70,PDB,9.70,9.70,9.50,4800.00
12/11/2019,9.70,PDB,9.60,9.70,9.50,6000.00
11/11/2019,9.60,PDB,9.50,9.70,9.50,6500.00
08/11/2019,9.60,PDB,9.60,9.70,9.60,6500.00
07/11/2019,9.70,PDB,9.70,9.70,9.50,7000.00
06/11/2019,9.70,PDB,9.60,9.70,9.60,3500.00
05/11/2019,9.60,PDB,9.60,9.80,9.60,6400.00
04/11/2019,9.60,PDB,9.70,9.80,9.50,21700.00
01/11/2019,9.60,PDB,9.50,9.80,9.50,18000.00
31/10/2019,9.60,PDB,9.80,9.90,9.60,12400.00
30/10/2019,9.70,PDB,9.50,9.70,9.50,10800.00
29/10/2019,9.70,PDB,9.70,9.70,9.50,7230.00
28/10/2019,9.50,PDB,9.30,9.50,9.30,7500.00
25/10/2019,9.40,PDB,9.50,9.60,9.20,23600.00
24/10/2019,9.60,PDB,9.50,9.80,9.50,9500.00
23/10/2019,9.80,PDB,9.40,9.80,9.30,13000.00
22/10/2019,9.50,PDB,9.50,9.50,9.30,19600.00
21/10/2019,9.30,PDB,9.30,9.80,9.20,19000.00
18/10/2019,9.20,PDB,9.30,9.40,9.20,5000.00
17/10/2019,9.10,PDB,9.20,9.30,9.10,8500.00
16/10/2019,9.30,PDB,9.00,9.30,9.00,6500.00
15/10/2019,9.30,PDB,8.70,9.30,8.70,24700.00
14/10/2019,8.80,PDB,8.50,9.30,8.50,26030.00
11/10/2019,8.70,PDB,8.60,8.70,8.60,3000.00
10/10/2019,8.60,PDB,8.60,8.60,8.60,4900.00
09/10/2019,8.50,PDB,9.00,9.00,8.50,14500.00
08/10/2019,8.80,PDB,8.40,8.80,8.40,15600.00
07/10/2019,8.50,PDB,8.30,8.60,8.30,13600.00
04/10/2019,8.20,PDB,8.50,8.70,8.00,37850.00
03/10/2019,8.10,PDB,7.70,8.60,7.70,24330.00
02/10/2019,8.10,PDB,7.40,8.20,7.40,14500.00
01/10/2019,7.60,PDB,7.20,7.80,7.20,19900.00
30/09/2019,7.30,PDB,7.30,7.70,7.10,25600.00
27/09/2019,7.20,PDB,7.40,7.40,6.80,34500.00
26/09/2019,6.90,PDB,6.90,7.30,6.80,77900.00
25/09/2019,6.90,PDB,7.20,7.60,6.90,142100.00
24/09/2019,7.60,PDB,7.90,7.90,7.60,39700.00
23/09/2019,8.40,PDB,9.00,9.00,8.40,36100.00
20/09/2019,9.30,PDB,9.30,9.30,9.30,0.00
19/09/2019,9.30,PDB,9.10,9.30,8.40,10200.00
18/09/2019,9.30,PDB,9.30,9.30,9.00,8600.00
