DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,46.70,PGD,46.70,46.70,46.70,840.00
10/01/2020,50.20,PGD,50.50,50.50,50.20,5980.00
09/01/2020,53.90,PGD,50.80,53.90,50.70,3120.00
08/01/2020,54.50,PGD,57.00,57.00,54.00,1670.00
07/01/2020,53.90,PGD,50.40,53.90,50.40,930.00
06/01/2020,54.00,PGD,50.50,54.30,50.00,1130.00
03/01/2020,50.80,PGD,52.00,52.00,48.40,1890.00
02/01/2020,52.00,PGD,49.05,52.00,49.05,20.00
31/12/2019,52.70,PGD,56.00,56.00,49.10,3440.00
30/12/2019,52.70,PGD,56.60,56.60,52.70,250.00
27/12/2019,56.60,PGD,56.60,56.60,56.60,10.00
26/12/2019,53.00,PGD,51.00,53.00,51.00,210.00
25/12/2019,53.80,PGD,48.00,53.80,46.80,26050.00
24/12/2019,50.30,PGD,50.30,52.50,50.30,2460.00
23/12/2019,54.00,PGD,53.00,54.00,53.00,40.00
20/12/2019,54.00,PGD,52.90,55.00,52.90,55210.00
19/12/2019,56.80,PGD,56.80,56.80,52.90,1150.00
18/12/2019,56.80,PGD,58.00,58.00,56.80,180.00
17/12/2019,61.00,PGD,61.20,61.20,53.20,1030.00
16/12/2019,57.20,PGD,52.00,57.20,52.00,31600.00
13/12/2019,53.50,PGD,50.00,53.50,50.00,25830.00
12/12/2019,50.00,PGD,48.00,51.00,48.00,34520.00
11/12/2019,48.00,PGD,54.00,54.00,48.00,15050.00
10/12/2019,50.90,PGD,47.80,50.90,47.80,32970.00
09/12/2019,47.70,PGD,46.00,47.70,44.60,11160.00
06/12/2019,44.60,PGD,41.70,44.60,41.70,57170.00
05/12/2019,41.70,PGD,37.50,41.70,37.50,128510.00
04/12/2019,39.00,PGD,36.50,39.00,36.50,24460.00
03/12/2019,36.80,PGD,34.50,37.45,34.50,153480.00
02/12/2019,35.80,PGD,35.80,35.80,33.50,130530.00
29/11/2019,33.50,PGD,36.00,35.50,33.50,134820.00
28/11/2019,36.00,PGD,38.95,38.95,35.70,43630.00
27/11/2019,36.50,PGD,39.75,39.75,35.05,5540.00
26/11/2019,37.20,PGD,37.30,37.30,37.20,1160.00
25/11/2019,39.95,PGD,37.00,39.95,36.50,6040.00
22/11/2019,37.50,PGD,39.00,39.00,37.50,520.00
21/11/2019,36.50,PGD,36.50,36.50,36.50,100.00
20/11/2019,36.35,PGD,39.00,39.00,36.20,200.00
19/11/2019,37.85,PGD,37.85,37.85,37.85,1180.00
18/11/2019,38.40,PGD,38.40,38.40,38.40,830.00
15/11/2019,37.90,PGD,39.95,39.95,36.50,5230.00
14/11/2019,37.50,PGD,36.70,37.50,36.50,5250.00
13/11/2019,38.90,PGD,36.35,39.00,36.35,5820.00
12/11/2019,39.00,PGD,39.00,39.00,36.00,6620.00
11/11/2019,36.80,PGD,38.50,38.50,36.80,30.00
08/11/2019,39.00,PGD,36.95,39.00,36.95,9870.00
07/11/2019,39.70,PGD,37.00,39.70,37.00,7220.00
06/11/2019,37.30,PGD,37.00,37.30,37.00,1020.00
05/11/2019,37.00,PGD,39.90,40.00,35.45,35270.00
04/11/2019,38.00,PGD,39.20,39.20,38.00,560.00
01/11/2019,39.50,PGD,39.50,39.50,39.50,10.00
31/10/2019,37.00,PGD,37.00,37.00,37.00,440.00
30/10/2019,37.00,PGD,37.00,37.00,37.00,130.00
29/10/2019,39.50,PGD,39.50,39.50,39.50,290.00
28/10/2019,42.30,PGD,39.50,42.30,39.50,260.00
25/10/2019,39.55,PGD,38.00,39.55,38.00,40.00
24/10/2019,37.00,PGD,37.00,37.00,37.00,110.00
23/10/2019,36.50,PGD,36.50,36.50,36.50,30.00
22/10/2019,37.40,PGD,37.40,37.40,37.40,0.00
21/10/2019,37.40,PGD,37.40,37.40,37.40,100.00
18/10/2019,37.40,PGD,37.40,37.40,37.40,0.00
17/10/2019,37.40,PGD,37.40,37.40,37.40,0.00
16/10/2019,37.40,PGD,37.40,37.40,37.40,0.00
15/10/2019,37.40,PGD,37.40,37.40,37.40,0.00
14/10/2019,37.40,PGD,35.60,37.40,35.60,80.00
11/10/2019,37.40,PGD,37.40,37.40,37.40,16370.00
10/10/2019,37.90,PGD,37.90,37.90,37.90,100.00
09/10/2019,37.00,PGD,37.40,38.00,37.00,55360.00
08/10/2019,37.00,PGD,35.40,37.00,35.40,32830.00
07/10/2019,37.10,PGD,37.00,37.20,37.00,20720.00
04/10/2019,37.20,PGD,34.80,37.20,34.80,107650.00
03/10/2019,34.80,PGD,34.80,34.80,34.80,500.00
02/10/2019,34.80,PGD,33.20,34.80,33.20,1200.00
01/10/2019,34.90,PGD,33.30,34.90,33.00,1670.00
30/09/2019,35.00,PGD,35.00,35.00,35.00,10.00
27/09/2019,35.25,PGD,32.85,35.25,32.85,530.00
26/09/2019,32.95,PGD,32.05,32.95,32.00,2020.00
25/09/2019,33.30,PGD,33.30,33.30,33.30,100.00
24/09/2019,33.30,PGD,33.00,33.30,32.00,410.00
23/09/2019,33.20,PGD,32.85,33.20,32.00,10210.00
20/09/2019,32.90,PGD,32.00,33.00,30.55,115170.00
19/09/2019,32.00,PGD,32.00,32.00,32.00,583480.00
18/09/2019,33.00,PGD,32.00,33.25,32.00,125390.00
17/09/2019,33.00,PGD,32.00,33.00,32.00,142110.00
16/09/2019,32.90,PGD,32.05,32.90,32.00,142350.00
13/09/2019,32.05,PGD,32.05,32.05,32.05,20.00
12/09/2019,32.00,PGD,32.00,32.00,32.00,118290.00
11/09/2019,32.00,PGD,32.90,32.90,32.00,140.00
10/09/2019,32.00,PGD,33.40,33.40,32.00,650.00
09/09/2019,32.80,PGD,31.35,32.80,31.35,2100.00
06/09/2019,31.95,PGD,31.95,31.95,31.95,2300.00
05/09/2019,32.00,PGD,31.20,32.00,31.20,2290.00
04/09/2019,32.30,PGD,32.00,32.30,32.00,1700.00
03/09/2019,32.00,PGD,31.95,32.00,31.40,25500.00
30/08/2019,32.00,PGD,31.10,32.00,31.05,2340.00
29/08/2019,32.00,PGD,32.00,32.00,32.00,0.00
28/08/2019,32.00,PGD,31.10,32.00,31.00,9320.00
27/08/2019,32.00,PGD,30.70,32.00,30.70,1020.00
26/08/2019,31.50,PGD,31.90,31.90,31.50,640.00
23/08/2019,31.90,PGD,31.90,31.90,31.90,20860.00
22/08/2019,32.00,PGD,30.70,32.00,30.70,550.00
21/08/2019,32.00,PGD,31.20,32.30,31.20,12120.00
20/08/2019,32.40,PGD,32.40,32.40,32.40,500.00
19/08/2019,32.40,PGD,30.85,32.40,30.70,2480.00
16/08/2019,32.80,PGD,32.80,32.80,32.80,0.00
15/08/2019,32.80,PGD,32.80,32.80,32.80,0.00
14/08/2019,32.80,PGD,32.80,32.80,32.80,0.00
13/08/2019,32.80,PGD,31.30,32.80,31.30,350.00
12/08/2019,32.90,PGD,32.90,32.90,32.90,530.00
