DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,17.90,PGI,17.90,17.90,17.90,10.00
10/01/2020,17.20,PGI,17.20,17.20,17.20,0.00
09/01/2020,17.20,PGI,19.50,19.50,17.20,40.00
08/01/2020,18.25,PGI,16.50,18.25,16.00,43690.00
07/01/2020,17.10,PGI,17.10,17.10,17.10,0.00
06/01/2020,17.10,PGI,17.10,17.10,17.10,10.00
03/01/2020,17.00,PGI,18.30,18.30,17.00,3190.00
02/01/2020,18.20,PGI,19.00,19.20,18.20,40.00
31/12/2019,19.50,PGI,19.50,19.50,19.50,40.00
30/12/2019,19.50,PGI,20.00,20.00,19.50,12430.00
27/12/2019,18.80,PGI,18.80,18.80,18.80,0.00
26/12/2019,18.80,PGI,18.90,18.90,18.80,2640.00
25/12/2019,19.00,PGI,19.00,19.00,19.00,0.00
24/12/2019,19.00,PGI,17.50,19.00,17.50,860.00
23/12/2019,18.00,PGI,18.10,18.10,18.00,30.00
20/12/2019,18.00,PGI,16.90,18.00,16.90,38520.00
19/12/2019,17.65,PGI,16.50,17.65,16.50,5140.00
18/12/2019,16.50,PGI,16.50,16.50,16.50,0.00
17/12/2019,16.50,PGI,16.70,16.70,16.50,320.00
16/12/2019,16.70,PGI,16.70,16.70,16.70,40.00
13/12/2019,16.70,PGI,16.70,16.70,16.70,0.00
12/12/2019,16.70,PGI,16.70,16.70,16.70,60.00
11/12/2019,16.80,PGI,16.80,16.80,16.80,0.00
10/12/2019,16.80,PGI,16.80,16.80,16.80,3000.00
09/12/2019,16.80,PGI,16.80,16.80,16.80,0.00
06/12/2019,16.80,PGI,16.80,16.80,16.80,10.00
05/12/2019,16.00,PGI,16.00,16.00,16.00,0.00
04/12/2019,16.00,PGI,16.00,16.00,16.00,10.00
03/12/2019,15.50,PGI,16.00,16.00,15.50,4000.00
02/12/2019,16.10,PGI,16.10,16.10,16.10,470.00
29/11/2019,16.95,PGI,16.95,16.95,16.95,0.00
28/11/2019,16.95,PGI,16.95,16.95,16.95,0.00
27/11/2019,16.95,PGI,16.95,16.95,16.95,10.00
26/11/2019,16.50,PGI,16.10,16.50,16.10,880.00
25/11/2019,16.05,PGI,16.05,16.05,16.05,0.00
22/11/2019,16.05,PGI,14.95,16.05,14.95,20.00
21/11/2019,16.05,PGI,16.05,16.05,16.05,0.00
20/11/2019,16.05,PGI,16.05,16.05,16.05,0.00
19/11/2019,16.05,PGI,16.15,16.15,16.05,4680.00
18/11/2019,16.05,PGI,16.10,16.10,16.05,150.00
15/11/2019,17.20,PGI,17.20,17.20,17.20,0.00
14/11/2019,17.20,PGI,17.20,17.20,17.20,0.00
13/11/2019,17.20,PGI,17.20,17.20,17.20,0.00
12/11/2019,17.20,PGI,17.00,17.20,16.15,30.00
11/11/2019,16.80,PGI,16.80,16.80,16.80,0.00
08/11/2019,16.80,PGI,16.30,16.80,16.20,480.00
07/11/2019,17.00,PGI,17.00,17.00,17.00,0.00
06/11/2019,17.00,PGI,17.00,17.00,17.00,0.00
05/11/2019,17.00,PGI,17.00,17.00,17.00,0.00
04/11/2019,17.00,PGI,17.00,17.00,17.00,110000.00
01/11/2019,16.50,PGI,16.50,16.50,16.50,10.00
31/10/2019,16.60,PGI,16.50,17.20,16.50,118490.00
30/10/2019,16.50,PGI,16.50,16.50,16.50,0.00
29/10/2019,16.50,PGI,16.50,16.50,16.50,0.00
28/10/2019,16.50,PGI,16.50,16.50,16.50,120.00
25/10/2019,17.00,PGI,17.00,17.00,17.00,0.00
24/10/2019,17.00,PGI,16.50,17.00,16.50,100500.00
23/10/2019,16.20,PGI,16.20,16.20,16.20,60.00
22/10/2019,16.20,PGI,16.20,16.20,16.20,20.00
21/10/2019,16.15,PGI,16.15,16.15,16.15,10.00
18/10/2019,16.40,PGI,16.40,16.40,16.40,10.00
17/10/2019,16.40,PGI,16.40,16.40,16.40,30.00
16/10/2019,16.50,PGI,16.50,16.50,16.50,0.00
15/10/2019,16.50,PGI,16.50,16.50,16.50,390.00
14/10/2019,16.50,PGI,16.50,16.50,16.50,130.00
11/10/2019,16.50,PGI,16.50,16.50,16.50,500.00
10/10/2019,16.40,PGI,16.40,16.40,16.40,550.00
09/10/2019,16.45,PGI,16.45,16.45,16.45,30.00
08/10/2019,16.40,PGI,16.45,16.45,16.40,1410.00
07/10/2019,16.80,PGI,16.80,16.80,16.80,0.00
04/10/2019,16.80,PGI,16.80,16.80,16.80,0.00
03/10/2019,16.80,PGI,16.50,16.80,16.50,1420.00
02/10/2019,16.50,PGI,16.60,16.60,16.50,3130.00
01/10/2019,16.60,PGI,16.70,16.70,16.60,3170.00
30/09/2019,16.80,PGI,16.80,16.80,16.70,5750.00
27/09/2019,16.80,PGI,16.80,16.95,16.80,380.00
26/09/2019,16.80,PGI,16.80,16.80,16.80,420.00
25/09/2019,16.80,PGI,16.80,17.00,16.80,4030.00
24/09/2019,16.75,PGI,16.75,16.75,16.75,30.00
23/09/2019,17.75,PGI,16.75,17.75,16.75,410.00
20/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
19/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
18/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
17/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
16/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
13/09/2019,17.90,PGI,17.90,17.90,17.90,0.00
12/09/2019,17.90,PGI,17.90,17.90,17.90,10.00
11/09/2019,17.35,PGI,17.45,17.45,16.70,1030.00
10/09/2019,17.35,PGI,17.35,17.35,17.35,0.00
09/09/2019,17.35,PGI,16.75,17.35,16.70,122580.00
06/09/2019,17.35,PGI,17.35,17.35,17.35,0.00
05/09/2019,17.35,PGI,17.35,17.35,17.35,0.00
04/09/2019,17.35,PGI,17.35,17.35,17.35,0.00
03/09/2019,17.35,PGI,17.35,17.35,17.35,10.00
30/08/2019,17.35,PGI,17.35,17.35,17.35,10.00
29/08/2019,17.00,PGI,16.90,17.00,16.90,1850.00
28/08/2019,16.80,PGI,16.60,16.80,16.60,200.00
27/08/2019,16.85,PGI,16.85,16.85,16.85,20.00
26/08/2019,16.60,PGI,16.75,16.75,16.60,1010.00
23/08/2019,16.50,PGI,16.50,16.50,16.50,1850.00
22/08/2019,17.10,PGI,16.30,17.10,16.30,20.00
21/08/2019,17.30,PGI,17.30,17.30,17.30,0.00
20/08/2019,17.30,PGI,17.30,17.30,17.30,10.00
19/08/2019,16.20,PGI,16.30,16.30,16.20,1360.00
16/08/2019,17.40,PGI,17.40,17.40,17.40,0.00
15/08/2019,17.40,PGI,17.40,17.40,17.40,0.00
14/08/2019,17.40,PGI,17.40,17.40,17.40,40.00
13/08/2019,18.00,PGI,18.00,18.00,18.00,50.00
12/08/2019,17.20,PGI,16.10,17.20,16.10,910.00
09/08/2019,16.10,PGI,16.10,16.10,16.10,0.00
08/08/2019,16.10,PGI,16.10,16.10,16.10,0.00
07/08/2019,16.10,PGI,16.10,16.10,16.10,0.00
06/08/2019,16.10,PGI,16.10,16.10,16.10,1710.00
05/08/2019,16.30,PGI,16.30,16.30,16.30,0.00
02/08/2019,16.30,PGI,16.30,16.30,16.30,0.00
01/08/2019,16.30,PGI,16.30,16.30,16.30,0.00
31/07/2019,16.30,PGI,16.30,16.30,16.30,2060.00
30/07/2019,16.50,PGI,16.35,16.50,16.30,7000.00
29/07/2019,16.30,PGI,16.30,16.30,16.30,0.00
26/07/2019,16.30,PGI,16.35,16.35,16.30,1000.00
25/07/2019,16.30,PGI,16.30,16.30,16.30,680.00
24/07/2019,16.15,PGI,17.45,17.45,16.15,20.00
23/07/2019,16.35,PGI,17.30,17.30,16.35,30.00
22/07/2019,16.20,PGI,16.20,16.20,16.20,1000.00
19/07/2019,16.05,PGI,16.05,16.05,16.05,10.00
18/07/2019,17.10,PGI,17.10,17.10,17.10,10.00
17/07/2019,17.10,PGI,17.10,17.10,17.10,0.00
16/07/2019,17.10,PGI,17.10,17.10,17.10,1000.00
15/07/2019,17.20,PGI,17.20,17.20,17.20,10.00
12/07/2019,17.60,PGI,17.60,17.60,17.60,0.00
11/07/2019,17.60,PGI,17.60,17.60,17.60,10.00
10/07/2019,17.60,PGI,17.60,17.60,17.60,0.00
09/07/2019,17.60,PGI,17.70,18.40,17.50,2672750.00
08/07/2019,17.20,PGI,17.20,17.20,17.20,0.00
05/07/2019,17.20,PGI,17.20,17.20,17.20,0.00
04/07/2019,17.20,PGI,16.90,17.20,16.90,540.00
03/07/2019,16.90,PGI,17.85,17.90,16.90,310850.00
02/07/2019,16.85,PGI,17.35,18.00,16.85,5010.00
01/07/2019,17.00,PGI,17.00,17.00,17.00,0.00
28/06/2019,17.00,PGI,17.00,17.00,17.00,0.00
27/06/2019,17.00,PGI,17.00,17.00,17.00,0.00
26/06/2019,17.00,PGI,16.80,17.00,16.80,5310.00
25/06/2019,17.00,PGI,17.00,17.00,17.00,5000.00
24/06/2019,16.85,PGI,16.90,16.90,16.85,40.00
21/06/2019,16.80,PGI,16.80,16.80,16.80,6210.00
20/06/2019,16.80,PGI,17.45,17.45,16.65,1840.00
19/06/2019,17.45,PGI,17.40,17.45,17.40,25910.00
18/06/2019,17.25,PGI,17.25,17.25,17.25,80.00
17/06/2019,16.50,PGI,16.50,16.50,16.50,510.00
14/06/2019,17.60,PGI,17.60,17.60,17.60,0.00
13/06/2019,17.60,PGI,16.60,17.60,16.60,8150.00
12/06/2019,16.60,PGI,16.60,16.70,16.60,1600.00
11/06/2019,16.60,PGI,16.60,16.60,16.60,260.00
10/06/2019,16.60,PGI,16.60,16.60,16.60,0.00
07/06/2019,16.60,PGI,16.60,16.60,16.60,1170.00
06/06/2019,16.40,PGI,16.40,16.40,16.40,240.00
05/06/2019,16.50,PGI,16.50,16.50,16.50,0.00
04/06/2019,16.50,PGI,16.50,16.50,16.50,0.00
