DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,12.00,PGN,10.80,12.00,10.80,23700.00
10/01/2020,12.00,PGN,12.20,12.20,10.50,23100.00
09/01/2020,11.10,PGN,12.80,12.80,11.10,9200.00
08/01/2020,12.00,PGN,10.80,12.00,10.70,10500.00
07/01/2020,11.50,PGN,11.00,11.50,10.90,21900.00
06/01/2020,11.90,PGN,10.50,11.90,10.20,22900.00
03/01/2020,11.20,PGN,11.40,11.70,10.90,11900.00
02/01/2020,12.10,PGN,11.70,12.10,10.80,34700.00
31/12/2019,12.00,PGN,11.40,12.20,10.40,20700.00
30/12/2019,11.40,PGN,10.40,11.40,10.40,26800.00
27/12/2019,10.40,PGN,9.70,10.40,9.40,37300.00
26/12/2019,10.00,PGN,9.40,10.00,9.40,37100.00
25/12/2019,9.90,PGN,9.20,9.90,9.00,21400.00
24/12/2019,9.00,PGN,9.00,9.00,9.00,3800.00
23/12/2019,9.50,PGN,9.30,9.50,9.30,2700.00
20/12/2019,9.50,PGN,9.30,10.30,9.00,1800.00
19/12/2019,9.40,PGN,9.60,9.60,9.40,3500.00
18/12/2019,9.50,PGN,9.60,9.60,9.40,4900.00
17/12/2019,9.50,PGN,9.50,9.50,9.40,11800.00
16/12/2019,9.50,PGN,9.40,9.60,9.40,14000.00
13/12/2019,9.40,PGN,9.50,9.50,9.10,26000.00
12/12/2019,9.50,PGN,9.50,9.60,9.10,8800.00
11/12/2019,9.70,PGN,9.40,9.70,9.40,23800.00
10/12/2019,9.50,PGN,9.20,9.60,9.20,10800.00
09/12/2019,9.40,PGN,9.90,9.90,9.30,10200.00
06/12/2019,9.90,PGN,9.70,9.90,9.60,13700.00
05/12/2019,9.60,PGN,9.50,9.70,9.50,10000.00
04/12/2019,9.70,PGN,9.60,9.70,9.00,17600.00
03/12/2019,9.60,PGN,9.00,9.60,8.80,17600.00
02/12/2019,8.80,PGN,9.00,9.00,8.60,13700.00
29/11/2019,9.10,PGN,8.90,9.10,8.90,12100.00
28/11/2019,9.10,PGN,8.90,9.10,8.90,10600.00
27/11/2019,9.10,PGN,8.90,9.10,8.60,11800.00
26/11/2019,9.10,PGN,8.90,9.10,8.90,13200.00
25/11/2019,9.30,PGN,9.10,9.30,9.10,10900.00
22/11/2019,9.20,PGN,9.00,9.20,8.90,10200.00
21/11/2019,9.30,PGN,9.20,9.30,8.80,12400.00
20/11/2019,9.30,PGN,8.50,9.30,8.50,13700.00
19/11/2019,8.80,PGN,9.20,9.20,8.80,9700.00
18/11/2019,9.70,PGN,9.00,9.70,8.90,15600.00
15/11/2019,9.80,PGN,9.70,9.80,9.50,8600.00
14/11/2019,9.80,PGN,9.50,9.80,9.50,11700.00
13/11/2019,9.50,PGN,9.20,10.30,9.20,10200.00
12/11/2019,9.40,PGN,9.20,9.40,9.20,8000.00
11/11/2019,9.30,PGN,9.30,9.30,9.20,4800.00
08/11/2019,9.20,PGN,9.10,9.20,9.00,6900.00
07/11/2019,9.10,PGN,9.20,9.30,9.10,7500.00
06/11/2019,9.20,PGN,9.20,9.20,9.10,4100.00
05/11/2019,9.20,PGN,9.30,9.40,9.20,4600.00
04/11/2019,9.40,PGN,9.40,9.40,9.40,4000.00
01/11/2019,9.40,PGN,9.00,9.40,9.00,3400.00
31/10/2019,9.80,PGN,9.80,9.80,9.80,3500.00
30/10/2019,9.40,PGN,9.40,9.40,9.40,4000.00
29/10/2019,9.40,PGN,9.40,9.40,9.40,3500.00
28/10/2019,9.50,PGN,9.40,9.50,9.40,3100.00
25/10/2019,9.50,PGN,9.50,9.50,9.40,4900.00
24/10/2019,9.80,PGN,9.80,9.80,9.80,3500.00
23/10/2019,9.70,PGN,9.50,9.70,9.50,4000.00
22/10/2019,9.70,PGN,9.70,9.70,9.50,5300.00
21/10/2019,9.60,PGN,9.40,9.70,9.40,5200.00
18/10/2019,10.20,PGN,9.40,10.20,9.40,3900.00
17/10/2019,10.30,PGN,9.60,10.30,9.60,6000.00
16/10/2019,10.60,PGN,9.90,10.60,9.80,4600.00
15/10/2019,10.80,PGN,9.90,10.80,9.90,600.00
14/10/2019,9.90,PGN,9.70,9.90,9.50,5900.00
11/10/2019,9.80,PGN,9.90,9.90,9.60,4700.00
10/10/2019,10.30,PGN,8.80,10.30,8.80,50100.00
09/10/2019,9.50,PGN,10.00,10.00,9.50,50100.00
08/10/2019,10.30,PGN,9.80,10.30,9.80,1100.00
07/10/2019,10.40,PGN,10.10,10.40,10.10,1400.00
04/10/2019,11.00,PGN,10.60,11.00,10.60,3300.00
03/10/2019,11.60,PGN,10.20,11.60,9.90,4000.00
02/10/2019,10.60,PGN,10.20,10.60,9.90,3600.00
01/10/2019,10.90,PGN,9.90,10.90,9.90,3100.00
30/09/2019,11.00,PGN,10.50,11.00,9.70,3700.00
27/09/2019,10.50,PGN,10.50,10.50,9.80,4300.00
26/09/2019,10.30,PGN,10.50,10.50,9.80,2200.00
25/09/2019,10.80,PGN,10.60,10.80,10.50,2500.00
24/09/2019,10.50,PGN,11.50,11.50,9.60,3300.00
23/09/2019,10.50,PGN,10.50,10.50,9.60,2400.00
20/09/2019,9.90,PGN,11.80,11.80,9.90,7300.00
19/09/2019,11.00,PGN,11.10,11.10,10.30,400.00
18/09/2019,10.40,PGN,10.50,10.50,10.40,400.00
17/09/2019,9.60,PGN,9.60,9.60,9.60,0.00
16/09/2019,9.60,PGN,9.60,9.60,9.60,0.00
13/09/2019,9.60,PGN,9.60,9.60,9.60,0.00
12/09/2019,9.60,PGN,9.50,9.90,9.20,36500.00
11/09/2019,9.60,PGN,9.40,9.90,9.20,42500.00
10/09/2019,9.40,PGN,9.50,10.00,9.30,42900.00
09/09/2019,9.60,PGN,9.40,9.70,8.80,38100.00
06/09/2019,9.70,PGN,9.60,10.00,9.40,30600.00
05/09/2019,9.60,PGN,10.00,10.00,9.60,20400.00
04/09/2019,9.90,PGN,9.00,9.90,8.90,10700.00
03/09/2019,9.00,PGN,9.00,9.10,8.90,20100.00
30/08/2019,9.00,PGN,8.90,9.00,8.90,25100.00
29/08/2019,8.90,PGN,8.90,8.90,8.70,29200.00
28/08/2019,9.00,PGN,9.00,9.20,8.70,30100.00
27/08/2019,9.20,PGN,9.00,9.20,9.00,15500.00
26/08/2019,9.00,PGN,8.90,9.00,8.90,16200.00
23/08/2019,8.90,PGN,9.00,9.00,8.70,16600.00
22/08/2019,9.20,PGN,9.70,9.70,9.20,13900.00
21/08/2019,9.80,PGN,10.10,10.30,9.80,17200.00
20/08/2019,10.30,PGN,10.60,11.10,10.30,15100.00
19/08/2019,10.80,PGN,10.00,10.90,10.00,16400.00
16/08/2019,10.30,PGN,10.00,10.30,9.80,15900.00
15/08/2019,10.20,PGN,10.00,10.20,10.00,15500.00
14/08/2019,10.40,PGN,9.90,10.40,9.90,17900.00
13/08/2019,10.50,PGN,9.80,10.50,9.70,15600.00
12/08/2019,9.70,PGN,9.80,9.80,9.50,19100.00
09/08/2019,9.50,PGN,9.40,9.50,9.30,9700.00
08/08/2019,9.40,PGN,10.30,10.30,9.30,14500.00
07/08/2019,9.40,PGN,9.40,9.50,9.30,12500.00
06/08/2019,9.30,PGN,9.50,9.60,9.20,14300.00
05/08/2019,9.60,PGN,9.50,9.60,9.40,15100.00
02/08/2019,9.60,PGN,9.50,9.60,9.40,13700.00
01/08/2019,9.60,PGN,9.40,9.80,9.40,13900.00
31/07/2019,9.50,PGN,9.20,9.60,9.20,14400.00
30/07/2019,9.30,PGN,8.90,9.40,8.90,14400.00
29/07/2019,9.20,PGN,9.10,9.40,9.10,15600.00
26/07/2019,9.30,PGN,9.60,9.60,9.30,19270.00
25/07/2019,9.30,PGN,9.90,9.90,9.00,15030.00
24/07/2019,9.10,PGN,9.40,9.50,9.10,22000.00
23/07/2019,9.40,PGN,9.80,9.90,9.40,17800.00
22/07/2019,9.80,PGN,10.00,10.00,9.30,12800.00
19/07/2019,10.20,PGN,10.00,10.20,9.60,17100.00
18/07/2019,10.10,PGN,10.00,10.10,9.90,13000.00
17/07/2019,10.00,PGN,10.00,10.00,9.80,19300.00
16/07/2019,9.80,PGN,10.60,10.70,9.80,23100.00
15/07/2019,10.70,PGN,11.00,11.00,10.60,19000.00
12/07/2019,11.00,PGN,10.30,11.00,10.30,33000.00
11/07/2019,10.90,PGN,11.10,11.10,10.40,61500.00
10/07/2019,11.50,PGN,12.10,12.10,11.40,42300.00
09/07/2019,12.10,PGN,12.10,12.10,11.80,60900.00
08/07/2019,12.50,PGN,12.20,12.50,11.90,91300.00
05/07/2019,12.10,PGN,11.80,12.50,11.80,70700.00
04/07/2019,11.90,PGN,11.90,11.90,11.60,68300.00
