DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,28.40,PGS,28.40,28.40,28.40,0.00
10/01/2020,28.40,PGS,28.40,28.40,28.40,100.00
09/01/2020,28.50,PGS,28.50,28.50,28.50,37.00
08/01/2020,28.50,PGS,28.70,28.70,28.50,700.00
07/01/2020,28.60,PGS,28.00,28.60,28.00,600.00
06/01/2020,28.00,PGS,27.90,28.00,27.80,2200.00
03/01/2020,26.90,PGS,26.90,26.90,26.90,100.00
02/01/2020,28.40,PGS,28.40,28.40,28.40,7.00
31/12/2019,28.40,PGS,27.20,28.60,26.10,1690.00
30/12/2019,28.40,PGS,27.10,28.40,27.10,2900.00
27/12/2019,28.60,PGS,28.60,28.60,28.60,73.00
26/12/2019,28.60,PGS,27.60,28.80,27.60,900.00
25/12/2019,29.70,PGS,28.10,29.70,28.10,400.00
24/12/2019,28.10,PGS,28.10,28.10,28.10,200.00
23/12/2019,28.10,PGS,28.10,28.10,28.10,2400.00
20/12/2019,30.80,PGS,30.80,30.80,30.80,0.00
19/12/2019,30.80,PGS,30.80,30.80,30.80,0.00
18/12/2019,30.80,PGS,30.00,30.80,29.10,400.00
17/12/2019,32.00,PGS,32.00,32.00,32.00,50.00
16/12/2019,32.00,PGS,32.00,32.00,32.00,50.00
13/12/2019,32.00,PGS,32.00,32.00,32.00,80.00
12/12/2019,32.00,PGS,32.00,32.00,32.00,0.00
11/12/2019,32.00,PGS,30.30,32.00,30.30,1300.00
10/12/2019,33.00,PGS,32.50,34.00,32.50,600.00
09/12/2019,31.20,PGS,31.20,31.20,31.20,200.00
06/12/2019,31.50,PGS,30.20,31.50,30.20,700.00
05/12/2019,30.40,PGS,29.70,30.40,29.70,410.00
04/12/2019,29.80,PGS,29.80,29.80,29.80,130.00
03/12/2019,28.30,PGS,28.40,28.40,28.30,1795.00
02/12/2019,28.50,PGS,28.50,28.50,28.50,3600.00
29/11/2019,28.50,PGS,28.40,28.50,28.40,4300.00
28/11/2019,28.50,PGS,29.00,29.50,28.50,1394.00
27/11/2019,29.80,PGS,28.60,29.80,28.60,27100.00
26/11/2019,28.60,PGS,28.70,28.70,28.60,200.00
25/11/2019,28.80,PGS,29.30,30.00,28.80,54080.00
22/11/2019,30.70,PGS,30.70,30.70,30.70,315.00
21/11/2019,30.90,PGS,30.80,30.90,30.60,2200.00
20/11/2019,31.70,PGS,32.90,32.90,31.70,200.00
19/11/2019,31.40,PGS,31.40,31.40,31.40,100.00
18/11/2019,30.60,PGS,29.80,30.80,29.10,1600.00
15/11/2019,31.40,PGS,30.00,31.40,30.00,404.00
14/11/2019,30.00,PGS,30.00,30.00,30.00,2073.00
13/11/2019,30.00,PGS,30.00,30.00,30.00,1120.00
12/11/2019,30.00,PGS,30.00,30.00,30.00,2500.00
11/11/2019,30.10,PGS,30.10,30.10,30.10,200.00
08/11/2019,32.40,PGS,32.40,32.40,32.40,100.00
07/11/2019,31.20,PGS,30.60,31.20,30.60,1100.00
06/11/2019,31.90,PGS,30.80,34.50,30.10,21400.00
05/11/2019,31.80,PGS,31.80,31.80,31.80,200.00
04/11/2019,31.90,PGS,30.80,31.90,30.10,1200.00
01/11/2019,32.40,PGS,32.40,32.40,32.40,0.00
31/10/2019,32.40,PGS,32.40,32.40,32.40,0.00
30/10/2019,32.40,PGS,31.00,32.90,31.00,700.00
29/10/2019,31.00,PGS,30.50,31.00,30.50,1750.00
28/10/2019,31.90,PGS,31.90,31.90,31.90,1000.00
25/10/2019,34.00,PGS,34.00,34.00,34.00,0.00
24/10/2019,34.00,PGS,34.00,34.00,34.00,16.00
23/10/2019,34.00,PGS,34.00,34.00,34.00,0.00
22/10/2019,34.00,PGS,34.00,34.00,34.00,0.00
21/10/2019,34.00,PGS,31.90,34.00,31.90,300.00
18/10/2019,31.40,PGS,32.50,32.50,30.00,2157.00
17/10/2019,30.40,PGS,31.00,31.00,30.40,400.00
16/10/2019,33.00,PGS,30.80,33.00,30.80,300.00
15/10/2019,34.00,PGS,30.50,34.00,30.50,2700.00
14/10/2019,31.00,PGS,31.30,31.30,31.00,1800.00
11/10/2019,29.60,PGS,29.60,29.60,29.60,100.00
10/10/2019,30.50,PGS,30.10,30.50,30.00,1700.00
09/10/2019,31.00,PGS,31.00,31.90,31.00,903.00
08/10/2019,31.00,PGS,31.20,31.20,31.00,600.00
07/10/2019,30.30,PGS,30.60,30.60,30.30,600.00
04/10/2019,30.00,PGS,30.00,30.00,30.00,1551.00
03/10/2019,30.00,PGS,30.00,31.30,30.00,1300.00
02/10/2019,30.00,PGS,30.20,30.20,30.00,2819.00
01/10/2019,31.90,PGS,32.40,32.40,30.10,51777.00
30/09/2019,31.00,PGS,34.00,34.00,31.00,4200.00
27/09/2019,32.80,PGS,30.10,32.80,30.10,2200.00
26/09/2019,32.00,PGS,32.00,32.00,32.00,300.00
25/09/2019,34.00,PGS,34.00,34.00,34.00,0.00
24/09/2019,34.00,PGS,32.00,34.00,32.00,200.00
23/09/2019,33.60,PGS,32.00,34.00,32.00,2023.00
20/09/2019,32.00,PGS,31.20,32.40,31.10,6500.00
19/09/2019,31.80,PGS,32.00,32.00,31.80,2200.00
18/09/2019,31.90,PGS,32.00,32.00,31.90,1120.00
17/09/2019,31.90,PGS,32.00,32.00,31.50,838.00
16/09/2019,31.50,PGS,32.00,32.00,31.50,2000.00
13/09/2019,31.80,PGS,31.80,31.80,31.80,0.00
12/09/2019,31.80,PGS,31.80,31.80,31.80,10.00
11/09/2019,31.80,PGS,31.80,33.00,31.80,3200.00
10/09/2019,31.90,PGS,31.90,31.90,31.90,100.00
09/09/2019,31.70,PGS,31.70,31.70,31.70,200.00
06/09/2019,32.00,PGS,32.00,32.00,32.00,0.00
05/09/2019,32.00,PGS,31.70,32.50,31.70,10500.00
04/09/2019,31.80,PGS,31.90,31.90,31.80,2000.00
03/09/2019,31.90,PGS,31.50,31.90,31.20,16840.00
30/08/2019,31.90,PGS,31.90,32.00,31.90,2100.00
29/08/2019,32.00,PGS,32.00,32.00,32.00,0.00
28/08/2019,32.00,PGS,31.50,32.00,31.50,10300.00
27/08/2019,31.50,PGS,32.00,32.00,31.00,10500.00
26/08/2019,31.50,PGS,31.50,31.50,31.40,2000.00
23/08/2019,31.80,PGS,31.50,31.80,31.50,3020.00
22/08/2019,31.50,PGS,31.50,31.50,31.50,2710.00
21/08/2019,31.60,PGS,31.00,31.60,31.00,6321.00
20/08/2019,31.80,PGS,31.70,31.80,31.70,1401.00
19/08/2019,31.70,PGS,31.80,31.80,31.00,7600.00
16/08/2019,31.60,PGS,30.60,31.60,30.60,2500.00
15/08/2019,31.80,PGS,31.80,31.80,31.80,1300.00
14/08/2019,31.90,PGS,31.30,31.90,31.30,1100.00
13/08/2019,32.00,PGS,32.00,32.00,32.00,900.00
12/08/2019,32.00,PGS,32.50,32.50,32.00,2157.00
09/08/2019,32.00,PGS,31.30,32.00,31.20,4509.00
08/08/2019,32.00,PGS,31.10,32.00,31.10,2200.00
07/08/2019,32.80,PGS,31.20,32.80,31.20,7400.00
06/08/2019,33.00,PGS,32.00,33.00,31.10,4715.00
05/08/2019,32.40,PGS,31.70,32.40,31.40,1700.00
02/08/2019,32.70,PGS,32.70,32.70,32.70,389.00
01/08/2019,33.00,PGS,33.00,34.00,33.00,1100.00
31/07/2019,33.00,PGS,32.00,33.00,32.00,2800.00
30/07/2019,33.00,PGS,32.20,33.00,32.10,3500.00
29/07/2019,33.30,PGS,32.60,33.30,32.60,2010.00
26/07/2019,33.60,PGS,33.70,33.70,33.60,2900.00
25/07/2019,32.80,PGS,32.80,32.80,32.80,1000.00
24/07/2019,34.60,PGS,34.60,34.60,34.60,1001.00
23/07/2019,34.70,PGS,33.00,34.70,32.10,1100.00
22/07/2019,34.90,PGS,34.90,34.90,34.90,91.00
19/07/2019,34.90,PGS,34.40,35.00,34.40,42500.00
18/07/2019,34.50,PGS,34.00,34.50,34.00,53000.00
17/07/2019,35.00,PGS,35.00,35.00,35.00,100.00
16/07/2019,33.90,PGS,33.90,33.90,33.90,10578.00
15/07/2019,34.00,PGS,38.50,38.50,34.00,2113.00
12/07/2019,35.00,PGS,34.30,35.00,34.30,200.00
11/07/2019,33.00,PGS,33.00,33.70,33.00,1331.00
10/07/2019,34.00,PGS,34.00,34.00,34.00,0.00
09/07/2019,34.00,PGS,33.20,34.50,33.20,2034.00
08/07/2019,32.90,PGS,32.90,32.90,32.90,1100.00
05/07/2019,32.90,PGS,33.10,33.10,32.90,1200.00
04/07/2019,32.90,PGS,32.90,32.90,32.90,1100.00
03/07/2019,33.10,PGS,33.10,33.10,33.10,1001.00
02/07/2019,33.30,PGS,33.30,33.30,33.30,1000.00
01/07/2019,33.40,PGS,33.40,33.40,33.40,1010.00
28/06/2019,33.50,PGS,33.70,33.70,33.50,600.00
27/06/2019,32.00,PGS,32.70,33.30,31.80,19211.00
26/06/2019,33.50,PGS,33.50,33.50,31.50,2963.00
25/06/2019,33.60,PGS,33.60,33.60,33.60,100.00
24/06/2019,33.70,PGS,33.70,33.70,33.70,708.00
21/06/2019,33.70,PGS,33.70,33.70,33.70,1100.00
20/06/2019,33.90,PGS,33.90,34.00,32.70,1930.00
19/06/2019,34.00,PGS,34.00,34.00,34.00,757.00
18/06/2019,34.00,PGS,34.00,34.00,34.00,1220.00
17/06/2019,34.00,PGS,34.00,34.00,34.00,1700.00
14/06/2019,34.00,PGS,34.00,34.00,34.00,5500.00
13/06/2019,34.00,PGS,34.00,34.00,34.00,1536.00
12/06/2019,34.90,PGS,33.50,34.90,33.50,10630.00
11/06/2019,34.90,PGS,34.90,34.90,34.90,500.00
10/06/2019,34.90,PGS,34.90,34.90,34.90,400.00
07/06/2019,34.80,PGS,34.80,34.80,34.80,500.00
06/06/2019,34.80,PGS,34.80,34.80,34.80,500.00
05/06/2019,34.90,PGS,34.90,34.90,34.90,500.00
04/06/2019,34.70,PGS,34.70,34.70,34.70,694.00
03/06/2019,35.00,PGS,34.10,35.00,34.10,2636.00
31/05/2019,34.30,PGS,34.30,34.30,34.30,500.00
30/05/2019,34.80,PGS,34.80,34.80,34.80,394.00
29/05/2019,34.80,PGS,33.30,34.80,33.30,704.00
28/05/2019,34.80,PGS,33.60,34.80,33.00,2646.00
27/05/2019,34.90,PGS,34.90,34.90,34.90,5415.00
24/05/2019,34.90,PGS,34.00,34.90,34.00,300.00
23/05/2019,35.00,PGS,33.30,35.00,33.30,546.00
22/05/2019,35.00,PGS,35.00,35.20,35.00,921.00
21/05/2019,35.00,PGS,34.70,35.00,34.70,1203.00
20/05/2019,34.80,PGS,34.00,34.80,34.00,2636.00
17/05/2019,34.90,PGS,33.50,35.00,33.50,600.00
16/05/2019,35.50,PGS,34.00,35.50,33.50,7508.00
15/05/2019,35.20,PGS,35.20,35.20,35.20,300.00
14/05/2019,35.10,PGS,35.10,35.10,35.10,310.00
13/05/2019,35.30,PGS,35.00,35.30,33.70,60450.00
10/05/2019,35.70,PGS,34.40,35.90,34.40,1319.00
09/05/2019,34.40,PGS,34.40,34.40,34.40,600.00
08/05/2019,34.20,PGS,33.70,34.40,33.70,1804.00
07/05/2019,33.80,PGS,33.80,33.80,33.80,1408.00
06/05/2019,34.00,PGS,32.80,34.00,32.30,3800.00
03/05/2019,34.00,PGS,34.00,34.00,34.00,594.00
02/05/2019,34.40,PGS,33.50,34.80,32.90,3440.00
26/04/2019,36.00,PGS,36.00,36.00,36.00,100.00
25/04/2019,34.00,PGS,34.00,34.00,34.00,530.00
24/04/2019,33.70,PGS,33.70,33.70,33.70,2400.00
23/04/2019,34.40,PGS,34.40,34.40,34.40,247.00
22/04/2019,34.40,PGS,33.90,34.80,33.90,134970.00
19/04/2019,33.90,PGS,34.00,34.00,33.90,250.00
18/04/2019,34.70,PGS,34.70,34.70,34.70,0.00
17/04/2019,34.70,PGS,35.00,35.00,34.20,22851.00
16/04/2019,34.10,PGS,33.80,35.20,33.80,1313.00
12/04/2019,35.70,PGS,33.50,36.00,33.50,1500.00
11/04/2019,35.50,PGS,35.50,35.50,35.50,200.00
10/04/2019,35.50,PGS,35.90,35.90,33.70,2388.00
09/04/2019,35.00,PGS,34.00,35.00,34.00,910.00
08/04/2019,35.20,PGS,35.00,35.30,34.60,4110.00
05/04/2019,34.60,PGS,34.60,34.60,34.60,700.00
04/04/2019,34.80,PGS,34.80,34.80,34.60,1700.00
03/04/2019,34.90,PGS,34.90,34.90,34.90,110.00
02/04/2019,35.30,PGS,35.30,35.30,34.20,5125.00
01/04/2019,35.30,PGS,35.60,35.60,33.60,1600.00
29/03/2019,34.80,PGS,33.60,35.00,33.60,430.00
28/03/2019,35.70,PGS,35.70,35.70,35.70,94.00
27/03/2019,35.70,PGS,35.70,35.70,35.70,100.00
26/03/2019,36.00,PGS,34.30,36.00,34.30,4568.00
25/03/2019,34.40,PGS,33.20,34.40,33.20,2806.00
22/03/2019,34.60,PGS,34.60,34.60,34.60,562.00
21/03/2019,34.80,PGS,34.80,34.80,34.80,310.00
20/03/2019,35.50,PGS,35.50,35.50,35.50,0.00
19/03/2019,35.50,PGS,35.50,35.50,35.50,438.00
18/03/2019,35.50,PGS,34.50,35.50,33.30,196119.00
15/03/2019,34.50,PGS,34.50,34.50,34.50,500.00
14/03/2019,35.50,PGS,35.80,35.80,35.50,880.00
13/03/2019,34.50,PGS,33.40,35.30,33.40,864.00
12/03/2019,34.50,PGS,35.40,35.90,33.30,3639.00
11/03/2019,35.50,PGS,35.80,35.80,35.50,1120.00
08/03/2019,35.00,PGS,34.90,35.70,34.90,739.00
07/03/2019,33.90,PGS,35.60,36.00,33.00,9078.00
06/03/2019,33.40,PGS,36.80,36.80,33.30,32405.00
05/03/2019,35.00,PGS,36.50,40.00,34.00,30094.00
04/03/2019,36.70,PGS,35.90,37.00,34.00,81073.00
01/03/2019,36.00,PGS,33.60,36.00,33.60,27110.00
28/02/2019,37.00,PGS,37.00,37.00,37.00,194.00
27/02/2019,35.00,PGS,35.40,36.40,34.00,1852.00
26/02/2019,35.50,PGS,34.10,35.50,34.00,8078.00
25/02/2019,35.40,PGS,34.00,35.80,34.00,43139.00
22/02/2019,35.00,PGS,34.30,35.00,34.00,5550.00
21/02/2019,36.50,PGS,35.00,36.90,34.00,2732.00
20/02/2019,34.10,PGS,34.10,34.10,34.10,35.00
19/02/2019,34.10,PGS,34.00,34.10,34.00,757.00
18/02/2019,34.90,PGS,35.10,35.10,34.00,49420.00
15/02/2019,35.00,PGS,34.60,35.00,34.60,29057.00
14/02/2019,35.00,PGS,35.00,35.00,35.00,10500.00
13/02/2019,35.00,PGS,33.80,35.00,33.80,61400.00
12/02/2019,33.00,PGS,33.00,33.00,33.00,2100.00
11/02/2019,34.40,PGS,32.00,34.40,32.00,76106.00
01/02/2019,33.30,PGS,31.50,33.30,31.50,8200.00
31/01/2019,32.50,PGS,33.50,33.50,32.50,2031.00
30/01/2019,32.50,PGS,32.40,33.00,32.40,14900.00
29/01/2019,32.50,PGS,32.50,32.50,32.40,5000.00
28/01/2019,33.60,PGS,33.60,33.60,33.60,131.00
25/01/2019,32.50,PGS,31.00,32.50,29.70,2573.00
24/01/2019,32.50,PGS,32.50,32.50,32.50,500.00
23/01/2019,33.00,PGS,33.10,33.40,33.00,110700.00
22/01/2019,33.50,PGS,34.00,34.00,32.50,3900.00
21/01/2019,33.60,PGS,33.90,34.30,33.40,300257.00
18/01/2019,33.40,PGS,34.30,34.80,30.20,200811.00
17/01/2019,33.00,PGS,33.00,33.00,33.00,204000.00
16/01/2019,33.10,PGS,32.00,33.60,32.00,413927.00
15/01/2019,32.90,PGS,30.60,33.80,30.60,137194.00
14/01/2019,30.80,PGS,30.60,30.80,30.60,62300.00
11/01/2019,30.90,PGS,30.90,30.90,30.90,500.00
10/01/2019,30.70,PGS,28.60,30.70,28.10,2256.00
09/01/2019,30.80,PGS,30.80,30.80,30.80,530.00
08/01/2019,30.80,PGS,30.80,30.80,30.80,500.00
07/01/2019,30.80,PGS,30.90,30.90,28.00,800.00
04/01/2019,29.70,PGS,29.70,29.70,29.70,531.00
03/01/2019,30.00,PGS,29.00,30.00,29.00,610.00
02/01/2019,30.10,PGS,30.10,30.10,30.10,500.00
28/12/2018,30.20,PGS,28.70,30.20,28.70,500.00
27/12/2018,30.30,PGS,30.30,30.30,30.30,290.00
26/12/2018,30.30,PGS,30.00,30.40,30.00,13300.00
25/12/2018,30.50,PGS,28.10,30.50,28.10,2830.00
24/12/2018,30.00,PGS,28.30,31.00,28.30,900.00
21/12/2018,30.50,PGS,30.50,30.50,30.50,0.00
20/12/2018,30.50,PGS,30.50,30.50,30.50,300.00
19/12/2018,30.50,PGS,30.00,31.00,28.40,44800.00
18/12/2018,30.00,PGS,30.20,30.20,29.90,1078.00
17/12/2018,30.70,PGS,30.70,30.70,30.70,206.00
14/12/2018,30.90,PGS,30.90,31.00,29.30,205776.00
13/12/2018,30.00,PGS,28.30,30.00,28.30,868.00
12/12/2018,30.10,PGS,30.10,30.10,30.10,100.00
11/12/2018,30.10,PGS,30.00,30.10,30.00,1100.00
10/12/2018,30.70,PGS,29.00,30.70,29.00,565.00
07/12/2018,29.90,PGS,29.90,29.90,29.90,0.00
06/12/2018,29.90,PGS,30.30,30.30,29.10,26700.00
05/12/2018,30.10,PGS,30.10,30.10,30.10,100.00
04/12/2018,29.30,PGS,29.70,29.70,29.30,53600.00
03/12/2018,31.10,PGS,31.10,31.10,31.10,0.00
30/11/2018,31.10,PGS,29.00,31.10,28.20,700.00
29/11/2018,30.60,PGS,30.60,30.60,30.60,0.00
