DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.30,PGV,10.30,10.30,10.30,0.00
10/01/2020,10.30,PGV,10.30,10.30,10.30,0.00
09/01/2020,10.30,PGV,10.30,10.30,10.30,0.00
08/01/2020,10.30,PGV,10.30,10.30,10.30,0.00
07/01/2020,10.00,PGV,10.00,11.50,10.00,13600.00
06/01/2020,10.00,PGV,10.00,10.00,10.00,0.00
03/01/2020,9.90,PGV,9.60,10.00,9.60,4200.00
02/01/2020,9.70,PGV,9.60,9.70,9.60,1100.00
31/12/2019,9.60,PGV,9.80,9.80,9.60,300.00
30/12/2019,9.50,PGV,10.00,10.00,9.50,4200.00
27/12/2019,10.00,PGV,10.00,10.00,10.00,2600.00
26/12/2019,10.00,PGV,10.00,10.00,10.00,2700.00
25/12/2019,10.00,PGV,9.60,10.00,9.60,7300.00
24/12/2019,10.30,PGV,10.10,10.40,10.10,4900.00
23/12/2019,10.00,PGV,10.00,10.00,10.00,0.00
20/12/2019,10.00,PGV,10.00,10.00,10.00,0.00
19/12/2019,9.60,PGV,9.50,10.20,9.50,15700.00
18/12/2019,9.50,PGV,9.70,9.70,9.50,900.00
17/12/2019,9.50,PGV,9.50,9.50,9.50,9400.00
16/12/2019,9.70,PGV,9.70,9.70,9.70,1300.00
13/12/2019,10.00,PGV,10.00,10.00,9.50,18200.00
12/12/2019,10.10,PGV,10.10,10.10,10.10,0.00
11/12/2019,10.10,PGV,10.10,10.10,10.10,0.00
10/12/2019,10.20,PGV,10.10,10.20,10.10,900.00
09/12/2019,10.00,PGV,10.00,10.00,10.00,300.00
06/12/2019,9.70,PGV,9.70,9.70,9.70,0.00
05/12/2019,9.70,PGV,9.70,9.70,9.70,0.00
04/12/2019,9.70,PGV,10.10,10.10,9.60,16000.00
03/12/2019,10.00,PGV,10.00,10.00,10.00,0.00
02/12/2019,10.00,PGV,10.00,10.00,10.00,600.00
29/11/2019,10.00,PGV,9.80,10.00,9.80,2000.00
28/11/2019,9.80,PGV,9.80,9.80,9.80,0.00
27/11/2019,9.90,PGV,9.80,9.90,9.80,5000.00
26/11/2019,10.20,PGV,10.20,10.20,10.20,0.00
25/11/2019,10.20,PGV,10.20,10.20,10.20,300.00
22/11/2019,10.00,PGV,10.00,10.20,10.00,1000.00
21/11/2019,10.50,PGV,10.00,10.50,10.00,2200.00
20/11/2019,10.00,PGV,10.00,10.00,10.00,7200.00
19/11/2019,10.00,PGV,10.00,10.00,9.90,6600.00
18/11/2019,10.00,PGV,10.10,10.10,10.00,1100.00
15/11/2019,10.00,PGV,10.20,10.30,10.00,1600.00
14/11/2019,10.20,PGV,10.20,10.20,10.20,0.00
13/11/2019,10.20,PGV,10.20,10.20,10.20,500.00
12/11/2019,10.00,PGV,10.00,10.00,10.00,5800.00
11/11/2019,10.10,PGV,10.20,10.20,10.10,5900.00
08/11/2019,10.30,PGV,10.30,10.30,10.30,1100.00
07/11/2019,10.20,PGV,10.30,10.30,10.20,2400.00
06/11/2019,10.30,PGV,10.30,10.30,10.30,500.00
05/11/2019,10.30,PGV,10.30,10.30,10.30,200.00
04/11/2019,9.90,PGV,9.90,9.90,9.90,1500.00
01/11/2019,9.90,PGV,9.90,9.90,9.90,0.00
31/10/2019,9.90,PGV,9.90,9.90,9.90,100.00
30/10/2019,10.00,PGV,10.00,10.00,10.00,0.00
29/10/2019,10.00,PGV,10.00,10.00,10.00,3200.00
