DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.60,PIC,9.60,9.60,9.60,0.00
10/01/2020,9.60,PIC,10.20,10.30,9.60,1559.00
09/01/2020,10.00,PIC,10.00,10.00,10.00,100.00
08/01/2020,10.10,PIC,10.10,10.10,10.10,2.00
07/01/2020,10.10,PIC,10.10,10.10,10.10,127.00
06/01/2020,10.00,PIC,10.00,10.00,10.00,700.00
03/01/2020,10.10,PIC,10.10,10.10,10.10,0.00
02/01/2020,10.10,PIC,10.30,10.30,10.10,700.00
31/12/2019,10.50,PIC,10.50,10.50,10.50,0.00
30/12/2019,10.50,PIC,10.50,10.50,10.50,100.00
27/12/2019,10.00,PIC,10.00,10.00,9.80,2289.00
26/12/2019,10.80,PIC,10.80,10.80,10.80,0.00
25/12/2019,10.80,PIC,10.80,10.80,10.80,60.00
24/12/2019,10.80,PIC,10.80,10.80,10.80,100.00
23/12/2019,10.10,PIC,10.10,10.10,10.10,0.00
20/12/2019,10.10,PIC,10.30,10.30,9.90,2441.00
19/12/2019,10.40,PIC,10.40,10.40,10.40,57.00
18/12/2019,10.40,PIC,10.40,10.40,10.40,200.00
17/12/2019,10.40,PIC,9.20,10.50,9.10,899.00
16/12/2019,9.60,PIC,9.60,9.60,9.60,294.00
13/12/2019,10.10,PIC,10.10,10.10,10.10,60.00
12/12/2019,10.10,PIC,10.20,10.20,10.10,3071.00
11/12/2019,10.10,PIC,10.20,10.20,10.10,1400.00
10/12/2019,10.20,PIC,9.50,10.30,9.50,1000.00
09/12/2019,10.10,PIC,10.10,10.10,10.10,363.00
06/12/2019,10.10,PIC,10.10,10.10,10.10,977.00
05/12/2019,10.70,PIC,10.70,10.70,10.70,0.00
04/12/2019,10.70,PIC,10.20,10.70,10.10,1200.00
03/12/2019,10.10,PIC,10.10,10.40,10.10,1397.00
02/12/2019,10.10,PIC,10.10,10.10,10.10,762.00
29/11/2019,10.50,PIC,10.50,10.50,10.50,0.00
28/11/2019,10.50,PIC,10.50,10.50,10.50,0.00
27/11/2019,10.50,PIC,10.40,10.50,10.40,1887.00
26/11/2019,10.50,PIC,10.50,10.50,10.50,0.00
25/11/2019,10.50,PIC,10.50,10.50,10.50,0.00
22/11/2019,10.50,PIC,10.40,10.50,10.10,1033.00
21/11/2019,10.40,PIC,10.40,10.40,10.40,0.00
20/11/2019,10.40,PIC,10.40,10.40,10.40,200.00
19/11/2019,10.40,PIC,10.10,10.40,10.10,471.00
18/11/2019,10.40,PIC,10.40,10.40,10.40,440.00
15/11/2019,10.30,PIC,10.10,10.70,10.00,698.00
14/11/2019,11.00,PIC,10.20,11.00,10.20,200.00
13/11/2019,10.20,PIC,10.20,10.20,10.20,3.00
12/11/2019,10.20,PIC,10.20,10.20,10.20,1400.00
11/11/2019,10.90,PIC,10.00,10.90,9.50,700.00
08/11/2019,10.20,PIC,10.20,10.20,10.20,0.00
07/11/2019,10.20,PIC,10.20,10.20,10.20,1097.00
06/11/2019,10.40,PIC,10.40,10.40,10.40,0.00
05/11/2019,10.40,PIC,10.40,10.40,10.40,100.00
04/11/2019,10.40,PIC,10.40,10.40,10.40,0.00
01/11/2019,10.40,PIC,10.40,10.40,10.40,0.00
31/10/2019,10.40,PIC,10.40,10.40,10.40,72.00
30/10/2019,10.40,PIC,10.40,10.40,10.40,100.00
29/10/2019,10.30,PIC,10.30,10.30,10.30,100.00
28/10/2019,10.20,PIC,10.30,10.30,10.20,1476.00
25/10/2019,10.30,PIC,10.30,10.30,10.30,500.00
24/10/2019,10.50,PIC,10.50,10.50,10.50,300.00
23/10/2019,10.50,PIC,10.50,10.50,10.50,1100.00
22/10/2019,10.20,PIC,10.70,10.70,10.20,1300.00
21/10/2019,10.70,PIC,10.70,10.70,10.70,0.00
18/10/2019,10.70,PIC,10.70,10.70,10.70,0.00
17/10/2019,10.70,PIC,10.50,10.70,10.50,237.00
16/10/2019,10.40,PIC,10.40,10.40,10.40,95.00
15/10/2019,10.40,PIC,10.40,10.40,10.40,1100.00
14/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
11/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
10/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
09/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
08/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
07/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
04/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
03/10/2019,10.90,PIC,10.70,10.90,10.70,1506.00
02/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
01/10/2019,10.90,PIC,10.90,10.90,10.90,0.00
30/09/2019,10.90,PIC,10.90,10.90,10.90,2257.00
27/09/2019,10.90,PIC,10.90,10.90,10.90,129.00
26/09/2019,10.90,PIC,10.90,10.90,10.90,4500.00
25/09/2019,10.90,PIC,10.10,10.90,10.10,318.00
24/09/2019,11.00,PIC,11.00,11.00,11.00,0.00
23/09/2019,11.00,PIC,11.00,11.00,11.00,4.00
20/09/2019,11.00,PIC,11.00,11.00,11.00,2400.00
19/09/2019,11.10,PIC,11.10,11.10,10.00,1309.00
18/09/2019,10.20,PIC,11.50,11.50,10.20,2300.00
17/09/2019,11.30,PIC,10.30,11.30,10.10,572.00
16/09/2019,10.30,PIC,11.50,11.50,10.30,360.00
13/09/2019,10.60,PIC,10.60,10.60,10.60,880.00
12/09/2019,10.50,PIC,10.50,10.50,10.50,0.00
11/09/2019,10.50,PIC,10.50,10.60,10.50,1930.00
10/09/2019,10.40,PIC,10.40,10.40,10.40,126.00
09/09/2019,10.90,PIC,10.90,10.90,10.90,200.00
06/09/2019,10.90,PIC,10.90,10.90,10.90,108.00
05/09/2019,10.90,PIC,10.90,10.90,10.90,100.00
04/09/2019,10.90,PIC,10.90,10.90,10.90,100.00
03/09/2019,11.00,PIC,11.00,11.00,11.00,0.00
30/08/2019,11.00,PIC,10.10,11.00,10.10,300.00
29/08/2019,10.70,PIC,10.70,10.70,10.70,0.00
28/08/2019,10.70,PIC,10.60,10.70,10.60,700.00
27/08/2019,11.20,PIC,11.20,11.20,11.20,17.00
26/08/2019,11.20,PIC,11.20,11.20,11.20,0.00
23/08/2019,11.20,PIC,11.20,11.20,11.20,0.00
22/08/2019,11.20,PIC,11.20,11.20,11.20,0.00
21/08/2019,11.20,PIC,11.20,11.20,11.20,400.00
20/08/2019,11.10,PIC,11.10,11.10,11.10,100.00
19/08/2019,10.40,PIC,10.40,10.40,10.40,37.00
16/08/2019,10.40,PIC,10.40,10.40,10.40,38.00
15/08/2019,10.40,PIC,9.70,11.50,9.70,350.00
14/08/2019,10.50,PIC,10.50,10.50,10.50,534.00
13/08/2019,10.50,PIC,10.50,10.50,10.50,0.00
12/08/2019,10.50,PIC,10.50,10.50,10.50,900.00
09/08/2019,10.60,PIC,10.60,10.60,10.60,1059.00
08/08/2019,11.30,PIC,11.30,11.30,11.30,100.00
07/08/2019,10.50,PIC,10.50,10.50,10.50,100.00
06/08/2019,11.20,PIC,11.20,11.20,11.20,0.00
05/08/2019,11.20,PIC,10.40,11.20,10.40,300.00
02/08/2019,10.40,PIC,10.40,10.40,10.40,0.00
01/08/2019,10.40,PIC,10.40,10.40,10.40,0.00
31/07/2019,10.40,PIC,11.00,11.00,10.40,1300.00
30/07/2019,11.00,PIC,11.30,11.30,11.00,1174.00
29/07/2019,11.30,PIC,10.70,11.30,10.70,2622.00
26/07/2019,10.30,PIC,11.20,11.20,10.30,429.00
25/07/2019,10.30,PIC,10.30,10.30,10.30,226.00
24/07/2019,10.30,PIC,10.30,10.30,10.30,100.00
23/07/2019,10.30,PIC,10.30,10.30,10.30,0.00
22/07/2019,10.30,PIC,11.00,11.00,10.30,200.00
19/07/2019,10.90,PIC,10.90,10.90,10.90,1.00
18/07/2019,12.00,PIC,12.00,12.00,12.00,1026.00
17/07/2019,12.10,PIC,12.10,12.10,12.10,623.00
16/07/2019,12.10,PIC,12.00,12.10,12.00,474.00
15/07/2019,13.10,PIC,12.00,13.10,12.00,2850.00
12/07/2019,12.00,PIC,11.70,12.00,11.60,1456.00
11/07/2019,12.70,PIC,12.70,12.70,12.70,2700.00
10/07/2019,14.10,PIC,12.00,14.10,12.00,400.00
09/07/2019,12.90,PIC,12.90,12.90,12.90,0.00
08/07/2019,12.90,PIC,12.00,12.90,11.50,4500.00
05/07/2019,12.20,PIC,11.90,12.20,11.90,734.00
04/07/2019,11.80,PIC,11.80,11.80,11.80,0.00
03/07/2019,11.80,PIC,11.80,11.80,11.80,200.00
02/07/2019,12.90,PIC,12.90,12.90,12.90,0.00
01/07/2019,12.90,PIC,12.90,12.90,12.90,0.00
28/06/2019,12.90,PIC,12.90,12.90,12.90,0.00
27/06/2019,12.90,PIC,12.90,12.90,12.90,0.00
26/06/2019,12.90,PIC,12.80,12.90,12.80,1200.00
25/06/2019,12.90,PIC,12.30,12.90,12.10,1587.00
24/06/2019,12.40,PIC,12.40,12.40,12.40,0.00
21/06/2019,12.40,PIC,12.30,12.40,12.30,900.00
20/06/2019,12.30,PIC,12.30,12.30,12.30,1920.00
19/06/2019,12.30,PIC,12.30,12.30,12.30,140.00
18/06/2019,12.30,PIC,12.30,12.30,12.30,30.00
17/06/2019,12.30,PIC,12.30,12.30,12.30,108.00
14/06/2019,12.30,PIC,12.30,12.30,12.30,102.00
13/06/2019,12.30,PIC,12.30,12.30,12.30,0.00
12/06/2019,12.30,PIC,12.30,12.30,12.30,160.00
11/06/2019,12.30,PIC,12.30,12.30,12.30,0.00
10/06/2019,12.30,PIC,12.60,12.60,12.30,910.00
07/06/2019,12.60,PIC,12.60,12.60,12.60,1625.00
06/06/2019,12.50,PIC,12.50,12.50,12.50,0.00
05/06/2019,12.50,PIC,12.50,12.50,12.50,0.00
04/06/2019,12.50,PIC,12.50,12.50,12.50,1950.00
03/06/2019,12.50,PIC,12.50,12.50,12.50,650.00
31/05/2019,12.50,PIC,12.50,12.50,12.50,137.00
30/05/2019,12.50,PIC,12.80,12.80,12.10,2360.00
29/05/2019,13.20,PIC,13.20,13.20,13.20,127.00
28/05/2019,13.20,PIC,13.20,13.20,13.20,0.00
27/05/2019,13.20,PIC,13.20,13.20,13.20,2000.00
24/05/2019,12.90,PIC,12.90,12.90,12.90,0.00
23/05/2019,12.90,PIC,13.30,13.30,12.90,949.00
22/05/2019,13.30,PIC,13.30,13.30,13.30,100.00
21/05/2019,13.00,PIC,13.00,13.00,13.00,2232.00
20/05/2019,13.00,PIC,13.00,13.00,13.00,4299.00
17/05/2019,12.70,PIC,12.40,12.70,12.40,5757.00
16/05/2019,13.00,PIC,13.90,13.90,13.00,500.00
15/05/2019,13.00,PIC,13.00,13.00,13.00,700.00
14/05/2019,12.30,PIC,12.30,12.30,12.30,1200.00
13/05/2019,13.00,PIC,13.00,13.00,13.00,2030.00
10/05/2019,13.30,PIC,13.30,13.30,13.30,898.00
09/05/2019,13.30,PIC,13.20,13.30,13.20,4200.00
08/05/2019,13.30,PIC,13.20,13.30,13.20,8400.00
07/05/2019,13.20,PIC,12.80,13.20,12.80,5132.00
06/05/2019,13.90,PIC,13.00,13.90,12.50,5280.00
03/05/2019,13.00,PIC,13.00,13.00,13.00,5500.00
02/05/2019,13.00,PIC,12.80,13.00,12.80,10500.00
26/04/2019,13.30,PIC,13.90,13.90,13.30,2200.00
25/04/2019,13.30,PIC,13.30,13.30,13.30,800.00
24/04/2019,13.30,PIC,13.30,13.30,13.30,0.00
23/04/2019,13.30,PIC,13.30,13.30,13.30,2800.00
22/04/2019,13.30,PIC,13.30,13.30,13.30,434.00
19/04/2019,13.30,PIC,13.30,13.30,13.30,700.00
18/04/2019,13.30,PIC,13.30,13.30,13.30,10.00
17/04/2019,13.30,PIC,13.30,13.30,13.30,0.00
16/04/2019,13.30,PIC,13.30,13.30,13.30,0.00
12/04/2019,13.30,PIC,13.30,13.30,13.30,0.00
11/04/2019,13.30,PIC,13.30,13.30,13.30,26.00
10/04/2019,13.30,PIC,13.30,13.30,13.30,1800.00
09/04/2019,13.30,PIC,13.30,13.30,13.30,100.00
08/04/2019,13.30,PIC,13.30,13.30,13.30,0.00
05/04/2019,13.30,PIC,13.30,13.30,13.30,242.00
04/04/2019,13.30,PIC,13.30,13.40,13.30,7940.00
03/04/2019,13.40,PIC,13.40,13.40,13.40,5600.00
02/04/2019,13.40,PIC,13.40,13.40,13.40,100.00
01/04/2019,12.60,PIC,12.60,12.60,12.60,0.00
29/03/2019,12.60,PIC,12.60,12.60,12.60,0.00
28/03/2019,12.60,PIC,12.50,12.60,12.50,1368.00
27/03/2019,12.60,PIC,12.60,12.60,12.60,0.00
26/03/2019,12.60,PIC,12.60,12.60,12.60,61.00
25/03/2019,12.60,PIC,12.60,12.60,12.60,3350.00
22/03/2019,13.70,PIC,13.70,13.70,13.70,0.00
21/03/2019,13.70,PIC,13.30,13.70,13.30,800.00
20/03/2019,12.90,PIC,12.90,12.90,12.90,0.00
19/03/2019,12.90,PIC,13.00,13.00,12.90,200.00
18/03/2019,12.50,PIC,12.50,12.50,12.50,1080.00
